"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n","p"
5,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
5,"9-11","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
5,"12-13","male","2017-2018","did_not_consume",11000,"NULL"
5,"12-13","male","2017-2018","1_metric_cup_or_less",18300,"NULL"
5,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
5,"12-13","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
5,"14-17","male","2017-2018","did_not_consume",28400,"NULL"
5,"14-17","male","2017-2018","1_metric_cup_or_less",26900,"NULL"
5,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
5,"14-17","male","2017-2018","2_metric_cups_or_more",6300,"0.1"
6,"2-3","male","2017-2018","did_not_consume",4100,"NULL"
6,"2-3","male","2017-2018","1_metric_cup_or_less",9999999,"9999999"
6,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
6,"2-3","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
6,"4-8","male","2017-2018","did_not_consume",9400,"NULL"
6,"4-8","male","2017-2018","1_metric_cup_or_less",5000,"NULL"
6,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
6,"4-8","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
6,"9-11","male","2017-2018","did_not_consume",3100,"NULL"
6,"9-11","male","2017-2018","1_metric_cup_or_less",4700,"NULL"
6,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
6,"9-11","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
6,"12-13","male","2017-2018","did_not_consume",3300,"NULL"
6,"12-13","male","2017-2018","1_metric_cup_or_less",2400,"NULL"
6,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
6,"12-13","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
6,"14-17","male","2017-2018","did_not_consume",3600,"NULL"
6,"14-17","male","2017-2018","1_metric_cup_or_less",5300,"NULL"
6,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
6,"14-17","male","2017-2018","2_metric_cups_or_more",3200,"NULL"
7,"2-3","male","2017-2018","did_not_consume",2800,"NULL"
7,"2-3","male","2017-2018","1_metric_cup_or_less",9999999,"9999999"
7,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
7,"2-3","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
7,"4-8","male","2017-2018","did_not_consume",5400,"NULL"
7,"4-8","male","2017-2018","1_metric_cup_or_less",1100,"NULL"
7,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
7,"4-8","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
7,"9-11","male","2017-2018","did_not_consume",2100,"NULL"
7,"9-11","male","2017-2018","1_metric_cup_or_less",1500,"NULL"
7,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
7,"9-11","male","2017-2018","2_metric_cups_or_more",1000,"NULL"
7,"12-13","male","2017-2018","did_not_consume",9999999,"9999999"
7,"12-13","male","2017-2018","1_metric_cup_or_less",9999999,"9999999"
7,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
7,"12-13","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
7,"14-17","male","2017-2018","did_not_consume",1400,"NULL"
7,"14-17","male","2017-2018","1_metric_cup_or_less",1100,"NULL"
7,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
7,"14-17","male","2017-2018","2_metric_cups_or_more",1000,"NULL"
8,"2-3","male","2017-2018","did_not_consume",5400,"NULL"
8,"2-3","male","2017-2018","1_metric_cup_or_less",900,"NULL"
8,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
8,"2-3","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
