"STE_CODE16","age_group","sex","year_range","daily_consumption_fruit","n","p"
1,"12-13","female","2017-2018","did_not_meet_recommendation",34600,"NULL"
1,"14-17","female","2017-2018","met_recommendation",117300,"NULL"
1,"14-17","female","2017-2018","did_not_meet_recommendation",61500,"0.34"
2,"2-3","female","2017-2018","met_recommendation",82000,"NULL"
2,"2-3","female","2017-2018","did_not_meet_recommendation",9999999,"9999999"
2,"4-8","female","2017-2018","met_recommendation",151500,"NULL"
2,"4-8","female","2017-2018","did_not_meet_recommendation",37800,"0.2"
2,"9-11","female","2017-2018","met_recommendation",91400,"NULL"
2,"9-11","female","2017-2018","did_not_meet_recommendation",26200,"NULL"
2,"12-13","female","2017-2018","met_recommendation",51700,"NULL"
2,"12-13","female","2017-2018","did_not_meet_recommendation",15700,"NULL"
2,"14-17","female","2017-2018","met_recommendation",88300,"0.66"
2,"14-17","female","2017-2018","did_not_meet_recommendation",44100,"NULL"
3,"2-3","female","2017-2018","met_recommendation",69400,"0.97"
3,"2-3","female","2017-2018","did_not_meet_recommendation",9999999,"9999999"
3,"4-8","female","2017-2018","met_recommendation",122900,"0.81"
3,"4-8","female","2017-2018","did_not_meet_recommendation",29500,"0.19"
3,"9-11","female","2017-2018","met_recommendation",63500,"NULL"
3,"9-11","female","2017-2018","did_not_meet_recommendation",29200,"NULL"
3,"12-13","female","2017-2018","met_recommendation",37100,"NULL"
3,"12-13","female","2017-2018","did_not_meet_recommendation",25800,"NULL"
3,"14-17","female","2017-2018","met_recommendation",61400,"NULL"
3,"14-17","female","2017-2018","did_not_meet_recommendation",51600,"NULL"
4,"2-3","female","2017-2018","met_recommendation",10400,"1"
4,"2-3","female","2017-2018","did_not_meet_recommendation",9999999,"9999999"
4,"4-8","female","2017-2018","met_recommendation",45100,"NULL"
4,"4-8","female","2017-2018","did_not_meet_recommendation",12100,"NULL"
4,"9-11","female","2017-2018","met_recommendation",27100,"NULL"
4,"9-11","female","2017-2018","did_not_meet_recommendation",9999999,"9999999"
4,"12-13","female","2017-2018","met_recommendation",8100,"NULL"
4,"12-13","female","2017-2018","did_not_meet_recommendation",9999999,"9999999"
4,"14-17","female","2017-2018","met_recommendation",24700,"NULL"
4,"14-17","female","2017-2018","did_not_meet_recommendation",15800,"NULL"
5,"2-3","female","2017-2018","met_recommendation",29600,"NULL"
5,"2-3","female","2017-2018","did_not_meet_recommendation",9999999,"9999999"
5,"4-8","female","2017-2018","met_recommendation",69200,"NULL"
5,"4-8","female","2017-2018","did_not_meet_recommendation",19300,"NULL"
5,"9-11","female","2017-2018","met_recommendation",34600,"NULL"
5,"9-11","female","2017-2018","did_not_meet_recommendation",12600,"NULL"
5,"12-13","female","2017-2018","met_recommendation",17500,"NULL"
5,"12-13","female","2017-2018","did_not_meet_recommendation",9700,"NULL"
5,"14-17","female","2017-2018","met_recommendation",40200,"NULL"
5,"14-17","female","2017-2018","did_not_meet_recommendation",19000,"NULL"
6,"2-3","female","2017-2018","met_recommendation",6800,"1"
6,"2-3","female","2017-2018","did_not_meet_recommendation",9999999,"9999999"
6,"4-8","female","2017-2018","met_recommendation",14600,"NULL"
6,"4-8","female","2017-2018","did_not_meet_recommendation",9999999,"9999999"
6,"9-11","female","2017-2018","met_recommendation",5200,"NULL"
6,"9-11","female","2017-2018","did_not_meet_recommendation",2800,"NULL"
6,"12-13","female","2017-2018","met_recommendation",2500,"NULL"
6,"12-13","female","2017-2018","did_not_meet_recommendation",9999999,"9999999"
6,"14-17","female","2017-2018","met_recommendation",9100,"NULL"
6,"14-17","female","2017-2018","did_not_meet_recommendation",4500,"NULL"
7,"2-3","female","2017-2018","met_recommendation",2700,"NULL"
7,"2-3","female","2017-2018","did_not_meet_recommendation",9999999,"9999999"
7,"4-8","female","2017-2018","met_recommendation",5200,"NULL"
7,"4-8","female","2017-2018","did_not_meet_recommendation",9999999,"9999999"
7,"9-11","female","2017-2018","met_recommendation",2800,"0.9"
7,"9-11","female","2017-2018","did_not_meet_recommendation",9999999,"9999999"
7,"12-13","female","2017-2018","met_recommendation",900,"NULL"
7,"12-13","female","2017-2018","did_not_meet_recommendation",800,"NULL"
7,"14-17","female","2017-2018","met_recommendation",2600,"NULL"
7,"14-17","female","2017-2018","did_not_meet_recommendation",1500,"NULL"
8,"2-3","female","2017-2018","met_recommendation",4100,"1"
8,"2-3","female","2017-2018","did_not_meet_recommendation",9999999,"9999999"
8,"4-8","female","2017-2018","met_recommendation",11300,"NULL"
8,"4-8","female","2017-2018","did_not_meet_recommendation",3200,"NULL"
8,"9-11","female","2017-2018","met_recommendation",4600,"NULL"
8,"9-11","female","2017-2018","did_not_meet_recommendation",2200,"NULL"
8,"12-13","female","2017-2018","met_recommendation",9999999,"9999999"
8,"12-13","female","2017-2018","did_not_meet_recommendation",1800,"NULL"
8,"14-17","female","2017-2018","met_recommendation",5900,"NULL"
8,"14-17","female","2017-2018","did_not_meet_recommendation",3800,"NULL"
