"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n","uncertainty"
6,"2-3","male","2017-2018","2_metric_cups_or_more",700,2
6,"4-8","male","2017-2018","did_not_consume",9400,0
6,"4-8","male","2017-2018","1_metric_cup_or_less",5000,1
6,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
6,"9-11","male","2017-2018","did_not_consume",3100,1
6,"9-11","male","2017-2018","1_metric_cup_or_less",4700,0
6,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"9-11","male","2017-2018","2_metric_cups_or_more",0,0
6,"12-13","male","2017-2018","did_not_consume",3300,1
6,"12-13","male","2017-2018","1_metric_cup_or_less",2400,1
6,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",900,2
6,"12-13","male","2017-2018","2_metric_cups_or_more",500,2
6,"14-17","male","2017-2018","did_not_consume",3600,1
6,"14-17","male","2017-2018","1_metric_cup_or_less",5300,1
6,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",600,2
6,"14-17","male","2017-2018","2_metric_cups_or_more",3200,1
7,"2-3","male","2017-2018","did_not_consume",2800,0
7,"2-3","male","2017-2018","1_metric_cup_or_less",200,2
7,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
7,"4-8","male","2017-2018","did_not_consume",5400,0
7,"4-8","male","2017-2018","1_metric_cup_or_less",1100,1
7,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
7,"9-11","male","2017-2018","did_not_consume",2100,0
7,"9-11","male","2017-2018","1_metric_cup_or_less",1500,1
7,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"9-11","male","2017-2018","2_metric_cups_or_more",1000,1
7,"12-13","male","2017-2018","did_not_consume",1200,2
7,"12-13","male","2017-2018","1_metric_cup_or_less",800,2
7,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"12-13","male","2017-2018","2_metric_cups_or_more",0,0
7,"14-17","male","2017-2018","did_not_consume",1400,1
7,"14-17","male","2017-2018","1_metric_cup_or_less",1100,1
7,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",300,2
7,"14-17","male","2017-2018","2_metric_cups_or_more",1000,1
8,"2-3","male","2017-2018","did_not_consume",5400,0
8,"2-3","male","2017-2018","1_metric_cup_or_less",900,1
8,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
8,"4-8","male","2017-2018","did_not_consume",10200,0
8,"4-8","male","2017-2018","1_metric_cup_or_less",3300,1
8,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
8,"9-11","male","2017-2018","did_not_consume",5000,1
8,"9-11","male","2017-2018","1_metric_cup_or_less",3900,1
8,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"9-11","male","2017-2018","2_metric_cups_or_more",0,0
8,"12-13","male","2017-2018","did_not_consume",1500,2
8,"12-13","male","2017-2018","1_metric_cup_or_less",2400,1
8,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"12-13","male","2017-2018","2_metric_cups_or_more",0,0
8,"14-17","male","2017-2018","did_not_consume",2800,1
8,"14-17","male","2017-2018","1_metric_cup_or_less",3900,1
8,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",600,2
8,"14-17","male","2017-2018","2_metric_cups_or_more",1700,2
1,"2-3","female","2017-2018","did_not_consume",83000,0
1,"2-3","female","2017-2018","1_metric_cup_or_less",8600,2
1,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
1,"4-8","female","2017-2018","did_not_consume",188100,0
1,"4-8","female","2017-2018","1_metric_cup_or_less",55400,0
1,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
1,"9-11","female","2017-2018","did_not_consume",93800,0
1,"9-11","female","2017-2018","1_metric_cup_or_less",50600,0
1,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
1,"12-13","female","2017-2018","did_not_consume",45000,0
1,"12-13","female","2017-2018","1_metric_cup_or_less",27700,1
1,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
1,"14-17","female","2017-2018","did_not_consume",96900,0
1,"14-17","female","2017-2018","1_metric_cup_or_less",64300,0
1,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",17900,1
1,"14-17","female","2017-2018","2_metric_cups_or_more",4200,2
2,"2-3","female","2017-2018","did_not_consume",66800,0
2,"2-3","female","2017-2018","1_metric_cup_or_less",18100,1
2,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
2,"4-8","female","2017-2018","did_not_consume",144300,0
2,"4-8","female","2017-2018","1_metric_cup_or_less",53300,0
2,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
2,"9-11","female","2017-2018","did_not_consume",83000,0
2,"9-11","female","2017-2018","1_metric_cup_or_less",38100,0
2,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
2,"12-13","female","2017-2018","did_not_consume",43200,0
2,"12-13","female","2017-2018","1_metric_cup_or_less",32700,1
2,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
