"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","p","uncertainty"
5,"14-17","male","2017-2018","1_metric_cup_or_less",0.42,1
5,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",0.04,1
5,"14-17","male","2017-2018","2_metric_cups_or_more",0.1,0
6,"2-3","male","2017-2018","did_not_consume",0.63,1
6,"2-3","male","2017-2018","1_metric_cup_or_less",0.11,1
6,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"2-3","male","2017-2018","2_metric_cups_or_more",0.11,1
6,"4-8","male","2017-2018","did_not_consume",0.6,1
6,"4-8","male","2017-2018","1_metric_cup_or_less",0.29,1
6,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
6,"9-11","male","2017-2018","did_not_consume",0.34,1
6,"9-11","male","2017-2018","1_metric_cup_or_less",0.6,1
6,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"9-11","male","2017-2018","2_metric_cups_or_more",0,0
6,"12-13","male","2017-2018","did_not_consume",0.5,1
6,"12-13","male","2017-2018","1_metric_cup_or_less",0.35,1
6,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",0.13,1
6,"12-13","male","2017-2018","2_metric_cups_or_more",0.07,1
6,"14-17","male","2017-2018","did_not_consume",0.29,1
6,"14-17","male","2017-2018","1_metric_cup_or_less",0.42,1
6,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",0.05,1
6,"14-17","male","2017-2018","2_metric_cups_or_more",0.25,1
7,"2-3","male","2017-2018","did_not_consume",1.04,1
7,"2-3","male","2017-2018","1_metric_cup_or_less",0.07,1
7,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
7,"4-8","male","2017-2018","did_not_consume",0.88,1
7,"4-8","male","2017-2018","1_metric_cup_or_less",0.18,1
7,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
7,"9-11","male","2017-2018","did_not_consume",0.62,1
7,"9-11","male","2017-2018","1_metric_cup_or_less",0.44,1
7,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"9-11","male","2017-2018","2_metric_cups_or_more",0.29,1
7,"12-13","male","2017-2018","did_not_consume",0.38,1
7,"12-13","male","2017-2018","1_metric_cup_or_less",0.25,1
7,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"12-13","male","2017-2018","2_metric_cups_or_more",0,0
7,"14-17","male","2017-2018","did_not_consume",0.34,1
7,"14-17","male","2017-2018","1_metric_cup_or_less",0.27,1
7,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",0.07,1
7,"14-17","male","2017-2018","2_metric_cups_or_more",0.24,1
8,"2-3","male","2017-2018","did_not_consume",0.82,1
8,"2-3","male","2017-2018","1_metric_cup_or_less",0.14,1
8,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
8,"4-8","male","2017-2018","did_not_consume",0.83,1
8,"4-8","male","2017-2018","1_metric_cup_or_less",0.27,1
8,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
8,"9-11","male","2017-2018","did_not_consume",0.65,1
8,"9-11","male","2017-2018","1_metric_cup_or_less",0.6,1
8,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"9-11","male","2017-2018","2_metric_cups_or_more",0,0
8,"12-13","male","2017-2018","did_not_consume",0.34,1
8,"12-13","male","2017-2018","1_metric_cup_or_less",0.6,1
8,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"12-13","male","2017-2018","2_metric_cups_or_more",0,0
8,"14-17","male","2017-2018","did_not_consume",0.3,1
8,"14-17","male","2017-2018","1_metric_cup_or_less",0.42,1
8,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",0.06,1
8,"14-17","male","2017-2018","2_metric_cups_or_more",0.18,1
1,"2-3","female","2017-2018","did_not_consume",0.85,1
1,"2-3","female","2017-2018","1_metric_cup_or_less",0.09,1
1,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
1,"4-8","female","2017-2018","did_not_consume",0.74,0
1,"4-8","female","2017-2018","1_metric_cup_or_less",0.22,0
1,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
1,"9-11","female","2017-2018","did_not_consume",0.63,1
