"LGA_CODE21","calendar_year","sex","age_group","n_births"
"15650",2019,"all","0-0",245
"15700",2019,"all","0-0",217
"15750",2019,"all","0-0",189
"15800",2019,"all","0-0",82
"15850",2019,"all","0-0",85
"15900",2019,"all","0-0",1910
"15950",2019,"all","0-0",1011
"15990",2019,"all","0-0",2915
"16100",2019,"all","0-0",51
"16150",2019,"all","0-0",635
"16200",2019,"all","0-0",200
"16260",2019,"all","0-0",3585
"16350",2019,"all","0-0",3368
"16380",2019,"all","0-0",739
"16400",2019,"all","0-0",725
"16490",2019,"all","0-0",840
"16550",2019,"all","0-0",1712
"16610",2019,"all","0-0",258
"16700",2019,"all","0-0",1568
"16900",2019,"all","0-0",866
"16950",2019,"all","0-0",1096
"17000",2019,"all","0-0",341
"17040",2019,"all","0-0",220
"17080",2019,"all","0-0",180
"17100",2019,"all","0-0",550
"17150",2019,"all","0-0",2621
"17200",2019,"all","0-0",2228
"17310",2019,"all","0-0",816
"17350",2019,"all","0-0",72
"17400",2019,"all","0-0",56
"17420",2019,"all","0-0",1795
"17550",2019,"all","0-0",956
"17620",2019,"all","0-0",156
"17640",2019,"all","0-0",83
"17650",2019,"all","0-0",60
"17750",2019,"all","0-0",964
"17850",2019,"all","0-0",30
"17900",2019,"all","0-0",93
"17950",2019,"all","0-0",30
"18020",2019,"all","0-0",94
"18050",2019,"all","0-0",1038
"18100",2019,"all","0-0",25
"18200",2019,"all","0-0",76
"18250",2019,"all","0-0",826
"18350",2019,"all","0-0",484
"18400",2019,"all","0-0",712
"18450",2019,"all","0-0",2467
"18500",2019,"all","0-0",580
"18710",2019,"all","0-0",178
"19399",2019,"all","0-0",12
"10050",2020,"all","0-0",663
"10180",2020,"all","0-0",333
"10250",2020,"all","0-0",374
"10300",2020,"all","0-0",30
"10470",2020,"all","0-0",473
"10500",2020,"all","0-0",2193
"10550",2020,"all","0-0",305
"10600",2020,"all","0-0",101
"10650",2020,"all","0-0",86
"10750",2020,"all","0-0",6028
"10800",2020,"all","0-0",79
"10850",2020,"all","0-0",93
"10900",2020,"all","0-0",731
"10950",2020,"all","0-0",33
"11150",2020,"all","0-0",38
"11200",2020,"all","0-0",16
"11250",2020,"all","0-0",205
"11300",2020,"all","0-0",366
"11350",2020,"all","0-0",370
"11400",2020,"all","0-0",126
"11450",2020,"all","0-0",2030
"11500",2020,"all","0-0",2729
"11520",2020,"all","0-0",1035
"11570",2020,"all","0-0",5266
"11600",2020,"all","0-0",51
"11650",2020,"all","0-0",3779
"11700",2020,"all","0-0",28
"11720",2020,"all","0-0",869
"11730",2020,"all","0-0",538
"11750",2020,"all","0-0",60
"11800",2020,"all","0-0",763
"12000",2020,"all","0-0",40
"12150",2020,"all","0-0",61
"12160",2020,"all","0-0",119
"12350",2020,"all","0-0",140
"12380",2020,"all","0-0",3767
"12390",2020,"all","0-0",822
"12700",2020,"all","0-0",95
"12730",2020,"all","0-0",94
"12750",2020,"all","0-0",304
"12850",2020,"all","0-0",2224
"12870",2020,"all","0-0",101
"12900",2020,"all","0-0",106
"12930",2020,"all","0-0",1575
"12950",2020,"all","0-0",64
"13010",2020,"all","0-0",97
"13310",2020,"all","0-0",398
"13340",2020,"all","0-0",103
"13450",2020,"all","0-0",405
"13550",2020,"all","0-0",223
"13660",2020,"all","0-0",46
"13800",2020,"all","0-0",851
"13850",2020,"all","0-0",43
"13910",2020,"all","0-0",208
"14000",2020,"all","0-0",1315
"14100",2020,"all","0-0",105
"14170",2020,"all","0-0",2096
"14220",2020,"all","0-0",210
"14300",2020,"all","0-0",66
"14350",2020,"all","0-0",362
"14400",2020,"all","0-0",225
"14500",2020,"all","0-0",850
"14550",2020,"all","0-0",90
"14600",2020,"all","0-0",110
"14650",2020,"all","0-0",2274
"14700",2020,"all","0-0",534
"14750",2020,"all","0-0",160
"14850",2020,"all","0-0",414
"14870",2020,"all","0-0",216
"14900",2020,"all","0-0",3412
"14920",2020,"all","0-0",93
"14950",2020,"all","0-0",36
"15050",2020,"all","0-0",1177
"15240",2020,"all","0-0",837
"15270",2020,"all","0-0",322
"15300",2020,"all","0-0",194
"15350",2020,"all","0-0",307
"15520",2020,"all","0-0",107
"15560",2020,"all","0-0",38
"15650",2020,"all","0-0",197
"15700",2020,"all","0-0",219
"15750",2020,"all","0-0",183
"15800",2020,"all","0-0",77
"15850",2020,"all","0-0",83
"15900",2020,"all","0-0",1799
"15950",2020,"all","0-0",962
"15990",2020,"all","0-0",2843
"16100",2020,"all","0-0",40
"16150",2020,"all","0-0",596
"16200",2020,"all","0-0",184
"16260",2020,"all","0-0",3349
"16350",2020,"all","0-0",3220
"16380",2020,"all","0-0",770
"16400",2020,"all","0-0",687
"16490",2020,"all","0-0",837
"16550",2020,"all","0-0",1509
"16610",2020,"all","0-0",266
"16700",2020,"all","0-0",1494
"16900",2020,"all","0-0",855
"16950",2020,"all","0-0",1111
"17000",2020,"all","0-0",296
"17040",2020,"all","0-0",190
"17080",2020,"all","0-0",140
"17100",2020,"all","0-0",533
"17150",2020,"all","0-0",2466
"17200",2020,"all","0-0",2144
"17310",2020,"all","0-0",775
"17350",2020,"all","0-0",49
"17400",2020,"all","0-0",49
"17420",2020,"all","0-0",1687
"17550",2020,"all","0-0",928
"17620",2020,"all","0-0",155
"17640",2020,"all","0-0",94
"17650",2020,"all","0-0",58
"17750",2020,"all","0-0",958
"17850",2020,"all","0-0",31
"17900",2020,"all","0-0",92
"17950",2020,"all","0-0",34
"18020",2020,"all","0-0",110
"18050",2020,"all","0-0",960
"18100",2020,"all","0-0",27
"18200",2020,"all","0-0",86
"18250",2020,"all","0-0",751
"18350",2020,"all","0-0",456
"18400",2020,"all","0-0",686
"18450",2020,"all","0-0",2430
"18500",2020,"all","0-0",582
"18710",2020,"all","0-0",169
"19399",2020,"all","0-0",15
"10050",2021,"all","0-0",656
"10180",2021,"all","0-0",315
"10250",2021,"all","0-0",485
"10300",2021,"all","0-0",28
"10470",2021,"all","0-0",571
"10500",2021,"all","0-0",2536
"10550",2021,"all","0-0",290
"10600",2021,"all","0-0",114
"10650",2021,"all","0-0",67
"10750",2021,"all","0-0",6079
"10800",2021,"all","0-0",72
"10850",2021,"all","0-0",96
"10900",2021,"all","0-0",709
"10950",2021,"all","0-0",55
"11150",2021,"all","0-0",41
"11200",2021,"all","0-0",26
"11250",2021,"all","0-0",216
"11300",2021,"all","0-0",341
"11350",2021,"all","0-0",390
"11400",2021,"all","0-0",164
"11450",2021,"all","0-0",2440
"11500",2021,"all","0-0",2649
"11520",2021,"all","0-0",1169
"11570",2021,"all","0-0",5161
"11600",2021,"all","0-0",47
"11650",2021,"all","0-0",4086
"11700",2021,"all","0-0",20
"11720",2021,"all","0-0",887
"11730",2021,"all","0-0",536
"11750",2021,"all","0-0",65
"11800",2021,"all","0-0",854
"12000",2021,"all","0-0",56
"12150",2021,"all","0-0",56
"12160",2021,"all","0-0",132
"12350",2021,"all","0-0",151
"12380",2021,"all","0-0",3777
"12390",2021,"all","0-0",844
"12700",2021,"all","0-0",98
"12730",2021,"all","0-0",106
"12750",2021,"all","0-0",362
"12850",2021,"all","0-0",2126
"12870",2021,"all","0-0",120
"12900",2021,"all","0-0",127
"12930",2021,"all","0-0",1656
"12950",2021,"all","0-0",72
"13010",2021,"all","0-0",73
"13310",2021,"all","0-0",356
"13340",2021,"all","0-0",114
"13450",2021,"all","0-0",399
"13550",2021,"all","0-0",229
"13660",2021,"all","0-0",60
"13800",2021,"all","0-0",936
"13850",2021,"all","0-0",31
"13910",2021,"all","0-0",218
"14000",2021,"all","0-0",1337
"14100",2021,"all","0-0",120
"14170",2021,"all","0-0",2341
"14220",2021,"all","0-0",215
"14300",2021,"all","0-0",83
"14350",2021,"all","0-0",349
"14400",2021,"all","0-0",192
"14500",2021,"all","0-0",891
"14550",2021,"all","0-0",79
"14600",2021,"all","0-0",85
"14650",2021,"all","0-0",2467
"14700",2021,"all","0-0",574
"14750",2021,"all","0-0",150
"14850",2021,"all","0-0",467
"14870",2021,"all","0-0",219
"14900",2021,"all","0-0",3475
"14920",2021,"all","0-0",78
"14950",2021,"all","0-0",36
"15050",2021,"all","0-0",1314
"15240",2021,"all","0-0",822
"15270",2021,"all","0-0",317
"15300",2021,"all","0-0",181
"15350",2021,"all","0-0",277
"15520",2021,"all","0-0",136
"15560",2021,"all","0-0",32
"15650",2021,"all","0-0",218
"15700",2021,"all","0-0",179
"15750",2021,"all","0-0",194
"15800",2021,"all","0-0",80
"15850",2021,"all","0-0",102
"15900",2021,"all","0-0",1976
"15950",2021,"all","0-0",1023
"15990",2021,"all","0-0",3196
"16100",2021,"all","0-0",71
"16150",2021,"all","0-0",677
"16200",2021,"all","0-0",202
"16260",2021,"all","0-0",3481
"16350",2021,"all","0-0",3417
"16380",2021,"all","0-0",837
"16400",2021,"all","0-0",709
"16490",2021,"all","0-0",930
"16550",2021,"all","0-0",1741
"16610",2021,"all","0-0",294
"16700",2021,"all","0-0",1597
"16900",2021,"all","0-0",1026
"16950",2021,"all","0-0",1224
"17000",2021,"all","0-0",323
"17040",2021,"all","0-0",188
"17080",2021,"all","0-0",169
"17100",2021,"all","0-0",554
"17150",2021,"all","0-0",2822
"17200",2021,"all","0-0",2402
"17310",2021,"all","0-0",853
"17350",2021,"all","0-0",79
"17400",2021,"all","0-0",68
"17420",2021,"all","0-0",2014
"17550",2021,"all","0-0",950
"17620",2021,"all","0-0",165
"17640",2021,"all","0-0",82
"17650",2021,"all","0-0",59
"17750",2021,"all","0-0",1010
"17850",2021,"all","0-0",31
"17900",2021,"all","0-0",70
"17950",2021,"all","0-0",48
"18020",2021,"all","0-0",83
"18050",2021,"all","0-0",1052
"18100",2021,"all","0-0",32
"18200",2021,"all","0-0",94
"18250",2021,"all","0-0",755
"18350",2021,"all","0-0",524
"18400",2021,"all","0-0",784
"18450",2021,"all","0-0",2600
"18500",2021,"all","0-0",673
"18710",2021,"all","0-0",156
"19399",2021,"all","0-0",17
"20110",2013,"all","0-0",86
"20260",2013,"all","0-0",116
"20570",2013,"all","0-0",1357
"20660",2013,"all","0-0",1635
"20740",2013,"all","0-0",302
"20830",2013,"all","0-0",524
"20910",2013,"all","0-0",935
"21010",2013,"all","0-0",134
"21110",2013,"all","0-0",1511
"21180",2013,"all","0-0",2822
"21270",2013,"all","0-0",55
"21370",2013,"all","0-0",447
"21450",2013,"all","0-0",1351
"21610",2013,"all","0-0",4145
"21670",2013,"all","0-0",111
"21750",2013,"all","0-0",247
"21830",2013,"all","0-0",169
"21890",2013,"all","0-0",2025
"22110",2013,"all","0-0",442
"22170",2013,"all","0-0",1883
"22250",2013,"all","0-0",98
"22310",2013,"all","0-0",1714
"22410",2013,"all","0-0",215
"22490",2013,"all","0-0",254
"22620",2013,"all","0-0",1339
"22670",2013,"all","0-0",2263
"22750",2013,"all","0-0",2830
"22830",2013,"all","0-0",932
"22910",2013,"all","0-0",146
"22980",2013,"all","0-0",60
"23110",2013,"all","0-0",1269
"23190",2013,"all","0-0",255
"23270",2013,"all","0-0",2917
"23350",2013,"all","0-0",128
"23430",2013,"all","0-0",1941
"23670",2013,"all","0-0",1797
"23810",2013,"all","0-0",950
"23940",2013,"all","0-0",65
"24130",2013,"all","0-0",446
"24210",2013,"all","0-0",1031
"24250",2013,"all","0-0",79
"24330",2013,"all","0-0",1370
"24410",2013,"all","0-0",1485
"24600",2013,"all","0-0",999
"24650",2013,"all","0-0",2080
"24780",2013,"all","0-0",687
"24850",2013,"all","0-0",489
"24900",2013,"all","0-0",351
"24970",2013,"all","0-0",1830
"25060",2013,"all","0-0",1393
"25150",2013,"all","0-0",358
"25250",2013,"all","0-0",2282
"25340",2013,"all","0-0",1515
"25430",2013,"all","0-0",173
"25490",2013,"all","0-0",215
"25620",2013,"all","0-0",134
"25710",2013,"all","0-0",586
"25810",2013,"all","0-0",104
"25900",2013,"all","0-0",1307
"25990",2013,"all","0-0",60
"26080",2013,"all","0-0",13
"26170",2013,"all","0-0",311
"26260",2013,"all","0-0",181
"26350",2013,"all","0-0",1049
"26430",2013,"all","0-0",86
"26490",2013,"all","0-0",322
"26610",2013,"all","0-0",318
"26670",2013,"all","0-0",44
"26700",2013,"all","0-0",282
"26730",2013,"all","0-0",363
"26810",2013,"all","0-0",461
"26890",2013,"all","0-0",43
"26980",2013,"all","0-0",1752
"27070",2013,"all","0-0",2993
"27170",2013,"all","0-0",505
"27260",2013,"all","0-0",3895
"27350",2013,"all","0-0",1056
"27450",2013,"all","0-0",1791
"27630",2013,"all","0-0",60
"29399",2013,"all","0-0",0
"20110",2014,"all","0-0",87
"20260",2014,"all","0-0",113
"20570",2014,"all","0-0",1258
"20660",2014,"all","0-0",1594
"20740",2014,"all","0-0",362
"20830",2014,"all","0-0",552
"20910",2014,"all","0-0",979
"21010",2014,"all","0-0",140
"21110",2014,"all","0-0",1455
"21180",2014,"all","0-0",2806
"21270",2014,"all","0-0",52
"21370",2014,"all","0-0",428
"21450",2014,"all","0-0",1376
"21610",2014,"all","0-0",4364
"21670",2014,"all","0-0",117
"21750",2014,"all","0-0",213
"21830",2014,"all","0-0",155
"21890",2014,"all","0-0",2055
"22110",2014,"all","0-0",441
"22170",2014,"all","0-0",1799
"22250",2014,"all","0-0",109
"22310",2014,"all","0-0",1697
"22410",2014,"all","0-0",187
"22490",2014,"all","0-0",255
"22620",2014,"all","0-0",1413
"22670",2014,"all","0-0",2338
"22750",2014,"all","0-0",2714
"22830",2014,"all","0-0",872
"22910",2014,"all","0-0",131
"22980",2014,"all","0-0",41
"23110",2014,"all","0-0",1253
"23190",2014,"all","0-0",243
"23270",2014,"all","0-0",3078
"23350",2014,"all","0-0",125
"23430",2014,"all","0-0",1793
"23670",2014,"all","0-0",1760
"23810",2014,"all","0-0",946
"23940",2014,"all","0-0",70
"24130",2014,"all","0-0",502
"24210",2014,"all","0-0",996
"24250",2014,"all","0-0",90
"24330",2014,"all","0-0",1346
"24410",2014,"all","0-0",1429
"24600",2014,"all","0-0",1107
"24650",2014,"all","0-0",2104
"24780",2014,"all","0-0",696
"24850",2014,"all","0-0",519
"24900",2014,"all","0-0",329
"24970",2014,"all","0-0",1907
"25060",2014,"all","0-0",1314
"25150",2014,"all","0-0",390
"25250",2014,"all","0-0",2360
"25340",2014,"all","0-0",1495
"25430",2014,"all","0-0",145
"25490",2014,"all","0-0",155
"25620",2014,"all","0-0",135
"25710",2014,"all","0-0",563
"25810",2014,"all","0-0",114
"25900",2014,"all","0-0",1276
"25990",2014,"all","0-0",69
"26080",2014,"all","0-0",16
"26170",2014,"all","0-0",309
"26260",2014,"all","0-0",159
"26350",2014,"all","0-0",1047
"26430",2014,"all","0-0",78
"26490",2014,"all","0-0",299
"26610",2014,"all","0-0",254
"26670",2014,"all","0-0",54
"26700",2014,"all","0-0",267
"26730",2014,"all","0-0",398
"26810",2014,"all","0-0",438
"26890",2014,"all","0-0",39
"26980",2014,"all","0-0",1891
"27070",2014,"all","0-0",3158
"27170",2014,"all","0-0",558
"27260",2014,"all","0-0",3986
"27350",2014,"all","0-0",1080
"27450",2014,"all","0-0",1728
"27630",2014,"all","0-0",50
"29399",2014,"all","0-0",3
"20110",2015,"all","0-0",99
"20260",2015,"all","0-0",108
"20570",2015,"all","0-0",1288
"20660",2015,"all","0-0",1532
"20740",2015,"all","0-0",285
"20830",2015,"all","0-0",544
"20910",2015,"all","0-0",907
"21010",2015,"all","0-0",120
"21110",2015,"all","0-0",1522
"21180",2015,"all","0-0",2818
"21270",2015,"all","0-0",60
"21370",2015,"all","0-0",408
"21450",2015,"all","0-0",1420
"21610",2015,"all","0-0",4403
"21670",2015,"all","0-0",115
"21750",2015,"all","0-0",235
"21830",2015,"all","0-0",171
"21890",2015,"all","0-0",1935
"22110",2015,"all","0-0",414
"22170",2015,"all","0-0",1810
"22250",2015,"all","0-0",104
"22310",2015,"all","0-0",1706
"22410",2015,"all","0-0",203
"22490",2015,"all","0-0",241
"22620",2015,"all","0-0",1238
"22670",2015,"all","0-0",2298
"22750",2015,"all","0-0",2798
"22830",2015,"all","0-0",809
"22910",2015,"all","0-0",132
"22980",2015,"all","0-0",45
"23110",2015,"all","0-0",1264
"23190",2015,"all","0-0",248
"23270",2015,"all","0-0",2997
"23350",2015,"all","0-0",137
"23430",2015,"all","0-0",1835
"23670",2015,"all","0-0",1717
"23810",2015,"all","0-0",868
"23940",2015,"all","0-0",69
"24130",2015,"all","0-0",454
"24210",2015,"all","0-0",1066
"24250",2015,"all","0-0",79
"24330",2015,"all","0-0",1290
"24410",2015,"all","0-0",1512
"24600",2015,"all","0-0",1200
"24650",2015,"all","0-0",2143
"24780",2015,"all","0-0",664
"24850",2015,"all","0-0",488
"24900",2015,"all","0-0",305
"24970",2015,"all","0-0",1845
"25060",2015,"all","0-0",1310
"25150",2015,"all","0-0",343
"25250",2015,"all","0-0",2357
"25340",2015,"all","0-0",1481
"25430",2015,"all","0-0",146
"25490",2015,"all","0-0",186
"25620",2015,"all","0-0",94
"25710",2015,"all","0-0",537
"25810",2015,"all","0-0",113
"25900",2015,"all","0-0",1278
"25990",2015,"all","0-0",58
"26080",2015,"all","0-0",6
"26170",2015,"all","0-0",286
"26260",2015,"all","0-0",168
"26350",2015,"all","0-0",1017
"26430",2015,"all","0-0",91
"26490",2015,"all","0-0",326
"26610",2015,"all","0-0",293
"26670",2015,"all","0-0",53
"26700",2015,"all","0-0",300
"26730",2015,"all","0-0",359
"26810",2015,"all","0-0",474
"26890",2015,"all","0-0",42
"26980",2015,"all","0-0",1735
"27070",2015,"all","0-0",3073
"27170",2015,"all","0-0",560
"27260",2015,"all","0-0",4070
"27350",2015,"all","0-0",1058
"27450",2015,"all","0-0",1743
"27630",2015,"all","0-0",59
"29399",2015,"all","0-0",3
"20110",2016,"all","0-0",97
"20260",2016,"all","0-0",112
"20570",2016,"all","0-0",1367
"20660",2016,"all","0-0",1757
"20740",2016,"all","0-0",341
"20830",2016,"all","0-0",653
"20910",2016,"all","0-0",962
"21010",2016,"all","0-0",123
"21110",2016,"all","0-0",1635
"21180",2016,"all","0-0",3065
"21270",2016,"all","0-0",49
"21370",2016,"all","0-0",430
"21450",2016,"all","0-0",1639
"21610",2016,"all","0-0",5215
"21670",2016,"all","0-0",111
"21750",2016,"all","0-0",256
"21830",2016,"all","0-0",170
"21890",2016,"all","0-0",2142
"22110",2016,"all","0-0",494
"22170",2016,"all","0-0",2045
"22250",2016,"all","0-0",112
"22310",2016,"all","0-0",1933
"22410",2016,"all","0-0",221
"22490",2016,"all","0-0",291
"22620",2016,"all","0-0",1464
"22670",2016,"all","0-0",2680
"22750",2016,"all","0-0",2996
"22830",2016,"all","0-0",971
"22910",2016,"all","0-0",144
"22980",2016,"all","0-0",49
"23110",2016,"all","0-0",1466
"23190",2016,"all","0-0",263
"23270",2016,"all","0-0",3457
"23350",2016,"all","0-0",131
"23430",2016,"all","0-0",2054
"23670",2016,"all","0-0",1986
"23810",2016,"all","0-0",964
"23940",2016,"all","0-0",59
"24130",2016,"all","0-0",568
"24210",2016,"all","0-0",1121
"24250",2016,"all","0-0",87
"24330",2016,"all","0-0",1426
"24410",2016,"all","0-0",1621
"24600",2016,"all","0-0",1333
"24650",2016,"all","0-0",2450
"24780",2016,"all","0-0",768
"24850",2016,"all","0-0",606
"24900",2016,"all","0-0",342
"24970",2016,"all","0-0",1974
"25060",2016,"all","0-0",1548
"25150",2016,"all","0-0",397
"25250",2016,"all","0-0",2623
"25340",2016,"all","0-0",1575
"25430",2016,"all","0-0",160
"25490",2016,"all","0-0",203
"25620",2016,"all","0-0",140
"25710",2016,"all","0-0",639
"25810",2016,"all","0-0",107
"25900",2016,"all","0-0",1482
"25990",2016,"all","0-0",58
"26080",2016,"all","0-0",16
"26170",2016,"all","0-0",310
"26260",2016,"all","0-0",197
"26350",2016,"all","0-0",1135
"26430",2016,"all","0-0",88
"26490",2016,"all","0-0",360
"26610",2016,"all","0-0",326
"26670",2016,"all","0-0",67
"26700",2016,"all","0-0",299
"26730",2016,"all","0-0",440
"26810",2016,"all","0-0",510
"26890",2016,"all","0-0",40
"26980",2016,"all","0-0",1845
"27070",2016,"all","0-0",3683
"27170",2016,"all","0-0",570
"27260",2016,"all","0-0",4693
"27350",2016,"all","0-0",1175
"27450",2016,"all","0-0",1938
"27630",2016,"all","0-0",63
"29399",2016,"all","0-0",5
"20110",2017,"all","0-0",118
"20260",2017,"all","0-0",124
"20570",2017,"all","0-0",1409
"20660",2017,"all","0-0",1628
"20740",2017,"all","0-0",367
"20830",2017,"all","0-0",625
"20910",2017,"all","0-0",956
"21010",2017,"all","0-0",136
"21110",2017,"all","0-0",1520
"21180",2017,"all","0-0",2964
"21270",2017,"all","0-0",51
"21370",2017,"all","0-0",397
"21450",2017,"all","0-0",1703
"21610",2017,"all","0-0",5422
"21670",2017,"all","0-0",129
"21750",2017,"all","0-0",243
"21830",2017,"all","0-0",153
"21890",2017,"all","0-0",2124
"22110",2017,"all","0-0",442
"22170",2017,"all","0-0",2074
"22250",2017,"all","0-0",101
"22310",2017,"all","0-0",1876
"22410",2017,"all","0-0",180
"22490",2017,"all","0-0",263
"22620",2017,"all","0-0",1490
"22670",2017,"all","0-0",2552
"22750",2017,"all","0-0",3037
"22830",2017,"all","0-0",899
"22910",2017,"all","0-0",124
"22980",2017,"all","0-0",60
"23110",2017,"all","0-0",1333
"23190",2017,"all","0-0",240
"23270",2017,"all","0-0",3629
"23350",2017,"all","0-0",135
"23430",2017,"all","0-0",1909
"23670",2017,"all","0-0",1919
"23810",2017,"all","0-0",976
"23940",2017,"all","0-0",55
"24130",2017,"all","0-0",525
"24210",2017,"all","0-0",1130
"24250",2017,"all","0-0",74
"24330",2017,"all","0-0",1438
"24410",2017,"all","0-0",1510
"24600",2017,"all","0-0",1253
"24650",2017,"all","0-0",2468
"24780",2017,"all","0-0",793
"24850",2017,"all","0-0",581
"24900",2017,"all","0-0",350
"24970",2017,"all","0-0",1938
"25060",2017,"all","0-0",1506
"25150",2017,"all","0-0",413
"25250",2017,"all","0-0",2718
"25340",2017,"all","0-0",1675
"25430",2017,"all","0-0",142
"25490",2017,"all","0-0",172
"25620",2017,"all","0-0",123
"25710",2017,"all","0-0",644
"25810",2017,"all","0-0",104
"25900",2017,"all","0-0",1338
"25990",2017,"all","0-0",56
"26080",2017,"all","0-0",17
"26170",2017,"all","0-0",282
"26260",2017,"all","0-0",193
"26350",2017,"all","0-0",1187
"26430",2017,"all","0-0",93
"26490",2017,"all","0-0",344
"26610",2017,"all","0-0",324
"26670",2017,"all","0-0",60
"26700",2017,"all","0-0",333
"26730",2017,"all","0-0",346
"26810",2017,"all","0-0",511
"26890",2017,"all","0-0",46
"26980",2017,"all","0-0",1858
"27070",2017,"all","0-0",3652
"27170",2017,"all","0-0",574
"27260",2017,"all","0-0",4824
"27350",2017,"all","0-0",1163
"27450",2017,"all","0-0",1905
"27630",2017,"all","0-0",64
"29399",2017,"all","0-0",4
"20110",2018,"all","0-0",93
"20260",2018,"all","0-0",101
"20570",2018,"all","0-0",1264
"20660",2018,"all","0-0",1572
"20740",2018,"all","0-0",353
"20830",2018,"all","0-0",623
"20910",2018,"all","0-0",892
"21010",2018,"all","0-0",164
"21110",2018,"all","0-0",1392
"21180",2018,"all","0-0",2812
"21270",2018,"all","0-0",51
"21370",2018,"all","0-0",395
"21450",2018,"all","0-0",1701
"21610",2018,"all","0-0",5253
"21670",2018,"all","0-0",115
"21750",2018,"all","0-0",261
"21830",2018,"all","0-0",151
"21890",2018,"all","0-0",1965
"22110",2018,"all","0-0",491
"22170",2018,"all","0-0",1857
"22250",2018,"all","0-0",111
"22310",2018,"all","0-0",1664
"22410",2018,"all","0-0",175
"22490",2018,"all","0-0",248
"22620",2018,"all","0-0",1415
"22670",2018,"all","0-0",2404
"22750",2018,"all","0-0",2960
"22830",2018,"all","0-0",939
"22910",2018,"all","0-0",132
"22980",2018,"all","0-0",63
"23110",2018,"all","0-0",1282
"23190",2018,"all","0-0",256
"23270",2018,"all","0-0",3622
"23350",2018,"all","0-0",137
"23430",2018,"all","0-0",1789
"23670",2018,"all","0-0",1710
"23810",2018,"all","0-0",874
"23940",2018,"all","0-0",73
"24130",2018,"all","0-0",519
"24210",2018,"all","0-0",1019
"24250",2018,"all","0-0",80
"24330",2018,"all","0-0",1298
"24410",2018,"all","0-0",1499
"24600",2018,"all","0-0",1303
"24650",2018,"all","0-0",2472
"24780",2018,"all","0-0",730
"24850",2018,"all","0-0",586
"24900",2018,"all","0-0",322
"24970",2018,"all","0-0",1694
"25060",2018,"all","0-0",1389
"25150",2018,"all","0-0",424
"25250",2018,"all","0-0",2526
"25340",2018,"all","0-0",1501
"25430",2018,"all","0-0",136
"25490",2018,"all","0-0",192
"25620",2018,"all","0-0",124
"25710",2018,"all","0-0",612
"25810",2018,"all","0-0",116
"25900",2018,"all","0-0",1314
"25990",2018,"all","0-0",57
"26080",2018,"all","0-0",18
"26170",2018,"all","0-0",289
"26260",2018,"all","0-0",177
"26350",2018,"all","0-0",1035
"26430",2018,"all","0-0",95
"26490",2018,"all","0-0",391
"26610",2018,"all","0-0",307
"26670",2018,"all","0-0",42
"26700",2018,"all","0-0",292
"26730",2018,"all","0-0",399
"26810",2018,"all","0-0",475
"26890",2018,"all","0-0",53
"26980",2018,"all","0-0",1647
"27070",2018,"all","0-0",3429
"27170",2018,"all","0-0",578
"27260",2018,"all","0-0",4883
"27350",2018,"all","0-0",1128
"27450",2018,"all","0-0",1911
"27630",2018,"all","0-0",63
"29399",2018,"all","0-0",3
"20110",2019,"all","0-0",95
"20260",2019,"all","0-0",125
"20570",2019,"all","0-0",1297
"20660",2019,"all","0-0",1513
"20740",2019,"all","0-0",297
"20830",2019,"all","0-0",653
"20910",2019,"all","0-0",846
"21010",2019,"all","0-0",125
"21110",2019,"all","0-0",1413
"21180",2019,"all","0-0",2584
"21270",2019,"all","0-0",58
"21370",2019,"all","0-0",391
"21450",2019,"all","0-0",1767
"21610",2019,"all","0-0",5324
"21670",2019,"all","0-0",107
"21750",2019,"all","0-0",206
"21830",2019,"all","0-0",141
"21890",2019,"all","0-0",1932
"22110",2019,"all","0-0",411
"22170",2019,"all","0-0",1790
"22250",2019,"all","0-0",95
"22310",2019,"all","0-0",1666
"22410",2019,"all","0-0",209
"22490",2019,"all","0-0",258
"22620",2019,"all","0-0",1398
"22670",2019,"all","0-0",2326
"22750",2019,"all","0-0",2922
"22830",2019,"all","0-0",816
"22910",2019,"all","0-0",131
"22980",2019,"all","0-0",47
"23110",2019,"all","0-0",1294
"23190",2019,"all","0-0",242
"23270",2019,"all","0-0",3667
"23350",2019,"all","0-0",167
"23430",2019,"all","0-0",1905
"23670",2019,"all","0-0",1743
"23810",2019,"all","0-0",813
"23940",2019,"all","0-0",57
"24130",2019,"all","0-0",511
"24210",2019,"all","0-0",1064
"24250",2019,"all","0-0",56
"24330",2019,"all","0-0",1346
"24410",2019,"all","0-0",1413
"24600",2019,"all","0-0",1208
"24650",2019,"all","0-0",2609
"24780",2019,"all","0-0",677
"24850",2019,"all","0-0",599
"24900",2019,"all","0-0",299
"24970",2019,"all","0-0",1659
"25060",2019,"all","0-0",1403
"25150",2019,"all","0-0",390
"25250",2019,"all","0-0",2504
"25340",2019,"all","0-0",1421
"25430",2019,"all","0-0",149
"25490",2019,"all","0-0",174
"25620",2019,"all","0-0",121
"25710",2019,"all","0-0",543
"25810",2019,"all","0-0",101
"25900",2019,"all","0-0",1222
"25990",2019,"all","0-0",59
"26080",2019,"all","0-0",16
"26170",2019,"all","0-0",267
"26260",2019,"all","0-0",164
"26350",2019,"all","0-0",1033
"26430",2019,"all","0-0",92
"26490",2019,"all","0-0",372
"26610",2019,"all","0-0",273
