"SA3_CODE16","age_group","sex","calendar_year","n_children_attending_preschool"
"10101","3-6","male","2016",879
"10101","3-6","female","2016",808
"10101","3-6",NA,"2016",0
"10102","3-6","male","2016",732
"10102","3-6","female","2016",574
"10102","3-6",NA,"2016",0
"10103","3-6","male","2016",250
"10103","3-6","female","2016",177
"10103","3-6",NA,"2016",0
"10104","3-6","male","2016",681
"10104","3-6","female","2016",606
"10104","3-6",NA,"2016",0
"10201","3-6","male","2016",2022
"10201","3-6","female","2016",1844
"10201","3-6",NA,"2016",0
"10202","3-6","male","2016",2126
"10202","3-6","female","2016",1878
"10202","3-6",NA,"2016",0
"10301","3-6","male","2016",513
"10301","3-6","female","2016",454
"10301","3-6",NA,"2016",0
"10302","3-6","male","2016",675
"10302","3-6","female","2016",645
"10302","3-6",NA,"2016",0
"10303","3-6","male","2016",518
"10303","3-6","female","2016",476
"10303","3-6",NA,"2016",0
"10304","3-6","male","2016",793
"10304","3-6","female","2016",684
"10304","3-6",NA,"2016",0
"10401","3-6","male","2016",489
"10401","3-6","female","2016",404
"10401","3-6",NA,"2016",0
"10402","3-6","male","2016",1034
"10402","3-6","female","2016",932
"10402","3-6",NA,"2016",0
"10501","3-6","male","2016",365
"10501","3-6","female","2016",396
"10501","3-6",NA,"2016",0
"10502","3-6","male","2016",250
"10502","3-6","female","2016",211
"10502","3-6",NA,"2016",0
"10503","3-6","male","2016",977
"10503","3-6","female","2016",904
"10503","3-6",NA,"2016",0
"10601","3-6","male","2016",1079
"10601","3-6","female","2016",1000
"10601","3-6",NA,"2016",0
"10602","3-6","male","2016",1148
"10602","3-6","female","2016",970
"10602","3-6",NA,"2016",0
"10603","3-6","male","2016",789
"10603","3-6","female","2016",737
"10603","3-6",NA,"2016",0
"10604","3-6","male","2016",403
"10604","3-6","female","2016",354
"10604","3-6",NA,"2016",0
"10701","3-6","male","2016",963
"10701","3-6","female","2016",840
"10701","3-6",NA,"2016",0
"10702","3-6","male","2016",0
"10702","3-6","female","2016",0
"10702","3-6",NA,"2016",0
"10703","3-6","male","2016",1180
"10703","3-6","female","2016",1001
"10703","3-6",NA,"2016",0
"10704","3-6","male","2016",1443
"10704","3-6","female","2016",1296
"10704","3-6",NA,"2016",0
"10801","3-6","male","2016",298
"10801","3-6","female","2016",289
"10801","3-6",NA,"2016",0
"10802","3-6","male","2016",548
"10802","3-6","female","2016",483
"10802","3-6",NA,"2016",0
"10803","3-6","male","2016",0
"10803","3-6","female","2016",0
"10803","3-6",NA,"2016",0
"10804","3-6","male","2016",847
"10804","3-6","female","2016",806
"10804","3-6",NA,"2016",0
"10805","3-6","male","2016",647
"10805","3-6","female","2016",577
"10805","3-6",NA,"2016",0
"10901","3-6","male","2016",796
"10901","3-6","female","2016",731
"10901","3-6",NA,"2016",0
"10902","3-6","male","2016",149
"10902","3-6","female","2016",128
"10902","3-6",NA,"2016",0
"10903","3-6","male","2016",515
"10903","3-6","female","2016",452
"10903","3-6",NA,"2016",0
"11001","3-6","male","2016",428
"11001","3-6","female","2016",348
"11001","3-6",NA,"2016",0
"11002","3-6","male","2016",433
"11002","3-6","female","2016",353
"11002","3-6",NA,"2016",0
"11003","3-6","male","2016",371
"11003","3-6","female","2016",364
"11003","3-6",NA,"2016",0
"11004","3-6","male","2016",1000
"11004","3-6","female","2016",950
"11004","3-6",NA,"2016",0
"11101","3-6","male","2016",1553
"11101","3-6","female","2016",1408
"11101","3-6",NA,"2016",0
"11102","3-6","male","2016",876
"11102","3-6","female","2016",818
"11102","3-6",NA,"2016",0
"11103","3-6","male","2016",2069
"11103","3-6","female","2016",1737
"11103","3-6",NA,"2016",0
"11201","3-6","male","2016",917
"11201","3-6","female","2016",830
"11201","3-6",NA,"2016",0
"11202","3-6","male","2016",843
"11202","3-6","female","2016",799
"11202","3-6",NA,"2016",0
"11203","3-6","male","2016",970
"11203","3-6","female","2016",825
"11203","3-6",NA,"2016",0
"11301","3-6","male","2016",620
"11301","3-6","female","2016",571
"11301","3-6",NA,"2016",0
"11302","3-6","male","2016",168
"11302","3-6","female","2016",156
"11302","3-6",NA,"2016",0
"11303","3-6","male","2016",1247
"11303","3-6","female","2016",1071
"11303","3-6",NA,"2016",0
"11401","3-6","male","2016",1108
"11401","3-6","female","2016",1034
"11401","3-6",NA,"2016",0
"11402","3-6","male","2016",514
"11402","3-6","female","2016",422
"11402","3-6",NA,"2016",0
"11501","3-6","male","2016",1750
"11501","3-6","female","2016",1615
"11501","3-6",NA,"2016",0
"11502","3-6","male","2016",299
"11502","3-6","female","2016",234
"11502","3-6",NA,"2016",0
"11503","3-6","male","2016",325
"11503","3-6","female","2016",254
"11503","3-6",NA,"2016",0
"11504","3-6","male","2016",506
"11504","3-6","female","2016",463
"11504","3-6",NA,"2016",0
"11601","3-6","male","2016",1689
"11601","3-6","female","2016",1475
"11601","3-6",NA,"2016",0
"11602","3-6","male","2016",1502
"11602","3-6","female","2016",1331
"11602","3-6",NA,"2016",0
"11603","3-6","male","2016",1336
"11603","3-6","female","2016",1200
"11603","3-6",NA,"2016",0
"11701","3-6","male","2016",501
"11701","3-6","female","2016",451
"11701","3-6",NA,"2016",0
"11702","3-6","male","2016",571
"11702","3-6","female","2016",489
"11702","3-6",NA,"2016",0
"11703","3-6","male","2016",1027
"11703","3-6","female","2016",961
"11703","3-6",NA,"2016",0
"11801","3-6","male","2016",1344
"11801","3-6","female","2016",1066
"11801","3-6",NA,"2016",0
"11802","3-6","male","2016",1348
"11802","3-6","female","2016",1264
"11802","3-6",NA,"2016",0
"11901","3-6","male","2016",1996
"11901","3-6","female","2016",1805
"11901","3-6",NA,"2016",0
"11902","3-6","male","2016",1459
"11902","3-6","female","2016",1262
"11902","3-6",NA,"2016",0
"11903","3-6","male","2016",1367
"11903","3-6","female","2016",1225
"11903","3-6",NA,"2016",0
"11904","3-6","male","2016",1338
"11904","3-6","female","2016",1289
"11904","3-6",NA,"2016",0
"12001","3-6","male","2016",944
"12001","3-6","female","2016",882
"12001","3-6",NA,"2016",0
"12002","3-6","male","2016",745
"12002","3-6","female","2016",715
"12002","3-6",NA,"2016",0
"12003","3-6","male","2016",1328
"12003","3-6","female","2016",1246
"12003","3-6",NA,"2016",0
"12101","3-6","male","2016",1446
"12101","3-6","female","2016",1272
"12101","3-6",NA,"2016",0
"12102","3-6","male","2016",1170
"12102","3-6","female","2016",1020
"12102","3-6",NA,"2016",0
"12103","3-6","male","2016",1406
"12103","3-6","female","2016",1228
"12103","3-6",NA,"2016",0
"12104","3-6","male","2016",835
"12104","3-6","female","2016",827
"12104","3-6",NA,"2016",0
"12201","3-6","male","2016",510
"12201","3-6","female","2016",461
"12201","3-6",NA,"2016",0
"12202","3-6","male","2016",830
"12202","3-6","female","2016",719
"12202","3-6",NA,"2016",0
"12203","3-6","male","2016",2083
"12203","3-6","female","2016",1758
"12203","3-6",NA,"2016",0
"12301","3-6","male","2016",929
"12301","3-6","female","2016",922
"12301","3-6",NA,"2016",0
"12302","3-6","male","2016",1991
"12302","3-6","female","2016",1782
"12302","3-6",NA,"2016",0
"12303","3-6","male","2016",609
"12303","3-6","female","2016",571
"12303","3-6",NA,"2016",0
"12401","3-6","male","2016",864
"12401","3-6","female","2016",811
"12401","3-6",NA,"2016",0
"12402","3-6","male","2016",0
"12402","3-6","female","2016",0
"12402","3-6",NA,"2016",0
"12403","3-6","male","2016",2103
"12403","3-6","female","2016",1789
"12403","3-6",NA,"2016",0
"12404","3-6","male","2016",438
"12404","3-6","female","2016",434
"12404","3-6",NA,"2016",0
"12405","3-6","male","2016",697
"12405","3-6","female","2016",598
"12405","3-6",NA,"2016",0
"12501","3-6","male","2016",782
"12501","3-6","female","2016",668
"12501","3-6",NA,"2016",0
"12502","3-6","male","2016",804
"12502","3-6","female","2016",749
"12502","3-6",NA,"2016",0
"12503","3-6","male","2016",1775
"12503","3-6","female","2016",1573
"12503","3-6",NA,"2016",0
"12504","3-6","male","2016",1818
"12504","3-6","female","2016",1588
"12504","3-6",NA,"2016",0
"12601","3-6","male","2016",549
"12601","3-6","female","2016",544
"12601","3-6",NA,"2016",0
"12602","3-6","male","2016",1507
"12602","3-6","female","2016",1425
"12602","3-6",NA,"2016",0
"12701","3-6","male","2016",1357
"12701","3-6","female","2016",1124
"12701","3-6",NA,"2016",0
"12702","3-6","male","2016",1746
"12702","3-6","female","2016",1534
"12702","3-6",NA,"2016",0
"12703","3-6","male","2016",1448
"12703","3-6","female","2016",1203
"12703","3-6",NA,"2016",0
"12801","3-6","male","2016",1427
"12801","3-6","female","2016",1204
"12801","3-6",NA,"2016",0
"12802","3-6","male","2016",1554
"12802","3-6","female","2016",1369
"12802","3-6",NA,"2016",0
"19797","3-6","male","2016",0
"19797","3-6","female","2016",0
"19797","3-6",NA,"2016",0
"19999","3-6","male","2016",0
"19999","3-6","female","2016",0
"19999","3-6",NA,"2016",0
"20101","3-6","male","2016",1195
"20101","3-6","female","2016",1070
"20101","3-6",NA,"2016",0
"20102","3-6","male","2016",216
"20102","3-6","female","2016",197
"20102","3-6",NA,"2016",0
"20103","3-6","male","2016",211
"20103","3-6","female","2016",220
"20103","3-6",NA,"2016",0
"20201","3-6","male","2016",1147
"20201","3-6","female","2016",1093
"20201","3-6",NA,"2016",0
"20202","3-6","male","2016",495
"20202","3-6","female","2016",421
"20202","3-6",NA,"2016",0
"20203","3-6","male","2016",87
"20203","3-6","female","2016",61
"20203","3-6",NA,"2016",0
"20301","3-6","male","2016",225
"20301","3-6","female","2016",205
"20301","3-6",NA,"2016",0
"20302","3-6","male","2016",2276
"20302","3-6","female","2016",1992
"20302","3-6",NA,"2016",0
"20303","3-6","male","2016",927
"20303","3-6","female","2016",777
"20303","3-6",NA,"2016",0
"20401","3-6","male","2016",566
"20401","3-6","female","2016",492
"20401","3-6",NA,"2016",0
"20402","3-6","male","2016",462
"20402","3-6","female","2016",451
"20402","3-6",NA,"2016",0
"20403","3-6","male","2016",863
"20403","3-6","female","2016",782
"20403","3-6",NA,"2016",0
"20501","3-6","male","2016",535
"20501","3-6","female","2016",482
"20501","3-6",NA,"2016",0
"20502","3-6","male","2016",358
"20502","3-6","female","2016",377
"20502","3-6",NA,"2016",0
"20503","3-6","male","2016",628
"20503","3-6","female","2016",537
"20503","3-6",NA,"2016",0
"20504","3-6","male","2016",859
"20504","3-6","female","2016",812
"20504","3-6",NA,"2016",0
"20505","3-6","male","2016",469
"20505","3-6","female","2016",386
"20505","3-6",NA,"2016",0
"20601","3-6","male","2016",910
"20601","3-6","female","2016",828
"20601","3-6",NA,"2016",0
"20602","3-6","male","2016",603
"20602","3-6","female","2016",575
"20602","3-6",NA,"2016",0
"20603","3-6","male","2016",700
"20603","3-6","female","2016",669
"20603","3-6",NA,"2016",0
"20604","3-6","male","2016",665
"20604","3-6","female","2016",503
"20604","3-6",NA,"2016",0
"20605","3-6","male","2016",881
"20605","3-6","female","2016",801
"20605","3-6",NA,"2016",0
"20606","3-6","male","2016",365
"20606","3-6","female","2016",337
"20606","3-6",NA,"2016",0
"20607","3-6","male","2016",702
"20607","3-6","female","2016",697
"20607","3-6",NA,"2016",0
"20701","3-6","male","2016",1541
"20701","3-6","female","2016",1383
"20701","3-6",NA,"2016",0
"20702","3-6","male","2016",859
"20702","3-6","female","2016",760
"20702","3-6",NA,"2016",0
"20703","3-6","male","2016",1006
"20703","3-6","female","2016",898
"20703","3-6",NA,"2016",0
"20801","3-6","male","2016",991
"20801","3-6","female","2016",881
"20801","3-6",NA,"2016",0
"20802","3-6","male","2016",1947
"20802","3-6","female","2016",1835
"20802","3-6",NA,"2016",0
"20803","3-6","male","2016",1386
"20803","3-6","female","2016",1257
"20803","3-6",NA,"2016",0
"20804","3-6","male","2016",429
"20804","3-6","female","2016",356
"20804","3-6",NA,"2016",0
"20901","3-6","male","2016",1478
"20901","3-6","female","2016",1395
"20901","3-6",NA,"2016",0
"20902","3-6","male","2016",977
"20902","3-6","female","2016",909
"20902","3-6",NA,"2016",0
"20903","3-6","male","2016",725
"20903","3-6","female","2016",689
"20903","3-6",NA,"2016",0
"20904","3-6","male","2016",2878
"20904","3-6","female","2016",2563
"20904","3-6",NA,"2016",0
"21001","3-6","male","2016",623
"21001","3-6","female","2016",571
"21001","3-6",NA,"2016",0
"21002","3-6","male","2016",389
"21002","3-6","female","2016",336
"21002","3-6",NA,"2016",0
"21003","3-6","male","2016",899
"21003","3-6","female","2016",751
"21003","3-6",NA,"2016",0
"21004","3-6","male","2016",524
"21004","3-6","female","2016",472
"21004","3-6",NA,"2016",0
"21005","3-6","male","2016",1973
"21005","3-6","female","2016",1766
"21005","3-6",NA,"2016",0
"21101","3-6","male","2016",1662
"21101","3-6","female","2016",1520
"21101","3-6",NA,"2016",0
"21102","3-6","male","2016",247
"21102","3-6","female","2016",217
"21102","3-6",NA,"2016",0
"21103","3-6","male","2016",1301
"21103","3-6","female","2016",1184
"21103","3-6",NA,"2016",0
"21104","3-6","male","2016",689
"21104","3-6","female","2016",635
"21104","3-6",NA,"2016",0
"21105","3-6","male","2016",1659
"21105","3-6","female","2016",1454
"21105","3-6",NA,"2016",0
"21201","3-6","male","2016",1466
"21201","3-6","female","2016",1330
"21201","3-6",NA,"2016",0
"21202","3-6","male","2016",1446
"21202","3-6","female","2016",1310
"21202","3-6",NA,"2016",0
"21203","3-6","male","2016",2631
"21203","3-6","female","2016",2333
"21203","3-6",NA,"2016",0
"21204","3-6","male","2016",1687
"21204","3-6","female","2016",1574
"21204","3-6",NA,"2016",0
"21205","3-6","male","2016",1613
"21205","3-6","female","2016",1539
"21205","3-6",NA,"2016",0
"21301","3-6","male","2016",2016
"21301","3-6","female","2016",1727
"21301","3-6",NA,"2016",0
"21302","3-6","male","2016",1015
"21302","3-6","female","2016",944
"21302","3-6",NA,"2016",0
"21303","3-6","male","2016",984
"21303","3-6","female","2016",836
"21303","3-6",NA,"2016",0
"21304","3-6","male","2016",2273
"21304","3-6","female","2016",2068
"21304","3-6",NA,"2016",0
"21305","3-6","male","2016",3532
"21305","3-6","female","2016",3210
"21305","3-6",NA,"2016",0
"21401","3-6","male","2016",1698
"21401","3-6","female","2016",1491
"21401","3-6",NA,"2016",0
"21402","3-6","male","2016",1607
"21402","3-6","female","2016",1480
"21402","3-6",NA,"2016",0
"21501","3-6","male","2016",465
"21501","3-6","female","2016",434
"21501","3-6",NA,"2016",0
"21502","3-6","male","2016",610
"21502","3-6","female","2016",530
"21502","3-6",NA,"2016",0
"21503","3-6","male","2016",340
"21503","3-6","female","2016",320
"21503","3-6",NA,"2016",0
"21601","3-6","male","2016",362
"21601","3-6","female","2016",338
"21601","3-6",NA,"2016",0
"21602","3-6","male","2016",348
"21602","3-6","female","2016",283
"21602","3-6",NA,"2016",0
"21603","3-6","male","2016",720
"21603","3-6","female","2016",656
"21603","3-6",NA,"2016",0
"21701","3-6","male","2016",310
"21701","3-6","female","2016",266
"21701","3-6",NA,"2016",0
"21702","3-6","male","2016",1009
"21702","3-6","female","2016",761
"21702","3-6",NA,"2016",0
"29797","3-6","male","2016",0
"29797","3-6","female","2016",0
"29797","3-6",NA,"2016",0
"29999","3-6","male","2016",0
"29999","3-6","female","2016",3
"29999","3-6",NA,"2016",0
"30101","3-6","male","2016",922
"30101","3-6","female","2016",818
"30101","3-6",NA,"2016",0
"30102","3-6","male","2016",978
"30102","3-6","female","2016",907
"30102","3-6",NA,"2016",0
"30103","3-6","male","2016",1017
"30103","3-6","female","2016",851
"30103","3-6",NA,"2016",0
"30201","3-6","male","2016",520
"30201","3-6","female","2016",518
"30201","3-6",NA,"2016",0
"30202","3-6","male","2016",866
"30202","3-6","female","2016",759
"30202","3-6",NA,"2016",0
"30203","3-6","male","2016",444
"30203","3-6","female","2016",372
"30203","3-6",NA,"2016",0
"30204","3-6","male","2016",807
"30204","3-6","female","2016",711
"30204","3-6",NA,"2016",0
"30301","3-6","male","2016",612
"30301","3-6","female","2016",528
"30301","3-6",NA,"2016",0
"30302","3-6","male","2016",662
"30302","3-6","female","2016",696
"30302","3-6",NA,"2016",0
"30303","3-6","male","2016",834
"30303","3-6","female","2016",781
"30303","3-6",NA,"2016",0
"30304","3-6","male","2016",513
"30304","3-6","female","2016",416
"30304","3-6",NA,"2016",0
"30305","3-6","male","2016",887
"30305","3-6","female","2016",752
"30305","3-6",NA,"2016",0
"30306","3-6","male","2016",616
"30306","3-6","female","2016",569
"30306","3-6",NA,"2016",0
"30401","3-6","male","2016",478
"30401","3-6","female","2016",358
"30401","3-6",NA,"2016",0
"30402","3-6","male","2016",583
"30402","3-6","female","2016",473
"30402","3-6",NA,"2016",0
"30403","3-6","male","2016",474
"30403","3-6","female","2016",445
"30403","3-6",NA,"2016",0
"30404","3-6","male","2016",718
"30404","3-6","female","2016",607
"30404","3-6",NA,"2016",0
"30501","3-6","male","2016",331
"30501","3-6","female","2016",337
"30501","3-6",NA,"2016",0
"30502","3-6","male","2016",499
"30502","3-6","female","2016",477
"30502","3-6",NA,"2016",0
"30503","3-6","male","2016",814
"30503","3-6","female","2016",743
"30503","3-6",NA,"2016",0
"30504","3-6","male","2016",613
"30504","3-6","female","2016",534
"30504","3-6",NA,"2016",0
"30601","3-6","male","2016",692
"30601","3-6","female","2016",624
"30601","3-6",NA,"2016",0
"30602","3-6","male","2016",1329
"30602","3-6","female","2016",1195
"30602","3-6",NA,"2016",0
"30603","3-6","male","2016",284
"30603","3-6","female","2016",265
"30603","3-6",NA,"2016",0
"30604","3-6","male","2016",94
"30604","3-6","female","2016",95
"30604","3-6",NA,"2016",0
"30605","3-6","male","2016",399
"30605","3-6","female","2016",361
"30605","3-6",NA,"2016",0
"30701","3-6","male","2016",514
"30701","3-6","female","2016",460
"30701","3-6",NA,"2016",0
"30702","3-6","male","2016",477
"30702","3-6","female","2016",422
"30702","3-6",NA,"2016",0
"30703","3-6","male","2016",405
"30703","3-6","female","2016",363
"30703","3-6",NA,"2016",0
"30801","3-6","male","2016",327
"30801","3-6","female","2016",310
"30801","3-6",NA,"2016",0
"30802","3-6","male","2016",856
"30802","3-6","female","2016",846
"30802","3-6",NA,"2016",0
"30803","3-6","male","2016",1257
"30803","3-6","female","2016",1194
"30803","3-6",NA,"2016",0
"30901","3-6","male","2016",668
"30901","3-6","female","2016",676
"30901","3-6",NA,"2016",0
"30902","3-6","male","2016",618
"30902","3-6","female","2016",536
"30902","3-6",NA,"2016",0
"30903","3-6","male","2016",740
"30903","3-6","female","2016",621
"30903","3-6",NA,"2016",0
"30904","3-6","male","2016",174
"30904","3-6","female","2016",136
"30904","3-6",NA,"2016",0
"30905","3-6","male","2016",491
"30905","3-6","female","2016",477
"30905","3-6",NA,"2016",0
"30906","3-6","male","2016",996
"30906","3-6","female","2016",944
"30906","3-6",NA,"2016",0
"30907","3-6","male","2016",2177
"30907","3-6","female","2016",1969
"30907","3-6",NA,"2016",0
"30908","3-6","male","2016",646
"30908","3-6","female","2016",623
"30908","3-6",NA,"2016",0
"30909","3-6","male","2016",676
"30909","3-6","female","2016",584
"30909","3-6",NA,"2016",0
"30910","3-6","male","2016",313
"30910","3-6","female","2016",289
"30910","3-6",NA,"2016",0
"31001","3-6","male","2016",817
"31001","3-6","female","2016",748
"31001","3-6",NA,"2016",0
"31002","3-6","male","2016",655
"31002","3-6","female","2016",590
"31002","3-6",NA,"2016",0
"31003","3-6","male","2016",1453
"31003","3-6","female","2016",1312
"31003","3-6",NA,"2016",0
"31004","3-6","male","2016",1342
"31004","3-6","female","2016",1242
"31004","3-6",NA,"2016",0
"31101","3-6","male","2016",126
"31101","3-6","female","2016",113
"31101","3-6",NA,"2016",0
