"SA2_CODE16","age_group","sex","calendar_year","n_children_attending_preschool"
"103021064","3-6","male","2016",36
"103021064","3-6","female","2016",41
"103021064","3-6",NA,"2016",0
"103021065","3-6","male","2016",142
"103021065","3-6","female","2016",157
"103021065","3-6",NA,"2016",0
"103021066","3-6","male","2016",56
"103021066","3-6","female","2016",39
"103021066","3-6",NA,"2016",0
"103021067","3-6","male","2016",160
"103021067","3-6","female","2016",120
"103021067","3-6",NA,"2016",0
"103021068","3-6","male","2016",32
"103021068","3-6","female","2016",38
"103021068","3-6",NA,"2016",0
"103021069","3-6","male","2016",61
"103021069","3-6","female","2016",71
"103021069","3-6",NA,"2016",0
"103031070","3-6","male","2016",117
"103031070","3-6","female","2016",113
"103031070","3-6",NA,"2016",0
"103031071","3-6","male","2016",78
"103031071","3-6","female","2016",73
"103031071","3-6",NA,"2016",0
"103031072","3-6","male","2016",172
"103031072","3-6","female","2016",158
"103031072","3-6",NA,"2016",0
"103031073","3-6","male","2016",28
"103031073","3-6","female","2016",25
"103031073","3-6",NA,"2016",0
"103031074","3-6","male","2016",123
"103031074","3-6","female","2016",107
"103031074","3-6",NA,"2016",0
"103031075","3-6","male","2016",0
"103031075","3-6","female","2016",0
"103031075","3-6",NA,"2016",0
"103041076","3-6","male","2016",95
"103041076","3-6","female","2016",78
"103041076","3-6",NA,"2016",0
"103041077","3-6","male","2016",232
"103041077","3-6","female","2016",194
"103041077","3-6",NA,"2016",0
"103041078","3-6","male","2016",306
"103041078","3-6","female","2016",274
"103041078","3-6",NA,"2016",0
"103041079","3-6","male","2016",160
"103041079","3-6","female","2016",138
"103041079","3-6",NA,"2016",0
"104011080","3-6","male","2016",205
"104011080","3-6","female","2016",166
"104011080","3-6",NA,"2016",0
"104011081","3-6","male","2016",128
"104011081","3-6","female","2016",116
"104011081","3-6",NA,"2016",0
"104011082","3-6","male","2016",156
"104011082","3-6","female","2016",122
"104011082","3-6",NA,"2016",0
"104021083","3-6","male","2016",80
"104021083","3-6","female","2016",75
"104021083","3-6",NA,"2016",0
"104021084","3-6","male","2016",217
"104021084","3-6","female","2016",222
"104021084","3-6",NA,"2016",0
"104021085","3-6","male","2016",101
"104021085","3-6","female","2016",98
"104021085","3-6",NA,"2016",0
"104021086","3-6","male","2016",52
"104021086","3-6","female","2016",40
"104021086","3-6",NA,"2016",0
"104021087","3-6","male","2016",28
"104021087","3-6","female","2016",20
"104021087","3-6",NA,"2016",0
"104021088","3-6","male","2016",102
"104021088","3-6","female","2016",108
"104021088","3-6",NA,"2016",0
"104021089","3-6","male","2016",271
"104021089","3-6","female","2016",219
"104021089","3-6",NA,"2016",0
"104021090","3-6","male","2016",37
"104021090","3-6","female","2016",40
"104021090","3-6",NA,"2016",0
"104021091","3-6","male","2016",146
"104021091","3-6","female","2016",110
"104021091","3-6",NA,"2016",0
"105011092","3-6","male","2016",65
"105011092","3-6","female","2016",71
"105011092","3-6",NA,"2016",0
"105011093","3-6","male","2016",45
"105011093","3-6","female","2016",69
"105011093","3-6",NA,"2016",0
"105011094","3-6","male","2016",66
"105011094","3-6","female","2016",60
"105011094","3-6",NA,"2016",0
"105011095","3-6","male","2016",82
"105011095","3-6","female","2016",92
"105011095","3-6",NA,"2016",0
"105011096","3-6","male","2016",107
"105011096","3-6","female","2016",104
"105011096","3-6",NA,"2016",0
"105021097","3-6","male","2016",213
"105021097","3-6","female","2016",189
"105021097","3-6",NA,"2016",0
"105021098","3-6","male","2016",37
"105021098","3-6","female","2016",22
"105021098","3-6",NA,"2016",0
"105031099","3-6","male","2016",89
"105031099","3-6","female","2016",85
"105031099","3-6",NA,"2016",0
"105031100","3-6","male","2016",150
"105031100","3-6","female","2016",152
"105031100","3-6",NA,"2016",0
"105031101","3-6","male","2016",252
"105031101","3-6","female","2016",221
"105031101","3-6",NA,"2016",0
"105031102","3-6","male","2016",151
"105031102","3-6","female","2016",134
"105031102","3-6",NA,"2016",0
"105031103","3-6","male","2016",65
"105031103","3-6","female","2016",67
"105031103","3-6",NA,"2016",0
"105031104","3-6","male","2016",76
"105031104","3-6","female","2016",72
"105031104","3-6",NA,"2016",0
"105031105","3-6","male","2016",96
"105031105","3-6","female","2016",77
"105031105","3-6",NA,"2016",0
"105031106","3-6","male","2016",98
"105031106","3-6","female","2016",96
"105031106","3-6",NA,"2016",0
"106011107","3-6","male","2016",156
"106011107","3-6","female","2016",152
"106011107","3-6",NA,"2016",0
"106011108","3-6","male","2016",236
"106011108","3-6","female","2016",206
"106011108","3-6",NA,"2016",0
"106011109","3-6","male","2016",79
"106011109","3-6","female","2016",62
"106011109","3-6",NA,"2016",0
"106011110","3-6","male","2016",125
"106011110","3-6","female","2016",108
"106011110","3-6",NA,"2016",0
"106011111","3-6","male","2016",207
"106011111","3-6","female","2016",198
"106011111","3-6",NA,"2016",0
"106011112","3-6","male","2016",211
"106011112","3-6","female","2016",206
"106011112","3-6",NA,"2016",0
"106011113","3-6","male","2016",65
"106011113","3-6","female","2016",68
"106011113","3-6",NA,"2016",0
"106021114","3-6","male","2016",126
"106021114","3-6","female","2016",94
"106021114","3-6",NA,"2016",0
"106021115","3-6","male","2016",373
"106021115","3-6","female","2016",311
"106021115","3-6",NA,"2016",0
"106021116","3-6","male","2016",107
"106021116","3-6","female","2016",100
"106021116","3-6",NA,"2016",0
"106021117","3-6","male","2016",386
"106021117","3-6","female","2016",326
"106021117","3-6",NA,"2016",0
"106021118","3-6","male","2016",156
"106021118","3-6","female","2016",139
"106021118","3-6",NA,"2016",0
"106031119","3-6","male","2016",55
"106031119","3-6","female","2016",55
"106031119","3-6",NA,"2016",0
"106031120","3-6","male","2016",67
"106031120","3-6","female","2016",72
"106031120","3-6",NA,"2016",0
"106031121","3-6","male","2016",189
"106031121","3-6","female","2016",166
"106031121","3-6",NA,"2016",0
"106031122","3-6","male","2016",196
"106031122","3-6","female","2016",195
"106031122","3-6",NA,"2016",0
"106031123","3-6","male","2016",47
"106031123","3-6","female","2016",48
"106031123","3-6",NA,"2016",0
"106031124","3-6","male","2016",43
"106031124","3-6","female","2016",28
"106031124","3-6",NA,"2016",0
"106031125","3-6","male","2016",192
"106031125","3-6","female","2016",173
"106031125","3-6",NA,"2016",0
"106041126","3-6","male","2016",157
"106041126","3-6","female","2016",147
"106041126","3-6",NA,"2016",0
"106041127","3-6","male","2016",52
"106041127","3-6","female","2016",42
"106041127","3-6",NA,"2016",0
"106041128","3-6","male","2016",82
"106041128","3-6","female","2016",85
"106041128","3-6",NA,"2016",0
"106041129","3-6","male","2016",112
"106041129","3-6","female","2016",80
"106041129","3-6",NA,"2016",0
"107011130","3-6","male","2016",337
"107011130","3-6","female","2016",303
"107011130","3-6",NA,"2016",0
"107011131","3-6","male","2016",301
"107011131","3-6","female","2016",287
"107011131","3-6",NA,"2016",0
"107011132","3-6","male","2016",149
"107011132","3-6","female","2016",112
"107011132","3-6",NA,"2016",0
"107011133","3-6","male","2016",0
"107011133","3-6","female","2016",0
"107011133","3-6",NA,"2016",0
"107011134","3-6","male","2016",176
"107011134","3-6","female","2016",138
"107011134","3-6",NA,"2016",0
"107021135","3-6","male","2016",0
"107021135","3-6","female","2016",0
"107021135","3-6",NA,"2016",0
"107031136","3-6","male","2016",224
"107031136","3-6","female","2016",216
