"SA4_CODE16","age_group","sex","calendar_year","n_children_attending_preschool"
"101","3-6","male","2016",2542
"101","3-6","female","2016",2165
"101","3-6",NA,"2016",0
"102","3-6","male","2016",4148
"102","3-6","female","2016",3722
"102","3-6",NA,"2016",0
"103","3-6","male","2016",2499
"103","3-6","female","2016",2259
"103","3-6",NA,"2016",0
"104","3-6","male","2016",1523
"104","3-6","female","2016",1336
"104","3-6",NA,"2016",0
"105","3-6","male","2016",1592
"105","3-6","female","2016",1511
"105","3-6",NA,"2016",0
"106","3-6","male","2016",3419
"106","3-6","female","2016",3061
"106","3-6",NA,"2016",0
"107","3-6","male","2016",3586
"107","3-6","female","2016",3137
"107","3-6",NA,"2016",0
"108","3-6","male","2016",2340
"108","3-6","female","2016",2155
"108","3-6",NA,"2016",0
"109","3-6","male","2016",1460
"109","3-6","female","2016",1311
"109","3-6",NA,"2016",0
"110","3-6","male","2016",2232
"110","3-6","female","2016",2015
"110","3-6",NA,"2016",0
"111","3-6","male","2016",4498
"111","3-6","female","2016",3963
"111","3-6",NA,"2016",0
"112","3-6","male","2016",2730
"112","3-6","female","2016",2454
"112","3-6",NA,"2016",0
"113","3-6","male","2016",2035
"113","3-6","female","2016",1798
"113","3-6",NA,"2016",0
"114","3-6","male","2016",1622
"114","3-6","female","2016",1456
"114","3-6",NA,"2016",0
"115","3-6","male","2016",2880
"115","3-6","female","2016",2566
"115","3-6",NA,"2016",0
"116","3-6","male","2016",4527
"116","3-6","female","2016",4006
"116","3-6",NA,"2016",0
"117","3-6","male","2016",2099
"117","3-6","female","2016",1901
"117","3-6",NA,"2016",0
"118","3-6","male","2016",2692
"118","3-6","female","2016",2330
"118","3-6",NA,"2016",0
"119","3-6","male","2016",6160
"119","3-6","female","2016",5581
"119","3-6",NA,"2016",0
"120","3-6","male","2016",3017
"120","3-6","female","2016",2843
"120","3-6",NA,"2016",0
"121","3-6","male","2016",4857
"121","3-6","female","2016",4347
"121","3-6",NA,"2016",0
"122","3-6","male","2016",3423
"122","3-6","female","2016",2938
"122","3-6",NA,"2016",0
"123","3-6","male","2016",3529
"123","3-6","female","2016",3275
"123","3-6",NA,"2016",0
"124","3-6","male","2016",4102
"124","3-6","female","2016",3632
"124","3-6",NA,"2016",0
"125","3-6","male","2016",5179
"125","3-6","female","2016",4578
"125","3-6",NA,"2016",0
"126","3-6","male","2016",2056
"126","3-6","female","2016",1969
"126","3-6",NA,"2016",0
"127","3-6","male","2016",4551
"127","3-6","female","2016",3861
"127","3-6",NA,"2016",0
"128","3-6","male","2016",2981
"128","3-6","female","2016",2573
"128","3-6",NA,"2016",0
"197","3-6","male","2016",0
"197","3-6","female","2016",0
"197","3-6",NA,"2016",0
"199","3-6","male","2016",0
"199","3-6","female","2016",0
"199","3-6",NA,"2016",0
"201","3-6","male","2016",1622
"201","3-6","female","2016",1487
"201","3-6",NA,"2016",0
"202","3-6","male","2016",1729
"202","3-6","female","2016",1575
"202","3-6",NA,"2016",0
"203","3-6","male","2016",3428
"203","3-6","female","2016",2974
"203","3-6",NA,"2016",0
"204","3-6","male","2016",1891
"204","3-6","female","2016",1725
"204","3-6",NA,"2016",0
"205","3-6","male","2016",2849
"205","3-6","female","2016",2594
"205","3-6",NA,"2016",0
"206","3-6","male","2016",4826
"206","3-6","female","2016",4410
"206","3-6",NA,"2016",0
"207","3-6","male","2016",3406
"207","3-6","female","2016",3041
"207","3-6",NA,"2016",0
"208","3-6","male","2016",4753
"208","3-6","female","2016",4329
"208","3-6",NA,"2016",0
"209","3-6","male","2016",6058
"209","3-6","female","2016",5556
"209","3-6",NA,"2016",0
"210","3-6","male","2016",4408
"210","3-6","female","2016",3896
"210","3-6",NA,"2016",0
"211","3-6","male","2016",5558
"211","3-6","female","2016",5010
"211","3-6",NA,"2016",0
"212","3-6","male","2016",8843
"212","3-6","female","2016",8086
"212","3-6",NA,"2016",0
"213","3-6","male","2016",9820
