"SA3_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara","state_avg_naplan_score_acara"
10304,"all","8-9","Year 3",2012,"Writing",415.4,420.34
10304,"all","8-9","Year 3",2013,"Writing",407.9,417.62
10304,"all","8-9","Year 3",2014,"Writing",397.4,404.57
10304,"all","8-9","Year 3",2015,"Writing",413.7,418.6
10304,"all","8-9","Year 3",2016,"Writing",413.1,420.59
10304,"all","8-9","Year 3",2017,"Writing",409,416.26
10304,"all","8-9","Year 3",2018,"Writing",395.7,409.96
10304,"all","8-9","Year 3",2019,"Writing",423.1,425.14
10304,"all","8-9","Year 3",2021,"Writing",423.4,428.85
10401,"all","8-9","Year 3",2011,"Writing",417.5,425.12
10401,"all","8-9","Year 3",2012,"Writing",402.3,420.34
10401,"all","8-9","Year 3",2013,"Writing",408.2,417.62
10401,"all","8-9","Year 3",2014,"Writing",395.8,404.57
10401,"all","8-9","Year 3",2015,"Writing",399.1,418.6
10401,"all","8-9","Year 3",2016,"Writing",406.5,420.59
10401,"all","8-9","Year 3",2017,"Writing",401.2,416.26
10401,"all","8-9","Year 3",2018,"Writing",395.7,409.96
10401,"all","8-9","Year 3",2019,"Writing",410.4,425.14
10401,"all","8-9","Year 3",2021,"Writing",410.6,428.85
10402,"all","8-9","Year 3",2011,"Writing",409.1,425.12
10402,"all","8-9","Year 3",2012,"Writing",406.4,420.34
10402,"all","8-9","Year 3",2013,"Writing",403.4,417.62
10402,"all","8-9","Year 3",2014,"Writing",391.8,404.57
10402,"all","8-9","Year 3",2015,"Writing",400.5,418.6
10402,"all","8-9","Year 3",2016,"Writing",412.3,420.59
10402,"all","8-9","Year 3",2017,"Writing",401.4,416.26
10402,"all","8-9","Year 3",2018,"Writing",392.5,409.96
10402,"all","8-9","Year 3",2019,"Writing",417.7,425.14
10402,"all","8-9","Year 3",2021,"Writing",416.3,428.85
10501,"all","8-9","Year 3",2011,"Writing",385.6,425.12
10501,"all","8-9","Year 3",2012,"Writing",371.7,420.34
10501,"all","8-9","Year 3",2013,"Writing",371.4,417.62
10501,"all","8-9","Year 3",2014,"Writing",351.6,404.57
10501,"all","8-9","Year 3",2015,"Writing",383.1,418.6
10501,"all","8-9","Year 3",2016,"Writing",383.8,420.59
10501,"all","8-9","Year 3",2017,"Writing",385.4,416.26
10501,"all","8-9","Year 3",2018,"Writing",381.9,409.96
10501,"all","8-9","Year 3",2019,"Writing",389.3,425.14
10501,"all","8-9","Year 3",2021,"Writing",386,428.85
10502,"all","8-9","Year 3",2011,"Writing",360.4,425.12
10502,"all","8-9","Year 3",2012,"Writing",396.9,420.34
10502,"all","8-9","Year 3",2013,"Writing",378.1,417.62
10502,"all","8-9","Year 3",2014,"Writing",372.6,404.57
10502,"all","8-9","Year 3",2015,"Writing",374.5,418.6
10502,"all","8-9","Year 3",2016,"Writing",386.4,420.59
10502,"all","8-9","Year 3",2017,"Writing",387.3,416.26
10502,"all","8-9","Year 3",2018,"Writing",375.3,409.96
10502,"all","8-9","Year 3",2019,"Writing",397.1,425.14
10502,"all","8-9","Year 3",2021,"Writing",380.3,428.85
10503,"all","8-9","Year 3",2011,"Writing",401.7,425.12
10503,"all","8-9","Year 3",2012,"Writing",395.3,420.34
10503,"all","8-9","Year 3",2013,"Writing",384.5,417.62
10503,"all","8-9","Year 3",2014,"Writing",385.9,404.57
10503,"all","8-9","Year 3",2015,"Writing",400,418.6
10503,"all","8-9","Year 3",2016,"Writing",404.6,420.59
10503,"all","8-9","Year 3",2017,"Writing",405.9,416.26
10503,"all","8-9","Year 3",2018,"Writing",392.6,409.96
10503,"all","8-9","Year 3",2019,"Writing",410.2,425.14
10503,"all","8-9","Year 3",2021,"Writing",401.5,428.85
10601,"all","8-9","Year 3",2011,"Writing",400.6,425.12
10601,"all","8-9","Year 3",2012,"Writing",396.7,420.34
10601,"all","8-9","Year 3",2013,"Writing",392.4,417.62
10601,"all","8-9","Year 3",2014,"Writing",376.7,404.57
10601,"all","8-9","Year 3",2015,"Writing",391.9,418.6
10601,"all","8-9","Year 3",2016,"Writing",393.9,420.59
10601,"all","8-9","Year 3",2017,"Writing",386.9,416.26
10601,"all","8-9","Year 3",2018,"Writing",386.6,409.96
10601,"all","8-9","Year 3",2019,"Writing",409.9,425.14
10601,"all","8-9","Year 3",2021,"Writing",409.4,428.85
10602,"all","8-9","Year 3",2011,"Writing",412.8,425.12
10602,"all","8-9","Year 3",2012,"Writing",403.5,420.34
10602,"all","8-9","Year 3",2013,"Writing",391.3,417.62
10602,"all","8-9","Year 3",2014,"Writing",384,404.57
10602,"all","8-9","Year 3",2015,"Writing",391.1,418.6
10602,"all","8-9","Year 3",2016,"Writing",398.1,420.59
10602,"all","8-9","Year 3",2017,"Writing",399.3,416.26
10602,"all","8-9","Year 3",2018,"Writing",387.3,409.96
10602,"all","8-9","Year 3",2019,"Writing",412.6,425.14
10602,"all","8-9","Year 3",2021,"Writing",408.4,428.85
10603,"all","8-9","Year 3",2011,"Writing",406.3,425.12
10603,"all","8-9","Year 3",2012,"Writing",411.8,420.34
10603,"all","8-9","Year 3",2013,"Writing",406.3,417.62
10603,"all","8-9","Year 3",2014,"Writing",390.8,404.57
10603,"all","8-9","Year 3",2015,"Writing",398.4,418.6
10603,"all","8-9","Year 3",2016,"Writing",407.7,420.59
10603,"all","8-9","Year 3",2017,"Writing",397.4,416.26
10603,"all","8-9","Year 3",2018,"Writing",393.4,409.96
10603,"all","8-9","Year 3",2019,"Writing",410.1,425.14
10603,"all","8-9","Year 3",2021,"Writing",411.6,428.85
10604,"all","8-9","Year 3",2011,"Writing",412,425.12
10604,"all","8-9","Year 3",2012,"Writing",408.3,420.34
10604,"all","8-9","Year 3",2013,"Writing",394.4,417.62
10604,"all","8-9","Year 3",2014,"Writing",378.2,404.57
10604,"all","8-9","Year 3",2015,"Writing",394,418.6
10604,"all","8-9","Year 3",2016,"Writing",403.5,420.59
10604,"all","8-9","Year 3",2017,"Writing",397.6,416.26
10604,"all","8-9","Year 3",2018,"Writing",385.4,409.96
10604,"all","8-9","Year 3",2019,"Writing",406,425.14
10604,"all","8-9","Year 3",2021,"Writing",407.6,428.85
10701,"all","8-9","Year 3",2011,"Writing",422.3,425.12
10701,"all","8-9","Year 3",2012,"Writing",406.9,420.34
10701,"all","8-9","Year 3",2013,"Writing",404.6,417.62
10701,"all","8-9","Year 3",2014,"Writing",398.3,404.57
10701,"all","8-9","Year 3",2015,"Writing",415,418.6
10701,"all","8-9","Year 3",2016,"Writing",416.2,420.59
10701,"all","8-9","Year 3",2017,"Writing",415.1,416.26
10701,"all","8-9","Year 3",2018,"Writing",400,409.96
10701,"all","8-9","Year 3",2019,"Writing",420.6,425.14
10701,"all","8-9","Year 3",2021,"Writing",421.7,428.85
10703,"all","8-9","Year 3",2011,"Writing",425.8,425.12
10703,"all","8-9","Year 3",2012,"Writing",425.7,420.34
10703,"all","8-9","Year 3",2013,"Writing",420.2,417.62
10703,"all","8-9","Year 3",2014,"Writing",410.2,404.57
10703,"all","8-9","Year 3",2015,"Writing",422.1,418.6
10703,"all","8-9","Year 3",2016,"Writing",422.1,420.59
10703,"all","8-9","Year 3",2017,"Writing",419.2,416.26
10703,"all","8-9","Year 3",2018,"Writing",408.5,409.96
10703,"all","8-9","Year 3",2019,"Writing",425.4,425.14
10703,"all","8-9","Year 3",2021,"Writing",425.8,428.85
10704,"all","8-9","Year 3",2011,"Writing",432.5,425.12
10704,"all","8-9","Year 3",2012,"Writing",431.4,420.34
10704,"all","8-9","Year 3",2013,"Writing",429.6,417.62
10704,"all","8-9","Year 3",2014,"Writing",417.3,404.57
10704,"all","8-9","Year 3",2015,"Writing",438.4,418.6
10704,"all","8-9","Year 3",2016,"Writing",433,420.59
10704,"all","8-9","Year 3",2017,"Writing",426.6,416.26
10704,"all","8-9","Year 3",2018,"Writing",425.7,409.96
10704,"all","8-9","Year 3",2019,"Writing",438.4,425.14
10704,"all","8-9","Year 3",2021,"Writing",444,428.85
10801,"all","8-9","Year 3",2011,"Writing",409.5,425.12
10801,"all","8-9","Year 3",2012,"Writing",401,420.34
10801,"all","8-9","Year 3",2013,"Writing",384.2,417.62
10801,"all","8-9","Year 3",2014,"Writing",368.9,404.57
10801,"all","8-9","Year 3",2015,"Writing",397.1,418.6
10801,"all","8-9","Year 3",2016,"Writing",406.5,420.59
10801,"all","8-9","Year 3",2017,"Writing",396.4,416.26
10801,"all","8-9","Year 3",2018,"Writing",396.2,409.96
10801,"all","8-9","Year 3",2019,"Writing",405.2,425.14
10801,"all","8-9","Year 3",2021,"Writing",419.6,428.85
10802,"all","8-9","Year 3",2011,"Writing",389.8,425.12
10802,"all","8-9","Year 3",2012,"Writing",388,420.34
10802,"all","8-9","Year 3",2013,"Writing",385.2,417.62
10802,"all","8-9","Year 3",2014,"Writing",365.4,404.57
10802,"all","8-9","Year 3",2015,"Writing",382.5,418.6
10802,"all","8-9","Year 3",2016,"Writing",388.3,420.59
10802,"all","8-9","Year 3",2017,"Writing",382,416.26
10802,"all","8-9","Year 3",2018,"Writing",373.7,409.96
10802,"all","8-9","Year 3",2019,"Writing",397.5,425.14
10802,"all","8-9","Year 3",2021,"Writing",397.1,428.85
10803,"all","8-9","Year 3",2016,"Writing",465.9,420.59
10803,"all","8-9","Year 3",2018,"Writing",453.3,409.96
10803,"all","8-9","Year 3",2021,"Writing",429.6,428.85
10804,"all","8-9","Year 3",2011,"Writing",422,425.12
10804,"all","8-9","Year 3",2012,"Writing",417.5,420.34
10804,"all","8-9","Year 3",2013,"Writing",417.2,417.62
10804,"all","8-9","Year 3",2014,"Writing",404,404.57
10804,"all","8-9","Year 3",2015,"Writing",411.5,418.6
10804,"all","8-9","Year 3",2016,"Writing",415.4,420.59
10804,"all","8-9","Year 3",2017,"Writing",414.3,416.26
10804,"all","8-9","Year 3",2018,"Writing",399.1,409.96
10804,"all","8-9","Year 3",2019,"Writing",416.6,425.14
10804,"all","8-9","Year 3",2021,"Writing",421,428.85
10805,"all","8-9","Year 3",2011,"Writing",399.9,425.12
10805,"all","8-9","Year 3",2012,"Writing",389.9,420.34
