Australian Bureau of Statistics

"2011 Census - Counting Persons, Place of Usual Residence"
"LGA"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"LGA",
"South Gippsland (S)",27210,
"Southern Grampians (S)",16361,
"Stonnington (C)",93143,
"Strathbogie (S)",9485,
"Surf Coast (S)",25868,
"Swan Hill (RC)",20449,
"Towong (S)",5889,
"Wangaratta (RC)",26814,
"Warrnambool (C)",32026,
"Wellington (S)",41441,
"West Wimmera (S)",4251,
"Whitehorse (C)",151334,
"Whittlesea (C)",154880,
"Wodonga (RC)",35519,
"Wyndham (C)",161577,
"Yarra (C)",74091,
"Yarra Ranges (S)",144541,
"Yarriambiack (S)",7090,
"Unincorporated Vic",802,
"No Usual Address (Vic.)",8307,
"Aurukun (S)",1295,
"Balonne (S)",4719,
"Banana (S)",14455,
"Barcaldine (R)",3215,
"Barcoo (S)",352,
"Blackall Tambo (R)",2199,
"Boulia (S)",481,
"Brisbane (C)",1041842,
"Bulloo (S)",405,
"Bundaberg (R)",89813,
"Burdekin (S)",17362,
"Burke (S)",513,
"Cairns (R)",156170,
"Carpentaria (S)",2054,
"Cassowary Coast (R)",27667,
"Central Highlands (R)",28715,
"Charters Towers (R)",12169,
"Cherbourg (S)",1223,
"Cloncurry (S)",3228,
"Cook (S)",4153,
"Croydon (S)",314,
"Diamantina (S)",283,
"Doomadgee (S)",1289,
"Etheridge (S)",895,
"Flinders (S)",1792,
"Fraser Coast (R)",95310,
"Gladstone (R)",57892,
"Gold Coast (C)",494503,
"Goondiwindi (R)",10628,
"Gympie (R)",45748,
"Hinchinbrook (S)",11568,
"Hope Vale (S)",983,
"Ipswich (C)",166903,
"Isaac (R)",22587,
"Kowanyama (S)",1030,
"Lockhart River (S)",482,
"Lockyer Valley (R)",34956,
"Logan (C)",278051,
"Longreach (R)",4188,
"Mackay (R)",112797,
"McKinlay (S)",1048,
"Mapoon (S)",264,
"Maranoa (R)",13074,
"Moreton Bay (R)",378047,
"Mornington (S)",1143,
"Mount Isa (C)",21238,
"Murweh (S)",4617,
"Napranum (S)",856,
"North Burnett (R)",10142,
"Northern Peninsula Area (R)",2299,
"Palm Island (S)",2339,
"Paroo (S)",1858,
"Pormpuraaw (S)",663,
"Quilpie (S)",974,
"Redland (C)",138667,
"Richmond (S)",827,
"Rockhampton (R)",109337,
"Scenic Rim (R)",36457,
"Somerset (R)",21641,
"South Burnett (R)",31029,
"Southern Downs (R)",33883,
"Sunshine Coast (R)",306909,
"Tablelands (R)",43728,
"Toowoomba (R)",151189,
"Torres (S)",3259,
"Torres Strait Island (R)",4250,
"Townsville (C)",174461,
"Weipa (T)",3332,
"Western Downs (R)",31591,
"Whitsunday (R)",31427,
"Winton (S)",1337,
"Woorabinda (S)",944,
"Wujal Wujal (S)",269,
"Yarrabah (S)",2408,
"Unincorporated Qld",473,
"No Usual Address (Qld)",12543,
"Adelaide (C)",19638,
"Adelaide Hills (DC)",38628,
"Alexandrina (DC)",23699,
"Anangu Pitjantjatjara (AC)",2439,
"Barossa (DC)",22167,
"Barunga West (DC)",2456,
"Berri and Barmera (DC)",10582,
"Burnside (C)",42192,
"Campbelltown (C) (SA)",48162,
"Ceduna (DC)",3480,
"Charles Sturt (C)",104984,
"Clare and Gilbert Valleys (DC)",8751,
"Cleve (DC)",1733,
"Coober Pedy (DC)",1694,
"Copper Coast (DC)",12947,
"Elliston (DC)",1048,
"Flinders Ranges (DC)",1701,
"Franklin Harbour (DC)",1272,
"Gawler (T)",20537,
"Goyder (DC)",4163,
"Grant (DC)",7856,
"Holdfast Bay (C)",34604,
"Kangaroo Island (DC)",4416,
"Karoonda East Murray (DC)",1033,
"Kimba (DC)",1089,
"Kingston (DC)",2280,
"Light (RegC)",13783,
"Lower Eyre Peninsula (DC)",4916,
"Loxton Waikerie (DC)",11288,
"Mallala (DC)",8346,
"Maralinga Tjarutja (AC)",73,
"Marion (C)",82991,
"Mid Murray (DC)",8136,
"Mitcham (C)",62899,
"Mount Barker (DC)",29766,
"Mount Gambier (C)",25249,
"Mount Remarkable (DC)",2874,
"Murray Bridge (RC)",19742,
"Naracoorte and Lucindale (DC)",8115,
"Northern Areas (DC)",4505,
"Norwood Payneham St Peters (C)",34887,
"Onkaparinga (C)",159575,
"Orroroo/Carrieton (DC)",873,
"Peterborough (DC)",1731,
"Playford (C)",79118,
"Port Adelaide Enfield (C)",112816,
"Port Augusta (C)",13986,
"Port Lincoln (C)",14086,
"Port Pirie City and Dists (M)",17332,
"Prospect (C)",19955,
"Renmark Paringa (DC)",9244,
"Robe (DC)",1398,
"Roxby Downs (M)",4702,
"Salisbury (C)",129108,
"Southern Mallee (DC)",2101,
"Streaky Bay (DC)",2102,
"Tatiara (DC)",6554,
"Tea Tree Gully (C)",95467,
"The Coorong (DC)",5523,
"Tumby Bay (DC)",2588,
"Unley (C)",36838,
"Victor Harbor (C)",13841,
"Wakefield (DC)",6660,
"Walkerville (M)",7001,
"Wattle Range (DC)",11624,
"West Torrens (C)",54962,
"Whyalla (C)",22089,
"Wudinna (DC)",1253,
"Yankalilla (DC)",4396,
"Yorke Peninsula (DC)",11025,
"Unincorporated SA",4438,
"No Usual Address (SA)",3069,
"Albany (C)",33651,
"Armadale (C)",62297,
"Ashburton (S)",10001,
"Augusta-Margaret River (S)",11761,
"Bassendean (T)",14405,
"Bayswater (C)",61264,
"Belmont (C)",35208,
"Beverley (S)",1567,
"Boddington (S)",2228,
"Boyup Brook (S)",1589,
"Bridgetown-Greenbushes (S)",4318,
