Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Statistical Local Area (SLA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Statistical Local Area (SLA)",
"Kowanyama (S)",1023,
"Kubin (IC)",200,
"Lockhart River (S)",550,
"Mabuiag (IC)",251,
"Mapoon (S)",242,
"Mareeba (S)",18211,
"Mer (IC)",480,
"Napranum (S)",838,
"New Mapoon (S)",346,
"Pormpuraaw (S)",597,
"Poruma (IC)",167,
"Saibai (IC)",338,
"St Pauls (IC)",239,
"Seisia (IC)",164,
"Torres (S)",3233,
"Ugar (IC)",76,
"Umagico (S)",230,
"Warraber (IC)",246,
"Weipa (T)",2832,
"Wujal Wujal (S)",326,
"Yarrabah (S)",2375,
"Yorke (IC)",301,
"Burke (S)",497,
"Carpentaria (S)",1937,
"Cloncurry (S)",3135,
"Doomadgee (S)",1083,
"Flinders (S)",1788,
"McKinlay (S)",893,
"Mornington (S)",1032,
"Mount Isa (C)",19660,
"Richmond (S)",900,
"Unincorp. Islands",5,
"QLD Off-Shore Areas & Migratory",99,
"QLD No Usual Address",12806,
"Gawler (T)",18911,
"Playford (C) - East Central",20136,
"Playford (C) - Elizabeth",24498,
"Playford (C) - Hills",3365,
"Playford (C) - West",9018,
"Playford (C) - West Central",12999,
"Port Adel. Enfield (C) - East",31061,
"Port Adel. Enfield (C) - Inner",19319,
"Salisbury (C) - Central",26857,
"Salisbury (C) - Inner North",24122,
"Salisbury (C) - North-East",21965,
"Salisbury (C) - South-East",34861,
"Salisbury (C) Bal",10617,
"Tea Tree Gully (C) - Central",25186,
"Tea Tree Gully (C) - Hills",11826,
"Tea Tree Gully (C) - North",26997,
"Tea Tree Gully (C) - South",31962,
"Charles Sturt (C) - Coastal",29959,
"Charles Sturt (C) - Inner East",21325,
"Charles Sturt (C) - Inner West",23632,
"Charles Sturt (C) - North-East",25624,
"Port Adel. Enfield (C) - Coast",27507,
"Port Adel. Enfield (C) - Park",14687,
"Port Adel. Enfield (C) - Port",10354,
"West Torrens (C) - East",23992,
"West Torrens (C) - West",28170,
"Unincorp. Western",0,
"Adelaide (C)",16658,
"Adelaide Hills (DC) - Central",12480,
"Adelaide Hills (DC) - Ranges",10066,
"Burnside (C) - North-East",21071,
"Burnside (C) - South-West",20886,
"Campbelltown (C) - East",26962,
"Campbelltown (C) - West",19200,
"Norw. P'ham St Ptrs (C) - East",15992,
"Norw. P'ham St Ptrs (C) - West",17737,
"Prospect (C)",19293,
"Unley (C) - East",19234,
"Unley (C) - West",16765,
"Walkerville (M)",6962,
"Holdfast Bay (C) - North",19171,
"Holdfast Bay (C) - South",14129,
"Marion (C) - Central",32524,
"Marion (C) - North",24945,
"Marion (C) - South",21230,
"Mitcham (C) - Hills",24034,
"Mitcham (C) - North-East",15384,
"Mitcham (C) - West",22432,
"Onkaparinga (C) - Hackham",13732,
"Onkaparinga (C) - Hills",11297,
"Onkaparinga (C) - Morphett",23046,
"Onkaparinga (C) - North Coast",17215,
"Onkaparinga (C) - Reservoir",24943,
"Onkaparinga (C) - South Coast",25125,
"Onkaparinga (C) - Woodcroft",34379,
"Barossa (DC) - Angaston",7881,
"Barossa (DC) - Barossa",7983,
"Barossa (DC) - Tanunda",4686,
"Light (RegC)",12362,
"Mallala (DC)",7904,
"Kangaroo Island (DC)",4258,
"Adelaide Hills (DC) - North",6646,
"Adelaide Hills (DC) Bal",8665,
"Mount Barker (DC) - Central",18159,
"Mount Barker (DC) Bal",8281,
"Alexandrina (DC) - Coastal",11507,
"Alexandrina (DC) - Strathalbyn",9204,
"Victor Harbor (C)",12013,
"Yankalilla (DC)",4151,
"Barunga West (DC)",2544,
"Copper Coast (DC)",11445,
"Yorke Peninsula (DC) - North",7332,
"Yorke Peninsula (DC) - South",3859,
"Unincorp. Yorke",0,
"Clare and Gilbert Valleys (DC)",8144,
"Goyder (DC)",4181,
"Wakefield (DC)",6369,
"Berri & Barmera (DC) - Barmera",4129,
"Berri & Barmera (DC) - Berri",6803,
"Loxton Waikerie (DC) - East",7125,
"Loxton Waikerie (DC) - West",4476,
"Mid Murray (DC)",8039,
"Renmark Paringa (DC) - Paringa",1793,
"Renmark Paringa (DC) - Renmark",7657,
"Unincorp. Riverland",134,
"Karoonda East Murray (DC)",1163,
"Murray Bridge (RC)",17678,
"Southern Mallee (DC)",2138,
"The Coorong (DC)",5666,
"Unincorp. Murray Mallee",9,
"Kingston (DC)",2327,
"Naracoorte and Lucindale (DC)",8082,
"Robe (DC)",1702,
"Tatiara (DC)",6865,
"Grant (DC)",7871,
"Mount Gambier (C)",23493,
"Wattle Range (DC) - East",3190,
"Wattle Range (DC) - West",8704,
"Cleve (DC)",1899,
"Elliston (DC)",1132,
"Franklin Harbour (DC)",1273,
"Kimba (DC)",1114,
"Le Hunte (DC)",1312,
"Lower Eyre Peninsula (DC)",4404,
"Port Lincoln (C)",13604,
"Tumby Bay (DC)",2538,
"Unincorp. Lincoln",10,
"Ceduna (DC)",3574,
"Streaky Bay (DC)",2021,
"Unincorp. West Coast",461,
"Whyalla (C)",21417,
"Unincorp. Whyalla",205,
"Northern Areas (DC)",4649,
"Orroroo/Carrieton (DC)",936,
"Peterborough (DC)",1904,
"Port Pirie C Dists (M) - City",13614,
"Port Pirie C Dists (M) Bal",3530,
"Unincorp. Pirie",258,
"Flinders Ranges (DC)",1727,
"Mount Remarkable (DC)",2843,
"Port Augusta (C)",13875,
"Unincorp. Flinders Ranges",1098,
"Anangu Pitjantjatjara (AC)",2235,
"Coober Pedy (DC)",1911,
"Maralinga Tjarutja (AC)",105,
"Roxby Downs (M)",4056,
"Unincorp. Far North",1568,
"SA Off-Shore Areas & Migratory",6,
"SA No Usual Address",2618,
"Cambridge (T)",23754,
"Claremont (T)",8942,
"Cottesloe (T)",7256,
"Mosman Park (T)",8248,
"Nedlands (C)",20336,
"Peppermint Grove (S)",1579,
"Perth (C) - Inner",1081,
"Perth (C) - Remainder",10495,
"Subiaco (C)",16380,
"Vincent (T)",26876,
"Bassendean (T)",13463,
"Bayswater (C)",55803,
"Kalamunda (S)",49534,
"Mundaring (S)",35093,
"Swan (C)",93276,
"Joondalup (C) - North",49673,
"Joondalup (C) - South",100001,
"Stirling (C) - Central",98738,
"Stirling (C) - Coastal",62433,
"Stirling (C) - South-Eastern",15699,
"Wanneroo (C) - North-East",31805,
"Wanneroo (C) - North-West",37655,
"Wanneroo (C) - South",41483,
"Cockburn (C)",74471,
"East Fremantle (T)",6700,
"Fremantle (C) - Inner",823,
"Fremantle (C) - Remainder",24009,
"Kwinana (T)",23198,
"Melville (C)",93000,
"Rockingham (C)",84306,
"Armadale (C)",50537,
"Belmont (C)",30334,
"Canning (C)",77303,
"Gosnells (C)",91582,
"Serpentine-Jarrahdale (S)",12893,
"South Perth (C)",38361,
"Victoria Park (T)",27959,
"Mandurah (C)",55817,
"Murray (S)",11973,
"Bunbury (C)",29700,
"Capel (S) - Pt A",6013,
"Dardanup (S) - Pt A",7722,
"Harvey (S) - Pt A",11532,
"Boddington (S)",1380,
"Capel (S) - Pt B",4192,
"Collie (S)",8613,
"Dardanup (S) - Pt B",2614,
"Donnybrook-Balingup (S)",4735,
"Harvey (S) - Pt B",8019,
"Waroona (S)",3448,
"Augusta-Margaret River (S)",10350,
"Busselton (S)",25358,
"Boyup Brook (S)",1482,
"Bridgetown-Greenbushes (S)",3953,
"Manjimup (S)",9257,
"Nannup (S)",1190,
"Broomehill (S)",480,
"Gnowangerup (S)",1365,
"Jerramungup (S)",1126,
"Katanning (S)",4208,
"Kent (S)",578,
"Kojonup (S)",2153,
"Tambellup (S)",659,
"Woodanilling (S)",402,
"Albany (C) - Central",15976,
"Albany (C) Bal",15597,
"Cranbrook (S)",1061,
"Denmark (S)",4509,
"Plantagenet (S)",4483,
"Brookton (S)",983,
"Cuballing (S)",785,
"Dumbleyung (S)",629,
"Narrogin (T)",4238,
"Narrogin (S)",831,
"Pingelly (S)",1169,
"Wagin (S)",1842,
"Wandering (S)",354,
"West Arthur (S)",856,
"Wickepin (S)",716,
"Williams (S)",864,
"Corrigin (S)",1142,
"Kondinin (S)",968,
"Kulin (S)",881,
"Lake Grace (S)",1458,
"Chittering (S)",3517,
"Dandaragan (S)",2885,
"Gingin (S)",4316,
"Moora (S)",2412,
"Victoria Plains (S)",905,
"Beverley (S)",1563,
"Cunderdin (S)",1247,
"Dalwallinu (S)",1368,
"Dowerin (S)",703,
"Goomalling (S)",936,
"Koorda (S)",432,
"Northam (T)",6006,
"Northam (S)",3793,
"Quairading (S)",1019,
"Tammin (S)",389,
"Toodyay (S)",4110,
"Wongan-Ballidu (S)",1385,
"Wyalkatchem (S)",562,
"York (S)",3117,
"Bruce Rock (S)",951,
"Kellerberrin (S)",1182,
"Merredin (S)",3244,
"Mount Marshall (S)",613,
"Mukinbudin (S)",580,
"Narembeen (S)",904,
"Nungarin (S)",245,
"Trayning (S)",392,
"Westonia (S)",210,
"Yilgarn (S)",1413,
"Kalgoorlie/Boulder (C) - Pt A",28241,
"Coolgardie (S)",3800,
"Kalgoorlie/Boulder (C) - Pt B",181,
"Laverton (S)",726,
"Leonora (S)",1409,
"Menzies (S)",217,
"Ngaanyatjarraku (S)",1336,
"Dundas (S)",1068,
"Esperance (S)",12963,
"Ravensthorpe (S)",1952,
"Geraldton (C)",18914,
"Greenough (S) - Pt A",12638,
"Carnarvon (S)",5684,
"Exmouth (S)",2062,
"Shark Bay (S)",855,
"Upper Gascoyne (S)",288,
"Cue (S)",321,
"Meekatharra (S)",1134,
"Mount Magnet (S)",458,
"Murchison (S)",110,
"Sandstone (S)",117,
"Wiluna (S)",680,
"Yalgoo (S)",242,
"Carnamah (S)",747,
"Chapman Valley (S)",915,
"Coorow (S)",1201,
"Greenough (S) - Pt B",1402,
"Irwin (S)",3052,
"Mingenew (S)",471,
"Morawa (S)",823,
"Mullewa (S)",908,
"Northampton (S)",3207,
"Perenjori (S)",532,
"Three Springs (S)",665,
"East Pilbara (S)",6546,
"Port Hedland (T)",11960,
"Ashburton (S)",6080,
"Roebourne (S)",16419,
"Halls Creek (S)",3135,
"Wyndham-East Kimberley (S)",6594,
"Broome (S)",13061,
"Derby-West Kimberley (S)",6504,
"WA Off-Shore Areas & Migratory",339,
"WA No Usual Address",5986,
"Brighton (M)",14122,
"Clarence (C)",49638,
"Derwent Valley (M) - Pt A",6540,
"Glenorchy (C)",43414,
"Hobart (C) - Inner",452,
"Hobart (C) - Remainder",47243,
"Kingborough (M) - Pt A",28217,
"Sorell (M) - Pt A",10890,
"Central Highlands (M)",2244,
"Derwent Valley (M) - Pt B",2936,
"Glamorgan/Spring Bay (M)",4188,
"Huon Valley (M)",14001,
"Kingborough (M) - Pt B",2617,
"Sorell (M) - Pt B",1030,
"Southern Midlands (M)",5673,
"Tasman (M)",2241,
"George Town (M) - Pt A",5503,
"Launceston (C) - Inner",254,
"Launceston (C) - Pt B",59192,
"Meander Valley (M) - Pt A",8231,
"Northern Midlands (M) - Pt A",7581,
"West Tamar (M) - Pt A",18915,
"George Town (M) - Pt B",1028,
"Launceston (C) - Pt C",2774,
"Meander Valley (M) - Pt B",10119,
"Northern Midlands (M) - Pt B",4516,
"West Tamar (M) - Pt B",1900,
"Break O'Day (M)",6068,
"Dorset (M)",6996,
"Flinders (M)",859,
"Burnie (C) - Pt A",16998,
"Central Coast (M) - Pt A",17593,
"Devonport (C)",24015,
"Latrobe (M) - Pt A",7902,
"Waratah/Wynyard (M) - Pt A",10901,
"Burnie (C) - Pt B",2059,
"Central Coast (M) - Pt B",3068,
"Circular Head (M)",7956,
"Kentish (M)",5759,
"King Island (M)",1641,
"Latrobe (M) - Pt B",731,
"Waratah/Wynyard (M) - Pt B",2510,
"West Coast (M)",5003,
"TAS Off-Shore Areas & Migratory",89,
"TAS No Usual Address",872,
"Alawa",2122,
"Anula",2393,
"Bayview-Woolner",1758,
"Brinkin",1042,
"City - Inner - NT",2482,
"Coconut Grove",2592,
"Fannie Bay",2432,
"Jingili",1823,
"Karama",4779,
"Larrakeyah",3037,
"Leanyer",4590,
"Lee Point-Leanyer Swamp",130,
"Ludmilla",1704,
"Malak",3260,
"Marrara",1402,
"Millner",2371,
"Moil",2093,
"Nakara",1912,
"Narrows",655,
"Nightcliff",3357,
"Parap",1804,
"Rapid Creek",2935,
"Stuart Park",3494,
"The Gardens",567,
"Tiwi",2514,
"Wagaman",2037,
"Wanguri",1858,
"Winnellie",306,
"Wulagi",2552,
"City - Remainder - NT",2301,
"East Arm",428,
"Bakewell",2990,
"Driver",2717,
"Durack - NT",2687,
"Gray",3291,
"Gunn-Palmerston City",2379,
"Moulden",3363,
"Woodroffe",3455,
"Palmerston (C) Bal",2832,
"Litchfield (S) - Pt A",1233,
"Litchfield (S) - Pt B",14320,
"Belyuen (CGC)",176,
"Coomalie (CGC)",1106,
"Cox-Finniss",386,
"Cox Peninsula (CGC)",294,
"Tiwi Islands (CGC)",2129,
"Jabiru (T)",1139,
"Kunbarllanjnja (CGC)",882,
"South Alligator",645,
"West Arnhem",3337,
"Daly",1047,
"Nauiyu Nambiyu (CGC)",393,
"Pine Creek (CGC)",343,
"Thamarrurr (CGC)",1930,
"Angurugu (CGC)",816,
"East Arnhem - Bal",6522,
"Groote Eylandt",1543,
"Marngarr (CGC)",275,
"Nhulunbuy",4111,
"Numbulwar Numburindi (CGC)",684,
"Binjari (CGC)",191,
"Borroloola (CGC)",776,
"Daguragu (CGC)",542,
"Elsey",776,
"Gulf",636,
"Jilkminggan (CGC)",274,
"Katherine (T)",8191,
"Lajamanu (CGC)",672,
"Mataranka (CGC)",251,
"Nyirranggulung Mardrulk Ngadberre (CGC)",938,
"Timber Creek (CGC)",226,
"Victoria",887,
"Walangeri Ngumpinku (CGC)",466,
"Yugul Mangi (CGC)",1641,
"Alpurrurulam (CGC)",343,
"Elliott District (CGC)",423,
"Tableland",492,
"Tennant Creek (T)",2924,
"Tennant Creek - Bal",1209,
"Alice Springs (T) - Charles",4545,
"Alice Springs (T) - Heavitree",2146,
"Alice Springs (T) - Larapinta",8256,
"Alice Springs (T) - Ross",7029,
"Alice Springs (T) - Stuart",1920,
"Anmatjere (CGC)",967,
"Arltarlpilta (CGC)",236,
"Hanson",804,
"Ltyentye Purte (CGC)",542,
"Petermann-Simpson",2389,
"Sandover",2769,
"Tanami",2439,
"Tapatjatjaka (CGC)",220,
"Wallace Rockhole (CGC)",85,
"Watiyawanu (CGC)",269,
"Yuendumu (CGC)",693,
"NT Off-Shore Areas & Migratory",94,
"NT No Usual Address",1901,
"Acton",1805,
"Ainslie",4814,
"Braddon",3573,
"Campbell",3116,
"City - ACT",719,
"Dickson",1947,
"Downer",3373,
"Duntroon",1683,
"Hackett",2883,
"Kowen",52,
"Lyneham",4322,
"Majura",120,
"O'Connor",4908,
"Reid",1607,
"Russell",0,
"Turner",3005,
"Watson",4190,
"Aranda",2412,
"Belconnen Town Centre",3055,
"Belconnen - SSD Bal",46,
"Bruce",3384,
"Charnwood",3017,
"Cook",2816,
"Dunlop",5846,
"Evatt",5495,
"Florey",5109,
"Flynn",3548,
"Fraser",2159,
"Giralang",3305,
"Hawker",2826,
"Higgins",3025,
"Holt",4694,
"Kaleen",7589,
"Latham",3686,
"McKellar",2602,
"Macgregor - ACT",3488,
"Macquarie",2382,
"Melba",3266,
"Page",2692,
"Scullin",2795,
"Spence",2595,
"Weetangera",2543,
"Chifley",2326,
"Curtin",5134,
"Farrer",3359,
"Garran",3174,
"Hughes",2895,
"Isaacs",2426,
"Lyons",2445,
"Mawson",2864,
"O'Malley",684,
"Pearce",2508,
"Phillip",1912,
"Torrens",2264,
"Chapman",2690,
"Duffy",2941,
"Fisher",2974,
"Holder",2607,
"Rivett",3072,
"Stirling",2041,
"Stromlo",63,
"Waramanga",2532,
"Weston",3177,
"Weston Creek-Stromlo - SSD Bal",16,
"Banks",4903,
"Bonython",3361,
"Calwell",5927,
"Chisholm",5378,
"Conder",5049,
"Fadden",3212,
"Gilmore",2905,
"Gordon",7869,
"Gowrie",3224,
"Greenway",1129,
"Isabella Plains",4314,
"Kambah",15581,
"Macarthur",1582,
"Monash",5547,
"Oxley - ACT",1792,
"Richardson",3231,
"Theodore",4111,
"Tuggeranong - SSD Bal",64,
"Wanniassa",7929,
"Barton",940,
"Deakin",2606,
"Forrest",1190,
"Fyshwick",57,
"Griffith",3904,
"Harman",98,
"Hume",6,
"Jerrabomberra",11,
"Kingston - ACT",2454,
"Narrabundah",5528,
"Oaks Estate",241,
"Parkes",3,
"Pialligo",109,
"Red Hill - ACT",3144,
"Symonston",467,
"Yarralumla",2907,
"Amaroo",5505,
"Gungahlin",3853,
"Gungahlin-Hall - SSD Bal",15,
"Hall",338,
"Harrison",305,
"Mitchell",3,
"Ngunnawal",8941,
"Nicholls",6992,
"Palmerston",5707,
"Remainder of ACT",272,
"ACT No Usual Address",709,
"Jervis Bay Territory",374,
"Territory of Christmas Island",1347,
"Territory of Cocos (Keeling) Islands",573,
"OT Off-Shore Areas & Migratory",0,
"OT No Usual Address",25,
"Total",19855287,

"Dataset: Census of Population and Housing, 2006, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
