Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"LGA (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"LGA (UR)",
"Yarriambiack (S)",6675,
"Unincorporated Vic",876,
"No usual address (Vic.)",7572,
"Migratory - Offshore - Shipping (Vic.)",26,
"Aurukun (S)",1275,
"Balonne (S)",4378,
"Banana (S)",14315,
"Barcaldine (R)",2863,
"Barcoo (S)",271,
"Blackall-Tambo (R)",1903,
"Boulia (S)",425,
"Brisbane (C)",1131155,
"Bulloo (S)",352,
"Bundaberg (R)",92894,
"Burdekin (S)",17075,
"Burke (S)",328,
"Cairns (R)",156900,
"Carpentaria (S)",1958,
"Cassowary Coast (R)",28725,
"Central Highlands (R)",28002,
"Charters Towers (R)",11881,
"Cherbourg (S)",1266,
"Cloncurry (S)",3031,
"Cook (S)",4222,
"Croydon (S)",292,
"Diamantina (S)",287,
"Doomadgee (S)",1398,
"Douglas (S)",11716,
"Etheridge (S)",801,
"Flinders (S)",1537,
"Fraser Coast (R)",101503,
"Gladstone (R)",61642,
"Gold Coast (C)",555724,
"Goondiwindi (R)",10628,
"Gympie (R)",49555,
"Hinchinbrook (S)",10884,
"Hope Vale (S)",919,
"Ipswich (C)",193737,
"Isaac (R)",20941,
"Kowanyama (S)",944,
"Livingstone (S)",36270,
"Lockhart River (S)",714,
"Lockyer Valley (R)",38603,
"Logan (C)",303384,
"Longreach (R)",3663,
"Mackay (R)",114970,
"McKinlay (S)",796,
"Mapoon (S)",311,
"Maranoa (R)",12664,
"Mareeba (S)",21554,
"Moreton Bay (R)",425309,
"Mornington (S)",1143,
"Mount Isa (C)",18668,
"Murweh (S)",4309,
"Napranum (S)",955,
"Noosa (S)",52147,
"North Burnett (R)",10482,
"Northern Peninsula Area (R)",2796,
"Palm Island (S)",2443,
"Paroo (S)",1642,
"Pormpuraaw (S)",753,
"Quilpie (S)",813,
"Redland (C)",147011,
"Richmond (S)",787,
"Rockhampton (R)",79726,
"Scenic Rim (R)",40078,
"Somerset (R)",24593,
"South Burnett (R)",32186,
"Southern Downs (R)",35115,
"Sunshine Coast (R)",294365,
"Tablelands (R)",24830,
"Toowoomba (R)",160779,
"Torres (S)",3612,
"Torres Strait Island (R)",4517,
"Townsville (C)",186753,
"Weipa (T)",3907,
"Western Downs (R)",33444,
"Whitsunday (R)",33782,
"Winton (S)",1128,
"Woorabinda (S)",960,
"Wujal Wujal (S)",281,
"Yarrabah (S)",2560,
"No usual address (Qld)",12515,
"Migratory - Offshore - Shipping (Qld)",152,
"Adelaide (C)",22064,
"Adelaide Hills (DC)",38864,
"Alexandrina (DC)",25871,
"Anangu Pitjantjatjara (AC)",2270,
"Barossa (DC)",23560,
"Barunga West (DC)",2542,
"Berri and Barmera (DC)",10545,
"Burnside (C)",43912,
"Campbelltown (C)",50159,
"Ceduna (DC)",3406,
"Charles Sturt (C)",111761,
"Clare and Gilbert Valleys (DC)",9021,
"Cleve (DC)",1770,
"Coober Pedy (DC)",1766,
"Copper Coast (DC)",14138,
"Elliston (DC)",1045,
"Flinders Ranges (DC)",1640,
"Franklin Harbour (DC)",1298,
"Gawler (T)",23035,
"Goyder (DC)",4134,
"Grant (DC)",8201,
"Holdfast Bay (C)",35361,
"Kangaroo Island (DC)",4702,
"Karoonda East Murray (DC)",1088,
"Kimba (DC)",1055,
"Kingston (DC)",2347,
"Light (RegC)",14733,
"Lower Eyre Peninsula (DC)",5507,
"Loxton Waikerie (DC)",11481,
"Mallala (DC)",8801,
"Maralinga Tjarutja (AC)",62,
"Marion (C)",88618,
"Mid Murray (DC)",8641,
"Mitcham (C)",64806,
"Mount Barker (DC)",33394,
"Mount Gambier (C)",26281,
"Mount Remarkable (DC)",2861,
"Murray Bridge (RC)",20862,
"Naracoorte and Lucindale (DC)",8291,
"Northern Areas (DC)",4529,
"Norwood Payneham St Peters (C)",35357,
"Onkaparinga (C)",166766,
"Orroroo/Carrieton (DC)",899,
"Peterborough (DC)",1678,
"Playford (C)",89375,
"Port Adelaide Enfield (C)",121233,
"Port Augusta (C)",13812,
"Port Lincoln (C)",14062,
