Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"SA2 (UR)",
"117031334",21655,
"117031335",22495,
"117031336",16416,
"117031337",27408,
"117031338",33061,
"118011339",18401,
"118011340",20729,
"118011341",16853,
"118011342",0,
"118011343",24870,
"118011344",10830,
"118011345",15171,
"118011346",11844,
"118011347",7686,
"118021348",25455,
"118021350",24036,
"118021564",14887,
"118021565",15602,
"118021566",9812,
"118021567",10681,
"118021568",10195,
"118021569",16874,
"118021570",13113,
"119011354",21834,
"119011355",900,
"119011356",11305,
"119011357",25964,
"119011358",16475,
"119011359",25788,
"119011360",16223,
"119011361",20706,
"119011571",16237,
"119011572",15993,
"119021362",19033,
"119021363",30620,
"119021364",23679,
"119021366",20753,
"119021367",13739,
"119021573",17019,
"119021574",10217,
"119031368",23613,
"119031369",23907,
"119031370",13781,
"119031371",12614,
"119031372",17937,
"119031373",11277,
"119031374",24070,
"119041375",21443,
"119041376",26480,
"119041377",12615,
"119041378",11315,
"119041379",15965,
"119041380",13972,
"119041381",19960,
"119041382",15976,
"120011383",21742,
"120011384",24850,
"120011385",18326,
"120011386",20440,
"120021387",15686,
"120021388",26388,
"120021389",13991,
"120031390",24497,
"120031391",24653,
"120031392",10449,
"120031393",17222,
"120031394",16809,
"120031395",13474,
"120031396",16211,
"120031575",25016,
"120031576",3542,
"121011398",28683,
"121011399",20857,
"121011400",26733,
"121011401",10500,
"121011402",25463,
"121021403",18291,
"121021404",11699,
"121021406",18531,
"121021577",11798,
"121021578",10684,
"121021579",9602,
"121031407",21328,
"121031408",23147,
"121031409",16354,
"121031410",20456,
"121031411",19267,
"121031412",17822,
"121041413",19084,
"121041414",18026,
"121041415",28476,
"121041416",17852,
"121041417",10703,
"122011418",20188,
"122011419",21704,
"122021420",12374,
"122021421",10745,
"122021422",13186,
"122021423",24134,
"122031424",13882,
"122031425",7485,
"122031426",24949,
"122031427",12796,
"122031428",25171,
"122031429",20978,
"122031430",16870,
"122031431",24771,
"122031432",3648,
"123011433",12963,
"123011434",20980,
"123011435",28576,
"123021436",18962,
"123021437",18194,
"123021438",20405,
"123021439",0,
"123021440",19985,
"123021441",16541,
"123021442",23556,
"123021443",19887,
"123021444",20876,
"123031445",5740,
"123031446",9625,
"123031447",16786,
"123031448",8997,
"124011449",5560,
"124011450",18936,
"124011451",12,
"124011452",13222,
"124011453",11253,
"124011454",21633,
"124011455",6077,
"124021456",5,
"124031457",15644,
"124031458",23724,
"124031459",14223,
"124031460",21203,
"124031461",17288,
"124031462",19577,
"124031463",9541,
"124031464",13295,
"124031465",5195,
"124041466",13839,
"124041467",15330,
"124041468",7376,
"124051469",6440,
"124051470",19895,
"124051580",11595,
"124051581",16074,
"125011473",18733,
"125011475",0,
"125011582",17175,
"125011583",11325,
"125011584",8487,
"125011585",8898,
"125011586",19988,
"125011587",5067,
"125021476",27359,
"125021477",21423,
"125021478",17788,
"125031479",18461,
"125031480",15514,
"125031481",20830,
"125031482",26307,
"125031483",20951,
"125031484",20722,
"125031485",28452,
"125031486",10,
"125031487",14,
"125041489",22232,
"125041490",7878,
"125041491",20383,
"125041492",29243,
"125041493",21936,
"125041494",10774,
"125041588",12842,
"125041589",15599,
"126011495",27093,
"126011496",20495,
"126021497",25045,
"126021498",14409,
"126021499",10341,
"126021500",21728,
"126021501",12311,
"126021503",19375,
"126021590",4143,
"126021591",27174,
"127011504",17335,
"127011505",8918,
"127011506",17890,
"127011592",59,
"127011593",7015,
"127011594",12514,
"127011595",12295,
"127011596",11588,
"127011597",15187,
"127021509",15980,
"127021510",18834,
"127021511",24708,
"127021512",17188,
"127021513",20819,
"127021514",9772,
"127021515",17704,
"127021516",19088,
"127021517",8336,
"127021518",4426,
"127021519",18045,
"127021520",10866,
"127021521",36,
"127031522",15661,
"127031523",18748,
"127031524",20706,
"127031598",27172,
"127031599",11686,
"127031600",17580,
"127031601",5798,
"128011529",17479,
"128011530",18230,
"128011531",15940,
