Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Statistical Local Area (SLA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Statistical Local Area (SLA)",
"235101671",7369,
"235101674",4959,
"235102628",11314,
"235103943",3188,
"235103945",4650,
"235105431",7146,
"235105434",9918,
"235204131",8236,
"235204134",10864,
"235204135",19262,
"240052831",44598,
"240101371",12364,
"240101374",12075,
"240101375",8082,
"240101376",3692,
"240102834",3716,
"240102835",8770,
"240104901",8762,
"240104904",18323,
"240151011",9130,
"240151014",4397,
"240154250",7192,
"240156430",9296,
"240158249",248,
"240158349",0,
"240204851",10617,
"240204854",20308,
"240205621",6156,
"240205622",7514,
"240208149",0,
"245053351",11164,
"245056671",2396,
"245057170",33006,
"245103352",3634,
"245106701",16058,
"245106704",4658,
"245106705",5677,
"245150111",7434,
"245150112",4566,
"245156672",3627,
"245158109",252,
"245158309",115,
"250052111",25366,
"250052113",8302,
"250052115",3804,
"250052117",2567,
"250156811",5471,
"250156812",3890,
"250156813",10065,
"250156814",7307,
"250156815",13335,
"255050831",4149,
"255053811",17980,
"255053814",21561,
"255053815",27221,
"255053818",2565,
"255100834",3837,
"255100835",29194,
"255107458",591,
"255108209",10,
"255200741",8136,
"255200744",18405,
"255206171",12320,
"255206174",5637,
"255206175",7782,
"255208529",92,
"255208649",0,
"285019779",51,
"299999499",6394,
"305011067",1583,
"305011143",2719,
"305011146",4477,
"305011187",1363,
"305011227",5385,
"305011274",1796,
"305011277",5428,
"305011304",6868,
"305011315",4382,
"305011378",1728,
"305011421",10941,
"305011427",4821,
"305011454",7622,
"305011481",5270,
"305011525",4281,
"305011528",5235,
"305011607",6210,
"305011631",3916,
"305031004",2424,
"305031007",5072,
"305031026",4844,
"305031031",11905,
"305031048",9112,
"305031132",2561,
"305031151",9532,
"305031162",4456,
"305031206",6338,
"305031241",4096,
"305031244",4040,
"305031255",4367,
"305031271",4113,
"305031293",10732,
"305031312",11724,
"305031345",2677,
"305031424",4214,
"305031446",8285,
"305031506",10610,
"305031522",4766,
"305031533",5515,
"305031536",6786,
"305031558",7489,
"305031574",14960,
"305031618",3652,
"305031623",6164,
"305031634",5486,
"305071018",1102,
"305071034",11841,
"305071037",7076,
"305071045",4869,
"305071053",5210,
"305071064",8545,
"305071072",14617,
"305071075",6882,
"305071078",8596,
"305071084",4466,
"305071121",6673,
"305071127",9984,
"305071135",6350,
"305071138",5952,
"305071167",4053,
"305071173",3106,
"305071176",17506,
"305071184",6119,
"305071203",5235,
"305071211",7717,
"305071217",5488,
"305071222",3262,
"305071236",4104,
"305071288",13166,
"305071296",3279,
"305071301",4988,
"305071306",5710,
"305071318",8206,
"305071323",2518,
"305071326",7029,
"305071353",6902,
"305071375",4050,
"305071383",7034,
"305071386",2149,
"305071408",2202,
"305071435",3837,
"305071442",2464,
"305071451",6378,
"305071465",413,
"305071467",339,
"305071473",3150,
"305071484",827,
"305071487",3956,
"305071514",6504,
"305071517",8644,
"305071556",7652,
"305071567",15666,
"305071585",2706,
"305071593",1843,
"305071596",4451,
"305071604",8758,
"305071612",4681,
"305071653",7465,
"305091015",9567,
"305091042",3643,
"305091086",5106,
"305091097",9825,
"305091102",5354,
"305091108",13278,
"305091113",9201,
"305091116",5764,
"305091157",13796,
"305091195",5232,
"305091214",2584,
"305091247",8088,
"305091258",4310,
"305091282",7488,
"305091285",5521,
"305091391",9194,
"305091397",8663,
"305091432",6753,
"305091563",9439,
"305091645",2413,
"305091648",5356,
"305111001",6862,
"305111012",8168,
"305111023",582,
"305111057",4709,
"305111091",1153,
"305111094",10179,
"305111123",1399,
"305111154",4090,
"305111198",12022,
"305111251",1531,
"305111265",2696,
"305111331",6742,
"305111337",2979,
"305111356",5315,
"305111364",3815,
"305111367",10014,
"305111372",10204,
"305111394",248,
"305111402",3087,
"305111405",10247,
"305111413",2222,
"305111416",1380,
"305111456",1522,
"305111463",11861,
"305111492",4752,
"305111495",1170,
"305111498",1501,
"305111503",12476,
"305111511",5524,
"305111541",3806,
"305111547",7850,
"305111552",16110,
"305111571",8888,
"305111588",7911,
"305111601",3903,
"305111615",230,
"305111626",10268,
"305111637",11719,
"305111642",10755,
"305150552",41133,
"305202002",15914,
"305202005",22607,
"305202008",18272,
"305202013",15537,
"305202014",6011,
"305202015",13955,
"305202016",20362,
"305202018",19816,
"305253962",69952,
"305253965",50388,
"305253966",7874,
"305253974",4253,
"305253976",7718,
"305304601",28262,
"305304603",3581,
"305304605",4186,
"305304608",8177,
"305304612",12831,
"305304615",13377,
"305304618",8332,
"305304623",19304,
"305304631",14930,
"305304634",11220,
"305304637",11057,
"305304642",6008,
"305304645",964,
"305304651",4517,
"305304654",5491,
"305304656",18450,
"305304663",2565,
"305405951",15941,
"305405957",8819,
"305405958",17799,
"305405961",24027,
"305405963",10255,
"305405971",20508,
"305405973",5644,
"305405974",8567,
"305405978",11267,
"305405988",18311,
"305456201",7725,
"305456204",10358,
"305456206",18821,
"305456208",14278,
"305506251",16989,
"305506254",13993,
"305506257",17096,
"305506262",13585,
"305506264",5386,
"305506265",10886,
"305506267",4872,
"305506268",3465,
"305506271",10518,
"305506273",13753,
"305506276",10176,
"305506283",6910,
"307053461",7814,
"307053463",5627,
"307053466",8833,
"307053471",5732,
"307053473",2939,
"307053476",5639,
"307053481",10737,
"307053493",4677,
"307103508",20777,
"307103511",6255,
"307103514",9541,
"307103515",7379,
"307103517",4103,
"307103521",7608,
"307103523",12725,
"307103527",4871,
"307103533",2646,
"307103555",3327,
"307103562",15742,
"307103563",6171,
"307103573",13492,
"307103576",16125,
"307103585",24098,
"307103587",18505,
"307153502",18781,
"307153525",16379,
