Australian Bureau of Statistics

"2011 Census - Counting Persons, Place of Usual Residence"
"SA2"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"SA2",
"118011346",11713,
"118011347",7182,
"118021348",23671,
"118021349",26874,
"118021350",21113,
"118021351",29594,
"118021352",27742,
"119011353",30835,
"119011354",20069,
"119011355",0,
"119011356",10186,
"119011357",24311,
"119011358",15631,
"119011359",24218,
"119011360",14870,
"119011361",18953,
"119021362",18619,
"119021363",26817,
"119021364",22522,
"119021365",25208,
"119021366",19199,
"119021367",13063,
"119031368",20152,
"119031369",22270,
"119031370",12762,
"119031371",11946,
"119031372",17419,
"119031373",9456,
"119031374",22603,
"119041375",14671,
"119041376",25120,
"119041377",12009,
"119041378",9607,
"119041379",14839,
"119041380",13128,
"119041381",18323,
"119041382",14806,
"120011383",19582,
"120011384",18018,
"120011385",17459,
"120011386",19101,
"120021387",14753,
"120021388",24433,
"120021389",13017,
"120031390",22772,
"120031391",21013,
"120031392",9378,
"120031393",16385,
"120031394",15904,
"120031395",13235,
"120031396",12517,
"120031397",26002,
"121011398",24343,
"121011399",18122,
"121011400",24147,
"121011401",9262,
"121011402",24322,
"121021403",17735,
"121021404",11395,
"121021405",29372,
"121021406",18026,
"121031407",18753,
"121031408",21171,
"121031409",15736,
"121031410",18644,
"121031411",18029,
"121031412",17247,
"121041413",18058,
"121041414",16621,
"121041415",27452,
"121041416",16712,
"121041417",9514,
"122011418",19183,
"122011419",20565,
"122021420",12198,
"122021421",10207,
"122021422",12898,
"122021423",21846,
"122031424",13042,
"122031425",7207,
"122031426",22756,
"122031427",12290,
"122031428",24082,
"122031429",19235,
"122031430",15900,
"122031431",22690,
"122031432",3535,
"123011433",12134,
"123011434",16075,
"123011435",24024,
"123021436",19153,
"123021437",15756,
"123021438",21014,
"123021439",0,
"123021440",16589,
"123021441",15983,
"123021442",20931,
"123021443",17579,
"123021444",20158,
"123031445",5407,
"123031446",7062,
"123031447",15370,
"123031448",8566,
"124011449",5462,
"124011450",18499,
"124011451",30,
"124011452",12920,
"124011453",11081,
"124011454",21771,
"124011455",5935,
"124021456",8,
"124031457",15136,
"124031458",17372,
"124031459",13881,
"124031460",20888,
"124031461",16888,
"124031462",17112,
"124031463",6518,
"124031464",11813,
"124031465",5058,
"124041466",13441,
"124041467",15462,
"124041468",6847,
"124051469",6668,
"124051470",19840,
"124051471",25559,
"125011472",33123,
"125011473",11308,
"125011474",29986,
"125011475",10,
"125021476",24621,
"125021477",19216,
"125021478",15763,
"125031479",16644,
"125031480",14401,
"125031481",18246,
"125031482",23467,
"125031483",18330,
"125031484",19020,
"125031485",25786,
"125031486",6,
"125031487",6,
"125041488",25813,
"125041489",20274,
"125041490",7625,
"125041491",17287,
"125041492",22703,
"125041493",20707,
"125041494",10367,
"126011495",23585,
"126011496",19420,
"126021497",23002,
"126021498",13424,
"126021499",9807,
"126021500",18494,
"126021501",11978,
"126021502",26141,
"126021503",17001,
"127011504",16646,
"127011505",9877,
"127011506",6411,
"127011507",28766,
"127011508",18639,
"127021509",15188,
"127021510",18226,
"127021511",23365,
"127021512",15814,
"127021513",19591,
"127021514",9440,
"127021515",16848,
"127021516",17410,
"127021517",7762,
"127021518",4326,
"127021519",17012,
"127021520",10635,
"127021521",21,
"127031522",14696,
"127031523",15652,
"127031524",19549,
"127031525",28588,
"127031526",25705,
"128011527",25618,
"128011528",29187,
"128011529",16847,
"128011530",17601,
"128011531",15111,
"128021532",27736,
"128021533",6457,
"128021534",10639,
"128021535",21056,
"128021536",20631,
"128021537",17,
"128021538",19371,
"197979799",112,
"199999499",12917,
"201011001",8345,
"201011002",12077,
"201011003",22026,
"201011004",22784,
"201011005",6599,
"201011006",5750,
"201011007",3779,
"201011008",14210,
"201021009",5545,
"201021010",7423,
"201021011",8392,
"201021012",5414,
"201031013",3301,
"201031014",3832,
"201031015",4061,
"201031016",7631,
"201031017",5063,
"202011018",14509,
"202011019",10128,
"202011020",13683,
"202011021",9190,
"202011022",18409,
"202011023",4402,
"202011024",7032,
"202011025",8735,
"202021026",6204,
"202021027",9733,
"202021028",8179,
"202021029",4073,
"202021030",8832,
"202021031",6409,
"202031032",4163,
"202031033",7027,
"203011034",4714,
"203011035",6217,
"203011036",5685,
"203021037",13617,
"203021038",25846,
"203021039",12066,
"203021040",18872,
"203021041",19701,
"203021042",19321,
"203021043",15523,
"203021044",10112,
"203021045",14710,
"203021046",9680,
"203021047",13996,
"203031048",11699,
"203031049",4919,
"203031050",18356,
"203031051",6498,
"203031052",4072,
"203031053",15043,
"204011054",6096,
"204011055",5952,
"204011056",11947,
"204011057",8153,
"204011058",3559,
"204011059",6370,
"204011060",4224,
"204011061",221,
"204011062",3393,
"204021063",10333,
"204021064",3377,
"204021065",3710,
"204021066",17687,
"204021067",9126,
"204031068",4220,
"204031069",7733,
"204031070",2891,
"204031071",4508,
"204031072",5863,
"204031073",14585,
"204031074",20939,
"204031075",4413,
"205011076",13220,
"205011077",5966,
"205011078",7073,
"205011079",16723,
"205021080",0,
"205021081",13240,
"205021082",7289,
"205021083",0,
"205021084",9462,
"205021085",6704,
"205021086",5604,
"205031087",8189,
"205031088",115,
"205031089",8745,
"205031090",10524,
"205031091",9406,
"205031092",12,
"205031093",20035,
"205041094",11387,
