Australian Bureau of Statistics

"2011 Census - Counting Persons, Place of Usual Residence"
"SA2"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"SA2",
"Goulburn",21485,
"Goulburn Region",11615,
"Yass",6331,
"Yass Region",10397,
"Young",10280,
"Young Region",7394,
"Braidwood",3356,
"Karabar",8602,
"Queanbeyan",10233,
"Queanbeyan - East",4639,
"Queanbeyan Region",14111,
"Queanbeyan West - Jerrabomberra",12572,
"Bombala",2419,
"Cooma",6677,
"Cooma Region",3175,
"Jindabyne - Berridale",6664,
"Batemans Bay",7504,
"Batemans Bay - South",8223,
"Bega - Tathra",8046,
"Bega-Eden Hinterland",8767,
"Broulee - Tomakin",2827,
"Deua - Wadbilliga",57,
"Eden",3207,
"Eurobodalla Hinterland",3211,
"Merimbula - Tura Beach",9779,
"Moruya - Tuross Head",7616,
"Narooma - Bermagui",8632,
"Avoca Beach - Copacabana",7010,
"Box Head - MacMasters Beach",10338,
"Calga - Kulnura",4422,
"Erina - Green Point",13591,
"Gosford - Springfield",18072,
"Kariong",6453,
"Kincumber - Picketts Valley",7110,
"Narara",6492,
"Niagara Park - Lisarow",8052,
"Point Clare - Koolewong",6314,
"Saratoga - Davistown",6637,
"Terrigal - North Avoca",12566,
"Umina - Booker Bay - Patonga",22534,
"Wamberal - Forresters Beach",9090,
"Woy Woy - Blackwall",13252,
"Wyoming",11189,
"Bateau Bay - Killarney Vale",21379,
"Blue Haven - San Remo",10781,
"Budgewoi - Buff Point - Halekulani",8968,
"Chittaway Bay - Tumbi Umbi",15347,
"Gorokan - Kanwal - Charmhaven",20675,
"Jilliby - Yarramalong",3011,
"Lake Munmorah - Mannering Park",10063,
"Ourimbah - Fountaindale",4794,
"Summerland Point - Gwandalan",5400,
"The Entrance",13987,
"Toukley - Norah Head",8999,
"Tuggerah - Kangy Angy",5036,
"Warnervale - Wadalba",12496,
"Wyong",8152,
"Bathurst",22985,
"Bathurst - East",9498,
"Bathurst Region",6612,
"Oberon",4459,
"Condobolin",6892,
"Cowra",8926,
"Cowra Region",5347,
"Forbes",9805,
"Grenfell",3646,
"Parkes (NSW)",10939,
"Parkes Region",3390,
"West Wyalong",5850,
"Lithgow",12251,
"Lithgow Region",7895,
"Mudgee",10484,
"Mudgee Region - East",3345,
"Mudgee Region - West",9950,
"Wollangambe - Wollemi",0,
"Blayney",7007,
"Orange",19629,
"Orange - North",16835,
"Orange Region",10997,
"Grafton",18360,
"Grafton Region",15033,
"Maclean - Yamba - Iluka",15845,
"Bellingen",5704,
"Coffs Harbour - North",16342,
"Coffs Harbour - South",9817,
"Coramba - Nana Glen - Bucca",3584,
"Dorrigo",3291,
"Korora - Emerald Beach",7696,
"Sawtell - Boambee",18940,
"Urunga",4545,
"Woolgoolga - Arrawarra",11448,
"Bourke - Brewarrina",4285,
"Cobar",4717,
"Coonamble",4259,
"Nyngan - Warren",5208,
"Walgett - Lightning Ridge",6822,
"Broken Hill",18519,
"Far West",2686,
"Coonabarabran",8174,
"Dubbo - East",10849,
"Dubbo - South",15724,
"Dubbo - West",7419,
"Dubbo Region",5165,
"Gilgandra",4459,
"Narromine",6681,
