Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA4 (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"SA4 (UR)",
"101",218842,
"102",327736,
"103",206158,
"104",136287,
"105",113778,
"106",263419,
"107",293498,
"108",212197,
"109",115802,
"110",181559,
"111",359104,
"112",239599,
"113",155932,
"114",147359,
"115",227741,
"116",339641,
"117",315551,
"118",267031,
"119",571417,
"120",293303,
"121",405354,
"122",252876,
"123",262065,
"124",306933,
"125",448391,
"126",182120,
"127",405963,
"128",217877,
"197",419,
"199",12288,
"201",157488,
"202",153087,
"203",278930,
"204",170193,
"205",271413,
"206",591681,
"207",359646,
"208",403703,
"209",495351,
"210",363368,
"211",499608,
"212",755266,
"213",727443,
"214",289139,
"215",150035,
"216",129969,
"217",122695,
"297",26,
"299",7572,
"301",223095,
"302",206519,
"303",340571,
"304",178989,
"305",250208,
"306",240190,
"307",126286,
"308",220914,
"309",569993,
"310",323065,
"311",317297,
"312",169688,
"313",236093,
"314",194963,
"315",79702,
"316",346518,
"317",149513,
"318",229033,
"319",287887,
"397",152,
"399",12515,
"401",289548,
"402",423084,
"403",355338,
"404",227744,
"405",110514,
"406",82818,
"407",184737,
"497",8,
"499",2862,
"501",176328,
"502",96738,
"503",169299,
"504",251020,
"505",535114,
"506",488357,
"507",403336,
"509",135356,
"510",93920,
"511",118568,
"597",431,
"599",5950,
"601",222356,
"602",140485,
"603",37118,
"604",109027,
"697",75,
"699",911,
"701",136831,
"702",89446,
"797",73,
"799",2485,
"801",396853,
"897",0,
"899",541,
"901",4523,
"997",4,
"999",54,
"Total",23401891,

"Dataset: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
