Australian Bureau of Statistics

"2011 Census - Counting Persons, Place of Usual Residence"
"LGA"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"LGA",
"LGA35670",856,
"LGA35760",10142,
"LGA35780",2299,
"LGA35790",2339,
"LGA35800",1858,
"LGA36070",663,
"LGA36150",974,
"LGA36250",138667,
"LGA36300",827,
"LGA36360",109337,
"LGA36510",36457,
"LGA36580",21641,
"LGA36630",31029,
"LGA36660",33883,
"LGA36710",306909,
"LGA36810",43728,
"LGA36910",151189,
"LGA36950",3259,
"LGA36960",4250,
"LGA37010",174461,
"LGA37300",3332,
"LGA37310",31591,
"LGA37340",31427,
"LGA37400",1337,
"LGA37550",944,
"LGA37570",269,
"LGA37600",2408,
"LGA39399",473,
"LGA39499",12543,
"LGA40070",19638,
"LGA40120",38628,
"LGA40220",23699,
"LGA40250",2439,
"LGA40310",22167,
"LGA40430",2456,
"LGA40520",10582,
"LGA40700",42192,
"LGA40910",48162,
"LGA41010",3480,
"LGA41060",104984,
"LGA41140",8751,
"LGA41190",1733,
"LGA41330",1694,
"LGA41560",12947,
"LGA41750",1048,
"LGA41830",1701,
"LGA41960",1272,
"LGA42030",20537,
"LGA42110",4163,
"LGA42250",7856,
"LGA42600",34604,
"LGA42750",4416,
"LGA43080",1033,
"LGA43220",1089,
"LGA43360",2280,
"LGA43650",13783,
"LGA43710",4916,
"LGA43790",11288,
"LGA43920",8346,
"LGA44000",73,
"LGA44060",82991,
"LGA44210",8136,
"LGA44340",62899,
"LGA44550",29766,
"LGA44620",25249,
"LGA44830",2874,
"LGA45040",19742,
"LGA45090",8115,
"LGA45120",4505,
"LGA45290",34887,
"LGA45340",159575,
"LGA45400",873,
"LGA45540",1731,
"LGA45680",79118,
"LGA45890",112816,
"LGA46090",13986,
"LGA46300",14086,
"LGA46450",17332,
"LGA46510",19955,
"LGA46670",9244,
"LGA46860",1398,
"LGA46970",4702,
"LGA47140",129108,
"LGA47290",2101,
"LGA47490",2102,
"LGA47630",6554,
"LGA47700",95467,
"LGA47800",5523,
"LGA47910",2588,
"LGA47980",36838,
"LGA48050",13841,
"LGA48130",6660,
"LGA48260",7001,
"LGA48340",11624,
"LGA48410",54962,
"LGA48540",22089,
"LGA48640",1253,
"LGA48750",4396,
"LGA48830",11025,
"LGA49399",4438,
"LGA49499",3069,
"LGA50080",33651,
"LGA50210",62297,
"LGA50250",10001,
"LGA50280",11761,
"LGA50350",14405,
"LGA50420",61264,
"LGA50490",35208,
"LGA50560",1567,
"LGA50630",2228,
"LGA50770",1589,
"LGA50840",4318,
"LGA50910",932,
"LGA50980",14998,
"LGA51080",1140,
"LGA51120",975,
"LGA51190",31348,
"LGA51260",30331,
"LGA51310",24965,
"LGA51330",85515,
"LGA51400",14637,
"LGA51470",547,
"LGA51540",5786,
"LGA51610",1173,
"LGA51680",4427,
"LGA51750",9279,
"LGA51820",89685,
"LGA51890",9126,
"LGA51960",4000,
"LGA52030",1065,
"LGA52100",1063,
"LGA52170",7605,
"LGA52240",1081,
"LGA52310",871,
"LGA52380",272,
"LGA52450",1311,
"LGA52520",1266,
"LGA52590",3185,
"LGA52660",12404,
"LGA52730",5194,
"LGA52800",8434,
"LGA52870",5322,
"LGA52940",676,
"LGA53010",603,
"LGA53080",1143,
"LGA53150",6932,
"LGA53220",11950,
"LGA53290",13477,
"LGA53360",2393,
"LGA53430",26583,
"LGA53520",36447,
"LGA53570",4687,
"LGA53640",1271,
"LGA53710",986,
"LGA53780",106584,
"LGA53920",3562,
"LGA53990",23238,
"LGA54060",3568,
