Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA3 (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"SA3 (UR)",
"10102",57333,
"10103",19365,
"10104",70642,
"10105",35561,
"10106",35939,
"10201",169052,
"10202",158688,
"10301",46592,
"10302",55339,
"10303",46611,
"10304",57612,
"10401",50268,
"10402",86026,
"10501",24148,
"10502",20220,
"10503",69411,
"10601",87675,
"10602",74163,
"10603",71380,
"10604",30198,
"10701",75354,
"10702",7,
"10703",89839,
"10704",128299,
"10801",31268,
"10802",48125,
"10803",381,
"10804",78566,
"10805",53861,
"10901",61267,
"10902",12553,
"10903",41979,
"11001",37089,
"11002",38344,
"11003",25626,
"11004",80498,
"11101",120014,
"11102",75207,
"11103",163881,
"11201",78281,
"11202",69949,
"11203",91374,
"11301",48140,
"11302",14437,
"11303",93359,
"11401",99489,
"11402",47873,
"11501",143739,
"11502",26228,
"11503",24590,
"11504",33181,
"11601",134751,
"11602",92820,
"11603",112066,
"11701",46692,
"11702",54612,
"11703",214245,
"11801",126382,
"11802",140651,
"11901",171428,
"11902",135069,
"11903",127191,
"11904",137725,
"12001",85355,
"12002",56067,
"12003",151870,
"12101",112244,
"12102",80603,
"12103",118372,
"12104",94139,
"12201",41892,
"12202",60439,
"12203",150545,
"12301",62514,
"12302",158398,
"12303",41153,
"12401",76697,
"12402",5,
"12403",139688,
"12404",36547,
"12405",53995,
"12501",89670,
"12502",66573,
"12503",151259,
"12504",140890,
"12601",47588,
"12602",134531,
"12701",102811,
"12702",185802,
"12703",117350,
"12801",109845,
"12802",108038,
"19797",419,
"19999",12288,
"20101",103819,
"20102",28309,
"20103",25368,
"20201",94384,
"20202",47292,
"20203",11419,
"20301",19024,
"20302",188184,
"20303",71725,
"20401",53839,
"20402",46103,
"20403",70244,
"20501",48629,
"20502",45147,
"20503",61665,
"20504",73099,
"20505",42872,
"20601",86256,
"20602",52064,
"20603",66597,
"20604",135967,
"20605",100870,
"20606",62467,
"20607",87453,
"20701",167232,
"20702",90376,
"20703",102039,
"20801",97092,
"20802",148434,
"20803",116817,
"20804",41363,
"20901",121869,
"20902",94654,
"20903",65120,
"20904",213712,
"21001",58565,
"21002",29575,
"21003",75504,
"21004",39368,
