Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"LGA (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"LGA (UR)",
"LGA36950",3612,
"LGA36960",4517,
"LGA37010",186753,
"LGA37300",3907,
"LGA37310",33444,
"LGA37340",33782,
"LGA37400",1128,
"LGA37550",960,
"LGA37570",281,
"LGA37600",2560,
"LGA39499",12515,
"LGA39799",152,
"LGA40070",22064,
"LGA40120",38864,
"LGA40220",25871,
"LGA40250",2270,
"LGA40310",23560,
"LGA40430",2542,
"LGA40520",10545,
"LGA40700",43912,
"LGA40910",50159,
"LGA41010",3406,
"LGA41060",111761,
"LGA41140",9021,
"LGA41190",1770,
"LGA41330",1766,
"LGA41560",14138,
"LGA41750",1045,
"LGA41830",1640,
"LGA41960",1298,
"LGA42030",23035,
"LGA42110",4134,
"LGA42250",8201,
"LGA42600",35361,
"LGA42750",4702,
"LGA43080",1088,
"LGA43220",1055,
"LGA43360",2347,
"LGA43650",14733,
"LGA43710",5507,
"LGA43790",11481,
"LGA43920",8801,
"LGA44000",62,
"LGA44060",88618,
"LGA44210",8641,
"LGA44340",64806,
"LGA44550",33394,
"LGA44620",26281,
"LGA44830",2861,
"LGA45040",20862,
"LGA45090",8291,
"LGA45120",4529,
"LGA45290",35357,
"LGA45340",166766,
"LGA45400",899,
"LGA45540",1678,
"LGA45680",89375,
"LGA45890",121233,
"LGA46090",13812,
"LGA46300",14062,
"LGA46450",17361,
"LGA46510",20523,
"LGA46670",9475,
"LGA46860",1375,
"LGA46970",3881,
"LGA47140",137981,
"LGA47290",2028,
"LGA47490",2076,
"LGA47630",6620,
"LGA47700",97737,
"LGA47800",5386,
"LGA47910",2608,
"LGA47980",37717,
"LGA48050",14661,
"LGA48130",6804,
"LGA48260",7553,
"LGA48340",11676,
"LGA48410",57898,
"LGA48540",21829,
"LGA48640",1249,
"LGA48750",5160,
"LGA48830",11060,
"LGA49399",3524,
"LGA49499",2862,
"LGA49799",8,
"LGA50080",36585,
"LGA50210",79596,
"LGA50250",13026,
"LGA50280",14257,
"LGA50350",15093,
"LGA50420",64674,
"LGA50490",39685,
"LGA50560",1749,
"LGA50630",1846,
"LGA50770",1702,
"LGA50840",4661,
"LGA50910",974,
"LGA50980",16217,
"LGA51080",1142,
"LGA51120",926,
"LGA51190",31920,
"LGA51260",36688,
"LGA51310",26782,
"LGA51330",90187,
"LGA51400",17121,
"LGA51470",551,
"LGA51540",5524,
"LGA51610",1416,
"LGA51680",5474,
"LGA51750",10055,
"LGA51820",104472,
"LGA51890",8798,
"LGA51960",3613,
"LGA52030",1038,
"LGA52100",1147,
"LGA52170",7594,
"LGA52240",1084,
"LGA52310",864,
"LGA52380",192,
"LGA52450",1456,
"LGA52520",1428,
"LGA52590",3212,
"LGA52660",14028,
"LGA52730",5850,
"LGA52800",7728,
"LGA52870",5871,
"LGA52940",693,
"LGA53010",673,
"LGA53080",767,
"LGA53150",7375,
"LGA53220",10591,
"LGA53290",14238,
"LGA53360",2727,
"LGA53430",28893,
"LGA53570",5218,
"LGA53640",1219,
"LGA53710",1036,
"LGA53780",118073,
"LGA53800",38632,
"LGA53920",3267,
"LGA53990",26549,
"LGA54060",3569,
"LGA54130",1106,
"LGA54170",154443,
"LGA54200",57451,
"LGA54280",30053,
"LGA54310",21472,
"LGA54340",4150,
"LGA54410",1224,
"LGA54480",563,
"LGA54550",1981,
"LGA54620",875,
"LGA54690",415,
"LGA54760",764,
"LGA54830",38921,
"LGA54900",1266,
"LGA54970",1156,
"LGA55040",1406,
"LGA55110",80808,
"LGA55180",9253,
"LGA55250",1066,
"LGA55320",98076,
"LGA55390",490,
"LGA55460",3353,
"LGA55530",459,
"LGA55600",2433,
"LGA55670",746,
"LGA55740",8755,
"LGA55810",482,
"LGA55880",526,
"LGA55950",553,
"LGA56090",38159,
"LGA56160",153,
"LGA56230",16696,
"LGA56300",1329,
"LGA56370",810,
"LGA56460",5158,
"LGA56580",21114,
"LGA56620",1606,
"LGA56730",11115,
"LGA56790",3322,
"LGA56860",251,
"LGA56930",1637,
"LGA57000",616,
"LGA57080",21798,
"LGA57140",1150,
"LGA57210",5078,
"LGA57280",14465,
"LGA57350",1020,
"LGA57420",1732,
"LGA57490",125112,
"LGA57630",89,
"LGA57700",26831,
"LGA57770",947,
"LGA57840",41989,
"LGA57910",210209,
"LGA57980",19363,
"LGA58050",133851,
"LGA58190",401,
"LGA58260",592,
"LGA58330",4442,
"LGA58400",348,
"LGA58470",280,
"LGA58510",34990,
"LGA58540",913,
"LGA58570",33696,
"LGA58610",1850,
"LGA58680",448,
"LGA58760",188216,
"LGA58820",4150,
"LGA58890",805,
"LGA59030",307,
"LGA59100",720,
"LGA59170",979,
"LGA59250",745,
