Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Local Government Area (LGA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Local Government Area (LGA)",
"South Gippsland (S)",25739,
"Southern Grampians (S)",16634,
"Stonnington (C)",89885,
"Strathbogie (S)",9296,
"Surf Coast (S)",21766,
"Swan Hill (RC)",20631,
"Towong (S)",6018,
"Wangaratta (RC)",26390,
"Warrnambool (C)",30394,
"Wellington (S)",40080,
"West Wimmera (S)",4472,
"Whitehorse (C)",144767,
"Whittlesea (C)",124651,
"Wodonga (RC)",33006,
"Wyndham (C)",112698,
"Yarra (C)",69329,
"Yarra Ranges (S)",140216,
"Yarriambiack (S)",7516,
"VIC Unincorporated",777,
"VIC No Usual Address",6394,
"Aramac (S)",724,
"Atherton (S)",10910,
"Aurukun (S)",1046,
"Badu (IC)",821,
"Balonne (S)",4629,
"Bamaga (IC)",781,
"Banana (S)",13355,
"Barcaldine (S)",1617,
"Barcoo (S)",360,
"Bauhinia (S)",2188,
"Beaudesert (S)",62440,
"Belyando (S)",10452,
"Bendemere (S)",989,
"Biggenden (S)",1523,
"Blackall (S)",1458,
"Boigu (IC)",282,
"Boonah (S)",8643,
"Booringa (S)",1702,
"Boulia (S)",419,
"Bowen (S)",12379,
"Brisbane (C)",956130,
"Broadsound (S)",6845,
"Bulloo (S)",374,
"Bundaberg (C)",45806,
"Bungil (S)",2055,
"Burdekin (S)",17016,
"Burke (S)",497,
"Burnett (S)",26294,
"Caboolture (S)",132473,
"Cairns (C)",127434,
"Calliope (S)",16541,
"Caloundra (C)",87593,
"Cambooya (S)",5815,
"Cardwell (S)",9525,
"Carpentaria (S)",1937,
"Charters Towers (C)",7979,
"Cherbourg (S)",1131,
"Chinchilla (S)",5941,
"Clifton (S)",2612,
"Cloncurry (S)",3135,
"Cook (S)",3463,
"Cooloola (S)",36070,
"Crow's Nest (S)",12640,
"Croydon (S)",254,
"Dalby (T)",9776,
"Dalrymple (S)",3505,
"Dauan (IC)",150,
"Diamantina (S)",284,
"Doomadgee (S)",1083,
"Douglas (S)",10191,
"Duaringa (S)",6741,
"Eacham (S)",6362,
"Eidsvold (S)",862,
"Emerald (S)",14352,
"Erub (IC)",317,
"Esk (S)",15162,
"Etheridge (S)",849,
"Fitzroy (S)",10573,
"Flinders (S)",1788,
"Gatton (S)",15639,
"Gayndah (S)",2786,
"Gladstone (C)",29084,
"Gold Coast (C)",472280,
"Goondiwindi (T)",4713,
"Hammond (IC)",215,
"Herberton (S)",5422,
