Australian Bureau of Statistics

"2011 Census - Counting Persons, Place of Usual Residence"
"SA3"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"SA3",
"Goulburn - Yass",67500,
"Queanbeyan",53511,
"Snowy Mountains",18931,
"South Coast",67880,
"Gosford",163110,
"Wyong",149076,
"Bathurst",43555,
"Lachlan Valley",54796,
"Lithgow - Mudgee",43918,
"Orange",54469,
"Clarence Valley",49238,
"Coffs Harbour",81365,
"Bourke - Cobar - Coonamble",25292,
"Broken Hill and Far West",21202,
"Dubbo",67100,
"Lower Hunter",81987,
"Maitland",64205,
"Port Stephens",67501,
"Upper Hunter",29548,
"Dapto - Port Kembla",71918,
"Illawarra Catchment Reserve",11,
"Kiama - Shellharbour",83530,
"Wollongong",120524,
"Great Lakes",29849,
"Kempsey - Nambucca",46830,
"Lord Howe Island",359,
"Port Macquarie",72712,
"Taree - Gloucester",51358,
"Albury",57437,
"Lower Murray",12423,
"Upper Murray exc. Albury",40458,
"Armidale",35945,
"Inverell - Tenterfield",37759,
"Moree - Narrabri",25686,
"Tamworth - Gunnedah",76804,
"Lake Macquarie - East",116866,
"Lake Macquarie - West",70006,
"Newcastle",155737,
"Richmond Valley - Coastal",73230,
"Richmond Valley - Hinterland",69287,
"Tweed Valley",85107,
"Griffith - Murrumbidgee (West)",46595,
"Tumut - Tumbarumba",14330,
"Wagga Wagga",89193,
"Shoalhaven",92619,
"Southern Highlands",44386,
"Baulkham Hills",133822,
"Dural - Wisemans Ferry",25338,
"Hawkesbury",24075,
"Rouse Hill - McGraths Hill",27181,
"Blacktown",125024,
"Blacktown - North",74776,
"Mount Druitt",103727,
"Botany",39359,
"Marrickville - Sydenham - Petersham",50612,
"Sydney Inner City",174573,
"Eastern Suburbs - North",120559,
"Eastern Suburbs - South",128988,
"Bankstown",159073,
"Canterbury",125427,
"Hurstville",116602,
"Kogarah - Rockdale",122498,
"Canada Bay",74155,
"Leichhardt",52198,
"Strathfield - Burwood - Ashfield",137205,
"Chatswood - Lane Cove",100200,
"Hornsby",76535,
"Ku-ring-gai",109579,
"North Sydney - Mosman",88354,
"Manly",39748,
"Pittwater",57154,
"Warringah",140739,
"Camden",52235,
"Campbelltown (NSW)",147168,
"Wollondilly",36401,
"Blue Mountains",75699,
"Blue Mountains - South",8,
"Penrith",124673,
"Richmond - Windsor",35751,
"St Marys",52066,
"Auburn",74419,
"Carlingford",59598,
"Merrylands - Guildford",135916,
"Parramatta",124776,
"Pennant Hills - Epping",43007,
"Ryde - Hunters Hill",119843,
"Bringelly - Green Valley",80339,
"Fairfield",175637,
"Liverpool",104187,
"Cronulla - Miranda - Caringbah",104367,
"Sutherland - Menai - Heathcote",105898,
"Migratory - Offshore - Shipping (NSW)",112,
"No Usual Address (NSW)",12917,
"Ballarat",95582,
"Creswick - Daylesford - Ballan",26767,
"Maryborough - Pyrenees",23891,
"Bendigo",86078,
"Heathcote - Castlemaine - Kyneton",43431,
"Loddon - Elmore",11188,
"Barwon - West",16615,
"Geelong",173450,
"Surf Coast - Bellarine Peninsula",60581,
"Upper Goulburn Valley",49911,
"Wangaratta - Benalla",44232,
