Australian Bureau of Statistics

"2011 Census - Counting Persons, Place of Usual Residence"
"SA3"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"SA3",
"10101",67500,
"10102",53511,
"10103",18931,
"10104",67880,
"10201",163110,
"10202",149076,
"10301",43555,
"10302",54796,
"10303",43918,
"10304",54469,
"10401",49238,
"10402",81365,
"10501",25292,
"10502",21202,
"10503",67100,
"10601",81987,
"10602",64205,
"10603",67501,
"10604",29548,
"10701",71918,
"10702",11,
"10703",83530,
"10704",120524,
"10801",29849,
"10802",46830,
"10803",359,
"10804",72712,
"10805",51358,
"10901",57437,
"10902",12423,
"10903",40458,
"11001",35945,
"11002",37759,
"11003",25686,
"11004",76804,
"11101",116866,
"11102",70006,
"11103",155737,
"11201",73230,
"11202",69287,
"11203",85107,
"11301",46595,
"11302",14330,
"11303",89193,
"11401",92619,
"11402",44386,
"11501",133822,
"11502",25338,
"11503",24075,
"11504",27181,
"11601",125024,
"11602",74776,
"11603",103727,
"11701",39359,
"11702",50612,
"11703",174573,
"11801",120559,
"11802",128988,
"11901",159073,
"11902",125427,
"11903",116602,
"11904",122498,
"12001",74155,
"12002",52198,
"12003",137205,
"12101",100200,
"12102",76535,
"12103",109579,
"12104",88354,
"12201",39748,
"12202",57154,
"12203",140739,
"12301",52235,
"12302",147168,
"12303",36401,
"12401",75699,
"12402",8,
"12403",124673,
"12404",35751,
"12405",52066,
"12501",74419,
"12502",59598,
"12503",135916,
"12504",124776,
"12601",43007,
"12602",119843,
"12701",80339,
"12702",175637,
"12703",104187,
"12801",104367,
"12802",105898,
"19797",112,
"19999",12917,
"20101",95582,
"20102",26767,
"20103",23891,
"20201",86078,
"20202",43431,
"20203",11188,
"20301",16615,
"20302",173450,
"20303",60581,
"20401",49911,
"20402",44232,
"20403",65149,
"20501",42987,
"20502",42294,
"20503",57018,
"20504",72216,
"20505",41336,
"20601",78898,
"20602",48558,
"20603",60931,
"20604",93615,
"20605",91381,
"20606",53783,
"20607",74834,
"20701",159184,
"20702",85909,
"20703",94913,
"20801",91813,
"20802",138067,
"20803",108974,
"20804",39366,
"20901",118308,
"20902",87917,
"20903",63922,
"20904",166907,
"21001",54823,
"21002",26639,
"21003",67611,
"21004",36852,
"21005",132560,
"21101",149341,
"21102",25505,
"21103",103411,
"21104",57134,
"21105",143710,
"21201",74338,
"21202",124022,
"21203",128361,
"21204",169067,
"21205",162229,
"21301",174422,
"21302",79415,
"21303",71633,
"21304",124562,
"21305",166020,
"21401",126456,
"21402",144608,
"21501",59247,
"21502",50979,
"21503",37203,
"21601",36549,
"21602",28124,
"21603",60222,
"21701",35994,
"21702",84669,
"29797",36,
"29999",8307,
"30101",69942,
"30102",76459,
"30103",65028,
"30201",37764,
"30202",65892,
"30203",34567,
"30204",52822,
"30301",47010,
"30302",65187,
"30303",65661,
"30304",36515,
"30305",53642,
"30306",46067,
"30401",32064,
"30402",43621,
"30403",47295,
"30404",47374,
"30501",57581,
"30502",37576,
"30503",75273,
"30504",53543,
"30601",47218,
"30602",94729,
"30603",33463,
"30604",10786,
"30605",38236,
"30701",43409,
"30702",40361,
"30703",38500,
