Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA4 (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"SA4 (UR)",
"Capital Region",218842,
"Central Coast",327736,
"Central West",206158,
"Coffs Harbour - Grafton",136287,
"Far West and Orana",113778,
"Hunter Valley exc Newcastle",263419,
"Illawarra",293498,
"Mid North Coast",212197,
"Murray",115802,
"New England and North West",181559,
"Newcastle and Lake Macquarie",359104,
"Richmond - Tweed",239599,
"Riverina",155932,
"Southern Highlands and Shoalhaven",147359,
"Sydney - Baulkham Hills and Hawkesbury",227741,
"Sydney - Blacktown",339641,
"Sydney - City and Inner South",315551,
"Sydney - Eastern Suburbs",267031,
"Sydney - Inner South West",571417,
"Sydney - Inner West",293303,
"Sydney - North Sydney and Hornsby",405354,
"Sydney - Northern Beaches",252876,
"Sydney - Outer South West",262065,
"Sydney - Outer West and Blue Mountains",306933,
"Sydney - Parramatta",448391,
"Sydney - Ryde",182120,
"Sydney - South West",405963,
"Sydney - Sutherland",217877,
"Migratory - Offshore - Shipping (NSW)",419,
"No Usual Address (NSW)",12288,
"Ballarat",157488,
"Bendigo",153087,
"Geelong",278930,
"Hume",170193,
"Latrobe - Gippsland",271413,
"Melbourne - Inner",591681,
"Melbourne - Inner East",359646,
"Melbourne - Inner South",403703,
"Melbourne - North East",495351,
"Melbourne - North West",363368,
"Melbourne - Outer East",499608,
"Melbourne - South East",755266,
"Melbourne - West",727443,
"Mornington Peninsula",289139,
"North West",150035,
"Shepparton",129969,
"Warrnambool and South West",122695,
"Migratory - Offshore - Shipping (Vic.)",26,
"No Usual Address (Vic.)",7572,
"Brisbane - East",223095,
"Brisbane - North",206519,
"Brisbane - South",340571,
"Brisbane - West",178989,
"Brisbane Inner City",250208,
"Cairns",240190,
"Darling Downs - Maranoa",126286,
"Central Queensland",220914,
"Gold Coast",569993,
"Ipswich",323065,
"Logan - Beaudesert",317297,
"Mackay - Isaac - Whitsunday",169688,
"Moreton Bay - North",236093,
"Moreton Bay - South",194963,
"Queensland - Outback",79702,
"Sunshine Coast",346518,
"Toowoomba",149513,
"Townsville",229033,
"Wide Bay",287887,
"Migratory - Offshore - Shipping (Qld)",152,
"No Usual Address (Qld)",12515,
"Adelaide - Central and Hills",289548,
"Adelaide - North",423084,
"Adelaide - South",355338,
"Adelaide - West",227744,
"Barossa - Yorke - Mid North",110514,
"South Australia - Outback",82818,
"South Australia - South East",184737,
"Migratory - Offshore - Shipping (SA)",8,
"No Usual Address (SA)",2862,
"Bunbury",176328,
"Mandurah",96738,
"Perth - Inner",169299,
"Perth - North East",251020,
"Perth - North West",535114,
"Perth - South East",488357,
"Perth - South West",403336,
"Western Australia - Wheat Belt",135356,
"Western Australia - Outback (North)",93920,
"Western Australia - Outback (South)",118568,
"Migratory - Offshore - Shipping (WA)",431,
"No Usual Address (WA)",5950,
"Hobart",222356,
"Launceston and North East",140485,
"South East",37118,
"West and North West",109027,
"Migratory - Offshore - Shipping (Tas.)",75,
"No Usual Address (Tas.)",911,
"Darwin",136831,
"Northern Territory - Outback",89446,
"Migratory - Offshore - Shipping (NT)",73,
"No Usual Address (NT)",2485,
"Australian Capital Territory",396853,
"Migratory - Offshore - Shipping (ACT)",0,
"No Usual Address (ACT)",541,
"Other Territories",4523,
"Migratory - Offshore - Shipping (OT)",4,
"No Usual Address (OT)",54,
"Total",23401891,

"Dataset: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
