Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Local Government Area (LGA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Local Government Area (LGA)",
"LGA32740",150,
"LGA32750",284,
"LGA32770",1083,
"LGA32800",10191,
"LGA32850",6741,
"LGA32900",6362,
"LGA32950",862,
"LGA33000",14352,
"LGA33030",317,
"LGA33050",15162,
"LGA33100",849,
"LGA33150",10573,
"LGA33200",1788,
"LGA33250",15639,
"LGA33300",2786,
"LGA33350",29084,
"LGA33460",472280,
"LGA33600",4713,
"LGA33650",215,
"LGA33700",5422,
"LGA33750",52219,
"LGA33800",11558,
"LGA33830",782,
"LGA33840",309,
"LGA33850",266,
"LGA33900",2536,
"LGA33930",416,
"LGA33960",140181,
"LGA34000",6295,
"LGA34050",263,
"LGA34100",920,
"LGA34150",18251,
"LGA34200",14098,
"LGA34250",3436,
"LGA34300",3450,
"LGA34350",12220,
"LGA34400",4563,
"LGA34420",1023,
"LGA34430",200,
"LGA34450",14480,
"LGA34550",28868,
"LGA34570",550,
"LGA34600",173263,
"LGA34700",3525,
"LGA34740",251,
"LGA34760",84887,
"LGA34800",893,
"LGA34830",242,
"LGA34850",18211,
"LGA34900",142843,
"LGA34950",25701,
"LGA34970",480,
"LGA35000",3101,
"LGA35050",5407,
"LGA35100",5129,
"LGA35150",2436,
"LGA35250",1032,
"LGA35300",19660,
"LGA35350",2984,
"LGA35450",2119,
"LGA35500",3458,
"LGA35550",2687,
"LGA35600",4579,
"LGA35650",9017,
"LGA35670",838,
"LGA35700",2523,
"LGA35730",346,
"LGA35750",45831,
"LGA35770",1981,
"LGA35800",1927,
"LGA35850",3185,
"LGA35900",426,
"LGA35950",141143,
"LGA36050",4783,
"LGA36070",597,
"LGA36100",167,
"LGA36150",982,
"LGA36200",51178,
"LGA36250",127627,
"LGA36300",900,
"LGA36350",58749,
"LGA36400",6505,
"LGA36450",9037,
"LGA36470",338,
"LGA36480",239,
"LGA36550",10722,
"LGA36570",164,
"LGA36600",10126,
"LGA36650",563,
"LGA36700",3673,
"LGA36750",2386,
"LGA36800",59170,
"LGA36850",5326,
"LGA36900",90198,
"LGA36950",3233,
"LGA37000",95464,
"LGA37090",76,
"LGA37110",230,
"LGA37120",2875,
"LGA37150",5226,
"LGA37170",246,
"LGA37200",1035,
"LGA37260",21534,
"LGA37300",2832,
"LGA37330",16954,
"LGA37400",1382,
"LGA37450",4401,
"LGA37500",3439,
"LGA37550",848,
