"LGA_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
10050,"all","8-9","Year 3",2008,"Numeracy",405.3
10050,"all","8-9","Year 3",2009,"Numeracy",399.8
10050,"all","8-9","Year 3",2010,"Numeracy",390.4
10050,"all","8-9","Year 3",2011,"Numeracy",399
10050,"all","8-9","Year 3",2012,"Numeracy",388.5
10050,"all","8-9","Year 3",2013,"Numeracy",388.7
10050,"all","8-9","Year 3",2014,"Numeracy",392.8
10050,"all","8-9","Year 3",2015,"Numeracy",388.3
10050,"all","8-9","Year 3",2016,"Numeracy",385.3
10050,"all","8-9","Year 3",2017,"Numeracy",395.7
10050,"all","8-9","Year 3",2018,"Numeracy",398.1
10050,"all","8-9","Year 3",2019,"Numeracy",402.3
10050,"all","8-9","Year 3",2021,"Numeracy",390.1
10130,"all","8-9","Year 3",2008,"Numeracy",407.4
10130,"all","8-9","Year 3",2009,"Numeracy",402.9
10130,"all","8-9","Year 3",2010,"Numeracy",404.9
10130,"all","8-9","Year 3",2011,"Numeracy",393.6
10130,"all","8-9","Year 3",2012,"Numeracy",387.2
10130,"all","8-9","Year 3",2013,"Numeracy",388
10130,"all","8-9","Year 3",2014,"Numeracy",385.5
10130,"all","8-9","Year 3",2015,"Numeracy",377.5
10130,"all","8-9","Year 3",2016,"Numeracy",383.7
10130,"all","8-9","Year 3",2017,"Numeracy",395.1
10130,"all","8-9","Year 3",2018,"Numeracy",388.9
10130,"all","8-9","Year 3",2019,"Numeracy",385.9
10130,"all","8-9","Year 3",2021,"Numeracy",380.2
10250,"all","8-9","Year 3",2008,"Numeracy",411.3
10250,"all","8-9","Year 3",2009,"Numeracy",397.9
10250,"all","8-9","Year 3",2010,"Numeracy",397.2
10250,"all","8-9","Year 3",2011,"Numeracy",408.5
10250,"all","8-9","Year 3",2012,"Numeracy",403.9
10250,"all","8-9","Year 3",2013,"Numeracy",399.4
10250,"all","8-9","Year 3",2014,"Numeracy",406
10250,"all","8-9","Year 3",2015,"Numeracy",404.6
10250,"all","8-9","Year 3",2016,"Numeracy",404.1
10250,"all","8-9","Year 3",2017,"Numeracy",411.8
10250,"all","8-9","Year 3",2018,"Numeracy",411.4
10250,"all","8-9","Year 3",2019,"Numeracy",417.2
10250,"all","8-9","Year 3",2021,"Numeracy",411.8
10300,"all","8-9","Year 3",2008,"Numeracy",379.5
10300,"all","8-9","Year 3",2009,"Numeracy",348.3
10300,"all","8-9","Year 3",2010,"Numeracy",391.2
10300,"all","8-9","Year 3",2011,"Numeracy",364.2
10300,"all","8-9","Year 3",2012,"Numeracy",346.6
10300,"all","8-9","Year 3",2013,"Numeracy",353.4
10300,"all","8-9","Year 3",2014,"Numeracy",374
10300,"all","8-9","Year 3",2015,"Numeracy",369
10300,"all","8-9","Year 3",2016,"Numeracy",366.6
10300,"all","8-9","Year 3",2017,"Numeracy",385.5
10300,"all","8-9","Year 3",2018,"Numeracy",383.2
10300,"all","8-9","Year 3",2019,"Numeracy",349.4
10300,"all","8-9","Year 3",2021,"Numeracy",354.9
10470,"all","8-9","Year 3",2008,"Numeracy",405.4
10470,"all","8-9","Year 3",2009,"Numeracy",401.4
10470,"all","8-9","Year 3",2010,"Numeracy",398.4
10470,"all","8-9","Year 3",2011,"Numeracy",394.2
10470,"all","8-9","Year 3",2012,"Numeracy",400.6
10470,"all","8-9","Year 3",2013,"Numeracy",390.5
10470,"all","8-9","Year 3",2014,"Numeracy",393.7
10470,"all","8-9","Year 3",2015,"Numeracy",392.4
10470,"all","8-9","Year 3",2016,"Numeracy",397.6
10470,"all","8-9","Year 3",2017,"Numeracy",405.5
10470,"all","8-9","Year 3",2018,"Numeracy",400.8
