"LGA_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
10050,"all","12-13","Year 7",2011,"Writing",513.4
10050,"all","12-13","Year 7",2012,"Writing",510.9
10050,"all","12-13","Year 7",2013,"Writing",507.4
10050,"all","12-13","Year 7",2014,"Writing",496.7
10050,"all","12-13","Year 7",2015,"Writing",496.1
10050,"all","12-13","Year 7",2016,"Writing",496.1
10050,"all","12-13","Year 7",2017,"Writing",495.5
10050,"all","12-13","Year 7",2018,"Writing",488.1
10050,"all","12-13","Year 7",2019,"Writing",492.6
10050,"all","12-13","Year 7",2021,"Writing",509.3
10130,"all","12-13","Year 7",2011,"Writing",510.4
10130,"all","12-13","Year 7",2012,"Writing",517.9
10130,"all","12-13","Year 7",2013,"Writing",503.6
10130,"all","12-13","Year 7",2014,"Writing",502
10130,"all","12-13","Year 7",2015,"Writing",498.3
10130,"all","12-13","Year 7",2016,"Writing",510.2
10130,"all","12-13","Year 7",2017,"Writing",500.7
10130,"all","12-13","Year 7",2018,"Writing",494.3
10130,"all","12-13","Year 7",2019,"Writing",495
10130,"all","12-13","Year 7",2021,"Writing",505.9
10250,"all","12-13","Year 7",2011,"Writing",522.6
10250,"all","12-13","Year 7",2012,"Writing",507.3
10250,"all","12-13","Year 7",2013,"Writing",513.7
10250,"all","12-13","Year 7",2014,"Writing",494.3
10250,"all","12-13","Year 7",2015,"Writing",499.9
10250,"all","12-13","Year 7",2016,"Writing",506
10250,"all","12-13","Year 7",2017,"Writing",507.7
10250,"all","12-13","Year 7",2018,"Writing",510.8
10250,"all","12-13","Year 7",2019,"Writing",513.9
10250,"all","12-13","Year 7",2021,"Writing",517.7
10300,"all","12-13","Year 7",2011,"Writing",496.3
10300,"all","12-13","Year 7",2012,"Writing",478.7
10300,"all","12-13","Year 7",2013,"Writing",427.6
10300,"all","12-13","Year 7",2014,"Writing",498
10300,"all","12-13","Year 7",2015,"Writing",508
10300,"all","12-13","Year 7",2016,"Writing",462.3
10300,"all","12-13","Year 7",2017,"Writing",499.1
10300,"all","12-13","Year 7",2018,"Writing",467.7
10300,"all","12-13","Year 7",2019,"Writing",521.3
10300,"all","12-13","Year 7",2021,"Writing",501.2
10470,"all","12-13","Year 7",2011,"Writing",506.5
10470,"all","12-13","Year 7",2012,"Writing",506.7
10470,"all","12-13","Year 7",2013,"Writing",504.3
10470,"all","12-13","Year 7",2014,"Writing",498.4
10470,"all","12-13","Year 7",2015,"Writing",499.5
10470,"all","12-13","Year 7",2016,"Writing",511.2
10470,"all","12-13","Year 7",2017,"Writing",503.5
10470,"all","12-13","Year 7",2018,"Writing",493.1
10470,"all","12-13","Year 7",2019,"Writing",505.3
10470,"all","12-13","Year 7",2021,"Writing",515.5
10550,"all","12-13","Year 7",2011,"Writing",511.1
10550,"all","12-13","Year 7",2012,"Writing",489.3
10550,"all","12-13","Year 7",2013,"Writing",494.2
10550,"all","12-13","Year 7",2014,"Writing",480.1
10550,"all","12-13","Year 7",2015,"Writing",481.1
10550,"all","12-13","Year 7",2016,"Writing",495
10550,"all","12-13","Year 7",2017,"Writing",477
10550,"all","12-13","Year 7",2018,"Writing",486
10550,"all","12-13","Year 7",2019,"Writing",496.3
10550,"all","12-13","Year 7",2021,"Writing",500
10600,"all","12-13","Year 7",2011,"Writing",514.3
10600,"all","12-13","Year 7",2012,"Writing",489.9
10600,"all","12-13","Year 7",2013,"Writing",485.8
10600,"all","12-13","Year 7",2014,"Writing",478.1
10600,"all","12-13","Year 7",2015,"Writing",474.3
10600,"all","12-13","Year 7",2016,"Writing",498.6
10600,"all","12-13","Year 7",2017,"Writing",486
10600,"all","12-13","Year 7",2018,"Writing",464
10600,"all","12-13","Year 7",2019,"Writing",508.6
10600,"all","12-13","Year 7",2021,"Writing",505.6
10650,"all","12-13","Year 7",2011,"Writing",493.4
10650,"all","12-13","Year 7",2012,"Writing",507
10650,"all","12-13","Year 7",2013,"Writing",487
10650,"all","12-13","Year 7",2014,"Writing",496.2
10650,"all","12-13","Year 7",2015,"Writing",476.7
10650,"all","12-13","Year 7",2016,"Writing",488.5
10650,"all","12-13","Year 7",2017,"Writing",497.2
10650,"all","12-13","Year 7",2018,"Writing",453.2
10650,"all","12-13","Year 7",2019,"Writing",471
10650,"all","12-13","Year 7",2021,"Writing",495.7
10750,"all","12-13","Year 7",2011,"Writing",507.9
10750,"all","12-13","Year 7",2012,"Writing",501.1
10750,"all","12-13","Year 7",2013,"Writing",499.8
10750,"all","12-13","Year 7",2014,"Writing",497.1
10750,"all","12-13","Year 7",2015,"Writing",494.2
10750,"all","12-13","Year 7",2016,"Writing",502.5
10750,"all","12-13","Year 7",2017,"Writing",502.8
10750,"all","12-13","Year 7",2018,"Writing",503.9
10750,"all","12-13","Year 7",2019,"Writing",509.1
10750,"all","12-13","Year 7",2021,"Writing",525.5
10800,"all","12-13","Year 7",2011,"Writing",486.7
10800,"all","12-13","Year 7",2012,"Writing",473.6
10800,"all","12-13","Year 7",2013,"Writing",465
10800,"all","12-13","Year 7",2014,"Writing",494.5
10800,"all","12-13","Year 7",2015,"Writing",507.9
10800,"all","12-13","Year 7",2016,"Writing",489.6
10800,"all","12-13","Year 7",2017,"Writing",490.1
10800,"all","12-13","Year 7",2018,"Writing",485.7
10800,"all","12-13","Year 7",2019,"Writing",484.8
10800,"all","12-13","Year 7",2021,"Writing",482.3
10850,"all","12-13","Year 7",2011,"Writing",497.1
10850,"all","12-13","Year 7",2012,"Writing",503.5
10850,"all","12-13","Year 7",2013,"Writing",491.8
10850,"all","12-13","Year 7",2014,"Writing",486.1
10850,"all","12-13","Year 7",2015,"Writing",498.3
10850,"all","12-13","Year 7",2016,"Writing",485.5
10850,"all","12-13","Year 7",2017,"Writing",484
10850,"all","12-13","Year 7",2018,"Writing",485.5
10850,"all","12-13","Year 7",2019,"Writing",502.2
10850,"all","12-13","Year 7",2021,"Writing",512.2
10900,"all","12-13","Year 7",2011,"Writing",528.4
10900,"all","12-13","Year 7",2012,"Writing",524.1
10900,"all","12-13","Year 7",2013,"Writing",517.2
10900,"all","12-13","Year 7",2014,"Writing",514.5
10900,"all","12-13","Year 7",2015,"Writing",505.7
10900,"all","12-13","Year 7",2016,"Writing",521.4
10900,"all","12-13","Year 7",2017,"Writing",517.4
10900,"all","12-13","Year 7",2018,"Writing",507.3
10900,"all","12-13","Year 7",2019,"Writing",513.7
10900,"all","12-13","Year 7",2021,"Writing",531.7
10950,"all","12-13","Year 7",2011,"Writing",478.3
10950,"all","12-13","Year 7",2012,"Writing",479
10950,"all","12-13","Year 7",2013,"Writing",474.5
10950,"all","12-13","Year 7",2014,"Writing",450.2
10950,"all","12-13","Year 7",2015,"Writing",449.6
10950,"all","12-13","Year 7",2016,"Writing",453.1
10950,"all","12-13","Year 7",2017,"Writing",472.1
10950,"all","12-13","Year 7",2018,"Writing",471.5
10950,"all","12-13","Year 7",2019,"Writing",484.4
10950,"all","12-13","Year 7",2021,"Writing",502.1
11100,"all","12-13","Year 7",2011,"Writing",495.9
11100,"all","12-13","Year 7",2012,"Writing",465
11100,"all","12-13","Year 7",2013,"Writing",488.1
11100,"all","12-13","Year 7",2014,"Writing",433.5
11100,"all","12-13","Year 7",2015,"Writing",469.6
11100,"all","12-13","Year 7",2016,"Writing",468.2
11100,"all","12-13","Year 7",2017,"Writing",427.6
11100,"all","12-13","Year 7",2018,"Writing",477.7
11100,"all","12-13","Year 7",2019,"Writing",495
11100,"all","12-13","Year 7",2021,"Writing",507.7
11150,"all","12-13","Year 7",2011,"Writing",441.6
11150,"all","12-13","Year 7",2012,"Writing",434.2
11150,"all","12-13","Year 7",2013,"Writing",423
11150,"all","12-13","Year 7",2014,"Writing",366
11150,"all","12-13","Year 7",2015,"Writing",426.9
11150,"all","12-13","Year 7",2016,"Writing",439.2
11150,"all","12-13","Year 7",2017,"Writing",391.7
11150,"all","12-13","Year 7",2018,"Writing",423.1
11150,"all","12-13","Year 7",2019,"Writing",446
11150,"all","12-13","Year 7",2021,"Writing",416.5
11200,"all","12-13","Year 7",2011,"Writing",356.3
11200,"all","12-13","Year 7",2012,"Writing",381.4
11200,"all","12-13","Year 7",2013,"Writing",358.9
11200,"all","12-13","Year 7",2014,"Writing",451.1
11200,"all","12-13","Year 7",2015,"Writing",363
11200,"all","12-13","Year 7",2016,"Writing",397.7
11200,"all","12-13","Year 7",2017,"Writing",401.5
11200,"all","12-13","Year 7",2018,"Writing",402
11200,"all","12-13","Year 7",2019,"Writing",416
11200,"all","12-13","Year 7",2021,"Writing",421.8
11250,"all","12-13","Year 7",2011,"Writing",483
11250,"all","12-13","Year 7",2012,"Writing",473.9
