"LGA_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
10050,"all","10-11","Year 5",2008,"Grammar and Punctuation",506.3
10050,"all","10-11","Year 5",2009,"Grammar and Punctuation",502.6
10050,"all","10-11","Year 5",2010,"Grammar and Punctuation",500.7
10050,"all","10-11","Year 5",2011,"Grammar and Punctuation",504.6
10050,"all","10-11","Year 5",2012,"Grammar and Punctuation",482.7
10050,"all","10-11","Year 5",2013,"Grammar and Punctuation",495.7
10050,"all","10-11","Year 5",2014,"Grammar and Punctuation",494.9
10050,"all","10-11","Year 5",2015,"Grammar and Punctuation",480.7
10050,"all","10-11","Year 5",2016,"Grammar and Punctuation",485.3
10050,"all","10-11","Year 5",2017,"Grammar and Punctuation",475.2
10050,"all","10-11","Year 5",2018,"Grammar and Punctuation",485
10050,"all","10-11","Year 5",2019,"Grammar and Punctuation",483.6
10050,"all","10-11","Year 5",2021,"Grammar and Punctuation",484.9
10130,"all","10-11","Year 5",2008,"Grammar and Punctuation",507.3
10130,"all","10-11","Year 5",2009,"Grammar and Punctuation",496.8
10130,"all","10-11","Year 5",2010,"Grammar and Punctuation",499.6
10130,"all","10-11","Year 5",2011,"Grammar and Punctuation",499.2
10130,"all","10-11","Year 5",2012,"Grammar and Punctuation",505.7
10130,"all","10-11","Year 5",2013,"Grammar and Punctuation",502.9
10130,"all","10-11","Year 5",2014,"Grammar and Punctuation",496.8
10130,"all","10-11","Year 5",2015,"Grammar and Punctuation",500.3
10130,"all","10-11","Year 5",2016,"Grammar and Punctuation",492.5
10130,"all","10-11","Year 5",2017,"Grammar and Punctuation",477.2
10130,"all","10-11","Year 5",2018,"Grammar and Punctuation",480.5
10130,"all","10-11","Year 5",2019,"Grammar and Punctuation",482.9
10130,"all","10-11","Year 5",2021,"Grammar and Punctuation",469.7
10250,"all","10-11","Year 5",2008,"Grammar and Punctuation",514.1
10250,"all","10-11","Year 5",2009,"Grammar and Punctuation",509.9
10250,"all","10-11","Year 5",2010,"Grammar and Punctuation",501.2
10250,"all","10-11","Year 5",2011,"Grammar and Punctuation",509.2
10250,"all","10-11","Year 5",2012,"Grammar and Punctuation",492
10250,"all","10-11","Year 5",2013,"Grammar and Punctuation",503.8
10250,"all","10-11","Year 5",2014,"Grammar and Punctuation",507
10250,"all","10-11","Year 5",2015,"Grammar and Punctuation",507.4
10250,"all","10-11","Year 5",2016,"Grammar and Punctuation",513.6
10250,"all","10-11","Year 5",2017,"Grammar and Punctuation",496
10250,"all","10-11","Year 5",2018,"Grammar and Punctuation",507
10250,"all","10-11","Year 5",2019,"Grammar and Punctuation",493.3
10250,"all","10-11","Year 5",2021,"Grammar and Punctuation",499.8
10300,"all","10-11","Year 5",2008,"Grammar and Punctuation",492.8
10300,"all","10-11","Year 5",2009,"Grammar and Punctuation",472.7
10300,"all","10-11","Year 5",2010,"Grammar and Punctuation",465.5
10300,"all","10-11","Year 5",2011,"Grammar and Punctuation",453.2
10300,"all","10-11","Year 5",2012,"Grammar and Punctuation",479.4
10300,"all","10-11","Year 5",2013,"Grammar and Punctuation",468.2
10300,"all","10-11","Year 5",2014,"Grammar and Punctuation",446.5
10300,"all","10-11","Year 5",2015,"Grammar and Punctuation",460.9
10300,"all","10-11","Year 5",2016,"Grammar and Punctuation",451
10300,"all","10-11","Year 5",2017,"Grammar and Punctuation",496.2
10300,"all","10-11","Year 5",2018,"Grammar and Punctuation",442.8
10300,"all","10-11","Year 5",2019,"Grammar and Punctuation",474.8
10300,"all","10-11","Year 5",2021,"Grammar and Punctuation",447.7
10470,"all","10-11","Year 5",2008,"Grammar and Punctuation",497.6
10470,"all","10-11","Year 5",2009,"Grammar and Punctuation",500.3
10470,"all","10-11","Year 5",2010,"Grammar and Punctuation",498.9
10470,"all","10-11","Year 5",2011,"Grammar and Punctuation",501.9
10470,"all","10-11","Year 5",2012,"Grammar and Punctuation",490.9
10470,"all","10-11","Year 5",2013,"Grammar and Punctuation",503.1
10470,"all","10-11","Year 5",2014,"Grammar and Punctuation",501.1
10470,"all","10-11","Year 5",2015,"Grammar and Punctuation",488.8
10470,"all","10-11","Year 5",2016,"Grammar and Punctuation",494.9
10470,"all","10-11","Year 5",2017,"Grammar and Punctuation",483.2
10470,"all","10-11","Year 5",2018,"Grammar and Punctuation",497.2
10470,"all","10-11","Year 5",2019,"Grammar and Punctuation",491.7
10470,"all","10-11","Year 5",2021,"Grammar and Punctuation",498.7
10550,"all","10-11","Year 5",2008,"Grammar and Punctuation",488.4
10550,"all","10-11","Year 5",2009,"Grammar and Punctuation",497.3
10550,"all","10-11","Year 5",2010,"Grammar and Punctuation",500.2
10550,"all","10-11","Year 5",2011,"Grammar and Punctuation",491.1
10550,"all","10-11","Year 5",2012,"Grammar and Punctuation",480.8
10550,"all","10-11","Year 5",2013,"Grammar and Punctuation",487.9
10550,"all","10-11","Year 5",2014,"Grammar and Punctuation",482.5
10550,"all","10-11","Year 5",2015,"Grammar and Punctuation",478.8
10550,"all","10-11","Year 5",2016,"Grammar and Punctuation",503.3
10550,"all","10-11","Year 5",2017,"Grammar and Punctuation",480.3
10550,"all","10-11","Year 5",2018,"Grammar and Punctuation",481.2
10550,"all","10-11","Year 5",2019,"Grammar and Punctuation",473.9
10550,"all","10-11","Year 5",2021,"Grammar and Punctuation",472.8
10600,"all","10-11","Year 5",2008,"Grammar and Punctuation",503.4
10600,"all","10-11","Year 5",2009,"Grammar and Punctuation",510.4
10600,"all","10-11","Year 5",2010,"Grammar and Punctuation",510.5
10600,"all","10-11","Year 5",2011,"Grammar and Punctuation",483.5
10600,"all","10-11","Year 5",2012,"Grammar and Punctuation",491.8
10600,"all","10-11","Year 5",2013,"Grammar and Punctuation",495.6
10600,"all","10-11","Year 5",2014,"Grammar and Punctuation",492.4
10600,"all","10-11","Year 5",2015,"Grammar and Punctuation",495.3
10600,"all","10-11","Year 5",2016,"Grammar and Punctuation",491.5
10600,"all","10-11","Year 5",2017,"Grammar and Punctuation",501
10600,"all","10-11","Year 5",2018,"Grammar and Punctuation",483.8
10600,"all","10-11","Year 5",2019,"Grammar and Punctuation",488.5
10600,"all","10-11","Year 5",2021,"Grammar and Punctuation",479.9
10650,"all","10-11","Year 5",2008,"Grammar and Punctuation",485.6
10650,"all","10-11","Year 5",2009,"Grammar and Punctuation",498.9
10650,"all","10-11","Year 5",2010,"Grammar and Punctuation",517.3
10650,"all","10-11","Year 5",2011,"Grammar and Punctuation",494.1
10650,"all","10-11","Year 5",2012,"Grammar and Punctuation",468.7
10650,"all","10-11","Year 5",2013,"Grammar and Punctuation",469
10650,"all","10-11","Year 5",2014,"Grammar and Punctuation",487.2
10650,"all","10-11","Year 5",2015,"Grammar and Punctuation",480.9
10650,"all","10-11","Year 5",2016,"Grammar and Punctuation",480
10650,"all","10-11","Year 5",2017,"Grammar and Punctuation",467.1
10650,"all","10-11","Year 5",2018,"Grammar and Punctuation",496.7
10650,"all","10-11","Year 5",2019,"Grammar and Punctuation",483.2
10650,"all","10-11","Year 5",2021,"Grammar and Punctuation",485.9
10750,"all","10-11","Year 5",2008,"Grammar and Punctuation",483.3
10750,"all","10-11","Year 5",2009,"Grammar and Punctuation",485.2
10750,"all","10-11","Year 5",2010,"Grammar and Punctuation",492
10750,"all","10-11","Year 5",2011,"Grammar and Punctuation",489.3
10750,"all","10-11","Year 5",2012,"Grammar and Punctuation",482.3
10750,"all","10-11","Year 5",2013,"Grammar and Punctuation",489.4
10750,"all","10-11","Year 5",2014,"Grammar and Punctuation",497.5
10750,"all","10-11","Year 5",2015,"Grammar and Punctuation",492.5
10750,"all","10-11","Year 5",2016,"Grammar and Punctuation",497.4
10750,"all","10-11","Year 5",2017,"Grammar and Punctuation",489
10750,"all","10-11","Year 5",2018,"Grammar and Punctuation",495.2
10750,"all","10-11","Year 5",2019,"Grammar and Punctuation",496.2
10750,"all","10-11","Year 5",2021,"Grammar and Punctuation",506.6
10800,"all","10-11","Year 5",2008,"Grammar and Punctuation",481.5
10800,"all","10-11","Year 5",2009,"Grammar and Punctuation",489.5
10800,"all","10-11","Year 5",2010,"Grammar and Punctuation",485
10800,"all","10-11","Year 5",2011,"Grammar and Punctuation",494.7
10800,"all","10-11","Year 5",2012,"Grammar and Punctuation",468.7
10800,"all","10-11","Year 5",2013,"Grammar and Punctuation",480.8
10800,"all","10-11","Year 5",2014,"Grammar and Punctuation",472.1
10800,"all","10-11","Year 5",2015,"Grammar and Punctuation",479
10800,"all","10-11","Year 5",2016,"Grammar and Punctuation",474
10800,"all","10-11","Year 5",2017,"Grammar and Punctuation",463.1
10800,"all","10-11","Year 5",2018,"Grammar and Punctuation",467.8
10800,"all","10-11","Year 5",2019,"Grammar and Punctuation",468.6
10800,"all","10-11","Year 5",2021,"Grammar and Punctuation",476.9
10850,"all","10-11","Year 5",2008,"Grammar and Punctuation",487.4
10850,"all","10-11","Year 5",2009,"Grammar and Punctuation",473.3
10850,"all","10-11","Year 5",2010,"Grammar and Punctuation",492.2
10850,"all","10-11","Year 5",2011,"Grammar and Punctuation",484.6
10850,"all","10-11","Year 5",2012,"Grammar and Punctuation",467.8
10850,"all","10-11","Year 5",2013,"Grammar and Punctuation",504.4
10850,"all","10-11","Year 5",2014,"Grammar and Punctuation",500.3
10850,"all","10-11","Year 5",2015,"Grammar and Punctuation",508.2
10850,"all","10-11","Year 5",2016,"Grammar and Punctuation",507.3
10850,"all","10-11","Year 5",2017,"Grammar and Punctuation",481.6
10850,"all","10-11","Year 5",2018,"Grammar and Punctuation",499.2
10850,"all","10-11","Year 5",2019,"Grammar and Punctuation",484.3
10850,"all","10-11","Year 5",2021,"Grammar and Punctuation",508.3
10900,"all","10-11","Year 5",2008,"Grammar and Punctuation",517.7
10900,"all","10-11","Year 5",2009,"Grammar and Punctuation",525.3
10900,"all","10-11","Year 5",2010,"Grammar and Punctuation",522.4
10900,"all","10-11","Year 5",2011,"Grammar and Punctuation",527.9
10900,"all","10-11","Year 5",2012,"Grammar and Punctuation",518.9
10900,"all","10-11","Year 5",2013,"Grammar and Punctuation",513.2
10900,"all","10-11","Year 5",2014,"Grammar and Punctuation",521.8
10900,"all","10-11","Year 5",2015,"Grammar and Punctuation",512.2
10900,"all","10-11","Year 5",2016,"Grammar and Punctuation",515.5
10900,"all","10-11","Year 5",2017,"Grammar and Punctuation",505.8
10900,"all","10-11","Year 5",2018,"Grammar and Punctuation",520.2
10900,"all","10-11","Year 5",2019,"Grammar and Punctuation",513.1
10900,"all","10-11","Year 5",2021,"Grammar and Punctuation",517.2
10950,"all","10-11","Year 5",2008,"Grammar and Punctuation",500.1
10950,"all","10-11","Year 5",2009,"Grammar and Punctuation",477.1
10950,"all","10-11","Year 5",2010,"Grammar and Punctuation",476.9
10950,"all","10-11","Year 5",2011,"Grammar and Punctuation",464.5
10950,"all","10-11","Year 5",2012,"Grammar and Punctuation",410.6
10950,"all","10-11","Year 5",2013,"Grammar and Punctuation",450
10950,"all","10-11","Year 5",2014,"Grammar and Punctuation",461.8
10950,"all","10-11","Year 5",2015,"Grammar and Punctuation",457.3
10950,"all","10-11","Year 5",2016,"Grammar and Punctuation",462.2
10950,"all","10-11","Year 5",2017,"Grammar and Punctuation",452
10950,"all","10-11","Year 5",2018,"Grammar and Punctuation",461.2
10950,"all","10-11","Year 5",2019,"Grammar and Punctuation",452.6
10950,"all","10-11","Year 5",2021,"Grammar and Punctuation",466.1
11100,"all","10-11","Year 5",2008,"Grammar and Punctuation",490.9
11100,"all","10-11","Year 5",2009,"Grammar and Punctuation",498.4
11100,"all","10-11","Year 5",2010,"Grammar and Punctuation",503.6
11100,"all","10-11","Year 5",2011,"Grammar and Punctuation",519.8
11100,"all","10-11","Year 5",2012,"Grammar and Punctuation",505.6
11100,"all","10-11","Year 5",2013,"Grammar and Punctuation",513.3
11100,"all","10-11","Year 5",2014,"Grammar and Punctuation",517.8
11100,"all","10-11","Year 5",2015,"Grammar and Punctuation",514
11100,"all","10-11","Year 5",2016,"Grammar and Punctuation",512.4
11100,"all","10-11","Year 5",2017,"Grammar and Punctuation",515.7
11100,"all","10-11","Year 5",2018,"Grammar and Punctuation",511.3
11100,"all","10-11","Year 5",2019,"Grammar and Punctuation",517
11100,"all","10-11","Year 5",2021,"Grammar and Punctuation",525.4
11150,"all","10-11","Year 5",2008,"Grammar and Punctuation",430.7
11150,"all","10-11","Year 5",2009,"Grammar and Punctuation",414.8
11150,"all","10-11","Year 5",2010,"Grammar and Punctuation",439.1
11150,"all","10-11","Year 5",2011,"Grammar and Punctuation",426.9
11150,"all","10-11","Year 5",2012,"Grammar and Punctuation",419.8
11150,"all","10-11","Year 5",2013,"Grammar and Punctuation",443.8
11150,"all","10-11","Year 5",2014,"Grammar and Punctuation",450.5
11150,"all","10-11","Year 5",2015,"Grammar and Punctuation",441.5
11150,"all","10-11","Year 5",2016,"Grammar and Punctuation",444.1
11150,"all","10-11","Year 5",2017,"Grammar and Punctuation",443.9
11150,"all","10-11","Year 5",2018,"Grammar and Punctuation",422.3
11150,"all","10-11","Year 5",2019,"Grammar and Punctuation",423.9
11150,"all","10-11","Year 5",2021,"Grammar and Punctuation",423
11200,"all","10-11","Year 5",2008,"Grammar and Punctuation",430.5
11200,"all","10-11","Year 5",2009,"Grammar and Punctuation",377.5
11200,"all","10-11","Year 5",2010,"Grammar and Punctuation",391.1
11200,"all","10-11","Year 5",2011,"Grammar and Punctuation",365.3
11200,"all","10-11","Year 5",2012,"Grammar and Punctuation",406.7
11200,"all","10-11","Year 5",2013,"Grammar and Punctuation",428.9
11200,"all","10-11","Year 5",2014,"Grammar and Punctuation",359.7
11200,"all","10-11","Year 5",2015,"Grammar and Punctuation",407.3
11200,"all","10-11","Year 5",2016,"Grammar and Punctuation",378.1
11200,"all","10-11","Year 5",2017,"Grammar and Punctuation",396
11200,"all","10-11","Year 5",2018,"Grammar and Punctuation",408.5
11200,"all","10-11","Year 5",2019,"Grammar and Punctuation",379.4
11200,"all","10-11","Year 5",2021,"Grammar and Punctuation",407.7
11250,"all","10-11","Year 5",2008,"Grammar and Punctuation",483.1
11250,"all","10-11","Year 5",2009,"Grammar and Punctuation",463.7
11250,"all","10-11","Year 5",2010,"Grammar and Punctuation",465.8
11250,"all","10-11","Year 5",2011,"Grammar and Punctuation",479
