"SA3_CODE16","sex","age_group","calendar_year","number_of_enrolment"
10102,"female","18-24","2008",1603
10102,"female","18-24","2009",1606
10102,"female","18-24","2010",1546
10102,"female","18-24","2011",1547
10102,"female","18-24","2012",1415
10102,"female","18-24","2013",1577
10102,"female","18-24","2014",1687
10102,"female","18-24","2015",1872
10102,"female","18-24","2016",2097
10102,"female","18-24","2017",2076
10102,"female","18-24","2018",2028
10102,"female","18-24","2019",2113
10102,"female","18-24","2020",2052
10102,"female","18-24","2021",1919
10102,"female","18-24","2022",1961
10102,"male","18-24","2008",1456
10102,"male","18-24","2009",1456
10102,"male","18-24","2010",1335
10102,"male","18-24","2011",1392
10102,"male","18-24","2012",1260
10102,"male","18-24","2013",1423
10102,"male","18-24","2014",1633
10102,"male","18-24","2015",1734
10102,"male","18-24","2016",1986
10102,"male","18-24","2017",1929
10102,"male","18-24","2018",2005
10102,"male","18-24","2019",2120
10102,"male","18-24","2020",2005
10102,"male","18-24","2021",1877
10102,"male","18-24","2022",2017
10103,"female","18-24","2008",1027
10103,"female","18-24","2009",989
10103,"female","18-24","2010",895
10103,"female","18-24","2011",898
10103,"female","18-24","2012",785
10103,"female","18-24","2013",939
10103,"female","18-24","2014",956
10103,"female","18-24","2015",524
10103,"female","18-24","2016",610
10103,"female","18-24","2017",629
10103,"female","18-24","2018",623
10103,"female","18-24","2019",643
10103,"female","18-24","2020",588
10103,"female","18-24","2021",493
10103,"female","18-24","2022",563
10103,"male","18-24","2008",893
10103,"male","18-24","2009",843
10103,"male","18-24","2010",748
10103,"male","18-24","2011",755
10103,"male","18-24","2012",648
10103,"male","18-24","2013",784
10103,"male","18-24","2014",814
10103,"male","18-24","2015",583
10103,"male","18-24","2016",655
10103,"male","18-24","2017",653
10103,"male","18-24","2018",660
10103,"male","18-24","2019",642
10103,"male","18-24","2020",604
10103,"male","18-24","2021",490
10103,"male","18-24","2022",540
10104,"female","18-24","2008",1861
10104,"female","18-24","2009",1875
10104,"female","18-24","2010",1751
10104,"female","18-24","2011",1741
10104,"female","18-24","2012",1573
10104,"female","18-24","2013",1695
10104,"female","18-24","2014",1810
10104,"female","18-24","2015",1666
10104,"female","18-24","2016",1900
10104,"female","18-24","2017",1953
10104,"female","18-24","2018",1871
10104,"female","18-24","2019",1930
10104,"female","18-24","2020",1812
10104,"female","18-24","2021",1607
10104,"female","18-24","2022",1716
10104,"male","18-24","2008",1620
10104,"male","18-24","2009",1652
10104,"male","18-24","2010",1523
