"SA4_CODE16","sex","age_group","calendar_year","number_of_enrolment","rate_of_enrolment"
101,"female","18-24",2008,4491,0.6
101,"female","18-24",2009,4470,0.6
101,"female","18-24",2010,4192,0.6
101,"female","18-24",2011,4186,0.6
101,"female","18-24",2012,3773,0.6
101,"female","18-24",2013,4211,0.6
101,"female","18-24",2014,4453,0.6
101,"female","18-24",2015,4062,0.6
101,"female","18-24",2016,4607,0.6
101,"female","18-24",2017,4658,0.6
101,"female","18-24",2018,4522,0.5
101,"female","18-24",2019,7234,0.5
101,"female","18-24",2020,6822,0.5
101,"female","18-24",2021,6187,0.5
101,"female","18-24",2022,6548,0.5
101,"male","18-24",2008,3969,0.5
101,"male","18-24",2009,3951,0.5
101,"male","18-24",2010,3606,0.5
101,"male","18-24",2011,3712,0.5
101,"male","18-24",2012,3291,0.5
101,"male","18-24",2013,3870,0.5
101,"male","18-24",2014,4175,0.5
101,"male","18-24",2015,3962,0.5
101,"male","18-24",2016,4592,0.5
101,"male","18-24",2017,4570,0.5
101,"male","18-24",2018,4615,0.6
101,"male","18-24",2019,7358,0.6
101,"male","18-24",2020,6885,0.6
101,"male","18-24",2021,6201,0.6
101,"male","18-24",2022,6723,0.6
102,"female","18-24",2015,10931,0.6
102,"female","18-24",2016,12692,0.5
102,"female","18-24",2017,12766,0.5
102,"female","18-24",2018,12518,0.5
102,"female","18-24",2019,12727,0.5
102,"female","18-24",2020,12043,0.5
102,"female","18-24",2021,11662,0.5
102,"female","18-24",2022,11767,0.5
102,"male","18-24",2015,10773,0.5
102,"male","18-24",2016,12757,0.6
102,"male","18-24",2017,12969,0.6
102,"male","18-24",2018,12799,0.6
102,"male","18-24",2019,13096,0.6
102,"male","18-24",2020,12159,0.6
102,"male","18-24",2021,11780,0.6
102,"male","18-24",2022,11982,0.6
103,"female","18-24",2015,6849,0.6
103,"female","18-24",2016,7720,0.6
103,"female","18-24",2017,7588,0.5
103,"female","18-24",2018,7411,0.5
103,"female","18-24",2019,7387,0.5
103,"female","18-24",2020,6966,0.5
103,"female","18-24",2021,6906,0.5
103,"female","18-24",2022,7108,0.5
103,"male","18-24",2015,6564,0.5
103,"male","18-24",2016,7718,0.5
103,"male","18-24",2017,7721,0.6
103,"male","18-24",2018,7510,0.6
103,"male","18-24",2019,7637,0.6
103,"male","18-24",2020,7214,0.6
103,"male","18-24",2021,7051,0.6
103,"male","18-24",2022,7390,0.6
104,"female","18-24",2015,3721,0.5
104,"female","18-24",2016,4255,0.5
104,"female","18-24",2017,4298,0.5
104,"female","18-24",2018,4149,0.5
104,"female","18-24",2019,4185,0.5
104,"female","18-24",2020,3881,0.5
104,"female","18-24",2021,3539,0.5
104,"female","18-24",2022,3832,0.5
104,"male","18-24",2015,3737,0.6
104,"male","18-24",2016,4461,0.6
104,"male","18-24",2017,4541,0.6
104,"male","18-24",2018,4367,0.6
104,"male","18-24",2019,4488,0.6
104,"male","18-24",2020,4076,0.6
104,"male","18-24",2021,3739,0.6
104,"male","18-24",2022,3924,0.6
105,"female","18-24",2008,1227,0.6
105,"female","18-24",2009,1239,0.6
105,"female","18-24",2010,1202,0.6
105,"female","18-24",2011,1230,0.6
105,"female","18-24",2012,1182,0.6
105,"female","18-24",2013,1298,0.6
105,"female","18-24",2014,1429,0.6
105,"female","18-24",2015,3721,0.6
105,"female","18-24",2016,4174,0.6
105,"female","18-24",2017,4109,0.5
105,"female","18-24",2018,4004,0.6
