"SA2_CODE16","sex","age_group","calendar_year","rate_of_enrolment"
101021007,"female","18-24","2008",0.55
101021007,"female","18-24","2009",0.55
101021007,"female","18-24","2010",0.6
101021007,"female","18-24","2011",0.6
101021007,"female","18-24","2012",0.6
101021007,"female","18-24","2013",0.6
101021007,"female","18-24","2014",0.6
101021007,"female","18-24","2015",0.5
101021007,"female","18-24","2016",0.5
101021007,"female","18-24","2017",0.6
101021007,"female","18-24","2018",0.5
101021007,"female","18-24","2019",0.5
101021007,"female","18-24","2020",0.5
101021007,"female","18-24","2021",0.5
101021007,"female","18-24","2022",0.6
101021008,"female","18-24","2008",0.6
101021008,"female","18-24","2009",0.6
101021008,"female","18-24","2010",0.57
101021008,"female","18-24","2011",0.58
101021008,"female","18-24","2012",0.59
101021008,"female","18-24","2013",0.58
101021008,"female","18-24","2014",0.56
101021008,"female","18-24","2015",0.6
101021008,"female","18-24","2016",0.5
101021008,"female","18-24","2017",0.5
101021008,"female","18-24","2018",0.5
101021008,"female","18-24","2019",0.5
101021008,"female","18-24","2020",0.5
101021008,"female","18-24","2021",0.5
101021008,"female","18-24","2022",0.5
101021009,"female","18-24","2008",0.6
101021009,"female","18-24","2009",0.6
101021009,"female","18-24","2010",0.6
101021009,"female","18-24","2011",0.6
101021009,"female","18-24","2012",0.6
101021009,"female","18-24","2013",0.6
101021009,"female","18-24","2014",0.6
101021009,"female","18-24","2015",0.6
101021009,"female","18-24","2016",0.6
101021009,"female","18-24","2017",0.6
101021009,"female","18-24","2018",0.6
101021009,"female","18-24","2019",0.5
101021009,"female","18-24","2020",0.5
101021009,"female","18-24","2021",0.5
101021009,"female","18-24","2022",0.5
101021010,"female","18-24","2008",0.5
101021010,"female","18-24","2009",0.5
101021010,"female","18-24","2010",0.6
101021010,"female","18-24","2011",0.6
101021010,"female","18-24","2012",0.6
101021010,"female","18-24","2013",0.6
101021010,"female","18-24","2014",0.5
101021010,"female","18-24","2015",0.6
101021010,"female","18-24","2016",0.6
101021010,"female","18-24","2017",0.55
101021010,"female","18-24","2018",0.6
101021010,"female","18-24","2019",0.6
101021010,"female","18-24","2020",0.6
101021010,"female","18-24","2021",0.56
101021010,"female","18-24","2022",0.6
101021011,"female","18-24","2008",0.57
101021011,"female","18-24","2009",0.6
101021011,"female","18-24","2010",0.58
101021011,"female","18-24","2011",0.6
101021011,"female","18-24","2012",0.5
101021011,"female","18-24","2013",0.5
101021011,"female","18-24","2014",0.5
101021011,"female","18-24","2015",0.6
101021011,"female","18-24","2016",0.6
101021011,"female","18-24","2017",0.6
101021011,"female","18-24","2018",0.6
101021011,"female","18-24","2019",0.6
101021011,"female","18-24","2020",0.6
101021011,"female","18-24","2021",0.6
101021011,"female","18-24","2022",0.6
101021012,"female","18-24","2008",0.6
101021012,"female","18-24","2009",0.6
101021012,"female","18-24","2010",0.6
101021012,"female","18-24","2011",0.6
101021012,"female","18-24","2012",0.6
101021012,"female","18-24","2013",0.6
101021012,"female","18-24","2014",0.6
101021012,"female","18-24","2015",0.6
