"SA3_CODE16","sex","age_group","calendar_year","rate_of_enrolment"
10102,"female","18-24","2008",0.6
10102,"female","18-24","2009",0.6
10102,"female","18-24","2010",0.6
10102,"female","18-24","2011",0.6
10102,"female","18-24","2012",0.6
10102,"female","18-24","2013",0.6
10102,"female","18-24","2014",0.6
10102,"female","18-24","2015",0.6
10102,"female","18-24","2016",0.6
10102,"female","18-24","2017",0.6
10102,"female","18-24","2018",0.6
10102,"female","18-24","2019",0.5
10102,"female","18-24","2020",0.6
10102,"female","18-24","2021",0.6
10102,"female","18-24","2022",0.5
10103,"female","18-24","2008",0.6
10103,"female","18-24","2009",0.6
10103,"female","18-24","2010",0.6
10103,"female","18-24","2011",0.6
10103,"female","18-24","2012",0.6
10103,"female","18-24","2013",0.6
10103,"female","18-24","2014",0.6
10103,"female","18-24","2015",0.5
10103,"female","18-24","2016",0.5
10103,"female","18-24","2017",0.5
10103,"female","18-24","2018",0.5
10103,"female","18-24","2019",0.6
10103,"female","18-24","2020",0.5
10103,"female","18-24","2021",0.6
10103,"female","18-24","2022",0.6
10104,"female","18-24","2008",0.6
10104,"female","18-24","2009",0.6
10104,"female","18-24","2010",0.6
10104,"female","18-24","2011",0.6
10104,"female","18-24","2012",0.6
10104,"female","18-24","2013",0.6
10104,"female","18-24","2014",0.6
10104,"female","18-24","2015",0.6
10104,"female","18-24","2016",0.5
10104,"female","18-24","2017",0.5
10104,"female","18-24","2018",0.5
10104,"female","18-24","2019",0.5
10104,"female","18-24","2020",0.5
10104,"female","18-24","2021",0.5
10104,"female","18-24","2022",0.5
10105,"female","18-24","2019",0.5
10105,"female","18-24","2020",0.5
10105,"female","18-24","2021",0.5
10105,"female","18-24","2022",0.5
10106,"female","18-24","2019",0.6
10106,"female","18-24","2020",0.6
10106,"female","18-24","2021",0.6
10106,"female","18-24","2022",0.6
10201,"female","18-24","2015",0.5
10201,"female","18-24","2016",0.5
10201,"female","18-24","2017",0.5
10201,"female","18-24","2018",0.5
10201,"female","18-24","2019",0.5
10201,"female","18-24","2020",0.5
10201,"female","18-24","2021",0.6
10201,"female","18-24","2022",0.5
10202,"female","18-24","2015",0.6
10202,"female","18-24","2016",0.6
10202,"female","18-24","2017",0.5
10202,"female","18-24","2018",0.5
10202,"female","18-24","2019",0.5
10202,"female","18-24","2020",0.5
10202,"female","18-24","2021",0.5
10202,"female","18-24","2022",0.5
10301,"female","18-24","2015",0.6
10301,"female","18-24","2016",0.6
10301,"female","18-24","2017",0.5
10301,"female","18-24","2018",0.5
10301,"female","18-24","2019",0.5
10301,"female","18-24","2020",0.5
10301,"female","18-24","2021",0.5
10301,"female","18-24","2022",0.5
10302,"female","18-24","2015",0.6
10302,"female","18-24","2016",0.5
10302,"female","18-24","2017",0.5
10302,"female","18-24","2018",0.5
10302,"female","18-24","2019",0.5
10302,"female","18-24","2020",0.5
10302,"female","18-24","2021",0.6
10302,"female","18-24","2022",0.6
10303,"female","18-24","2015",0.6
10303,"female","18-24","2016",0.5
