"SA3_CODE16","sex","age_group","calendar_year","number_of_enrolment","rate_of_enrolment"
10302,"female","18-24",2020,1809,0.5
10302,"female","18-24",2021,1816,0.6
10302,"female","18-24",2022,1850,0.6
10302,"male","18-24",2015,1742,0.5
10302,"male","18-24",2016,2093,0.6
10302,"male","18-24",2017,2079,0.6
10302,"male","18-24",2018,1989,0.6
10302,"male","18-24",2019,2001,0.6
10302,"male","18-24",2020,1837,0.6
10302,"male","18-24",2021,1795,0.5
10302,"male","18-24",2022,1823,0.5
10303,"female","18-24",2015,1336,0.6
10303,"female","18-24",2016,1472,0.5
10303,"female","18-24",2017,1498,0.5
10303,"female","18-24",2018,1446,0.5
10303,"female","18-24",2019,1413,0.5
10303,"female","18-24",2020,1340,0.5
10303,"female","18-24",2021,1325,0.5
10303,"female","18-24",2022,1406,0.5
10303,"male","18-24",2015,1329,0.5
10303,"male","18-24",2016,1589,0.6
10303,"male","18-24",2017,1613,0.6
10303,"male","18-24",2018,1567,0.6
10303,"male","18-24",2019,1608,0.6
10303,"male","18-24",2020,1522,0.6
10303,"male","18-24",2021,1508,0.6
10303,"male","18-24",2022,1626,0.6
10304,"female","18-24",2015,1989,0.6
10304,"female","18-24",2016,2235,0.6
10304,"female","18-24",2017,2206,0.6
10304,"female","18-24",2018,2169,0.6
10304,"female","18-24",2019,2175,0.6
10304,"female","18-24",2020,2071,0.6
10304,"female","18-24",2021,2008,0.6
10304,"female","18-24",2022,2009,0.5
10304,"male","18-24",2015,1909,0.5
10304,"male","18-24",2016,2164,0.5
10304,"male","18-24",2017,2137,0.5
10304,"male","18-24",2018,2052,0.5
10304,"male","18-24",2019,2131,0.5
10304,"male","18-24",2020,2036,0.5
10304,"male","18-24",2021,1979,0.5
10304,"male","18-24",2022,2058,0.6
10401,"female","18-24",2015,1308,0.5
10401,"female","18-24",2016,1490,0.5
10401,"female","18-24",2017,1529,0.5
10401,"female","18-24",2018,1455,0.5
10401,"female","18-24",2019,1526,0.5
10401,"female","18-24",2020,1347,0.5
10401,"female","18-24",2021,1091,0.5
10401,"female","18-24",2022,1312,0.6
10401,"male","18-24",2015,1346,0.6
10401,"male","18-24",2016,1598,0.6
10401,"male","18-24",2017,1610,0.6
10401,"male","18-24",2018,1525,0.6
10401,"male","18-24",2019,1650,0.6
10401,"male","18-24",2020,1419,0.6
10401,"male","18-24",2021,1134,0.6
10401,"male","18-24",2022,1267,0.5
10402,"female","18-24",2015,2413,0.6
10402,"female","18-24",2016,2765,0.5
10402,"female","18-24",2017,2769,0.5
10402,"female","18-24",2018,2694,0.5
10402,"female","18-24",2019,2659,0.5
10402,"female","18-24",2020,2534,0.5
10402,"female","18-24",2021,2448,0.5
10402,"female","18-24",2022,2520,0.5
10402,"male","18-24",2015,2391,0.5
10402,"male","18-24",2016,2863,0.6
10402,"male","18-24",2017,2931,0.6
10402,"male","18-24",2018,2842,0.6
10402,"male","18-24",2019,2838,0.6
10402,"male","18-24",2020,2657,0.6
10402,"male","18-24",2021,2605,0.6
10402,"male","18-24",2022,2657,0.6
10501,"female","18-24",2015,695,0.6
10501,"female","18-24",2016,785,0.5
10501,"female","18-24",2017,777,0.6
10501,"female","18-24",2018,724,0.5
10501,"female","18-24",2019,754,0.5
10501,"female","18-24",2020,699,0.6
10501,"female","18-24",2021,666,0.5
10501,"female","18-24",2022,661,0.5
10501,"male","18-24",2015,679,0.5
10501,"male","18-24",2016,797,0.6
10501,"male","18-24",2017,773,0.5
10501,"male","18-24",2018,744,0.6
10501,"male","18-24",2019,756,0.6
10501,"male","18-24",2020,662,0.5
10501,"male","18-24",2021,678,0.6
10501,"male","18-24",2022,682,0.6
10502,"female","18-24",2015,603,0.6
10502,"female","18-24",2016,664,0.6
10502,"female","18-24",2017,650,0.6
10502,"female","18-24",2018,600,0.5
10502,"female","18-24",2019,616,0.5
10502,"female","18-24",2020,597,0.5
10502,"female","18-24",2021,564,0.5
10502,"female","18-24",2022,565,0.5
10502,"male","18-24",2015,545,0.5
10502,"male","18-24",2016,651,0.5
10502,"male","18-24",2017,647,0.5
10502,"male","18-24",2018,625,0.6
10502,"male","18-24",2019,646,0.6
10502,"male","18-24",2020,618,0.6
10502,"male","18-24",2021,603,0.6
10502,"male","18-24",2022,597,0.6
10503,"female","18-24",2008,1227,0.6
10503,"female","18-24",2009,1239,0.6
10503,"female","18-24",2010,1202,0.6
10503,"female","18-24",2011,1230,0.6
10503,"female","18-24",2012,1182,0.6
10503,"female","18-24",2013,1298,0.6
