"STE_CODE16","sex","age_group","calendar_year","type_of_road_user","n_fatally_injured_in_road_accident"
"2","male","17-25",2022,"passenger",5
"3","female","17-25",2008,"driver",4
"3","female","17-25",2008,"other",3
"3","female","17-25",2008,"passenger",7
"3","female","17-25",2009,"driver",12
"3","female","17-25",2009,"other",1
"3","female","17-25",2009,"passenger",10
"3","female","17-25",2010,"driver",5
"3","female","17-25",2010,"other",2
"3","female","17-25",2010,"passenger",4
"3","female","17-25",2011,"driver",2
"3","female","17-25",2011,"other",4
"3","female","17-25",2011,"passenger",4
"3","female","17-25",2012,"driver",8
"3","female","17-25",2012,"other",2
"3","female","17-25",2012,"passenger",9
"3","female","17-25",2013,"driver",13
"3","female","17-25",2013,"other",1
"3","female","17-25",2013,"passenger",3
"3","female","17-25",2014,"driver",3
"3","female","17-25",2014,"other",2
"3","female","17-25",2014,"passenger",5
"3","female","17-25",2015,"driver",2
"3","female","17-25",2015,"other",1
"3","female","17-25",2015,"passenger",5
"3","female","17-25",2016,"driver",5
"3","female","17-25",2016,"other",1
"3","female","17-25",2016,"passenger",7
"3","female","17-25",2017,"driver",4
"3","female","17-25",2017,"other",5
"3","female","17-25",2017,"passenger",5
"3","female","17-25",2018,"driver",4
"3","female","17-25",2018,"passenger",4
"3","female","17-25",2019,"passenger",4
"3","female","17-25",2020,"driver",4
"3","female","17-25",2020,"other",1
"3","female","17-25",2020,"passenger",11
"3","female","17-25",2021,"driver",3
"3","female","17-25",2021,"other",1
"3","female","17-25",2021,"passenger",3
"3","female","17-25",2022,"driver",9
"3","female","17-25",2022,"other",1
"3","female","17-25",2022,"passenger",2
"3","male","17-25",2008,"driver",33
"3","male","17-25",2008,"other",24
"3","male","17-25",2008,"passenger",15
"3","male","17-25",2009,"driver",26
"3","male","17-25",2009,"other",17
"3","male","17-25",2009,"passenger",15
"3","male","17-25",2010,"driver",23
"3","male","17-25",2010,"other",17
"3","male","17-25",2010,"passenger",7
"3","male","17-25",2011,"driver",15
"3","male","17-25",2011,"other",12
"3","male","17-25",2011,"passenger",11
"3","male","17-25",2012,"driver",28
"3","male","17-25",2012,"other",15
"3","male","17-25",2012,"passenger",7
"3","male","17-25",2013,"driver",19
"3","male","17-25",2013,"other",13
"3","male","17-25",2013,"passenger",9
"3","male","17-25",2014,"driver",16
"3","male","17-25",2014,"other",11
"3","male","17-25",2014,"passenger",9
"3","male","17-25",2015,"driver",22
"3","male","17-25",2015,"other",11
"3","male","17-25",2015,"passenger",5
"3","male","17-25",2016,"driver",16
"3","male","17-25",2016,"other",16
"3","male","17-25",2016,"passenger",7
"3","male","17-25",2017,"driver",16
"3","male","17-25",2017,"other",9
"3","male","17-25",2017,"passenger",10
"3","male","17-25",2018,"driver",26
"3","male","17-25",2018,"other",13
"3","male","17-25",2018,"passenger",5
"3","male","17-25",2019,"driver",34
"3","male","17-25",2019,"other",10
"3","male","17-25",2019,"passenger",5
"3","male","17-25",2020,"driver",24
"3","male","17-25",2020,"other",8
"3","male","17-25",2020,"passenger",4
"3","male","17-25",2021,"driver",17
"3","male","17-25",2021,"other",20
"3","male","17-25",2021,"passenger",9
"3","male","17-25",2022,"driver",25
"3","male","17-25",2022,"other",10
"3","male","17-25",2022,"passenger",9
"4","female","17-25",2008,"driver",2
"4","female","17-25",2008,"other",1
"4","female","17-25",2008,"passenger",2
"4","female","17-25",2009,"driver",4
"4","female","17-25",2009,"other",1
"4","female","17-25",2009,"passenger",2
"4","female","17-25",2010,"driver",9
"4","female","17-25",2010,"other",2
"4","female","17-25",2011,"driver",3
"4","female","17-25",2012,"driver",1
"4","female","17-25",2012,"passenger",2
"4","female","17-25",2013,"driver",2
"4","female","17-25",2013,"passenger",2
"4","female","17-25",2014,"driver",2
"4","female","17-25",2014,"passenger",2
"4","female","17-25",2015,"driver",5
"4","female","17-25",2016,"driver",3
"4","female","17-25",2017,"driver",2
"4","female","17-25",2017,"passenger",2
"4","female","17-25",2018,"driver",3
"4","female","17-25",2018,"passenger",2
"4","female","17-25",2019,"driver",1
"4","female","17-25",2019,"passenger",3
"4","female","17-25",2020,"driver",3
"4","female","17-25",2020,"other",1
"4","female","17-25",2020,"passenger",3
"4","female","17-25",2021,"driver",1
"4","female","17-25",2021,"other",1
"4","female","17-25",2021,"passenger",1
"4","female","17-25",2022,"driver",4
"4","female","17-25",2022,"passenger",1
"4","male","17-25",2008,"driver",8
"4","male","17-25",2008,"other",7
"4","male","17-25",2008,"passenger",7
"4","male","17-25",2009,"driver",18
"4","male","17-25",2009,"other",3
"4","male","17-25",2009,"passenger",10
"4","male","17-25",2010,"driver",6
"4","male","17-25",2010,"other",7
"4","male","17-25",2010,"passenger",5
"4","male","17-25",2011,"driver",2
"4","male","17-25",2011,"other",5
"4","male","17-25",2011,"passenger",3
"4","male","17-25",2012,"driver",6
"4","male","17-25",2012,"other",4
"4","male","17-25",2012,"passenger",4
"4","male","17-25",2013,"driver",7
"4","male","17-25",2013,"other",1
"4","male","17-25",2013,"passenger",3
"4","male","17-25",2014,"driver",9
"4","male","17-25",2014,"other",2
"4","male","17-25",2014,"passenger",3
"4","male","17-25",2015,"driver",6
"4","male","17-25",2015,"other",3
"4","male","17-25",2015,"passenger",1
"4","male","17-25",2016,"driver",7
"4","male","17-25",2016,"other",3
"4","male","17-25",2016,"passenger",1
"4","male","17-25",2017,"driver",10
"4","male","17-25",2017,"other",6
"4","male","17-25",2017,"passenger",2
"4","male","17-25",2018,"driver",7
"4","male","17-25",2018,"other",3
"4","male","17-25",2018,"passenger",3
"4","male","17-25",2019,"driver",9
"4","male","17-25",2019,"other",8
"4","male","17-25",2019,"passenger",1
"4","male","17-25",2020,"driver",6
"4","male","17-25",2020,"other",7
"4","male","17-25",2020,"passenger",3
"4","male","17-25",2021,"driver",10
"4","male","17-25",2021,"other",6
"4","male","17-25",2021,"passenger",2
"4","male","17-25",2022,"driver",7
"4","male","17-25",2022,"other",5
"4","male","17-25",2022,"passenger",2
"5","female","17-25",2008,"driver",6
"5","female","17-25",2008,"other",3
"5","female","17-25",2008,"passenger",4
"5","female","17-25",2009,"driver",6
"5","female","17-25",2009,"other",2
"5","female","17-25",2009,"passenger",1
"5","female","17-25",2010,"driver",7
"5","female","17-25",2010,"other",3
"5","female","17-25",2010,"passenger",4
"5","female","17-25",2011,"driver",8
"5","female","17-25",2011,"other",3
"5","female","17-25",2011,"passenger",4
"5","female","17-25",2012,"driver",6
"5","female","17-25",2012,"other",4
"5","female","17-25",2012,"passenger",3
"5","female","17-25",2013,"driver",2
"5","female","17-25",2013,"other",1
"5","female","17-25",2013,"passenger",2
"5","female","17-25",2014,"driver",3
"5","female","17-25",2014,"other",1
"5","female","17-25",2014,"passenger",6
"5","female","17-25",2015,"driver",3
"5","female","17-25",2015,"other",2
"5","female","17-25",2015,"passenger",5
"5","female","17-25",2016,"driver",8
"5","female","17-25",2016,"other",1
"5","female","17-25",2016,"passenger",8
"5","female","17-25",2017,"driver",3
"5","female","17-25",2017,"other",1
"5","female","17-25",2017,"passenger",1
"5","female","17-25",2018,"driver",5
"5","female","17-25",2018,"passenger",1
"5","female","17-25",2019,"driver",2
"5","female","17-25",2019,"other",3
"5","female","17-25",2019,"passenger",4
"5","female","17-25",2020,"driver",4
"5","female","17-25",2020,"other",1
"5","female","17-25",2020,"passenger",3
"5","female","17-25",2021,"driver",4
