"SA4_CODE16","sex","age_group","year_range","rolling_average_fatally_injured_in_road_accident"
"510","all","0-16","2011-2015","3"
"510","all","0-16","2012-2016","5"
"510","all","0-16","2013-2017","6"
"510","all","0-16","2014-2018","6"
"510","all","0-16","2015-2019","7"
"510","all","0-16","2016-2020","5"
"510","all","0-16","2017-2021","3"
"510","all","0-16","2018-2022","2"
"511","all","0-16","2008-2012","0"
"511","all","0-16","2009-2013","0"
"511","all","0-16","2010-2014","2"
"511","all","0-16","2011-2015","4"
"511","all","0-16","2012-2016","6"
"511","all","0-16","2013-2017","10"
"511","all","0-16","2014-2018","12"
"511","all","0-16","2015-2019","10"
"511","all","0-16","2016-2020","10"
"511","all","0-16","2017-2021","8"
"511","all","0-16","2018-2022","4"
"601","all","0-16","2008-2012","0"
"601","all","0-16","2009-2013","0"
"601","all","0-16","2010-2014","1"
"601","all","0-16","2011-2015","1"
"601","all","0-16","2012-2016","2"
"601","all","0-16","2013-2017","3"
"601","all","0-16","2014-2018","3"
"601","all","0-16","2015-2019","2"
"601","all","0-16","2016-2020","4"
"601","all","0-16","2017-2021","4"
"601","all","0-16","2018-2022","4"
"602","all","0-16","2008-2012","0"
"602","all","0-16","2009-2013","0"
"602","all","0-16","2010-2014","1"
"602","all","0-16","2011-2015","1"
"602","all","0-16","2012-2016","1"
"602","all","0-16","2013-2017","3"
"602","all","0-16","2014-2018","3"
"602","all","0-16","2015-2019","2"
"602","all","0-16","2016-2020","3"
"602","all","0-16","2017-2021","4"
"602","all","0-16","2018-2022","2"
"604","all","0-16","2008-2012","0"
"604","all","0-16","2009-2013","0"
"604","all","0-16","2010-2014","2"
"604","all","0-16","2011-2015","2"
"604","all","0-16","2012-2016","5"
"604","all","0-16","2013-2017","5"
"604","all","0-16","2014-2018","5"
"604","all","0-16","2015-2019","3"
"604","all","0-16","2016-2020","3"
"604","all","0-16","2017-2021","0"
"604","all","0-16","2018-2022","3"
"701","all","0-16","2008-2012","0"
"701","all","0-16","2009-2013","0"
"701","all","0-16","2010-2014","0"
"701","all","0-16","2011-2015","0"
"701","all","0-16","2012-2016","0"
"701","all","0-16","2013-2017","1"
"701","all","0-16","2014-2018","2"
"701","all","0-16","2015-2019","3"
"701","all","0-16","2016-2020","3"
"701","all","0-16","2017-2021","4"
"701","all","0-16","2018-2022","3"
"702","all","0-16","2008-2012","0"
"702","all","0-16","2009-2013","0"
"702","all","0-16","2010-2014","0"
"702","all","0-16","2011-2015","1"
"702","all","0-16","2012-2016","5"
"702","all","0-16","2013-2017","5"
"702","all","0-16","2014-2018","6"
"702","all","0-16","2015-2019","8"
"702","all","0-16","2016-2020","9"
"702","all","0-16","2017-2021","7"
"702","all","0-16","2018-2022","10"
"801","all","0-16","2008-2012","0"
"801","all","0-16","2009-2013","0"
"801","all","0-16","2010-2014","0"
"801","all","0-16","2011-2015","1"
"801","all","0-16","2012-2016","1"
"801","all","0-16","2013-2017","1"
"801","all","0-16","2014-2018","3"
"801","all","0-16","2015-2019","3"
"801","all","0-16","2016-2020","2"
"801","all","0-16","2017-2021","2"
"801","all","0-16","2018-2022","3"
