"SA4_CODE16","sex","age_group","year_range","rolling_average_fatally_injured_in_road_accident"
"115","all","0-16","2018-2022","0.2"
"116","all","0-16","2008-2012","0"
"116","all","0-16","2009-2013","0"
"116","all","0-16","2010-2014","0"
"116","all","0-16","2011-2015","0"
"116","all","0-16","2012-2016","0.2"
"116","all","0-16","2013-2017","0.2"
"116","all","0-16","2014-2018","0.2"
"116","all","0-16","2015-2019","0.2"
"116","all","0-16","2016-2020","0.2"
"116","all","0-16","2017-2021","0.2"
"116","all","0-16","2018-2022","0.4"
"117","all","0-16","2008-2012","0"
"117","all","0-16","2009-2013","0"
"117","all","0-16","2010-2014","0"
"117","all","0-16","2011-2015","0"
"117","all","0-16","2012-2016","0"
"117","all","0-16","2013-2017","0"
"117","all","0-16","2014-2018","0"
"117","all","0-16","2015-2019","0"
"117","all","0-16","2016-2020","0"
"117","all","0-16","2017-2021","0.2"
"117","all","0-16","2018-2022","0.4"
"119","all","0-16","2008-2012","0"
"119","all","0-16","2009-2013","0"
"119","all","0-16","2010-2014","0"
"119","all","0-16","2011-2015","0.2"
"119","all","0-16","2012-2016","0.2"
"119","all","0-16","2013-2017","0.2"
"119","all","0-16","2014-2018","0.6"
"119","all","0-16","2015-2019","1"
"119","all","0-16","2016-2020","0.8"
"119","all","0-16","2017-2021","0.8"
"119","all","0-16","2018-2022","0.8"
"121","all","0-16","2008-2012","0"
"121","all","0-16","2009-2013","0"
"121","all","0-16","2010-2014","0"
"121","all","0-16","2011-2015","0"
"121","all","0-16","2012-2016","0"
"121","all","0-16","2013-2017","0.2"
"121","all","0-16","2014-2018","0.4"
"121","all","0-16","2015-2019","0.4"
"121","all","0-16","2016-2020","0.4"
"121","all","0-16","2017-2021","0.4"
"121","all","0-16","2018-2022","0.2"
"123","all","0-16","2008-2012","0"
"123","all","0-16","2009-2013","0"
"123","all","0-16","2010-2014","0"
"123","all","0-16","2011-2015","0"
"123","all","0-16","2012-2016","0.2"
"123","all","0-16","2013-2017","0.4"
"123","all","0-16","2014-2018","0.4"
"123","all","0-16","2015-2019","0.4"
