"SA4_CODE16","sex","age_group","year_range","type_of_road_user","rolling_average_fatally_injured_in_road_accident"
"107","all","17-25","2013-2017","driver","0.4"
"107","all","17-25","2013-2017","passenger","0.4"
"107","all","17-25","2013-2017","other","0.4"
"107","all","17-25","2014-2018","driver","0.8"
"107","all","17-25","2014-2018","passenger","0.4"
"107","all","17-25","2014-2018","other","0.6"
"107","all","17-25","2015-2019","driver","1"
"107","all","17-25","2015-2019","passenger","0.4"
"107","all","17-25","2015-2019","other","0.8"
"107","all","17-25","2016-2020","driver","1.2"
"107","all","17-25","2016-2020","passenger","0.6"
"107","all","17-25","2016-2020","other","1.4"
"107","all","17-25","2017-2021","driver","1"
"107","all","17-25","2017-2021","passenger","0.4"
"107","all","17-25","2017-2021","other","1.8"
"107","all","17-25","2018-2022","driver","0.8"
"107","all","17-25","2018-2022","passenger","0.2"
"107","all","17-25","2018-2022","other","1.6"
"108","all","17-25","2008-2012","driver","0"
"108","all","17-25","2008-2012","passenger","0"
"108","all","17-25","2008-2012","other","0"
"108","all","17-25","2009-2013","driver","0"
"108","all","17-25","2009-2013","passenger","0"
"108","all","17-25","2009-2013","other","0"
"108","all","17-25","2010-2014","driver","0"
"108","all","17-25","2010-2014","passenger","0"
"108","all","17-25","2010-2014","other","0"
"108","all","17-25","2011-2015","driver","0.6"
"108","all","17-25","2011-2015","passenger","0"
"108","all","17-25","2011-2015","other","0"
"108","all","17-25","2012-2016","driver","1.2"
"108","all","17-25","2012-2016","passenger","0"
"108","all","17-25","2012-2016","other","0"
"108","all","17-25","2013-2017","driver","1.6"
"108","all","17-25","2013-2017","passenger","0.4"
"108","all","17-25","2013-2017","other","0"
"108","all","17-25","2014-2018","driver","2.4"
"108","all","17-25","2014-2018","passenger","0.6"
"108","all","17-25","2014-2018","other","0.2"
"108","all","17-25","2015-2019","driver","2.6"
"108","all","17-25","2015-2019","passenger","1"
"108","all","17-25","2015-2019","other","0.4"
"108","all","17-25","2016-2020","driver","2.2"
"108","all","17-25","2016-2020","passenger","1"
"108","all","17-25","2016-2020","other","0.4"
"108","all","17-25","2017-2021","driver","2.2"
"108","all","17-25","2017-2021","passenger","1"
"108","all","17-25","2017-2021","other","0.4"
"108","all","17-25","2018-2022","driver","1.8"
"108","all","17-25","2018-2022","passenger","0.6"
"108","all","17-25","2018-2022","other","0.4"
"109","all","17-25","2008-2012","driver","0"
"109","all","17-25","2008-2012","passenger","0"
"109","all","17-25","2008-2012","other","0"
"109","all","17-25","2009-2013","driver","0"
"109","all","17-25","2009-2013","passenger","0"
"109","all","17-25","2009-2013","other","0"
"109","all","17-25","2010-2014","driver","0"
"109","all","17-25","2010-2014","passenger","0"
"109","all","17-25","2010-2014","other","0"
"109","all","17-25","2011-2015","driver","0"
"109","all","17-25","2011-2015","passenger","0"
"109","all","17-25","2011-2015","other","0"
"109","all","17-25","2012-2016","driver","0.4"
"109","all","17-25","2012-2016","passenger","0.2"
"109","all","17-25","2012-2016","other","0"
"109","all","17-25","2013-2017","driver","1"
"109","all","17-25","2013-2017","passenger","0.4"
"109","all","17-25","2013-2017","other","0"
"109","all","17-25","2014-2018","driver","1.4"
"109","all","17-25","2014-2018","passenger","0.6"
"109","all","17-25","2014-2018","other","0.2"
"109","all","17-25","2015-2019","driver","1.6"
"109","all","17-25","2015-2019","passenger","1.2"
"109","all","17-25","2015-2019","other","0.2"
"109","all","17-25","2016-2020","driver","2.2"
"109","all","17-25","2016-2020","passenger","1.2"
"109","all","17-25","2016-2020","other","0.2"
"109","all","17-25","2017-2021","driver","1.8"
"109","all","17-25","2017-2021","passenger","1"
"109","all","17-25","2017-2021","other","0.2"
"109","all","17-25","2018-2022","driver","1.8"
"109","all","17-25","2018-2022","passenger","0.8"
"109","all","17-25","2018-2022","other","0.4"
"110","all","17-25","2008-2012","driver","0"
"110","all","17-25","2008-2012","passenger","0"
"110","all","17-25","2008-2012","other","0"
"110","all","17-25","2009-2013","driver","0"
"110","all","17-25","2009-2013","passenger","0"
"110","all","17-25","2009-2013","other","0"
"110","all","17-25","2010-2014","driver","0"
"110","all","17-25","2010-2014","passenger","0"
"110","all","17-25","2010-2014","other","0"
"110","all","17-25","2011-2015","driver","0.2"
"110","all","17-25","2011-2015","passenger","0.4"
"110","all","17-25","2011-2015","other","0"
"110","all","17-25","2012-2016","driver","0.8"
"110","all","17-25","2012-2016","passenger","0.6"
"110","all","17-25","2012-2016","other","0.6"
"110","all","17-25","2013-2017","driver","1.8"
"110","all","17-25","2013-2017","passenger","1"
"110","all","17-25","2013-2017","other","0.6"
"110","all","17-25","2014-2018","driver","2.6"
"110","all","17-25","2014-2018","passenger","1.2"
"110","all","17-25","2014-2018","other","0.8"
"110","all","17-25","2015-2019","driver","2.8"
"110","all","17-25","2015-2019","passenger","1.4"
"110","all","17-25","2015-2019","other","1"
"110","all","17-25","2016-2020","driver","2.8"
"110","all","17-25","2016-2020","passenger","1.2"
"110","all","17-25","2016-2020","other","1"
"110","all","17-25","2017-2021","driver","2.8"
"110","all","17-25","2017-2021","passenger","1"
"110","all","17-25","2017-2021","other","0.8"
"110","all","17-25","2018-2022","driver","2.4"
"110","all","17-25","2018-2022","passenger","0.6"
"110","all","17-25","2018-2022","other","0.8"
"111","all","17-25","2008-2012","driver","0"
"111","all","17-25","2008-2012","passenger","0"
"111","all","17-25","2008-2012","other","0"
"111","all","17-25","2009-2013","driver","0"
"111","all","17-25","2009-2013","passenger","0"
"111","all","17-25","2009-2013","other","0"
"111","all","17-25","2010-2014","driver","0"
"111","all","17-25","2010-2014","passenger","0"
"111","all","17-25","2010-2014","other","0"
"111","all","17-25","2011-2015","driver","0"
"111","all","17-25","2011-2015","passenger","0"
"111","all","17-25","2011-2015","other","0"
"111","all","17-25","2012-2016","driver","0.2"
"111","all","17-25","2012-2016","passenger","0.2"
"111","all","17-25","2012-2016","other","0.2"
"111","all","17-25","2013-2017","driver","0.4"
"111","all","17-25","2013-2017","passenger","0.4"
"111","all","17-25","2013-2017","other","0.6"
"111","all","17-25","2014-2018","driver","0.6"
"111","all","17-25","2014-2018","passenger","0.4"
"111","all","17-25","2014-2018","other","0.6"
"111","all","17-25","2015-2019","driver","0.6"
"111","all","17-25","2015-2019","passenger","0.4"
"111","all","17-25","2015-2019","other","0.6"
"111","all","17-25","2016-2020","driver","0.6"
"111","all","17-25","2016-2020","passenger","0.4"
"111","all","17-25","2016-2020","other","0.8"
"111","all","17-25","2017-2021","driver","0.4"
"111","all","17-25","2017-2021","passenger","0.2"
"111","all","17-25","2017-2021","other","1.2"
"111","all","17-25","2018-2022","driver","0.6"
"111","all","17-25","2018-2022","passenger","0"
"111","all","17-25","2018-2022","other","1.2"
"112","all","17-25","2008-2012","driver","0"
"112","all","17-25","2008-2012","passenger","0"
"112","all","17-25","2008-2012","other","0"
"112","all","17-25","2009-2013","driver","0"
"112","all","17-25","2009-2013","passenger","0"
"112","all","17-25","2009-2013","other","0"
"112","all","17-25","2010-2014","driver","0"
"112","all","17-25","2010-2014","passenger","0"
"112","all","17-25","2010-2014","other","0"
"112","all","17-25","2011-2015","driver","0.6"
"112","all","17-25","2011-2015","passenger","0"
"112","all","17-25","2011-2015","other","0.2"
"112","all","17-25","2012-2016","driver","0.8"
"112","all","17-25","2012-2016","passenger","0"
"112","all","17-25","2012-2016","other","0.6"
"112","all","17-25","2013-2017","driver","0.8"
"112","all","17-25","2013-2017","passenger","0"
"112","all","17-25","2013-2017","other","0.8"
"112","all","17-25","2014-2018","driver","1.2"
"112","all","17-25","2014-2018","passenger","0"
"112","all","17-25","2014-2018","other","1"
"112","all","17-25","2015-2019","driver","1.4"
"112","all","17-25","2015-2019","passenger","0.2"
"112","all","17-25","2015-2019","other","2"
"112","all","17-25","2016-2020","driver","1.4"
"112","all","17-25","2016-2020","passenger","0.2"
"112","all","17-25","2016-2020","other","1.8"
"112","all","17-25","2017-2021","driver","1.4"
"112","all","17-25","2017-2021","passenger","0.2"
"112","all","17-25","2017-2021","other","1.8"
"112","all","17-25","2018-2022","driver","1.4"
"112","all","17-25","2018-2022","passenger","0.2"
"112","all","17-25","2018-2022","other","2"
"113","all","17-25","2008-2012","driver","0"
"113","all","17-25","2008-2012","passenger","0"
"113","all","17-25","2008-2012","other","0"
"113","all","17-25","2009-2013","driver","0"
"113","all","17-25","2009-2013","passenger","0"
"113","all","17-25","2009-2013","other","0"
"113","all","17-25","2010-2014","driver","0"
"113","all","17-25","2010-2014","passenger","0"
"113","all","17-25","2010-2014","other","0"
"113","all","17-25","2011-2015","driver","1.2"
"113","all","17-25","2011-2015","passenger","0.4"
"113","all","17-25","2011-2015","other","0.2"
"113","all","17-25","2012-2016","driver","1.4"
"113","all","17-25","2012-2016","passenger","0.4"
"113","all","17-25","2012-2016","other","0.2"
"113","all","17-25","2013-2017","driver","1.8"
"113","all","17-25","2013-2017","passenger","0.6"
"113","all","17-25","2013-2017","other","0.2"
"113","all","17-25","2014-2018","driver","2.4"
"113","all","17-25","2014-2018","passenger","1"
"113","all","17-25","2014-2018","other","0.2"
"113","all","17-25","2015-2019","driver","2.6"
"113","all","17-25","2015-2019","passenger","1"
"113","all","17-25","2015-2019","other","0.2"
"113","all","17-25","2016-2020","driver","2"
"113","all","17-25","2016-2020","passenger","0.6"
"113","all","17-25","2016-2020","other","0.2"
"113","all","17-25","2017-2021","driver","2.2"
"113","all","17-25","2017-2021","passenger","1"
"113","all","17-25","2017-2021","other","0.2"
"113","all","17-25","2018-2022","driver","2"
"113","all","17-25","2018-2022","passenger","1"
"113","all","17-25","2018-2022","other","0.2"
"114","all","17-25","2008-2012","driver","0"
"114","all","17-25","2008-2012","passenger","0"
"114","all","17-25","2008-2012","other","0"
"114","all","17-25","2009-2013","driver","0"
"114","all","17-25","2009-2013","passenger","0"
"114","all","17-25","2009-2013","other","0"
"114","all","17-25","2010-2014","driver","0"
"114","all","17-25","2010-2014","passenger","0"
"114","all","17-25","2010-2014","other","0"
"114","all","17-25","2011-2015","driver","0"
"114","all","17-25","2011-2015","passenger","0.2"
"114","all","17-25","2011-2015","other","0"
"114","all","17-25","2012-2016","driver","0.8"
"114","all","17-25","2012-2016","passenger","0.4"
"114","all","17-25","2012-2016","other","0"
"114","all","17-25","2013-2017","driver","1"
"114","all","17-25","2013-2017","passenger","0.8"
"114","all","17-25","2013-2017","other","0"
"114","all","17-25","2014-2018","driver","1"
"114","all","17-25","2014-2018","passenger","0.8"
"114","all","17-25","2014-2018","other","0"
"114","all","17-25","2015-2019","driver","1.2"
"114","all","17-25","2015-2019","passenger","0.8"
"114","all","17-25","2015-2019","other","0.4"
"114","all","17-25","2016-2020","driver","1.2"
"114","all","17-25","2016-2020","passenger","0.6"
"114","all","17-25","2016-2020","other","0.4"
"114","all","17-25","2017-2021","driver","0.4"
"114","all","17-25","2017-2021","passenger","0.4"
"114","all","17-25","2017-2021","other","0.4"
"114","all","17-25","2018-2022","driver","0.2"
"114","all","17-25","2018-2022","passenger","0.2"
"114","all","17-25","2018-2022","other","0.4"
"115","all","17-25","2008-2012","driver","0"
"115","all","17-25","2008-2012","passenger","0"
"115","all","17-25","2008-2012","other","0"
"115","all","17-25","2009-2013","driver","0"
"115","all","17-25","2009-2013","passenger","0"
"115","all","17-25","2009-2013","other","0"
"115","all","17-25","2010-2014","driver","0"
"115","all","17-25","2010-2014","passenger","0"
"115","all","17-25","2010-2014","other","0"
"115","all","17-25","2011-2015","driver","0.6"
"115","all","17-25","2011-2015","passenger","0.4"
"115","all","17-25","2011-2015","other","0"
"115","all","17-25","2012-2016","driver","0.6"
"115","all","17-25","2012-2016","passenger","0.4"
"115","all","17-25","2012-2016","other","0"
"115","all","17-25","2013-2017","driver","0.6"
"115","all","17-25","2013-2017","passenger","0.4"
"115","all","17-25","2013-2017","other","0"
"115","all","17-25","2014-2018","driver","0.8"
"115","all","17-25","2014-2018","passenger","0.4"
"115","all","17-25","2014-2018","other","0"
"115","all","17-25","2015-2019","driver","1"
"115","all","17-25","2015-2019","passenger","0.4"
"115","all","17-25","2015-2019","other","0"
"115","all","17-25","2016-2020","driver","0.6"
"115","all","17-25","2016-2020","passenger","0"
"115","all","17-25","2016-2020","other","0"
"115","all","17-25","2017-2021","driver","0.8"
"115","all","17-25","2017-2021","passenger","0"
"115","all","17-25","2017-2021","other","0"
"115","all","17-25","2018-2022","driver","1"
"115","all","17-25","2018-2022","passenger","0"
"115","all","17-25","2018-2022","other","0.2"
"116","all","17-25","2008-2012","driver","0"
"116","all","17-25","2008-2012","passenger","0"
"116","all","17-25","2008-2012","other","0"
"116","all","17-25","2009-2013","driver","0"
"116","all","17-25","2009-2013","passenger","0"
"116","all","17-25","2009-2013","other","0"
"116","all","17-25","2010-2014","driver","0"
"116","all","17-25","2010-2014","passenger","0"
