"SA4_CODE16","sex","age_group","year_range","rolling_average_fatally_injured_in_road_accident"
"206","all","0-16","2009-2018","0"
"206","all","0-16","2010-2019","0"
"206","all","0-16","2011-2020","0"
"206","all","0-16","2012-2021","2"
"206","all","0-16","2013-2022","2"
"207","all","0-16","2008-2017","1"
"207","all","0-16","2009-2018","3"
"207","all","0-16","2010-2019","3"
"207","all","0-16","2011-2020","3"
"207","all","0-16","2012-2021","3"
"207","all","0-16","2013-2022","3"
"208","all","0-16","2008-2017","0"
"208","all","0-16","2009-2018","0"
"208","all","0-16","2010-2019","0"
"208","all","0-16","2011-2020","0"
"208","all","0-16","2012-2021","2"
"208","all","0-16","2013-2022","2"
"209","all","0-16","2008-2017","1"
"209","all","0-16","2009-2018","1"
"209","all","0-16","2010-2019","2"
"209","all","0-16","2011-2020","2"
"209","all","0-16","2012-2021","2"
"209","all","0-16","2013-2022","2"
"210","all","0-16","2008-2017","2"
"210","all","0-16","2009-2018","2"
"210","all","0-16","2010-2019","2"
"210","all","0-16","2011-2020","2"
"210","all","0-16","2012-2021","4"
"210","all","0-16","2013-2022","4"
"211","all","0-16","2008-2017","2"
"211","all","0-16","2009-2018","3"
"211","all","0-16","2010-2019","4"
"211","all","0-16","2011-2020","4"
"211","all","0-16","2012-2021","4"
"211","all","0-16","2013-2022","4"
"212","all","0-16","2008-2017","4"
"212","all","0-16","2009-2018","5"
"212","all","0-16","2010-2019","6"
"212","all","0-16","2011-2020","6"
"212","all","0-16","2012-2021","6"
"212","all","0-16","2013-2022","6"
"213","all","0-16","2008-2017","2"
"213","all","0-16","2009-2018","4"
"213","all","0-16","2010-2019","4"
"213","all","0-16","2011-2020","4"
"213","all","0-16","2012-2021","7"
"213","all","0-16","2013-2022","9"
"214","all","0-16","2008-2017","1"
"214","all","0-16","2009-2018","1"
"214","all","0-16","2010-2019","1"
"214","all","0-16","2011-2020","4"
"214","all","0-16","2012-2021","4"
"214","all","0-16","2013-2022","5"
"215","all","0-16","2008-2017","1"
"215","all","0-16","2009-2018","1"
"215","all","0-16","2010-2019","2"
"215","all","0-16","2011-2020","2"
"215","all","0-16","2012-2021","2"
"215","all","0-16","2013-2022","2"
"216","all","0-16","2008-2017","1"
"216","all","0-16","2009-2018","2"
"216","all","0-16","2010-2019","3"
"216","all","0-16","2011-2020","3"
"216","all","0-16","2012-2021","3"
"216","all","0-16","2013-2022","3"
"217","all","0-16","2008-2017","2"
"217","all","0-16","2009-2018","2"
"217","all","0-16","2010-2019","4"
"217","all","0-16","2011-2020","5"
"217","all","0-16","2012-2021","6"
"217","all","0-16","2013-2022","7"
"301","all","0-16","2008-2017","0"
"301","all","0-16","2009-2018","0"
"301","all","0-16","2010-2019","0"
"301","all","0-16","2011-2020","0"
"301","all","0-16","2012-2021","1"
"301","all","0-16","2013-2022","2"
"302","all","0-16","2008-2017","0"
"302","all","0-16","2009-2018","1"
"302","all","0-16","2010-2019","1"
"302","all","0-16","2011-2020","1"
"302","all","0-16","2012-2021","1"
"302","all","0-16","2013-2022","1"
"306","all","0-16","2008-2017","0"
"306","all","0-16","2009-2018","0"
"306","all","0-16","2010-2019","1"
"306","all","0-16","2011-2020","1"
"306","all","0-16","2012-2021","1"
"306","all","0-16","2013-2022","2"
