"SA4_CODE16","sex","age_group","year_range","type_of_road_user","rolling_average_fatally_injured_in_road_accident"
"101","all","17-25","2008-2017","driver","3"
"101","all","17-25","2008-2017","passenger","0"
"101","all","17-25","2008-2017","other","3"
"101","all","17-25","2009-2018","driver","4"
"101","all","17-25","2009-2018","passenger","1"
"101","all","17-25","2009-2018","other","3"
"101","all","17-25","2010-2019","driver","6"
"101","all","17-25","2010-2019","passenger","3"
"101","all","17-25","2010-2019","other","3"
"101","all","17-25","2011-2020","driver","7"
"101","all","17-25","2011-2020","passenger","3"
"101","all","17-25","2011-2020","other","3"
"101","all","17-25","2012-2021","driver","11"
"101","all","17-25","2012-2021","passenger","3"
"101","all","17-25","2012-2021","other","4"
"101","all","17-25","2013-2022","driver","16"
"101","all","17-25","2013-2022","passenger","3"
"101","all","17-25","2013-2022","other","4"
"102","all","17-25","2008-2017","driver","6"
"102","all","17-25","2008-2017","passenger","1"
"102","all","17-25","2008-2017","other","0"
"102","all","17-25","2009-2018","driver","7"
"102","all","17-25","2009-2018","passenger","2"
"102","all","17-25","2009-2018","other","3"
"102","all","17-25","2010-2019","driver","9"
"102","all","17-25","2010-2019","passenger","2"
"102","all","17-25","2010-2019","other","3"
"102","all","17-25","2011-2020","driver","10"
"102","all","17-25","2011-2020","passenger","3"
"102","all","17-25","2011-2020","other","3"
"102","all","17-25","2012-2021","driver","10"
"102","all","17-25","2012-2021","passenger","3"
"102","all","17-25","2012-2021","other","3"
"102","all","17-25","2013-2022","driver","11"
"102","all","17-25","2013-2022","passenger","3"
"102","all","17-25","2013-2022","other","3"
"103","all","17-25","2008-2017","driver","9"
"103","all","17-25","2008-2017","passenger","7"
"103","all","17-25","2008-2017","other","1"
"103","all","17-25","2009-2018","driver","15"
"103","all","17-25","2009-2018","passenger","7"
"103","all","17-25","2009-2018","other","1"
"103","all","17-25","2010-2019","driver","17"
"103","all","17-25","2010-2019","passenger","9"
"103","all","17-25","2010-2019","other","1"
"103","all","17-25","2011-2020","driver","19"
"103","all","17-25","2011-2020","passenger","9"
"103","all","17-25","2011-2020","other","1"
"103","all","17-25","2012-2021","driver","23"
"103","all","17-25","2012-2021","passenger","9"
"103","all","17-25","2012-2021","other","4"
"103","all","17-25","2013-2022","driver","24"
"103","all","17-25","2013-2022","passenger","10"
"103","all","17-25","2013-2022","other","5"
"104","all","17-25","2008-2017","driver","5"
"104","all","17-25","2008-2017","passenger","3"
"104","all","17-25","2008-2017","other","2"
"104","all","17-25","2009-2018","driver","7"
"104","all","17-25","2009-2018","passenger","5"
"104","all","17-25","2009-2018","other","2"
"104","all","17-25","2010-2019","driver","8"
"104","all","17-25","2010-2019","passenger","5"
"104","all","17-25","2010-2019","other","4"
"104","all","17-25","2011-2020","driver","10"
"104","all","17-25","2011-2020","passenger","7"
"104","all","17-25","2011-2020","other","4"
"104","all","17-25","2012-2021","driver","12"
"104","all","17-25","2012-2021","passenger","7"
"104","all","17-25","2012-2021","other","4"
"104","all","17-25","2013-2022","driver","12"
