"SA4_CODE16","sex","age_group","year_range","type_of_road_user","rolling_average_fatally_injured_in_road_accident"
"105","all","17-25","2014-2018","driver","7"
"105","all","17-25","2014-2018","passenger","5"
"105","all","17-25","2014-2018","other","1"
"105","all","17-25","2015-2019","driver","9"
"105","all","17-25","2015-2019","passenger","6"
"105","all","17-25","2015-2019","other","2"
"105","all","17-25","2016-2020","driver","9"
"105","all","17-25","2016-2020","passenger","6"
"105","all","17-25","2016-2020","other","2"
"105","all","17-25","2017-2021","driver","8"
"105","all","17-25","2017-2021","passenger","4"
"105","all","17-25","2017-2021","other","3"
"105","all","17-25","2018-2022","driver","6"
"105","all","17-25","2018-2022","passenger","6"
"105","all","17-25","2018-2022","other","3"
"106","all","17-25","2008-2012","driver","0"
"106","all","17-25","2008-2012","passenger","0"
"106","all","17-25","2008-2012","other","0"
"106","all","17-25","2009-2013","driver","0"
"106","all","17-25","2009-2013","passenger","0"
"106","all","17-25","2009-2013","other","0"
"106","all","17-25","2010-2014","driver","0"
"106","all","17-25","2010-2014","passenger","0"
"106","all","17-25","2010-2014","other","0"
"106","all","17-25","2011-2015","driver","5"
"106","all","17-25","2011-2015","passenger","2"
"106","all","17-25","2011-2015","other","0"
"106","all","17-25","2012-2016","driver","7"
"106","all","17-25","2012-2016","passenger","3"
"106","all","17-25","2012-2016","other","2"
"106","all","17-25","2013-2017","driver","12"
"106","all","17-25","2013-2017","passenger","3"
"106","all","17-25","2013-2017","other","5"
"106","all","17-25","2014-2018","driver","16"
"106","all","17-25","2014-2018","passenger","4"
"106","all","17-25","2014-2018","other","7"
"106","all","17-25","2015-2019","driver","17"
"106","all","17-25","2015-2019","passenger","4"
"106","all","17-25","2015-2019","other","8"
"106","all","17-25","2016-2020","driver","12"
"106","all","17-25","2016-2020","passenger","2"
"106","all","17-25","2016-2020","other","8"
"106","all","17-25","2017-2021","driver","11"
"106","all","17-25","2017-2021","passenger","2"
"106","all","17-25","2017-2021","other","6"
"106","all","17-25","2018-2022","driver","8"
"106","all","17-25","2018-2022","passenger","2"
"106","all","17-25","2018-2022","other","4"
"107","all","17-25","2008-2012","driver","0"
"107","all","17-25","2008-2012","passenger","0"
"107","all","17-25","2008-2012","other","0"
"107","all","17-25","2009-2013","driver","0"
"107","all","17-25","2009-2013","passenger","0"
"107","all","17-25","2009-2013","other","0"
"107","all","17-25","2010-2014","driver","0"
"107","all","17-25","2010-2014","passenger","0"
"107","all","17-25","2010-2014","other","0"
"107","all","17-25","2011-2015","driver","0"
"107","all","17-25","2011-2015","passenger","0"
"107","all","17-25","2011-2015","other","0"
"107","all","17-25","2012-2016","driver","1"
"107","all","17-25","2012-2016","passenger","1"
"107","all","17-25","2012-2016","other","0"
"107","all","17-25","2013-2017","driver","2"
"107","all","17-25","2013-2017","passenger","2"
"107","all","17-25","2013-2017","other","2"
"107","all","17-25","2014-2018","driver","4"
"107","all","17-25","2014-2018","passenger","2"
"107","all","17-25","2014-2018","other","3"
"107","all","17-25","2015-2019","driver","5"
"107","all","17-25","2015-2019","passenger","2"
"107","all","17-25","2015-2019","other","4"
"107","all","17-25","2016-2020","driver","6"
"107","all","17-25","2016-2020","passenger","3"
"107","all","17-25","2016-2020","other","7"
"107","all","17-25","2017-2021","driver","5"
"107","all","17-25","2017-2021","passenger","2"
