"SA4_CODE16","sex","age_group","calendar_year","type_of_road_user","n_fatally_injured_in_road_accident"
402,"male","17-25",2022,"passenger",1
403,"female","17-25",2015,"driver",1
403,"female","17-25",2017,"driver",1
403,"female","17-25",2018,"driver",1
403,"female","17-25",2021,"passenger",1
403,"male","17-25",2015,"driver",1
403,"male","17-25",2016,"driver",1
403,"male","17-25",2017,"driver",1
403,"male","17-25",2017,"other",1
403,"male","17-25",2018,"other",1
403,"male","17-25",2018,"passenger",1
403,"male","17-25",2020,"other",1
403,"male","17-25",2021,"other",1
403,"male","17-25",2022,"other",1
404,"female","17-25",2021,"other",1
404,"male","17-25",2017,"other",2
404,"male","17-25",2018,"driver",1
404,"male","17-25",2018,"other",1
404,"male","17-25",2019,"driver",1
404,"male","17-25",2019,"other",1
405,"female","17-25",2014,"driver",1
405,"female","17-25",2014,"passenger",1
405,"female","17-25",2015,"driver",1
405,"female","17-25",2017,"driver",1
405,"female","17-25",2017,"passenger",1
405,"female","17-25",2020,"driver",1
405,"female","17-25",2020,"passenger",1
405,"female","17-25",2022,"passenger",1
405,"male","17-25",2014,"driver",1
405,"male","17-25",2014,"other",1
405,"male","17-25",2015,"driver",1
405,"male","17-25",2016,"driver",2
405,"male","17-25",2016,"other",1
405,"male","17-25",2017,"driver",2
405,"male","17-25",2017,"passenger",1
405,"male","17-25",2018,"driver",1
405,"male","17-25",2019,"other",1
405,"male","17-25",2021,"driver",2
405,"male","17-25",2021,"passenger",1
405,"male","17-25",2022,"driver",1
405,"male","17-25",2022,"other",1
406,"female","17-25",2014,"passenger",1
406,"female","17-25",2019,"passenger",1
406,"female","17-25",2020,"driver",1
406,"female","17-25",2020,"passenger",1
406,"female","17-25",2022,"driver",1
406,"male","17-25",2014,"driver",1
406,"male","17-25",2014,"passenger",2
406,"male","17-25",2016,"driver",1
406,"male","17-25",2016,"other",1
406,"male","17-25",2019,"driver",1
406,"male","17-25",2019,"passenger",1
406,"male","17-25",2020,"driver",2
406,"male","17-25",2020,"other",1
406,"male","17-25",2020,"passenger",1
406,"male","17-25",2021,"driver",1
406,"male","17-25",2021,"other",1
406,"male","17-25",2022,"driver",1
407,"female","17-25",2015,"driver",1
407,"female","17-25",2016,"driver",2
407,"female","17-25",2017,"passenger",1
407,"female","17-25",2018,"driver",1
407,"female","17-25",2018,"passenger",2
407,"female","17-25",2019,"driver",1
407,"female","17-25",2019,"passenger",1
407,"female","17-25",2020,"driver",1
407,"female","17-25",2020,"other",1
407,"female","17-25",2021,"driver",1
407,"female","17-25",2022,"driver",2
407,"male","17-25",2014,"driver",6
407,"male","17-25",2014,"passenger",1
407,"male","17-25",2015,"driver",2
407,"male","17-25",2016,"driver",3
407,"male","17-25",2016,"passenger",1
407,"male","17-25",2017,"driver",2
407,"male","17-25",2017,"other",1
407,"male","17-25",2018,"driver",3
407,"male","17-25",2018,"passenger",1
407,"male","17-25",2019,"driver",6
407,"male","17-25",2019,"other",2
407,"male","17-25",2020,"passenger",1
407,"male","17-25",2021,"driver",4
407,"male","17-25",2021,"other",1
407,"male","17-25",2021,"passenger",1
407,"male","17-25",2022,"driver",1
407,"male","17-25",2022,"other",1
501,"female","17-25",2014,"passenger",2
501,"female","17-25",2015,"other",1
501,"female","17-25",2015,"passenger",1
501,"female","17-25",2018,"driver",1
501,"female","17-25",2018,"passenger",1
501,"female","17-25",2019,"passenger",1
501,"female","17-25",2020,"driver",2
501,"female","17-25",2021,"driver",1
501,"male","17-25",2014,"driver",1
501,"male","17-25",2014,"other",1
501,"male","17-25",2015,"driver",3
501,"male","17-25",2015,"passenger",1
501,"male","17-25",2016,"driver",7
501,"male","17-25",2016,"passenger",1
501,"male","17-25",2017,"driver",2
501,"male","17-25",2017,"other",2
501,"male","17-25",2017,"passenger",2
501,"male","17-25",2018,"driver",3
501,"male","17-25",2018,"passenger",1
501,"male","17-25",2019,"driver",1
501,"male","17-25",2019,"other",2
501,"male","17-25",2020,"driver",2
501,"male","17-25",2021,"driver",2
502,"female","17-25",2018,"driver",1
502,"female","17-25",2019,"driver",1
502,"female","17-25",2020,"driver",1
502,"male","17-25",2014,"driver",1
502,"male","17-25",2015,"driver",1
502,"male","17-25",2015,"passenger",1
502,"male","17-25",2016,"other",2
502,"male","17-25",2018,"driver",1
502,"male","17-25",2019,"other",1
502,"male","17-25",2020,"driver",2
502,"male","17-25",2020,"passenger",1
502,"male","17-25",2021,"other",2
503,"female","17-25",2016,"passenger",1
503,"female","17-25",2017,"other",1
503,"male","17-25",2014,"driver",1
503,"male","17-25",2017,"other",2
503,"male","17-25",2018,"driver",1
504,"female","17-25",2014,"driver",1
504,"female","17-25",2016,"driver",1
504,"female","17-25",2020,"passenger",2
504,"male","17-25",2014,"other",1
504,"male","17-25",2014,"passenger",1
504,"male","17-25",2015,"other",2
504,"male","17-25",2018,"other",1
504,"male","17-25",2019,"driver",2
504,"male","17-25",2020,"driver",1
504,"male","17-25",2021,"driver",1
505,"female","17-25",2014,"other",1
505,"female","17-25",2016,"driver",3
505,"female","17-25",2016,"passenger",1
505,"female","17-25",2017,"driver",1
505,"female","17-25",2019,"passenger",1
505,"male","17-25",2014,"other",4
505,"male","17-25",2015,"other",1
505,"male","17-25",2016,"driver",1
505,"male","17-25",2016,"other",2
505,"male","17-25",2017,"driver",2
505,"male","17-25",2017,"other",3
505,"male","17-25",2018,"driver",2
505,"male","17-25",2018,"other",2
505,"male","17-25",2019,"driver",1
505,"male","17-25",2019,"passenger",1
505,"male","17-25",2021,"other",3
506,"female","17-25",2016,"driver",1
506,"female","17-25",2018,"driver",1
506,"female","17-25",2019,"passenger",1
506,"female","17-25",2021,"driver",2
506,"female","17-25",2021,"passenger",1
506,"male","17-25",2014,"driver",3
506,"male","17-25",2014,"other",3
506,"male","17-25",2015,"driver",2
506,"male","17-25",2015,"other",1
506,"male","17-25",2015,"passenger",1
506,"male","17-25",2016,"other",1
506,"male","17-25",2017,"driver",1
506,"male","17-25",2017,"other",2
506,"male","17-25",2018,"other",1
506,"male","17-25",2019,"driver",1
506,"male","17-25",2019,"other",2
506,"male","17-25",2020,"driver",3
506,"male","17-25",2021,"driver",1
506,"male","17-25",2021,"other",2
506,"male","17-25",2021,"passenger",2
507,"female","17-25",2014,"passenger",1
507,"female","17-25",2015,"passenger",1
507,"female","17-25",2019,"other",1
507,"male","17-25",2014,"other",1
507,"male","17-25",2014,"passenger",1
507,"male","17-25",2015,"other",1
507,"male","17-25",2015,"passenger",2
507,"male","17-25",2017,"other",1
507,"male","17-25",2017,"passenger",1
507,"male","17-25",2018,"driver",1
507,"male","17-25",2018,"other",1
507,"male","17-25",2020,"other",1
507,"male","17-25",2020,"passenger",1
507,"male","17-25",2021,"driver",1
507,"male","17-25",2021,"other",1
509,"female","17-25",2014,"driver",2
509,"female","17-25",2014,"passenger",1
509,"female","17-25",2016,"driver",2
509,"female","17-25",2016,"passenger",2
509,"female","17-25",2017,"driver",2
509,"female","17-25",2018,"driver",1
509,"female","17-25",2019,"driver",1
509,"female","17-25",2019,"other",1
509,"female","17-25",2019,"passenger",1
509,"female","17-25",2020,"driver",1
509,"female","17-25",2021,"passenger",2
509,"male","17-25",2014,"driver",1
509,"male","17-25",2014,"other",1
509,"male","17-25",2014,"passenger",1
509,"male","17-25",2015,"driver",2
509,"male","17-25",2015,"passenger",1
509,"male","17-25",2016,"driver",6
509,"male","17-25",2016,"passenger",4
509,"male","17-25",2017,"driver",2
509,"male","17-25",2018,"driver",2
509,"male","17-25",2018,"passenger",3
509,"male","17-25",2019,"driver",3
509,"male","17-25",2019,"passenger",1
509,"male","17-25",2020,"driver",3
509,"male","17-25",2020,"passenger",1
509,"male","17-25",2021,"driver",6
510,"female","17-25",2015,"passenger",1
510,"female","17-25",2016,"passenger",2
510,"female","17-25",2020,"other",1
510,"female","17-25",2021,"driver",1
510,"male","17-25",2015,"other",1
510,"male","17-25",2015,"passenger",1
510,"male","17-25",2016,"driver",2
510,"male","17-25",2016,"passenger",1
510,"male","17-25",2017,"driver",1
510,"male","17-25",2018,"passenger",1
510,"male","17-25",2019,"other",1
510,"male","17-25",2020,"other",1
511,"female","17-25",2014,"passenger",1
511,"female","17-25",2015,"driver",3
511,"female","17-25",2015,"passenger",1
511,"female","17-25",2016,"driver",1
511,"female","17-25",2016,"passenger",1
511,"female","17-25",2017,"passenger",1
511,"female","17-25",2018,"driver",1
511,"female","17-25",2019,"other",1
511,"male","17-25",2014,"driver",1
511,"male","17-25",2014,"other",1
511,"male","17-25",2014,"passenger",2
511,"male","17-25",2015,"passenger",2
511,"male","17-25",2017,"driver",1
511,"male","17-25",2017,"passenger",1
511,"male","17-25",2018,"driver",1
511,"male","17-25",2018,"other",1
511,"male","17-25",2019,"driver",4
511,"male","17-25",2019,"other",1
511,"male","17-25",2020,"driver",3
511,"male","17-25",2020,"other",1
511,"male","17-25",2021,"driver",4
511,"male","17-25",2021,"other",2
601,"female","17-25",2015,"driver",1
601,"female","17-25",2016,"driver",1
601,"female","17-25",2020,"passenger",1
601,"female","17-25",2022,"passenger",1
601,"male","17-25",2014,"other",1
601,"male","17-25",2014,"passenger",1
601,"male","17-25",2015,"other",3
601,"male","17-25",2016,"driver",1
601,"male","17-25",2016,"other",1
601,"male","17-25",2017,"other",1
601,"male","17-25",2017,"passenger",1
601,"male","17-25",2018,"other",2
601,"male","17-25",2019,"other",1
601,"male","17-25",2020,"driver",1
601,"male","17-25",2021,"driver",1
602,"female","17-25",2014,"driver",1
602,"female","17-25",2021,"driver",1
602,"female","17-25",2022,"driver",1
602,"male","17-25",2015,"driver",1
602,"male","17-25",2016,"other",2
602,"male","17-25",2017,"driver",1
602,"male","17-25",2018,"driver",2
602,"male","17-25",2018,"other",1
602,"male","17-25",2018,"passenger",1
602,"male","17-25",2019,"driver",1
602,"male","17-25",2019,"other",1
602,"male","17-25",2019,"passenger",1
602,"male","17-25",2021,"other",1
602,"male","17-25",2022,"other",1
603,"female","17-25",2015,"passenger",1
603,"female","17-25",2018,"driver",1
603,"male","17-25",2015,"driver",1
603,"male","17-25",2015,"other",1
603,"male","17-25",2018,"passenger",2
603,"male","17-25",2019,"driver",2
603,"male","17-25",2021,"driver",1
603,"male","17-25",2021,"passenger",1
603,"male","17-25",2022,"driver",2
603,"male","17-25",2022,"passenger",2
604,"female","17-25",2015,"driver",1
604,"female","17-25",2016,"driver",1
604,"female","17-25",2020,"driver",1
604,"male","17-25",2015,"other",1
604,"male","17-25",2016,"other",1
604,"male","17-25",2018,"other",2
604,"male","17-25",2019,"other",1
604,"male","17-25",2020,"passenger",1
604,"male","17-25",2021,"driver",2
604,"male","17-25",2022,"driver",1
701,"female","17-25",2015,"driver",1
701,"female","17-25",2015,"passenger",1
701,"female","17-25",2020,"driver",1
701,"male","17-25",2015,"driver",2
701,"male","17-25",2015,"other",2
701,"male","17-25",2015,"passenger",2
701,"male","17-25",2016,"passenger",2
701,"male","17-25",2017,"driver",3
701,"male","17-25",2017,"other",1
701,"male","17-25",2019,"driver",2
701,"male","17-25",2019,"passenger",1
701,"male","17-25",2020,"driver",1
701,"male","17-25",2021,"other",1
701,"male","17-25",2022,"driver",1
701,"male","17-25",2022,"other",1
701,"male","17-25",2022,"passenger",1
702,"female","17-25",2016,"passenger",1
702,"female","17-25",2017,"passenger",1
702,"female","17-25",2018,"driver",1
702,"female","17-25",2018,"other",2
702,"female","17-25",2018,"passenger",2
702,"female","17-25",2020,"passenger",1
702,"female","17-25",2022,"other",3
702,"female","17-25",2022,"passenger",1
702,"male","17-25",2015,"driver",1
702,"male","17-25",2015,"other",1
702,"male","17-25",2015,"passenger",1
702,"male","17-25",2016,"driver",3
702,"male","17-25",2016,"other",1
702,"male","17-25",2017,"driver",3
702,"male","17-25",2018,"driver",1
702,"male","17-25",2018,"other",1
702,"male","17-25",2019,"other",1
702,"male","17-25",2019,"passenger",2
702,"male","17-25",2020,"driver",2
702,"male","17-25",2020,"passenger",4
702,"male","17-25",2022,"driver",4
702,"male","17-25",2022,"other",1
702,"male","17-25",2022,"passenger",2
801,"female","17-25",2022,"driver",1
801,"female","17-25",2022,"other",1
801,"male","17-25",2015,"driver",2
801,"male","17-25",2015,"other",1
801,"male","17-25",2016,"driver",2
801,"male","17-25",2016,"other",2
801,"male","17-25",2017,"driver",1
801,"male","17-25",2017,"other",1
801,"male","17-25",2018,"passenger",1
801,"male","17-25",2020,"driver",1
801,"male","17-25",2021,"driver",2
801,"male","17-25",2021,"passenger",1
801,"male","17-25",2022,"driver",3
801,"male","17-25",2022,"passenger",1
