"SA4_CODE16","sex","age_group","calendar_year","type_of_road_user","n_fatally_injured_in_road_accident"
110,"male","17-25",2020,"driver",1
110,"male","17-25",2021,"driver",2
110,"male","17-25",2021,"other",2
110,"male","17-25",2022,"driver",1
111,"female","17-25",2017,"other",1
111,"female","17-25",2021,"other",1
111,"female","17-25",2022,"driver",1
111,"male","17-25",2016,"driver",1
111,"male","17-25",2016,"other",1
111,"male","17-25",2016,"passenger",1
111,"male","17-25",2017,"driver",1
111,"male","17-25",2017,"other",1
111,"male","17-25",2017,"passenger",1
111,"male","17-25",2018,"driver",1
111,"male","17-25",2020,"other",1
111,"male","17-25",2021,"other",2
111,"male","17-25",2022,"driver",1
111,"male","17-25",2022,"other",2
112,"female","17-25",2015,"driver",1
112,"female","17-25",2018,"driver",1
112,"female","17-25",2020,"driver",1
112,"male","17-25",2015,"driver",2
112,"male","17-25",2015,"other",1
112,"male","17-25",2016,"driver",1
112,"male","17-25",2016,"other",2
112,"male","17-25",2017,"other",1
112,"male","17-25",2018,"driver",1
112,"male","17-25",2018,"other",1
112,"male","17-25",2019,"driver",1
112,"male","17-25",2019,"other",5
112,"male","17-25",2019,"passenger",1
112,"male","17-25",2020,"driver",2
112,"male","17-25",2021,"driver",1
112,"male","17-25",2021,"other",2
112,"male","17-25",2022,"other",2
113,"female","17-25",2015,"driver",3
113,"female","17-25",2015,"passenger",1
113,"female","17-25",2017,"passenger",1
113,"female","17-25",2018,"driver",1
113,"female","17-25",2018,"passenger",2
113,"female","17-25",2019,"driver",1
113,"female","17-25",2020,"driver",1
113,"female","17-25",2021,"driver",1
113,"male","17-25",2015,"driver",3
113,"male","17-25",2015,"other",1
113,"male","17-25",2015,"passenger",1
113,"male","17-25",2016,"driver",1
113,"male","17-25",2017,"driver",2
113,"male","17-25",2018,"driver",2
113,"male","17-25",2020,"driver",2
113,"male","17-25",2020,"other",1
113,"male","17-25",2021,"driver",1
113,"male","17-25",2021,"passenger",2
113,"male","17-25",2022,"driver",1
113,"male","17-25",2022,"passenger",1
114,"female","17-25",2016,"driver",2
114,"female","17-25",2017,"passenger",1
114,"male","17-25",2015,"passenger",1
114,"male","17-25",2016,"driver",2
114,"male","17-25",2016,"passenger",1
114,"male","17-25",2017,"driver",1
114,"male","17-25",2017,"passenger",1
114,"male","17-25",2019,"driver",1
114,"male","17-25",2019,"other",2
114,"male","17-25",2022,"passenger",1
115,"female","17-25",2015,"driver",1
115,"female","17-25",2018,"driver",1
115,"male","17-25",2015,"driver",2
115,"male","17-25",2015,"passenger",2
115,"male","17-25",2019,"driver",1
115,"male","17-25",2020,"driver",1
115,"male","17-25",2021,"driver",1
115,"male","17-25",2022,"driver",1
115,"male","17-25",2022,"other",1
116,"female","17-25",2018,"driver",1
116,"female","17-25",2018,"passenger",1
116,"female","17-25",2020,"passenger",1
116,"male","17-25",2016,"other",2
116,"male","17-25",2017,"other",2
116,"male","17-25",2017,"passenger",1
116,"male","17-25",2019,"driver",1
116,"male","17-25",2019,"other",1
116,"male","17-25",2020,"driver",1
116,"male","17-25",2020,"passenger",1
116,"male","17-25",2022,"other",2
117,"female","17-25",2017,"passenger",2
117,"female","17-25",2018,"other",1
117,"female","17-25",2019,"other",1
117,"female","17-25",2022,"other",2
117,"male","17-25",2017,"driver",1
117,"male","17-25",2017,"passenger",1
117,"male","17-25",2018,"other",1
117,"male","17-25",2020,"other",1
118,"female","17-25",2020,"other",1
118,"male","17-25",2015,"other",2
118,"male","17-25",2017,"other",1
119,"female","17-25",2016,"other",1
119,"female","17-25",2017,"other",1
119,"female","17-25",2018,"passenger",1
119,"female","17-25",2019,"other",1
119,"female","17-25",2019,"passenger",1
119,"male","17-25",2015,"other",1
119,"male","17-25",2016,"driver",2
119,"male","17-25",2016,"other",1
119,"male","17-25",2016,"passenger",1
119,"male","17-25",2017,"other",2
119,"male","17-25",2019,"passenger",1
119,"male","17-25",2020,"driver",1
119,"male","17-25",2020,"other",2
119,"male","17-25",2020,"passenger",2
119,"male","17-25",2021,"driver",2
119,"male","17-25",2022,"other",2
120,"female","17-25",2016,"other",1
120,"male","17-25",2018,"driver",1
120,"male","17-25",2019,"passenger",1
120,"male","17-25",2022,"driver",1
120,"male","17-25",2022,"other",1
121,"female","17-25",2017,"other",1
121,"male","17-25",2017,"other",1
121,"male","17-25",2018,"driver",1
121,"male","17-25",2018,"other",2
121,"male","17-25",2019,"other",1
121,"male","17-25",2020,"driver",1
121,"male","17-25",2022,"passenger",1
122,"female","17-25",2016,"driver",1
122,"male","17-25",2016,"driver",1
122,"male","17-25",2020,"passenger",1
123,"female","17-25",2016,"driver",1
123,"male","17-25",2015,"passenger",1
123,"male","17-25",2017,"other",1
123,"male","17-25",2018,"driver",2
123,"male","17-25",2018,"passenger",1
123,"male","17-25",2020,"driver",1
