"SA4_CODE21","calendar_year","sex","age_group","n_births","fertility_rate"
"505",2021,"all","0-0",7541,1.71
"506",2021,"all","0-0",7012,1.66
"507",2021,"all","0-0",5730,1.74
"501",2021,"all","0-0",2127,1.88
"509",2021,"all","0-0",1464,2.06
"510",2021,"all","0-0",1603,2.07
"511",2021,"all","0-0",1553,2.04
"601",2021,"all","0-0",2839,1.6
"602",2021,"all","0-0",1565,1.65
"603",2021,"all","0-0",391,1.81
"604",2021,"all","0-0",1232,1.79
"701",2021,"all","0-0",2307,1.76
"702",2021,"all","0-0",1475,1.8
"801",2021,"all","0-0",5541,1.5
