"SA4_CODE21","calendar_year","sex","age_group","n_births"
"102",2013,"all","0-0",3957
"115",2013,"all","0-0",2330
"116",2013,"all","0-0",5613
"117",2013,"all","0-0",3870
"118",2013,"all","0-0",3983
"119",2013,"all","0-0",8725
"120",2013,"all","0-0",4474
"121",2013,"all","0-0",4807
"122",2013,"all","0-0",3409
"123",2013,"all","0-0",3713
"124",2013,"all","0-0",4299
"125",2013,"all","0-0",7816
"126",2013,"all","0-0",2211
"127",2013,"all","0-0",5829
"128",2013,"all","0-0",2834
"101",2013,"all","0-0",2417
"103",2013,"all","0-0",2713
"104",2013,"all","0-0",1489
"105",2013,"all","0-0",1731
"106",2013,"all","0-0",3426
"107",2013,"all","0-0",3508
"108",2013,"all","0-0",2055
"109",2013,"all","0-0",1340
"110",2013,"all","0-0",2527
"111",2013,"all","0-0",4651
"112",2013,"all","0-0",2682
"113",2013,"all","0-0",2052
"114",2013,"all","0-0",1426
"206",2013,"all","0-0",6639
"207",2013,"all","0-0",3412
"208",2013,"all","0-0",4648
"209",2013,"all","0-0",6775
"210",2013,"all","0-0",5041
"211",2013,"all","0-0",5932
"212",2013,"all","0-0",9900
"213",2013,"all","0-0",11563
"214",2013,"all","0-0",3390
"201",2013,"all","0-0",1868
"202",2013,"all","0-0",1734
"203",2013,"all","0-0",3322
"204",2013,"all","0-0",1718
"205",2013,"all","0-0",2994
"215",2013,"all","0-0",1802
"216",2013,"all","0-0",1730
"217",2013,"all","0-0",1389
"301",2013,"all","0-0",2690
"302",2013,"all","0-0",2838
"303",2013,"all","0-0",4902
"304",2013,"all","0-0",2015
"305",2013,"all","0-0",2844
"310",2013,"all","0-0",5059
"311",2013,"all","0-0",5072
"313",2013,"all","0-0",2983
"314",2013,"all","0-0",2742
"306",2013,"all","0-0",3364
"307",2013,"all","0-0",1755
"308",2013,"all","0-0",3587
"309",2013,"all","0-0",6946
"312",2013,"all","0-0",2663
"315",2013,"all","0-0",1563
"316",2013,"all","0-0",3533
"317",2013,"all","0-0",2082
"318",2013,"all","0-0",3406
"319",2013,"all","0-0",3201
"401",2013,"all","0-0",2913
"402",2013,"all","0-0",6024
"403",2013,"all","0-0",4075
"404",2013,"all","0-0",2726
"405",2013,"all","0-0",1156
"406",2013,"all","0-0",1181
"407",2013,"all","0-0",2008
"502",2013,"all","0-0",1100
"503",2013,"all","0-0",1730
"504",2013,"all","0-0",3403
"505",2013,"all","0-0",7735
"506",2013,"all","0-0",7163
"507",2013,"all","0-0",5565
"501",2013,"all","0-0",2207
"509",2013,"all","0-0",1725
"510",2013,"all","0-0",1698
"511",2013,"all","0-0",1894
"601",2013,"all","0-0",2755
"602",2013,"all","0-0",1647
"603",2013,"all","0-0",362
"604",2013,"all","0-0",1269
"701",2013,"all","0-0",2350
"702",2013,"all","0-0",1698
"801",2013,"all","0-0",5544
"102",2014,"all","0-0",3385
"115",2014,"all","0-0",2061
"116",2014,"all","0-0",5122
"117",2014,"all","0-0",3526
"118",2014,"all","0-0",3488
"119",2014,"all","0-0",8155
"120",2014,"all","0-0",4046
"121",2014,"all","0-0",4660
"122",2014,"all","0-0",3148
"123",2014,"all","0-0",3405
"124",2014,"all","0-0",3842
"125",2014,"all","0-0",7392
"126",2014,"all","0-0",2030
"127",2014,"all","0-0",5216
"128",2014,"all","0-0",2607
"101",2014,"all","0-0",2146
"103",2014,"all","0-0",2460
"104",2014,"all","0-0",1331
"105",2014,"all","0-0",1491
"106",2014,"all","0-0",3047
"107",2014,"all","0-0",3039
"108",2014,"all","0-0",1763
"109",2014,"all","0-0",1307
"110",2014,"all","0-0",2160
"111",2014,"all","0-0",4051
"112",2014,"all","0-0",2241
"113",2014,"all","0-0",1886
"114",2014,"all","0-0",1231
"206",2014,"all","0-0",6686
"207",2014,"all","0-0",3420
"208",2014,"all","0-0",4618
"209",2014,"all","0-0",6956
"210",2014,"all","0-0",5224
"211",2014,"all","0-0",5807
"212",2014,"all","0-0",10230
"213",2014,"all","0-0",11636
"214",2014,"all","0-0",3287
"201",2014,"all","0-0",1796
"202",2014,"all","0-0",1803
"203",2014,"all","0-0",3181
"204",2014,"all","0-0",1769
