"SA2_NAME","3_yr_olds_preschool_attendance_2014","4_yr_olds_preschool_attendance_2014","5_yr_olds_preschool_attendance_2014","3_yr_olds_preschool_attendance_2015","4_yr_olds_preschool_attendance_2015","5_yr_olds_preschool_attendanc_2015","6_yr_olds_preschool_attendance_2015","3_yr_olds_preschool_attendance_2016","4_yr_olds_preschool_attendance_2016","5_yr_olds_preschool_attendance_2016","6_yr_olds_preschool_attendance_2016","3_yr_olds_preschool_attendance_2017","4_yr_olds_preschool_attendance_2017","5_yr_olds_preschool_attendance_2017","6_yr_olds_preschool_attendance_2017","3_yr_olds_preschool_attendance_2018","4_yr_olds_preschool_attendance_2018","5_yr_olds_preschool_attendance_2018","6_yr_olds_preschool_attendance_2018","3_yr_olds_preschool_attendance_2019","4_yr_olds_preschool_attendance_2019","5_yr_olds_preschool_attendance_2019","6_yr_olds_preschool_attendance_2019","3_yr_olds_preschool_attendance_2020","4_yr_olds_preschool_attendance_2020","5_yr_olds_preschool_attendance_2020","6_yr_olds_preschool_attendance_2020","3_yr_olds_preschool_attendance_2021","4_yr_olds_preschool_attendance_2021","5_yr_olds_preschool_attendance_2021","6_yr_olds_preschool_attendance_2021"
"Statistical area level 2 (SA2) of child",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goulburn",0,213,36,0,220,17,0,0,266,16,0,0,264,21,0,0,41,3,0,0,52,0,0,0,44,3,0,0,54,0,0
"Goulburn Region",0,97,12,0,84,8,0,0,123,10,0,0,95,7,0,0,90,8,0,0,82,18,0,0,82,7,0,0,79,14,0
"Yass",0,80,3,0,91,13,0,0,72,3,0,0,100,9,0,0,118,5,0,0,110,18,0,0,113,29,0,0,98,12,0
"Yass Region",0,105,15,0,134,18,0,0,135,20,0,0,116,24,0,0,46,3,0,0,52,9,0,0,54,9,0,0,54,7,0
"Young",0,123,12,0,159,14,0,0,124,3,0,0,132,11,0,0,227,21,0,0,243,30,0,0,271,23,0,0,303,46,0
"Young Region",0,83,21,0,71,3,0,0,64,3,0,0,78,7,0,0,146,12,0,0,155,21,0,0,168,10,0,0,140,14,0
"Braidwood",0,51,3,0,41,3,0,0,36,7,0,0,39,3,0,0,28,0,0,0,40,6,0,0,18,0,0,0,49,3,0
"Karabar",0,95,11,0,96,10,0,0,78,7,0,0,87,5,0,0,72,6,0,0,83,5,0,0,67,5,0,0,81,8,0
"Queanbeyan",0,90,12,0,123,12,0,0,122,15,0,0,110,8,0,0,24,3,0,0,21,0,0,0,18,0,0,0,0,0,0
"Queanbeyan - East",0,29,7,0,58,7,0,0,48,7,0,0,52,3,0,0,68,0,0,0,49,7,0,0,63,0,0,0,57,3,0
"Queanbeyan Region",0,175,24,0,190,15,0,0,182,14,0,0,213,14,0,0,82,4,0,0,76,10,0,0,77,9,0,0,70,10,0
"Queanbeyan West - Jerrabomberra",0,170,14,0,183,20,0,0,168,8,0,0,166,16,0,0,66,3,0,0,69,6,0,0,58,5,0,0,69,3,0
"Bombala",0,21,3,0,29,5,0,0,28,0,0,0,35,0,0,0,79,7,0,0,78,12,0,0,81,11,0,0,82,9,0
"Cooma",0,86,5,0,65,0,0,0,96,6,0,0,88,16,0,0,82,5,0,0,76,16,0,0,80,4,0,0,78,9,0
"Cooma Region",0,33,4,0,31,0,0,0,0,0,0,0,0,0,0,0,30,7,0,0,26,0,0,0,28,0,0,0,20,0,0
"Jindabyne - Berridale",0,89,5,0,55,15,0,0,63,4,0,0,78,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batemans Bay",0,74,13,0,81,14,0,0,75,9,0,0,69,9,0,0,38,0,0,0,33,8,0,0,23,7,0,0,37,3,0
"Batemans Bay - South",0,70,12,0,74,10,0,0,70,14,0,0,65,4,0,0,24,4,0,0,31,0,0,0,18,5,0,0,24,3,0
"Bega - Tathra",0,101,9,0,91,9,0,0,97,10,0,0,91,8,0,0,86,6,0,0,75,9,0,0,84,0,0,0,67,8,0
"Bega-Eden Hinterland",0,76,10,0,70,6,0,0,84,6,0,0,74,3,0,0,56,0,0,0,65,3,0,0,55,5,0,0,75,3,0
"Broulee - Tomakin",0,19,3,0,30,0,0,0,27,0,0,0,39,3,0,0,59,4,0,0,65,8,0,0,87,6,0,0,81,6,0
"Deua - Wadbilliga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,20,0,0,254,35,0,0,280,11,0,0,260,16,0
"Eden",0,38,0,0,36,3,0,0,34,4,0,0,31,0,0,0,117,13,0,0,104,18,0,0,109,9,0,0,118,9,0
"Eurobodalla Hinterland",0,26,6,0,27,0,0,0,22,4,0,0,21,0,0,0,78,3,0,0,75,0,0,0,89,6,0,0,74,7,0
"Merimbula - Tura Beach",0,90,9,0,97,3,0,0,83,3,0,0,84,9,0,0,151,6,0,0,139,22,0,0,146,11,0,0,129,21,0
"Moruya - Tuross Head",0,66,7,0,60,6,0,0,65,8,0,0,61,4,0,0,130,7,0,0,126,16,0,0,107,13,0,0,124,6,0
"Narooma - Bermagui",0,70,4,0,67,4,0,0,81,9,0,0,89,8,0,0,78,10,0,0,55,9,0,0,70,10,0,0,57,10,0
"Avoca Beach - Copacabana",0,85,10,0,75,4,0,0,87,3,0,0,100,8,0,0,72,0,0,0,98,0,0,0,84,0,0,0,99,5,0
"Box Head - MacMasters Beach",0,67,9,0,104,18,0,0,114,3,0,0,128,7,0,0,118,3,0,0,118,10,0,0,113,0,0,0,105,5,0
"Calga - Kulnura",0,52,0,0,48,3,0,0,37,4,0,0,29,0,0,0,36,4,0,0,32,0,0,0,26,0,0,0,26,3,0
"Erina - Green Point",0,97,16,0,120,4,0,0,108,5,0,0,117,5,0,0,125,3,0,0,128,3,0,0,147,0,0,0,127,5,0
"Gosford - Springfield",0,171,23,0,187,17,0,0,181,12,0,0,179,0,0,0,178,6,0,0,176,8,0,0,173,5,0,0,172,13,0
"Kariong",0,93,0,0,93,3,0,0,100,6,0,0,89,7,0,0,97,4,0,0,74,9,0,0,92,6,0,0,80,3,0
"Kincumber - Picketts Valley",0,37,5,0,46,3,0,0,74,5,0,0,80,3,0,0,75,6,0,0,73,3,0,0,83,0,0,0,79,3,0
"Narara",0,73,14,0,75,6,0,0,75,4,0,0,86,3,0,0,76,5,0,0,82,5,0,0,83,0,0,0,85,0,0
"Niagara Park - Lisarow",0,98,19,0,100,6,0,0,92,4,0,0,102,0,0,0,87,9,0,0,105,0,0,0,93,0,0,0,102,5,0
"Point Clare - Koolewong",0,73,0,0,62,5,0,0,68,0,0,0,75,3,0,0,71,4,0,0,75,3,0,0,63,4,0,0,80,5,0
"Saratoga - Davistown",0,58,12,0,81,8,0,0,80,5,0,0,91,5,0,0,85,3,0,0,85,0,0,0,89,7,0,0,64,3,0
"Terrigal - North Avoca",0,125,19,0,118,13,0,0,140,3,0,0,156,6,0,0,135,12,0,0,159,8,0,0,144,8,0,0,154,9,0
"Umina - Booker Bay - Patonga",0,137,7,0,197,25,0,0,215,12,0,0,213,19,0,0,260,16,0,0,244,11,0,0,277,9,0,0,222,18,0
"Wamberal - Forresters Beach",0,125,24,0,113,14,0,0,134,8,0,0,134,3,0,0,126,3,0,0,129,9,0,0,130,5,0,0,106,8,0
"Woy Woy - Blackwall",0,66,15,0,117,23,0,0,124,13,0,0,143,14,0,0,125,9,0,0,137,8,0,0,137,7,0,0,105,11,0
"Wyoming",0,99,8,0,145,13,0,0,133,4,0,0,118,4,0,0,123,7,0,0,127,7,0,0,116,8,0,0,125,3,0
"Bateau Bay - Killarney Vale",0,215,35,0,261,16,0,0,264,10,0,0,292,15,0,0,259,16,0,0,270,23,0,0,304,6,0,0,274,22,0
"Blue Haven - San Remo",0,141,17,0,141,11,0,0,156,5,0,0,152,9,0,0,162,8,0,0,165,13,0,0,159,7,0,0,153,4,0
"Budgewoi - Buff Point - Halekulani",0,103,15,0,100,13,0,0,128,0,0,0,98,4,0,0,99,0,0,0,101,5,0,0,114,6,0,0,103,0,0
"Chittaway Bay - Tumbi Umbi",0,159,20,0,177,25,0,0,182,5,0,0,177,8,0,0,164,5,0,0,176,12,0,0,188,3,0,0,175,15,0
"Gorokan - Kanwal - Charmhaven",0,151,25,0,210,30,0,0,251,12,0,0,217,13,0,0,222,6,0,0,213,19,0,0,207,14,0,0,241,11,0
"Jilliby - Yarramalong",0,17,9,0,23,4,0,0,36,0,0,0,29,6,0,0,34,0,0,0,38,5,0,0,20,0,0,0,37,0,0
"Lake Munmorah - Mannering Park",0,72,14,0,96,6,0,0,103,3,0,0,110,3,0,0,104,5,0,0,120,3,0,0,93,5,0,0,97,9,0
"Ourimbah - Fountaindale",0,43,0,0,55,0,0,0,43,0,0,0,56,3,0,0,39,0,0,0,43,0,0,0,50,0,0,0,54,0,0
"Summerland Point - Gwandalan",0,58,8,0,49,10,0,0,71,3,0,0,47,3,0,0,61,3,0,0,58,0,0,0,68,3,0,0,67,5,0
"The Entrance",0,137,11,0,135,21,0,0,176,19,0,0,124,15,0,0,143,8,0,0,153,18,0,0,143,11,0,0,136,18,0
"Toukley - Norah Head",0,97,10,0,104,9,0,0,106,13,0,0,107,7,0,0,99,7,0,0,110,16,0,0,93,10,0,0,93,10,0
"Tuggerah - Kangy Angy",0,62,8,0,74,17,0,0,70,0,0,0,60,3,0,0,64,3,0,0,75,4,0,0,58,0,0,0,69,3,0
"Warnervale - Wadalba",0,179,22,0,221,36,0,0,232,15,0,0,238,9,0,0,260,14,0,0,257,16,0,0,250,20,0,0,269,8,0
"Wyong",0,66,4,0,94,16,0,0,71,3,0,0,114,5,0,0,98,8,0,0,88,3,0,0,103,9,0,0,85,7,0
"Bathurst",0,167,18,0,218,41,0,0,222,19,0,0,251,5,0,0,212,14,0,0,251,26,0,0,244,19,0,0,250,11,0
"Bathurst - East",0,87,19,0,123,19,0,0,121,7,0,0,132,11,0,0,134,10,0,0,143,8,0,0,135,5,0,0,144,8,0
"Bathurst Region",0,51,3,0,54,7,0,0,49,3,0,0,52,0,0,0,59,3,0,0,68,3,0,0,59,3,0,0,67,0,0
"Oberon",0,31,0,0,50,8,0,0,43,5,0,0,34,0,0,0,51,3,0,0,44,6,0,0,45,0,0,0,44,8,0
"Condobolin",0,86,10,0,121,5,0,0,98,12,0,0,110,16,0,0,102,5,0,0,69,19,0,0,108,8,0,0,92,3,0
"Cowra",0,65,18,0,43,9,0,0,78,0,0,0,82,6,0,0,81,8,0,0,61,9,0,0,96,12,0,0,102,10,0
"Cowra Region",0,55,8,0,28,8,0,0,37,7,0,0,45,7,0,0,47,8,0,0,42,6,0,0,47,0,0,0,34,0,0
"Forbes",0,139,18,0,114,26,0,0,143,11,0,0,128,11,0,0,145,12,0,0,118,6,0,0,132,13,0,0,123,9,0
"Grenfell",0,37,0,0,27,5,0,0,34,5,0,0,47,3,0,0,39,7,0,0,28,4,0,0,31,0,0,0,33,0,0
"Parkes (NSW)",0,153,19,0,139,14,0,0,138,12,0,0,144,9,0,0,130,12,0,0,107,17,0,0,119,4,0,0,100,21,0
"Parkes Region",0,26,0,0,27,0,0,0,40,0,0,0,31,6,0,0,30,0,0,0,40,0,0,0,27,3,0,0,32,3,0
"West Wyalong",0,74,3,0,84,7,0,0,58,3,0,0,64,5,0,0,57,7,0,0,61,13,0,0,70,11,0,0,61,7,0
"Lithgow",0,45,8,0,134,11,0,0,118,6,0,0,101,10,0,0,111,6,0,0,109,8,0,0,121,4,0,0,108,9,0
"Lithgow Region",0,61,11,0,64,10,0,0,62,12,0,0,79,3,0,0,74,14,0,0,72,18,0,0,83,4,0,0,71,5,0
"Mudgee",0,157,24,0,132,16,0,0,158,23,0,0,164,27,0,0,171,27,0,0,185,40,0,0,175,35,0,0,159,34,0
"Mudgee Region - East",0,31,0,0,23,3,0,0,29,5,0,0,35,0,0,0,32,0,0,0,32,4,0,0,37,0,0,0,30,0,0
"Mudgee Region - West",0,119,9,0,108,11,0,0,131,14,0,0,115,12,0,0,108,17,0,0,136,20,0,0,114,12,0,0,111,13,0
"Wollangambe - Wollemi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blayney",0,88,3,0,99,8,0,0,98,12,0,0,79,7,0,0,100,0,0,0,61,11,0,0,75,3,0,0,86,6,0
"Orange",0,162,27,0,215,31,0,0,199,8,0,0,204,17,0,0,202,16,0,0,212,40,0,0,182,16,0,0,193,20,0
"Orange - North",0,195,20,0,252,22,0,0,257,18,0,0,292,13,0,0,302,21,0,0,302,27,0,0,329,31,0,0,323,31,0
"Orange Region",0,107,12,0,142,12,0,0,134,16,0,0,148,9,0,0,116,12,0,0,115,16,0,0,140,8,0,0,126,10,0
"Grafton",0,166,26,0,179,23,0,0,200,11,0,0,207,24,0,0,214,18,0,0,185,23,0,0,193,12,0,0,197,14,0
"Grafton Region",0,134,20,0,124,19,0,0,125,9,0,0,114,13,0,0,111,12,0,0,143,17,0,0,126,6,0,0,153,3,0
"Maclean - Yamba - Iluka",0,166,11,0,149,14,0,0,123,11,0,0,146,4,0,0,132,11,0,0,126,14,0,0,142,10,0,0,141,5,0
"Bellingen",0,72,7,0,81,3,0,0,66,11,0,0,71,4,0,0,72,14,0,0,51,9,0,0,95,4,0,0,67,3,0
"Coffs Harbour - North",0,175,18,0,219,19,0,0,206,8,0,0,206,9,0,0,173,15,0,0,191,18,0,0,193,10,0,0,186,17,0
"Coffs Harbour - South",0,79,11,0,98,4,0,0,98,4,0,0,101,11,0,0,81,4,0,0,114,8,0,0,100,5,0,0,96,0,0
"Coramba - Nana Glen - Bucca",0,31,8,0,37,0,0,0,43,7,0,0,49,7,0,0,40,8,0,0,45,5,0,0,39,5,0,0,37,0,0
"Dorrigo",0,31,3,0,32,0,0,0,28,0,0,0,23,4,0,0,32,4,0,0,24,3,0,0,0,0,0,0,0,0,0
"Korora - Emerald Beach",0,93,12,0,103,10,0,0,90,0,0,0,113,4,0,0,116,8,0,0,109,7,0,0,125,5,0,0,123,6,0
"Sawtell - Boambee",0,210,9,0,231,28,0,0,252,7,0,0,186,4,0,0,224,10,0,0,216,15,0,0,191,6,0,0,192,5,0
"Urunga",0,34,3,0,41,0,0,0,29,0,0,0,48,0,0,0,37,3,0,0,32,4,0,0,29,0,0,0,39,0,0
"Woolgoolga - Arrawarra",0,111,17,0,123,9,0,0,129,8,0,0,132,8,0,0,134,7,0,0,125,13,0,0,106,7,0,0,147,23,0
"Bourke - Brewarrina",0,81,8,0,73,7,0,0,62,3,0,0,83,5,0,0,64,6,0,0,57,4,0,0,57,0,0,0,52,3,0
"Cobar",0,70,8,0,63,6,0,0,67,8,0,0,72,10,0,0,62,5,0,0,67,3,0,0,55,3,0,0,43,0,0
"Coonamble",0,63,8,0,53,13,0,0,66,7,0,0,60,3,0,0,56,7,0,0,60,8,0,0,62,3,0,0,53,3,0
"Nyngan - Warren",0,84,12,0,86,4,0,0,83,5,0,0,76,3,0,0,74,4,0,0,75,6,0,0,70,3,0,0,63,5,0
"Walgett - Lightning Ridge",0,101,10,0,104,3,0,0,108,6,0,0,95,9,0,0,74,7,0,0,76,7,0,0,78,4,0,0,91,10,0
"Broken Hill",0,241,14,0,193,24,0,0,187,21,0,0,222,16,0,0,183,24,0,0,196,25,0,0,202,6,0,0,204,14,0
"Far West",0,33,0,0,30,5,0,0,29,8,0,0,34,0,0,0,22,3,0,0,36,7,0,0,27,0,0,0,25,7,0
"Coonabarabran",0,83,7,0,85,11,0,0,100,10,0,0,77,5,0,0,77,3,0,0,82,13,0,0,66,6,0,0,77,5,0
"Dubbo - East",0,119,18,0,117,25,0,0,137,13,0,0,153,6,0,0,134,12,0,0,129,15,0,0,125,7,0,0,150,7,0
"Dubbo - South",0,168,14,0,216,40,0,0,219,14,0,0,223,16,0,0,249,13,0,0,225,19,0,0,242,7,0,0,269,22,0
"Dubbo - West",0,79,9,0,116,31,0,0,138,12,0,0,136,17,0,0,134,12,0,0,154,13,0,0,156,3,0,0,140,6,0
"Dubbo Region",0,50,8,0,57,11,0,0,52,3,0,0,58,0,0,0,82,8,0,0,76,3,0,0,68,6,0,0,53,4,0
"Gilgandra",0,53,5,0,66,6,0,0,63,3,0,0,65,0,0,0,38,7,0,0,48,10,0,0,50,5,0,0,55,4,0
"Narromine",0,77,3,0,83,8,0,0,90,12,0,0,89,10,0,0,82,17,0,0,92,5,0,0,83,6,0,0,96,0,0
"Wellington",0,110,6,0,100,14,0,0,116,3,0,0,85,8,0,0,108,14,0,0,91,19,0,0,93,5,0,0,93,8,0
"Branxton - Greta - Pokolbin",0,131,19,0,139,8,0,0,143,5,0,0,147,15,0,0,137,16,0,0,172,16,0,0,178,15,0,0,204,10,0
"Cessnock",0,141,12,0,201,33,0,0,230,21,0,0,227,26,0,0,220,13,0,0,246,23,0,0,240,13,0,0,257,18,0
"Cessnock Region",0,49,4,0,89,4,0,0,67,3,0,0,73,3,0,0,95,0,0,0,102,13,0,0,88,7,0,0,87,8,0
"Dungog",0,99,6,0,106,4,0,0,113,5,0,0,91,8,0,0,113,10,0,0,105,15,0,0,91,13,0,0,147,16,0
"Kurri Kurri - Abermain",0,195,21,0,179,17,0,0,214,16,0,0,222,20,0,0,207,17,0,0,232,32,0,0,250,14,0,0,240,23,0
"Singleton",0,204,33,0,218,29,0,0,206,18,0,0,212,15,0,0,215,22,0,0,212,26,0,0,221,20,0,0,201,11,0
"Singleton Region",0,55,6,0,54,9,0,0,59,7,0,0,45,10,0,0,67,0,0,0,46,5,0,0,51,3,0,0,0,0,0
"Maitland",0,59,12,0,70,12,0,0,103,11,0,0,117,11,0,0,105,12,0,0,91,17,0,0,91,7,0,0,123,10,0
"Maitland - East",0,306,38,0,310,31,0,0,355,18,0,0,308,29,0,0,326,26,0,0,316,30,0,0,320,25,0,0,288,19,0
"Maitland - North",0,80,8,0,97,3,0,0,78,7,0,0,95,6,0,0,98,11,0,0,97,14,0,0,107,7,0,0,107,7,0
"Maitland - West",0,279,32,0,338,53,0,0,325,20,0,0,349,44,0,0,315,33,0,0,314,36,0,0,335,34,0,0,354,27,0
"Thornton - Millers Forest",0,123,12,0,108,7,0,0,140,10,0,0,148,13,0,0,179,9,0,0,176,14,0,0,175,9,0,0,190,15,0
"Anna Bay",0,49,3,0,39,5,0,0,47,6,0,0,60,8,0,0,54,0,0,0,59,5,0,0,51,3,0,0,50,0,0
"Lemon Tree Passage - Tanilba Bay",0,61,7,0,83,12,0,0,63,14,0,0,60,3,0,0,51,4,0,0,70,5,0,0,61,5,0,0,44,3,0
"Nelson Bay Peninsula",0,174,13,0,178,12,0,0,165,4,0,0,161,12,0,0,142,8,0,0,172,3,0,0,143,5,0,0,149,10,0
"Raymond Terrace",0,166,14,0,154,28,0,0,188,13,0,0,195,25,0,0,168,14,0,0,178,23,0,0,170,9,0,0,165,15,0
"Seaham - Woodville",0,59,4,0,50,6,0,0,51,0,0,0,53,4,0,0,60,6,0,0,61,3,0,0,58,3,0,0,52,3,0
"Tea Gardens - Hawks Nest",0,42,0,0,30,0,0,0,32,0,0,0,34,0,0,0,25,0,0,0,35,7,0,0,30,3,0,0,21,0,0
"Williamtown - Medowie - Karuah",0,129,7,0,172,33,0,0,191,11,0,0,175,9,0,0,165,21,0,0,165,15,0,0,176,12,0,0,175,11,0
"Muswellbrook",0,156,29,0,161,14,0,0,156,12,0,0,156,19,0,0,150,15,0,0,146,11,0,0,162,15,0,0,121,6,0
"Muswellbrook Region",0,49,13,0,40,5,0,0,55,5,0,0,34,8,0,0,41,6,0,0,46,10,0,0,32,3,0,0,40,7,0
"Scone",0,97,8,0,66,4,0,0,71,15,0,0,92,3,0,0,60,13,0,0,70,4,0,0,79,3,0,0,62,3,0
"Scone Region",0,120,11,0,84,8,0,0,95,3,0,0,84,10,0,0,97,11,0,0,82,11,0,0,81,9,0,0,76,11,0
"Berkeley - Warrawong - Windang",0,216,26,0,284,24,0,0,320,16,0,0,333,30,0,0,274,14,0,0,291,15,0,0,263,12,0,0,257,13,0
"Dapto - Avondale",0,232,17,0,257,25,0,0,276,12,0,0,299,12,0,0,130,6,0,0,169,12,0,0,163,8,0,0,178,9,0
"Horsley - Kembla Grange",0,92,4,0,112,7,0,0,127,5,0,0,124,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Port Kembla Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,4,0,0,171,8,0,0,172,3,0,0,156,6,0
"Unanderra - Mount Kembla",0,111,18,0,152,16,0,0,149,9,0,0,169,10,0,0,147,17,0,0,142,10,0,0,153,9,0,0,139,10,0
"Illawarra Catchment Reserve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,8,0,0,85,7,0,0,118,15,0,0,93,6,0
"Albion Park - Macquarie Pass",0,119,3,0,157,27,0,0,202,7,0,0,216,5,0,0,38,0,0,0,31,0,0,0,27,6,0,0,36,3,0
"Albion Park Rail",0,58,8,0,81,12,0,0,89,0,0,0,89,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kiama",0,42,10,0,57,8,0,0,74,4,0,0,68,3,0,0,209,11,0,0,208,18,0,0,240,8,0,0,254,11,0
"Kiama Downs - Minnamurra",0,57,14,0,60,4,0,0,68,0,0,0,87,5,0,0,71,3,0,0,74,3,0,0,62,3,0,0,77,7,0
"Kiama Hinterland - Gerringong",0,72,3,0,57,7,0,0,84,0,0,0,83,0,0,0,67,5,0,0,79,7,0,0,85,7,0,0,91,5,0
"Shellharbour - Flinders",0,210,26,0,217,21,0,0,189,10,0,0,205,3,0,0,60,9,0,0,66,0,0,0,93,4,0,0,72,0,0
"Shellharbour - Oak Flats",0,86,15,0,78,14,0,0,101,11,0,0,100,19,0,0,92,0,0,0,73,7,0,0,83,0,0,0,74,7,0
"Warilla",0,186,24,0,203,30,0,0,245,14,0,0,208,23,0,0,221,11,0,0,199,20,0,0,227,11,0,0,209,8,0
"Balgownie - Fairy Meadow",0,156,10,0,188,30,0,0,208,9,0,0,208,19,0,0,97,13,0,0,109,7,0,0,107,11,0,0,90,16,0
"Corrimal - Tarrawanna - Bellambi",0,121,13,0,152,20,0,0,157,12,0,0,165,0,0,0,222,14,0,0,219,18,0,0,203,7,0,0,181,24,0
"Figtree - Keiraville",0,205,18,0,215,11,0,0,243,14,0,0,195,10,0,0,217,12,0,0,234,16,0,0,248,6,0,0,200,9,0
"Helensburgh",0,135,7,0,116,9,0,0,127,3,0,0,127,3,0,0,176,10,0,0,158,0,0,0,164,3,0,0,164,7,0
"Thirroul - Austinmer - Coalcliff",0,144,16,0,128,11,0,0,137,5,0,0,142,9,0,0,240,21,0,0,250,13,0,0,217,0,0,0,251,14,0
"Wollongong",0,133,6,0,209,36,0,0,214,6,0,0,220,13,0,0,118,3,0,0,140,4,0,0,122,3,0,0,131,5,0
"Woonona - Bulli - Russell Vale",0,189,27,0,232,28,0,0,259,9,0,0,276,13,0,0,141,9,0,0,143,10,0,0,144,3,0,0,141,7,0
"Bulahdelah - Stroud",0,40,0,0,46,5,0,0,44,4,0,0,41,0,0,0,289,15,0,0,246,20,0,0,255,7,0,0,231,17,0
"Forster",0,68,12,0,117,27,0,0,133,7,0,0,113,5,0,0,58,4,0,0,78,3,0,0,61,0,0,0,83,0,0
"Forster-Tuncurry Region",0,36,4,0,54,17,0,0,53,0,0,0,48,5,0,0,158,7,0,0,137,14,0,0,155,3,0,0,163,6,0
"Tuncurry",0,41,5,0,28,8,0,0,58,0,0,0,44,5,0,0,45,3,0,0,37,5,0,0,50,7,0,0,43,5,0
"Kempsey",0,154,10,0,192,10,0,0,185,12,0,0,183,11,0,0,103,9,0,0,129,10,0,0,109,4,0,0,112,3,0
"Kempsey Region",0,72,9,0,70,9,0,0,80,5,0,0,85,8,0,0,61,5,0,0,53,4,0,0,50,3,0,0,42,7,0
"Macksville - Scotts Head",0,35,0,0,43,5,0,0,45,7,0,0,35,5,0,0,36,0,0,0,42,0,0,0,49,0,0,0,38,0,0
"Nambucca Heads",0,71,4,0,55,3,0,0,58,4,0,0,64,6,0,0,172,10,0,0,157,21,0,0,174,12,0,0,130,11,0
"Nambucca Heads Region",0,74,8,0,60,11,0,0,85,4,0,0,93,10,0,0,78,7,0,0,73,13,0,0,83,8,0,0,60,4,0
"South West Rocks",0,38,10,0,44,14,0,0,41,7,0,0,48,0,0,0,44,6,0,0,51,7,0,0,49,3,0,0,60,0,0
"Lord Howe Island",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,8,0,0,51,4,0,0,60,4,0,0,51,3,0
"Laurieton - Bonny Hills",0,122,18,0,135,12,0,0,134,3,0,0,120,7,0,0,93,4,0,0,74,10,0,0,80,3,0,0,64,6,0
"Port Macquarie - East",0,239,28,0,292,36,0,0,304,14,0,0,285,16,0,0,32,3,0,0,50,11,0,0,42,6,0,0,52,0,0
"Port Macquarie - West",0,102,9,0,150,20,0,0,166,11,0,0,172,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Port Macquarie Region",0,26,4,0,38,0,0,0,57,4,0,0,35,3,0,0,117,11,0,0,136,7,0,0,143,6,0,0,128,12,0
"Wauchope",0,104,9,0,98,5,0,0,120,7,0,0,160,10,0,0,255,17,0,0,272,23,0,0,292,15,0,0,237,14,0
"Gloucester",0,53,8,0,44,5,0,0,54,3,0,0,47,6,0,0,152,15,0,0,162,17,0,0,179,11,0,0,169,12,0
"Old Bar - Manning Point - Red Head",0,119,21,0,106,3,0,0,133,10,0,0,92,9,0,0,40,7,0,0,46,6,0,0,53,0,0,0,0,0,0
"Taree",0,214,15,0,223,24,0,0,248,19,0,0,212,16,0,0,123,10,0,0,125,5,0,0,119,4,0,0,167,8,0
"Taree Region",0,75,12,0,94,10,0,0,100,8,0,0,82,7,0,0,36,8,0,0,53,6,0,0,48,8,0,0,41,5,0
"Wingham",0,71,3,0,59,0,0,0,62,5,0,0,54,5,0,0,118,9,0,0,113,8,0,0,103,3,0,0,101,3,0
"Albury - East",0,204,28,0,199,25,0,0,215,9,0,0,216,17,0,0,210,17,0,0,228,13,0,0,184,15,0,0,211,16,0
"Albury - North",0,108,17,0,92,13,0,0,91,13,0,0,103,14,0,0,81,6,0,0,84,12,0,0,81,3,0,0,79,3,0
"Albury - South",0,100,12,0,107,17,0,0,114,7,0,0,105,7,0,0,63,6,0,0,63,4,0,0,66,6,0,0,48,4,0
"Albury Region",0,110,15,0,124,13,0,0,147,9,0,0,131,11,0,0,234,15,0,0,237,29,0,0,255,15,0,0,229,24,0
"Lavington",0,148,27,0,147,18,0,0,154,12,0,0,173,18,0,0,117,16,0,0,124,14,0,0,120,11,0,0,121,11,0
"Hay",0,31,3,0,32,3,0,0,21,0,0,0,31,4,0,0,110,8,0,0,100,10,0,0,122,11,0,0,102,3,0
"Wentworth - Buronga",0,87,17,0,70,8,0,0,84,14,0,0,67,9,0,0,114,10,0,0,130,14,0,0,124,17,0,0,153,14,0
"Wentworth-Balranald Region",0,39,0,0,45,4,0,0,29,5,0,0,41,5,0,0,162,19,0,0,166,19,0,0,169,15,0,0,172,19,0
"Corowa",0,72,10,0,69,11,0,0,67,3,0,0,50,7,0,0,25,0,0,0,38,0,0,0,23,0,0,0,25,0,0
"Corowa Region",0,94,14,0,70,17,0,0,77,3,0,0,73,16,0,0,79,8,0,0,74,12,0,0,74,6,0,0,87,10,0
"Deniliquin",0,93,12,0,107,12,0,0,83,14,0,0,75,13,0,0,45,3,0,0,53,11,0,0,35,7,0,0,40,7,0
"Deniliquin Region",0,60,7,0,62,6,0,0,55,10,0,0,67,13,0,0,48,0,0,0,36,5,0,0,43,0,0,0,43,3,0
