SA4_CODE_2011,SA4_NAME_2011,RA_CODE_2011,RA_NAME_2011,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
209,Melbourne - North East,21,Inner Regional Australia,0.0426934,Poor,Acceptable,0
210,Melbourne - North West,20,Major Cities of Australia,0.9122842,Good,Acceptable,0
210,Melbourne - North West,21,Inner Regional Australia,0.0877158,Poor,Acceptable,0
211,Melbourne - Outer East,20,Major Cities of Australia,0.9367796,Good,Acceptable,0
211,Melbourne - Outer East,21,Inner Regional Australia,0.0632204,Poor,Acceptable,0
212,Melbourne - South East,20,Major Cities of Australia,0.9695067,Good,Acceptable,0
212,Melbourne - South East,21,Inner Regional Australia,0.0304933,Poor,Acceptable,0
213,Melbourne - West,20,Major Cities of Australia,0.962729,Good,Acceptable,0
213,Melbourne - West,21,Inner Regional Australia,0.037271,Poor,Acceptable,0
214,Mornington Peninsula,20,Major Cities of Australia,0.9823065,Good,Acceptable,0
214,Mornington Peninsula,21,Inner Regional Australia,0.0176935,Poor,Acceptable,0
215,North West,21,Inner Regional Australia,0.1106042,Poor,Acceptable,0
215,North West,22,Outer Regional Australia,0.8709522,Poor,Acceptable,0
215,North West,23,Remote Australia,0.0184435,Poor,Acceptable,0
216,Shepparton,21,Inner Regional Australia,0.9882139,Poor,Acceptable,0
216,Shepparton,22,Outer Regional Australia,0.0117861,Poor,Acceptable,0
217,Warrnambool and South West,21,Inner Regional Australia,0.7019503,Poor,Acceptable,0
217,Warrnambool and South West,22,Outer Regional Australia,0.2980497,Poor,Acceptable,0
301,Brisbane - East,30,Major Cities of Australia,0.9565365,Good,Acceptable,0
301,Brisbane - East,31,Inner Regional Australia,0.0180208,Poor,Acceptable,0
301,Brisbane - East,32,Outer Regional Australia,0.0191898,Acceptable,Acceptable,0
301,Brisbane - East,33,Remote Australia,0.0062529,Poor,Acceptable,1
302,Brisbane - North,30,Major Cities of Australia,1,Good,Acceptable,0
303,Brisbane - South,30,Major Cities of Australia,1,Good,Acceptable,0
304,Brisbane - West,30,Major Cities of Australia,0.9984385,Good,Acceptable,0
304,Brisbane - West,31,Inner Regional Australia,0.0015615,Poor,Acceptable,1
305,Brisbane Inner City,30,Major Cities of Australia,1,Good,Acceptable,0
306,Cairns,32,Outer Regional Australia,0.9759878,Acceptable,Acceptable,0
306,Cairns,33,Remote Australia,0.0240121,Poor,Acceptable,0
306,Cairns,34,Very Remote Australia,1e-07,Poor,Acceptable,1
307,Darling Downs - Maranoa,31,Inner Regional Australia,0.4865704,Poor,Acceptable,0
307,Darling Downs - Maranoa,32,Outer Regional Australia,0.4041252,Acceptable,Acceptable,0
307,Darling Downs - Maranoa,33,Remote Australia,0.0819886,Poor,Acceptable,0
307,Darling Downs - Maranoa,34,Very Remote Australia,0.0273158,Poor,Acceptable,0
308,Fitzroy,31,Inner Regional Australia,0.7359693,Poor,Acceptable,0
308,Fitzroy,32,Outer Regional Australia,0.2074395,Acceptable,Acceptable,0
308,Fitzroy,33,Remote Australia,0.0555167,Poor,Acceptable,0
308,Fitzroy,34,Very Remote Australia,0.0010745,Poor,Acceptable,1
309,Gold Coast,30,Major Cities of Australia,0.9778385,Good,Acceptable,0
309,Gold Coast,31,Inner Regional Australia,0.0219625,Poor,Acceptable,0
309,Gold Coast,32,Outer Regional Australia,0.000199,Acceptable,Acceptable,1
310,Ipswich,30,Major Cities of Australia,0.807192,Good,Acceptable,0
310,Ipswich,31,Inner Regional Australia,0.192808,Poor,Acceptable,0
311,Logan - Beaudesert,30,Major Cities of Australia,0.899913,Good,Acceptable,0
311,Logan - Beaudesert,31,Inner Regional Australia,0.099326,Poor,Acceptable,0
311,Logan - Beaudesert,32,Outer Regional Australia,0.000761,Acceptable,Acceptable,1
312,Mackay,31,Inner Regional Australia,0.45951,Poor,Acceptable,0
312,Mackay,32,Outer Regional Australia,0.4669145,Acceptable,Acceptable,0
312,Mackay,33,Remote Australia,0.0690246,Poor,Acceptable,0
312,Mackay,34,Very Remote Australia,0.0045509,Poor,Acceptable,1
313,Moreton Bay - North,30,Major Cities of Australia,0.8591702,Good,Acceptable,0
313,Moreton Bay - North,31,Inner Regional Australia,0.1373672,Poor,Acceptable,0
313,Moreton Bay - North,32,Outer Regional Australia,0.0034626,Acceptable,Acceptable,1
314,Moreton Bay - South,30,Major Cities of Australia,0.9382845,Good,Acceptable,0
314,Moreton Bay - South,31,Inner Regional Australia,0.0617155,Poor,Acceptable,0
315,Queensland - Outback,32,Outer Regional Australia,0.0561238,Acceptable,Acceptable,0
315,Queensland - Outback,33,Remote Australia,0.3309311,Poor,Acceptable,0
315,Queensland - Outback,34,Very Remote Australia,0.612945,Poor,Acceptable,0
316,Sunshine Coast,30,Major Cities of Australia,0.7621362,Good,Acceptable,0
316,Sunshine Coast,31,Inner Regional Australia,0.2378638,Poor,Acceptable,0
317,Toowoomba,31,Inner Regional Australia,1,Poor,Acceptable,0
318,Townsville,32,Outer Regional Australia,0.9609215,Acceptable,Acceptable,0
318,Townsville,33,Remote Australia,0.0354483,Poor,Acceptable,0
318,Townsville,34,Very Remote Australia,0.0036302,Poor,Acceptable,1
319,Wide Bay,31,Inner Regional Australia,0.8872261,Poor,Acceptable,0
319,Wide Bay,32,Outer Regional Australia,0.1113136,Acceptable,Acceptable,0
319,Wide Bay,33,Remote Australia,0.0014603,Poor,Acceptable,1
401,Adelaide - Central and Hills,40,Major Cities of Australia,0.8297912,Good,Acceptable,0
401,Adelaide - Central and Hills,41,Inner Regional Australia,0.1702088,Poor,Acceptable,0
402,Adelaide - North,40,Major Cities of Australia,0.9789733,Good,Acceptable,0
402,Adelaide - North,41,Inner Regional Australia,0.0210267,Poor,Acceptable,0
403,Adelaide - South,40,Major Cities of Australia,0.9797954,Good,Acceptable,0
403,Adelaide - South,41,Inner Regional Australia,0.0202046,Poor,Acceptable,0
404,Adelaide - West,40,Major Cities of Australia,1,Good,Acceptable,0
405,Barossa - Yorke - Mid North,41,Inner Regional Australia,0.3957893,Poor,Acceptable,0
405,Barossa - Yorke - Mid North,42,Outer Regional Australia,0.5669014,Poor,Acceptable,0
405,Barossa - Yorke - Mid North,43,Remote Australia,0.0373093,Poor,Acceptable,0
406,South Australia - Outback,42,Outer Regional Australia,0.4487944,Poor,Acceptable,0
406,South Australia - Outback,43,Remote Australia,0.3833362,Poor,Acceptable,0
406,South Australia - Outback,44,Very Remote Australia,0.1678693,Poor,Acceptable,0
407,South Australia - South East,41,Inner Regional Australia,0.393212,Poor,Acceptable,0
407,South Australia - South East,42,Outer Regional Australia,0.56275,Poor,Acceptable,0
407,South Australia - South East,43,Remote Australia,0.044038,Poor,Acceptable,0
501,Bunbury,51,Inner Regional Australia,0.9039098,Poor,Acceptable,0
