SA1_MAINCODE_2011,SA1_UID_2011,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10101100231,92,17640,Upper Lachlan Shire,1,Good,Good,0
10101100232,93,17640,Upper Lachlan Shire,1,Good,Good,0
10101100233,94,17640,Upper Lachlan Shire,0.9804085,Good,Good,0
10101100233,94,18350,Wingecarribee,0.0195915,Good,Good,0
10101100301,95,18710,Yass Valley,1,Good,Good,0
10101100302,96,18710,Yass Valley,1,Good,Good,0
10101100303,97,18710,Yass Valley,1,Good,Good,0
10101100304,98,18710,Yass Valley,1,Good,Good,0
10101100305,99,18710,Yass Valley,1,Good,Good,0
10101100306,100,18710,Yass Valley,1,Good,Good,0
10101100307,101,18710,Yass Valley,1,Good,Good,0
10101100308,102,18710,Yass Valley,1,Good,Good,0
10101100309,103,18710,Yass Valley,1,Good,Good,0
10101100310,104,18710,Yass Valley,1,Good,Good,0
10101100311,105,18710,Yass Valley,1,Good,Good,0
10101100312,106,18710,Yass Valley,1,Good,Good,0
10101100313,107,18710,Yass Valley,1,Good,Good,0
10101100314,108,18710,Yass Valley,1,Good,Good,0
10101100401,109,17640,Upper Lachlan Shire,1,Good,Good,0
10101100402,110,17640,Upper Lachlan Shire,1,Good,Good,0
10101100403,111,17640,Upper Lachlan Shire,1,Good,Good,0
10101100404,112,18710,Yass Valley,1,Good,Good,0
10101100405,113,18710,Yass Valley,1,Good,Good,0
10101100406,114,18710,Yass Valley,1,Good,Good,0
10101100407,115,18710,Yass Valley,1,Good,Good,0
10101100408,116,18710,Yass Valley,1,Good,Good,0
10101100409,117,18710,Yass Valley,1,Good,Good,0
10101100410,118,18710,Yass Valley,1,Good,Good,0
10101100411,119,18710,Yass Valley,1,Good,Good,0
10101100412,120,18710,Yass Valley,1,Good,Good,0
10101100413,121,13910,Hilltops,1,Good,Good,0
10101100414,122,18710,Yass Valley,1,Good,Good,0
10101100415,123,18710,Yass Valley,1,Good,Good,0
10101100416,124,18710,Yass Valley,1,Good,Good,0
10101100417,125,18710,Yass Valley,1,Good,Good,0
10101100418,126,18710,Yass Valley,1,Good,Good,0
10101100419,127,18710,Yass Valley,1,Good,Good,0
10101100420,128,18710,Yass Valley,1,Good,Good,0
10101100421,129,17640,Upper Lachlan Shire,1,Good,Good,0
10101100422,130,13910,Hilltops,1,Good,Good,0
10101100423,131,18710,Yass Valley,1,Good,Good,0
10101100424,132,18710,Yass Valley,1,Good,Good,0
10101100425,133,17640,Upper Lachlan Shire,0.7302459,Good,Good,0
10101100425,133,18710,Yass Valley,0.2697541,Good,Good,0
10101100426,134,18710,Yass Valley,1,Good,Good,0
10101100427,135,18710,Yass Valley,1,Good,Good,0
10101100428,136,18710,Yass Valley,1,Good,Good,0
10101100429,137,18710,Yass Valley,1,Good,Good,0
10101100430,138,18710,Yass Valley,1,Good,Good,0
10101100431,139,18710,Yass Valley,1,Good,Good,0
10101100432,140,18710,Yass Valley,1,Good,Good,0
10101100433,141,18710,Yass Valley,1,Good,Good,0
10101100434,142,18710,Yass Valley,1,Good,Good,0
10101100501,143,13910,Hilltops,1,Good,Good,0
10101100502,144,13910,Hilltops,1,Good,Good,0
10101100503,145,13910,Hilltops,1,Good,Good,0
10101100504,146,13910,Hilltops,1,Good,Good,0
10101100505,147,13910,Hilltops,1,Good,Good,0
10101100506,148,13910,Hilltops,1,Good,Good,0
10101100507,149,13910,Hilltops,1,Good,Good,0
10101100508,150,13910,Hilltops,1,Good,Good,0
10101100509,151,13910,Hilltops,1,Good,Good,0
10101100510,152,13910,Hilltops,1,Good,Good,0
10101100511,153,13910,Hilltops,1,Good,Good,0
10101100512,154,13910,Hilltops,1,Good,Good,0
10101100513,155,13910,Hilltops,1,Good,Good,0
10101100514,156,13910,Hilltops,1,Good,Good,0
10101100515,157,13910,Hilltops,1,Good,Good,0
10101100516,158,13910,Hilltops,1,Good,Good,0
10101100517,159,13910,Hilltops,1,Good,Good,0
10101100518,160,13910,Hilltops,1,Good,Good,0
10101100519,161,13910,Hilltops,1,Good,Good,0
10101100520,162,13910,Hilltops,1,Good,Good,0
10101100521,163,13910,Hilltops,1,Good,Good,0
10101100522,164,13910,Hilltops,1,Good,Good,0
10101100523,165,13910,Hilltops,1,Good,Good,0
10101100524,166,13910,Hilltops,1,Good,Good,0
10101100525,167,13910,Hilltops,1,Good,Good,0
10101100526,168,13910,Hilltops,1,Good,Good,0
10101100527,169,13910,Hilltops,1,Good,Good,0
