"SA3_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
10102,"all","12-13","Year 7",2008,"Spelling",518.9
10102,"all","12-13","Year 7",2009,"Spelling",536.3
10102,"all","12-13","Year 7",2010,"Spelling",531.9
10102,"all","12-13","Year 7",2011,"Spelling",521.5
10102,"all","12-13","Year 7",2012,"Spelling",530.6
10102,"all","12-13","Year 7",2013,"Spelling",540.2
10102,"all","12-13","Year 7",2014,"Spelling",535.1
10102,"all","12-13","Year 7",2015,"Spelling",528.2
10102,"all","12-13","Year 7",2016,"Spelling",532.5
10102,"all","12-13","Year 7",2017,"Spelling",531.9
10102,"all","12-13","Year 7",2018,"Spelling",521.7
10102,"all","12-13","Year 7",2019,"Spelling",530.8
10102,"all","12-13","Year 7",2021,"Spelling",537.3
10103,"all","12-13","Year 7",2008,"Spelling",533
10103,"all","12-13","Year 7",2009,"Spelling",524
10103,"all","12-13","Year 7",2010,"Spelling",532.8
10103,"all","12-13","Year 7",2011,"Spelling",520.8
10103,"all","12-13","Year 7",2012,"Spelling",526.5
10103,"all","12-13","Year 7",2013,"Spelling",537.9
10103,"all","12-13","Year 7",2014,"Spelling",526.7
10103,"all","12-13","Year 7",2015,"Spelling",529.2
10103,"all","12-13","Year 7",2016,"Spelling",527.6
10103,"all","12-13","Year 7",2017,"Spelling",531.5
10103,"all","12-13","Year 7",2018,"Spelling",520.4
10103,"all","12-13","Year 7",2019,"Spelling",513.4
10103,"all","12-13","Year 7",2021,"Spelling",527.2
10104,"all","12-13","Year 7",2008,"Spelling",527.5
10104,"all","12-13","Year 7",2009,"Spelling",527.1
10104,"all","12-13","Year 7",2010,"Spelling",532.8
10104,"all","12-13","Year 7",2011,"Spelling",525.5
10104,"all","12-13","Year 7",2012,"Spelling",527.8
10104,"all","12-13","Year 7",2013,"Spelling",535.4
10104,"all","12-13","Year 7",2014,"Spelling",533.7
10104,"all","12-13","Year 7",2015,"Spelling",531.7
10104,"all","12-13","Year 7",2016,"Spelling",524.6
10104,"all","12-13","Year 7",2017,"Spelling",521.2
10104,"all","12-13","Year 7",2018,"Spelling",525.2
10104,"all","12-13","Year 7",2019,"Spelling",522.2
10104,"all","12-13","Year 7",2021,"Spelling",522.2
10105,"all","12-13","Year 7",2008,"Spelling",517.1
10105,"all","12-13","Year 7",2009,"Spelling",519.6
10105,"all","12-13","Year 7",2010,"Spelling",536
10105,"all","12-13","Year 7",2011,"Spelling",515.7
10105,"all","12-13","Year 7",2012,"Spelling",529.8
10105,"all","12-13","Year 7",2013,"Spelling",532.8
10105,"all","12-13","Year 7",2014,"Spelling",525.6
10105,"all","12-13","Year 7",2015,"Spelling",528.2
10105,"all","12-13","Year 7",2016,"Spelling",518.6
10105,"all","12-13","Year 7",2017,"Spelling",530.5
10105,"all","12-13","Year 7",2018,"Spelling",522.3
10105,"all","12-13","Year 7",2019,"Spelling",518.9
10105,"all","12-13","Year 7",2021,"Spelling",515.9
10106,"all","12-13","Year 7",2008,"Spelling",519.8
10106,"all","12-13","Year 7",2009,"Spelling",523.6
10106,"all","12-13","Year 7",2010,"Spelling",529.8
10106,"all","12-13","Year 7",2011,"Spelling",525.1
10106,"all","12-13","Year 7",2012,"Spelling",526.6
10106,"all","12-13","Year 7",2013,"Spelling",535.6
10106,"all","12-13","Year 7",2014,"Spelling",526.8
10106,"all","12-13","Year 7",2015,"Spelling",529.5
10106,"all","12-13","Year 7",2016,"Spelling",527.3
10106,"all","12-13","Year 7",2017,"Spelling",522.2
10106,"all","12-13","Year 7",2018,"Spelling",523.6
10106,"all","12-13","Year 7",2019,"Spelling",520.4
