"SA3_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
10102,"all","14-15","Year 9",2011,"Writing",525.8
10102,"all","14-15","Year 9",2012,"Writing",502.7
10102,"all","14-15","Year 9",2013,"Writing",499.3
10102,"all","14-15","Year 9",2014,"Writing",486.4
10102,"all","14-15","Year 9",2015,"Writing",505.3
10102,"all","14-15","Year 9",2016,"Writing",522.2
10102,"all","14-15","Year 9",2017,"Writing",521.1
10102,"all","14-15","Year 9",2018,"Writing",518.8
10102,"all","14-15","Year 9",2019,"Writing",522
10102,"all","14-15","Year 9",2021,"Writing",520.2
10103,"all","14-15","Year 9",2011,"Writing",550.7
10103,"all","14-15","Year 9",2012,"Writing",545.8
10103,"all","14-15","Year 9",2013,"Writing",534.2
10103,"all","14-15","Year 9",2014,"Writing",533.5
10103,"all","14-15","Year 9",2015,"Writing",530.5
10103,"all","14-15","Year 9",2016,"Writing",514.7
10103,"all","14-15","Year 9",2017,"Writing",534.5
10103,"all","14-15","Year 9",2018,"Writing",533.6
10103,"all","14-15","Year 9",2019,"Writing",534
10103,"all","14-15","Year 9",2021,"Writing",535.3
10104,"all","14-15","Year 9",2011,"Writing",550.7
10104,"all","14-15","Year 9",2012,"Writing",537.4
10104,"all","14-15","Year 9",2013,"Writing",526.3
10104,"all","14-15","Year 9",2014,"Writing",517.8
10104,"all","14-15","Year 9",2015,"Writing",515
10104,"all","14-15","Year 9",2016,"Writing",532.1
10104,"all","14-15","Year 9",2017,"Writing",528
10104,"all","14-15","Year 9",2018,"Writing",516.4
10104,"all","14-15","Year 9",2019,"Writing",528.8
10104,"all","14-15","Year 9",2021,"Writing",522.1
10105,"all","14-15","Year 9",2011,"Writing",532.2
10105,"all","14-15","Year 9",2012,"Writing",543.1
10105,"all","14-15","Year 9",2013,"Writing",531.6
10105,"all","14-15","Year 9",2014,"Writing",520.4
10105,"all","14-15","Year 9",2015,"Writing",512.6
10105,"all","14-15","Year 9",2016,"Writing",527
10105,"all","14-15","Year 9",2017,"Writing",526.3
10105,"all","14-15","Year 9",2018,"Writing",516.8
10105,"all","14-15","Year 9",2019,"Writing",516.3
10105,"all","14-15","Year 9",2021,"Writing",538.1
10106,"all","14-15","Year 9",2011,"Writing",527.9
10106,"all","14-15","Year 9",2012,"Writing",534.8
10106,"all","14-15","Year 9",2013,"Writing",543
10106,"all","14-15","Year 9",2014,"Writing",503.8
10106,"all","14-15","Year 9",2015,"Writing",518.1
10106,"all","14-15","Year 9",2016,"Writing",512.6
10106,"all","14-15","Year 9",2017,"Writing",524.7
10106,"all","14-15","Year 9",2018,"Writing",508.8
10106,"all","14-15","Year 9",2019,"Writing",523.8
10106,"all","14-15","Year 9",2021,"Writing",525.7
10201,"all","14-15","Year 9",2011,"Writing",563.8
10201,"all","14-15","Year 9",2012,"Writing",555.8
10201,"all","14-15","Year 9",2013,"Writing",549.5
10201,"all","14-15","Year 9",2014,"Writing",550.3
10201,"all","14-15","Year 9",2015,"Writing",541.2
10201,"all","14-15","Year 9",2016,"Writing",549.8
10201,"all","14-15","Year 9",2017,"Writing",550.6
10201,"all","14-15","Year 9",2018,"Writing",541
10201,"all","14-15","Year 9",2019,"Writing",548.7
10201,"all","14-15","Year 9",2021,"Writing",548.1
10202,"all","14-15","Year 9",2011,"Writing",525.6
10202,"all","14-15","Year 9",2012,"Writing",519.1
10202,"all","14-15","Year 9",2013,"Writing",527.9
10202,"all","14-15","Year 9",2014,"Writing",513.3
10202,"all","14-15","Year 9",2015,"Writing",516.4
10202,"all","14-15","Year 9",2016,"Writing",527.5
10202,"all","14-15","Year 9",2017,"Writing",522.6
10202,"all","14-15","Year 9",2018,"Writing",521.4
10202,"all","14-15","Year 9",2019,"Writing",526.2
10202,"all","14-15","Year 9",2021,"Writing",530.6
10301,"all","14-15","Year 9",2011,"Writing",539.1
10301,"all","14-15","Year 9",2012,"Writing",545.7
10301,"all","14-15","Year 9",2013,"Writing",534.4
10301,"all","14-15","Year 9",2014,"Writing",521.1
10301,"all","14-15","Year 9",2015,"Writing",541.2
10301,"all","14-15","Year 9",2016,"Writing",536.3
10301,"all","14-15","Year 9",2017,"Writing",540.5
10301,"all","14-15","Year 9",2018,"Writing",543.3
10301,"all","14-15","Year 9",2019,"Writing",542.8
10301,"all","14-15","Year 9",2021,"Writing",545.9
