"SA3_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
10102,"all","10-11","Year 5",2008,"Grammar and Punctuation",509.3
10102,"all","10-11","Year 5",2009,"Grammar and Punctuation",496.5
10102,"all","10-11","Year 5",2010,"Grammar and Punctuation",499.4
10102,"all","10-11","Year 5",2011,"Grammar and Punctuation",501.5
10102,"all","10-11","Year 5",2012,"Grammar and Punctuation",489.5
10102,"all","10-11","Year 5",2013,"Grammar and Punctuation",495.5
10102,"all","10-11","Year 5",2014,"Grammar and Punctuation",496.7
10102,"all","10-11","Year 5",2015,"Grammar and Punctuation",491.6
10102,"all","10-11","Year 5",2016,"Grammar and Punctuation",494.9
10102,"all","10-11","Year 5",2017,"Grammar and Punctuation",489.9
10102,"all","10-11","Year 5",2018,"Grammar and Punctuation",497.4
10102,"all","10-11","Year 5",2019,"Grammar and Punctuation",483.5
10102,"all","10-11","Year 5",2021,"Grammar and Punctuation",489.7
10103,"all","10-11","Year 5",2008,"Grammar and Punctuation",493
10103,"all","10-11","Year 5",2009,"Grammar and Punctuation",496.8
10103,"all","10-11","Year 5",2010,"Grammar and Punctuation",497.1
10103,"all","10-11","Year 5",2011,"Grammar and Punctuation",498.9
10103,"all","10-11","Year 5",2012,"Grammar and Punctuation",484.4
10103,"all","10-11","Year 5",2013,"Grammar and Punctuation",493.5
10103,"all","10-11","Year 5",2014,"Grammar and Punctuation",485.1
10103,"all","10-11","Year 5",2015,"Grammar and Punctuation",485.7
10103,"all","10-11","Year 5",2016,"Grammar and Punctuation",490.5
10103,"all","10-11","Year 5",2017,"Grammar and Punctuation",479
10103,"all","10-11","Year 5",2018,"Grammar and Punctuation",501.5
10103,"all","10-11","Year 5",2019,"Grammar and Punctuation",483.2
10103,"all","10-11","Year 5",2021,"Grammar and Punctuation",478.8
10104,"all","10-11","Year 5",2008,"Grammar and Punctuation",488.9
10104,"all","10-11","Year 5",2009,"Grammar and Punctuation",496.2
10104,"all","10-11","Year 5",2010,"Grammar and Punctuation",496
10104,"all","10-11","Year 5",2011,"Grammar and Punctuation",486.7
10104,"all","10-11","Year 5",2012,"Grammar and Punctuation",483.5
10104,"all","10-11","Year 5",2013,"Grammar and Punctuation",488
10104,"all","10-11","Year 5",2014,"Grammar and Punctuation",484
10104,"all","10-11","Year 5",2015,"Grammar and Punctuation",480.8
10104,"all","10-11","Year 5",2016,"Grammar and Punctuation",493.2
10104,"all","10-11","Year 5",2017,"Grammar and Punctuation",478.9
10104,"all","10-11","Year 5",2018,"Grammar and Punctuation",480.8
10104,"all","10-11","Year 5",2019,"Grammar and Punctuation",472.4
10104,"all","10-11","Year 5",2021,"Grammar and Punctuation",474.5
10105,"all","10-11","Year 5",2008,"Grammar and Punctuation",497.8
10105,"all","10-11","Year 5",2009,"Grammar and Punctuation",489.1
10105,"all","10-11","Year 5",2010,"Grammar and Punctuation",495.8
10105,"all","10-11","Year 5",2011,"Grammar and Punctuation",485.5
