SA2_CODE_2021,SA2_NAME_2021,SED_CODE_2021,SED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
505021091,Osborne Park Industrial,54804,Scarborough (North Metropolitan),0.9999531,Acceptable,Acceptable,0
505021092,Scarborough,51504,Churchlands (North Metropolitan),0.0871265,Acceptable,Acceptable,0
505021092,Scarborough,54804,Scarborough (North Metropolitan),0.9128735,Acceptable,Acceptable,0
505021093,Stirling - Osborne Park,50304,Balcatta (North Metropolitan),0.9999993,Acceptable,Acceptable,0
505021093,Stirling - Osborne Park,54304,Perth (North Metropolitan),7.00E-07,Good,Acceptable,1
505021094,Trigg - North Beach - Watermans Bay,51304,Carine (North Metropolitan),0.3517004,Acceptable,Acceptable,0
505021094,Trigg - North Beach - Watermans Bay,54804,Scarborough (North Metropolitan),0.6482996,Acceptable,Acceptable,0
505021095,Tuart Hill - Joondanna,50304,Balcatta (North Metropolitan),1,Acceptable,Acceptable,0
505021096,Wembley Downs - Churchlands - Woodlands,51504,Churchlands (North Metropolitan),0.9999993,Acceptable,Acceptable,0
505021096,Wembley Downs - Churchlands - Woodlands,51804,Cottesloe (North Metropolitan),7.00E-07,Acceptable,Acceptable,1
505021097,Yokine - Coolbinia - Menora,53902,Mount Lawley (East Metropolitan),1,Acceptable,Acceptable,0
505021301,Dianella - North,53602,Mirrabooka (East Metropolitan),0.3176358,Acceptable,Acceptable,0
505021301,Dianella - North,53802,Morley (East Metropolitan),0.6823642,Poor,Acceptable,0
505021302,Dianella - South,53902,Mount Lawley (East Metropolitan),1,Acceptable,Acceptable,0
505031098,Alexander Heights - Koondoola,53204,Landsdale (North Metropolitan),0.6648984,Good,Acceptable,0
505031098,Alexander Heights - Koondoola,53602,Mirrabooka (East Metropolitan),0.3351016,Acceptable,Acceptable,0
505031099,Butler - Merriwa - Ridgewood,51104,Butler (North Metropolitan),1,Good,Acceptable,0
505031100,Carramar,55504,Wanneroo (North Metropolitan),1,Good,Acceptable,0
505031101,Clarkson,51004,Burns Beach (North Metropolitan),1,Acceptable,Acceptable,0
505031102,Girrawheen,53602,Mirrabooka (East Metropolitan),1,Acceptable,Acceptable,0
505031104,Marangaroo,53602,Mirrabooka (East Metropolitan),1,Acceptable,Acceptable,0
505031105,Mindarie - Quinns Rocks - Jindalee,51004,Burns Beach (North Metropolitan),0.8051436,Acceptable,Acceptable,0
505031105,Mindarie - Quinns Rocks - Jindalee,51104,Butler (North Metropolitan),0.1948564,Good,Acceptable,0
505031106,Neerabup National Park,51004,Burns Beach (North Metropolitan),0.9983389,Acceptable,Acceptable,0
505031106,Neerabup National Park,51104,Butler (North Metropolitan),0.0016611,Good,Acceptable,1
505031107,Tapping - Ashby - Sinagra,55504,Wanneroo (North Metropolitan),1,Good,Acceptable,0
505031255,Alkimos - Eglinton,51104,Butler (North Metropolitan),1,Good,Acceptable,0
505031256,Carabooda - Pinjar,51104,Butler (North Metropolitan),0.0339613,Good,Acceptable,0
505031256,Carabooda - Pinjar,55504,Wanneroo (North Metropolitan),0.9660387,Good,Acceptable,0
505031257,Two Rocks,51104,Butler (North Metropolitan),1,Good,Acceptable,0
505031258,Yanchep,51104,Butler (North Metropolitan),1,Good,Acceptable,0
505031303,Hocking - Pearsall,53204,Landsdale (North Metropolitan),0.8546652,Good,Acceptable,0
505031303,Hocking - Pearsall,55504,Wanneroo (North Metropolitan),0.143053,Good,Acceptable,0
505031303,Hocking - Pearsall,55802,West Swan (East Metropolitan),0.0022818,Acceptable,Acceptable,1
505031304,Landsdale,53204,Landsdale (North Metropolitan),0.9999987,Good,Acceptable,0
505031304,Landsdale,55802,West Swan (East Metropolitan),1.30E-06,Acceptable,Acceptable,1
505031305,Madeley - Darch,53204,Landsdale (North Metropolitan),1,Good,Acceptable,0
505031306,Wanneroo - Sinagra,55504,Wanneroo (North Metropolitan),1,Good,Acceptable,0
506011110,Armadale - Wungong - Brookdale,50202,Armadale (East Metropolitan),0.9955908,Good,Acceptable,0
506011110,Armadale - Wungong - Brookdale,51902,Darling Range (East Metropolitan),0.0044092,Acceptable,Acceptable,1
506011111,Ashendon - Lesley,51902,Darling Range (East Metropolitan),1,Acceptable,Acceptable,0
506011112,Camillo - Champion Lakes,50202,Armadale (East Metropolitan),1,Good,Acceptable,0
506011114,Kelmscott,50202,Armadale (East Metropolitan),0.5536236,Good,Acceptable,0
506011114,Kelmscott,51902,Darling Range (East Metropolitan),0.4463764,Acceptable,Acceptable,0
506011115,Mount Nasura - Mount Richon - Bedfordale,50202,Armadale (East Metropolitan),0.5771966,Good,Acceptable,0
506011115,Mount Nasura - Mount Richon - Bedfordale,51902,Darling Range (East Metropolitan),0.4228034,Acceptable,Acceptable,0
506011116,Roleystone,51902,Darling Range (East Metropolitan),1,Acceptable,Acceptable,0
506011117,Seville Grove,50202,Armadale (East Metropolitan),1,Good,Acceptable,0
506011307,Harrisdale,52505,Jandakot (South Metropolitan),1,Acceptable,Acceptable,0
506011308,Piara Waters - Forrestdale,50202,Armadale (East Metropolitan),6.00E-07,Good,Acceptable,1
506011308,Piara Waters - Forrestdale,52505,Jandakot (South Metropolitan),0.9999994,Acceptable,Acceptable,0
506021118,Belmont - Ascot - Redcliffe,50702,Belmont (East Metropolitan),1,Good,Acceptable,0
506021119,East Victoria Park - Carlisle,55405,Victoria Park (South Metropolitan),1,Acceptable,Acceptable,0
506021120,Kewdale Commercial,50702,Belmont (East Metropolitan),1,Good,Acceptable,0
506021121,Perth Airport,50702,Belmont (East Metropolitan),0.999502,Good,Acceptable,0
506021121,Perth Airport,52102,Forrestfield (East Metropolitan),0.000498,Acceptable,Acceptable,1
506021123,Victoria Park - Lathlain - Burswood,50702,Belmont (East Metropolitan),0.1004969,Good,Acceptable,0
506021123,Victoria Park - Lathlain - Burswood,54905,South Perth (South Metropolitan),0.0168763,Good,Acceptable,0
506021123,Victoria Park - Lathlain - Burswood,55405,Victoria Park (South Metropolitan),0.8826268,Acceptable,Acceptable,0
506021309,Cloverdale,50702,Belmont (East Metropolitan),1,Good,Acceptable,0
506021310,Kewdale,50702,Belmont (East Metropolitan),1,Good,Acceptable,0
506021311,Rivervale,50702,Belmont (East Metropolitan),1,Good,Acceptable,0
506031124,Bentley - Wilson - St James,51205,Cannington (South Metropolitan),0.1779369,Acceptable,Acceptable,0
506031124,Bentley - Wilson - St James,55405,Victoria Park (South Metropolitan),0.8220631,Acceptable,Acceptable,0
506031125,Canning Vale - West,52505,Jandakot (South Metropolitan),1,Acceptable,Acceptable,0
506031126,Canning Vale Commercial,52505,Jandakot (South Metropolitan),1,Acceptable,Acceptable,0
506031127,Cannington - Queens Park,51205,Cannington (South Metropolitan),1,Acceptable,Acceptable,0
506031128,Parkwood - Ferndale - Lynwood,51205,Cannington (South Metropolitan),1,Acceptable,Acceptable,0
506031129,Riverton - Shelley - Rossmoyne,54505,Riverton (South Metropolitan),1,Good,Acceptable,0
506031130,Welshpool,50702,Belmont (East Metropolitan),0.9709119,Good,Acceptable,0
506031130,Welshpool,51205,Cannington (South Metropolitan),0.0133648,Acceptable,Acceptable,0
506031130,Welshpool,55405,Victoria Park (South Metropolitan),0.0157233,Acceptable,Acceptable,0
506031131,Willetton,54505,Riverton (South Metropolitan),1,Good,Acceptable,0
506041132,Beckenham - Kenwick - Langford,51205,Cannington (South Metropolitan),0.7191591,Acceptable,Acceptable,0
506041132,Beckenham - Kenwick - Langford,52102,Forrestfield (East Metropolitan),0.2673302,Acceptable,Acceptable,0
506041132,Beckenham - Kenwick - Langford,55202,Thornlie (East Metropolitan),0.0135107,Acceptable,Acceptable,0
506041133,Canning Vale - East,52505,Jandakot (South Metropolitan),0.21079,Acceptable,Acceptable,0
506041133,Canning Vale - East,55005,Southern River (South Metropolitan),0.78921,Acceptable,Acceptable,0
506041134,Gosnells,55005,Southern River (South Metropolitan),0.4773151,Acceptable,Acceptable,0
506041134,Gosnells,55202,Thornlie (East Metropolitan),0.5226849,Acceptable,Acceptable,0
506041135,Huntingdale - Southern River,55005,Southern River (South Metropolitan),1,Acceptable,Acceptable,0
506041136,Maddington - Orange Grove - Martin,52102,Forrestfield (East Metropolitan),0.0400942,Acceptable,Acceptable,0
506041136,Maddington - Orange Grove - Martin,52702,Kalamunda (East Metropolitan),0.0605865,Acceptable,Acceptable,0
506041136,Maddington - Orange Grove - Martin,55202,Thornlie (East Metropolitan),0.8993193,Acceptable,Acceptable,0
