"SA1_CODE_2021","SA1_NAME_2021","Region","Region_Nam","RATIO_FROM_TO","INDIV_TO_REGION_QLTY_INDICATOR","OVERALL_QUALITY_INDICATOR","BMOS_NULL_FLAG"
"10102161007","","J","Eastern NSW","1","Good","Good",3
"10102161008","","J","Eastern NSW","1","Good","Good",3
"10102161009","","J","Eastern NSW","1","Good","Good",3
"10102161010","","J","Eastern NSW","1","Good","Good",3
"10102161011","","J","Eastern NSW","1","Good","Good",3
"10102161012","","J","Eastern NSW","1","Good","Good",3
"10102161013","","J","Eastern NSW","1","Good","Good",3
"10102161014","","J","Eastern NSW","1","Good","Good",3
"10102161015","","J","Eastern NSW","1","Good","Good",3
"10102161101","","J","Eastern NSW","1","Good","Good",3
"10102161102","","J","Eastern NSW","1","Good","Good",3
"10102161103","","J","Eastern NSW","1","Good","Good",3
"10102161104","","J","Eastern NSW","1","Good","Good",3
"10102161105","","J","Eastern NSW","1","Good","Good",3
"10102161106","","J","Eastern NSW","1","Good","Good",3
"10102161107","","J","Eastern NSW","1","Good","Good",3
"10102161108","","J","Eastern NSW","1","Good","Good",3
"10102161109","","J","Eastern NSW","1","Good","Good",3
"10102161110","","J","Eastern NSW","1","Good","Good",3
"10102161111","","J","Eastern NSW","1","Good","Good",3
"10102161112","","J","Eastern NSW","1","Good","Good",3
"10102161113","","J","Eastern NSW","1","Good","Good",3
"10102161114","","J","Eastern NSW","1","Good","Good",3
"10102161115","","J","Eastern NSW","1","Good","Good",3
"10102161116","","J","Eastern NSW","1","Good","Good",3
"10102161117","","J","Eastern NSW","1","Good","Good",3
"10102161118","","J","Eastern NSW","1","Good","Good",3
"10102161119","","J","Eastern NSW","1","Good","Good",3
"10102161120","","J","Eastern NSW","1","Good","Good",3
"10102161121","","J","Eastern NSW","1","Good","Good",3
"10102161122","","J","Eastern NSW","1","Good","Good",3
"10102161123","","J","Eastern NSW","1","Good","Good",3
"10102161124","","J","Eastern NSW","1","Good","Good",3
"10102161125","","J","Eastern NSW","1","Good","Good",3
"10102161126","","J","Eastern NSW","1","Good","Good",3
"10102161127","","J","Eastern NSW","1","Good","Good",3
"10102161128","","J","Eastern NSW","1","Good","Good",3
"10102161129","","J","Eastern NSW","1","Good","Good",3
"10102161130","","J","Eastern NSW","1","Good","Good",3
"10102161131","","J","Eastern NSW","1","Good","Good",3
"10102161132","","J","Eastern NSW","1","Good","Good",3
"10102161133","","J","Eastern NSW","1","Good","Good",3
"10102161134","","J","Eastern NSW","1","Good","Good",3
"10102161135","","J","Eastern NSW","1","Good","Good",3
"10102161136","","J","Eastern NSW","1","Good","Good",3
"10102161137","","J","Eastern NSW","1","Good","Good",3
"10102161138","","J","Eastern NSW","1","Good","Good",3
"10102161139","","J","Eastern NSW","1","Good","Good",3
"10102161140","","J","Eastern NSW","1","Good","Good",3
"10102161141","","J","Eastern NSW","1","Good","Good",3
"10102161142","","J","Eastern NSW","1","Good","Good",3
"10102161143","","J","Eastern NSW","1","Good","Good",3
"10102161144","","J","Eastern NSW","1","Good","Good",3
"10102161145","","J","Eastern NSW","1","Good","Good",3
"10102161146","","J","Eastern NSW","1","Good","Good",3
"10103101301","","J","Eastern NSW","1","Good","Good",3
"10103101302","","J","Eastern NSW","1","Good","Good",3
"10103101303","","J","Eastern NSW","1","Good","Good",3
"10103101304","","J","Eastern NSW","1","Good","Good",3
"10103101305","","J","Eastern NSW","1","Good","Good",3
"10103101306","","J","Eastern NSW","1","Good","Good",3
"10103101307","","J","Eastern NSW","1","Good","Good",3
"10103101308","","J","Eastern NSW","1","Good","Good",3
"10103101401","","J","Eastern NSW","1","Good","Good",3
"10103101402","","J","Eastern NSW","1","Good","Good",3
"10103101403","","J","Eastern NSW","1","Good","Good",3
"10103101404","","J","Eastern NSW","1","Good","Good",3
"10103101405","","J","Eastern NSW","1","Good","Good",3
"10103101406","","J","Eastern NSW","1","Good","Good",3
"10103101407","","J","Eastern NSW","1","Good","Good",3
"10103101408","","J","Eastern NSW","1","Good","Good",3
"10103101409","","J","Eastern NSW","1","Good","Good",3
"10103101410","","J","Eastern NSW","1","Good","Good",3
"10103101411","","J","Eastern NSW","1","Good","Good",3
"10103101412","","J","Eastern NSW","1","Good","Good",3
"10103101414","","J","Eastern NSW","1","Good","Good",3
"10103101415","","J","Eastern NSW","1","Good","Good",3
"10103101417","","J","Eastern NSW","1","Good","Good",3
"10103101419","","J","Eastern NSW","1","Good","Good",3
"10103101420","","J","Eastern NSW","1","Good","Good",3
"10103101421","","J","Eastern NSW","1","Good","Good",3
"10103101501","","J","Eastern NSW","1","Good","Good",3
"10103101502","","J","Eastern NSW","1","Good","Good",3
"10103101503","","J","Eastern NSW","1","Good","Good",3
"10103101505","","J","Eastern NSW","1","Good","Good",3
"10103101511","","J","Eastern NSW","1","Good","Good",3
"10103101512","","J","Eastern NSW","1","Good","Good",3
"10103101514","","J","Eastern NSW","1","Good","Good",3
"10103101515","","J","Eastern NSW","1","Good","Good",3
"10103101516","","J","Eastern NSW","1","Good","Good",3
"10103101517","","J","Eastern NSW","1","Good","Good",3
"10103101518","","J","Eastern NSW","1","Good","Good",3
"10103101519","","J","Eastern NSW","1","Good","Good",3
"10103101520","","J","Eastern NSW","1","Good","Good",3
"10103101521","","J","Eastern NSW","1","Good","Good",3
"10103101523","","J","Eastern NSW","1","Good","Good",3
"10103101524","","J","Eastern NSW","1","Good","Good",3
"10103101525","","J","Eastern NSW","1","Good","Good",3
"10103101526","","J","Eastern NSW","1","Good","Good",3
"10103101601","","J","Eastern NSW","1","Good","Good",3
"10103101602","","J","Eastern NSW","1","Good","Good",3
"10103101603","","J","Eastern NSW","1","Good","Good",3
"10103101604","","J","Eastern NSW","1","Good","Good",3
"10103101605","","J","Eastern NSW","1","Good","Good",3
"10103101606","","J","Eastern NSW","1","Good","Good",3
"10103101607","","J","Eastern NSW","1","Good","Good",3
"10103101608","","J","Eastern NSW","1","Good","Good",3
"10103101611","","J","Eastern NSW","1","Good","Good",3
"10103101612","","J","Eastern NSW","1","Good","Good",3
"10103101614","","J","Eastern NSW","1","Good","Good",3
"10103101615","","J","Eastern NSW","1","Good","Good",3
"10103101616","","J","Eastern NSW","1","Good","Good",3
"10103101617","","J","Eastern NSW","1","Good","Good",3
"10103101619","","J","Eastern NSW","1","Good","Good",3
"10103101620","","J","Eastern NSW","1","Good","Good",3
"10103101621","","J","Eastern NSW","1","Good","Good",3
"10103101622","","J","Eastern NSW","1","Good","Good",3
"10103101623","","J","Eastern NSW","1","Good","Good",3
"10103101624","","J","Eastern NSW","1","Good","Good",3
