LOCALITY_PID_2021,LOCALITY_NAME_2021,SA2_CODE_2021,SA2_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT607,RICHARDSON,801071087,Richardson,1,Good,Good,0
ACT608,GILMORE,801071077,Gilmore,1,Good,Good,0
ACT609,CHISHOLM,801071074,Chisholm,1,Good,Good,0
ACT610,THEODORE,801071088,Theodore,1,Good,Good,0
ACT611,CALWELL,801071073,Calwell,1,Good,Good,0
ACT612,ISABELLA PLAINS,801071081,Isabella Plains,1,Good,Good,0
ACT613,CONDER,801071075,Conder,1,Good,Good,0
ACT614,BANKS,801071071,Banks,1,Good,Good,0
ACT615,GREENWAY,801071080,Greenway,1,Good,Good,0
ACT616,GORDON,801071078,Gordon (ACT),1,Good,Good,0
ACT619,BONYTHON,801071072,Bonython,1,Good,Good,0
ACT623,OXLEY,801071086,Oxley (ACT),1,Good,Good,0
ACT659,THARWA,801111140,ACT - South West,1,Good,Good,0
ACT701,MITCHELL,801041045,Mitchell,1,Good,Good,0
ACT706,NGUNNAWAL,801041046,Ngunnawal,1,Good,Good,0
ACT707,AMAROO,801041034,Amaroo,1,Good,Good,0
ACT708,NICHOLLS,801041047,Nicholls,1,Good,Good,0
ACT709,PALMERSTON,801041048,Palmerston,1,Good,Good,0
ACT710,GUNGAHLIN,801041040,Gungahlin,1,Good,Good,0
ACT711,HARRISON,801041044,Harrison,0.9999988,Good,Good,0
ACT711,HARRISON,801041122,Throsby,1.20E-06,Good,Good,1
ACT716,FORDE,801041038,Forde,1,Good,Good,0
ACT719,BONNER,801041035,Bonner,1,Good,Good,0
ACT801,OAKS ESTATE,801031113,Canberra East,1,Good,Good,0
ACT802,HUME,801031031,Hume,1,Good,Good,0
ACT803,SYMONSTON,801031113,Canberra East,1,Good,Good,0
ACT901,HALL,801041043,Hall,1,Good,Good,0
ACT902,FRANKLIN,801041039,Franklin,1,Good,Good,0
ACT903,CASEY,801041036,Casey,1,Good,Good,0
ACT904,CRACE,801041037,Crace,1,Good,Good,0
ACT905,BEARD,801031113,Canberra East,1,Good,Good,0
ACT906,COOMBS,801101135,Coombs,1,Good,Good,0
ACT907,WRIGHT,801101139,Wright,1,Good,Good,0
ACT927,URIARRA VILLAGE,801111140,ACT - South West,1,Good,Good,0
ACT928,JACKA,801041118,Jacka,1,Good,Good,0
ACT929,DENMAN PROSPECT,801101136,Denman Prospect,1,Good,Good,0
ACT930,MOLONGLO,801101137,Molonglo,1,Good,Good,0
ACT931,CANBERRA AIRPORT,801031114,Canberra Airport,1,Good,Good,0
ACT932,MONCRIEFF,801041120,Moncrieff,1,Good,Good,0
ACT933,THROSBY,801041122,Throsby,1,Good,Good,0
ACT934,TAYLOR,801041121,Taylor,1,Good,Good,0
ACT935,STRATHNAIRN,801011143,Strathnairn,1,Good,Good,0
ACT936,MACNAMARA,801011142,Macnamara,1,Good,Good,0
ACT937,WHITLAM,801011111,Molonglo Corridor,0.125208,Good,Good,0
ACT937,WHITLAM,801101146,Whitlam,0.874792,Acceptable,Good,0
NSW1,AARONS PASS,103031073,Mudgee Surrounds - East,1,Good,Good,0
