IARE_CODE_2016,IARE_NAME_2016,IARE_CODE_2021,IARE_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
703007,Litchfield,703007,Litchfield,1,Good,Good,0
703008,Malak,703008,Malak,1,Good,Good,0
703009,Marrara - Winnellie - Berrimah,703009,Marrara - Winnellie - Berrimah,1,Good,Good,0
703010,Millner - Jingili,703010,Millner - Jingili,1,Good,Good,0
703011,Moil - Wagaman - Wanguri,703011,Moil - Wagaman - Wanguri,1,Good,Good,0
703012,Nightcliff - Rapid Creek,703012,Nightcliff - Rapid Creek,1,Good,Good,0
703013,Palmerston,703013,Palmerston,1,Good,Good,0
703014,Tiwi - Lyons - Leanyer,703014,Tiwi - Lyons - Leanyer,1,Good,Good,0
704001,Douglas-Daly,704001,Douglas-Daly,1,Good,Good,0
704002,Kakadu - Marrakai - Jabiru,704002,Kakadu - Marrakai - Jabiru,1,Good,Good,0
704003,Maningrida and Outstations,704003,Maningrida and Outstations,1,Good,Good,0
704004,North-West Arnhem,704004,North-West Arnhem,1,Good,Good,0
704005,Thamarrurr inc. Wadeye,704005,Thamarrurr inc. Wadeye,1,Good,Good,0
704006,Tiwi Islands,704006,Tiwi Islands,1,Good,Good,0
705001,Borroloola,705001,Borroloola,1,Good,Good,0
705002,Daguragu - Kalkarindji and Outstations,705002,Daguragu - Kalkarindji and Outstations,1,Good,Good,0
705003,Elsey - Roper,705003,Elsey - Roper,1,Good,Good,0
705004,Gulf,705004,Gulf,1,Good,Good,0
705005,Katherine Town,705005,Katherine Town,1,Good,Good,0
705006,Lajamanu,705006,Lajamanu,1,Good,Good,0
705007,Ngukurr,705007,Ngukurr,1,Good,Good,0
705008,Victoria River,705008,Victoria River,1,Good,Good,0
705009,Walangeri,705009,Walangeri,1,Good,Good,0
706001,Anindilyakwa (Groote),706001,Anindilyakwa (Groote),1,Good,Good,0
706002,Gapuwiyak and Outstations,706002,Gapuwiyak and Outstations,1,Good,Good,0
706003,Laynhapuy - Gumatj Homelands,706003,Laynhapuy - Gumatj Homelands,1,Good,Good,0
706004,Marthakal Homelands - Galiwinku,706004,Marthakal Homelands - Galiwinku,1,Good,Good,0
706005,Nhulunbuy - Gunyangara,706005,Nhulunbuy - Gunyangara,1,Good,Good,0
706006,Numbulwar and Outstations,706006,Numbulwar and Outstations,1,Good,Good,0
706007,Ramingining - Milingimbi and Outstations,706007,Ramingining - Milingimbi and Outstations,1,Good,Good,0
706008,Yirrkala,706008,Yirrkala,1,Good,Good,0
707001,Ali Curung,707001,Ali Curung,1,Good,Good,0
707002,Alpurrurulam,707002,Alpurrurulam,1,Good,Good,0
707003,Barkly,707003,Barkly,1,Good,Good,0
707004,Elliott,707004,Elliott,1,Good,Good,0
707005,Tennant Creek Town,707005,Tennant Creek Town,1,Good,Good,0
707006,Wutunugurra - Canteen Creek,707006,Wutunugurra - Canteen Creek,1,Good,Good,0
794994,No usual address (NT),794994,No usual address (NT),1,Good,Good,0
797997,Migratory - Offshore - Shipping (NT),797997,Migratory - Offshore - Shipping (NT),1,Good,Good,0
801001,Canberra - North,801001,Canberra - North,1,Good,Good,0
801002,Canberra - South,801002,Canberra - South,1,Good,Good,0
801003,Stromlo - Namadgi,801003,Stromlo - Namadgi,1,Good,Good,0
894994,No usual address (ACT),894994,No usual address (ACT),1,Good,Good,0
897997,Migratory - Offshore - Shipping (ACT),897997,Migratory - Offshore - Shipping (ACT),1,Good,Good,0
901001,Christmas Island,901001,Christmas Island,1,Good,Good,0
901002,Cocos (Keeling) Islands,901002,Cocos (Keeling) Islands,1,Good,Good,0
902001,Jervis Bay,902001,Jervis Bay,1,Good,Good,0
903001,Norfolk Island,903001,Norfolk Island,1,Good,Good,0
994994,No usual address (OT),994994,No usual address (OT),1,Good,Good,0
997997,Migratory - Offshore - Shipping (OT),997997,Migratory - Offshore - Shipping (OT),1,Good,Good,0
,,ZZZZZZ,Outside Australia,,NA,Good,3
