LOCALITY_PID_2021,LOCALITY_NAME_2021,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW116,AVONDALE,147,Whitlam,1,Good,Good,0
NSW1160,CULLEN BULLEN,107,Calare,1,Good,Good,0
NSW1161,CULLENBONE,107,Calare,1,Good,Good,0
NSW1162,CULLENDORE,130,New England,1,Good,Good,0
NSW1163,CULLERIN,120,Hume,1,Good,Good,0
NSW1164,CULLIVEL,139,Riverina,1,Good,Good,0
NSW1165,CULMARAN CREEK,133,Page,1,Good,Good,0
NSW1166,CUMBALUM,138,Richmond,1,Good,Good,0
NSW1167,CUMBANDRY,107,Calare,1,Good,Good,0
NSW1168,CUMBERLAND REACH,127,Macquarie,1,Good,Good,0
NSW117,AVONSIDE,113,Eden-Monaro,1,Good,Good,0
NSW1170,CUMBO,107,Calare,1,Good,Good,0
NSW1171,CUMBORAH,134,Parkes,1,Good,Good,0
NSW1172,CUMNOCK,107,Calare,1,Good,Good,0
NSW1173,CUNDLE FLAT,124,Lyne,1,Good,Good,0
NSW1174,CUNDLETOWN,124,Lyne,1,Good,Good,0
NSW1175,CUNDUMBUL,107,Calare,1,Good,Good,0
NSW1176,CUNJURONG POINT,116,Gilmore,1,Good,Good,0
NSW1177,CUNNINYEUK,114,Farrer,1,Good,Good,0
NSW1178,CURBAN,134,Parkes,1,Good,Good,0
NSW1179,CURL CURL,143,Warringah,1,Acceptable,Good,0
NSW118,AWABA,121,Hunter,1,Good,Good,0
NSW1180,CURLEW WATERS,134,Parkes,1,Good,Good,0
NSW1181,CURLEWIS,134,Parkes,1,Good,Good,0
NSW1182,CURLWAA,114,Farrer,1,Good,Good,0
NSW1183,CURRA CREEK,107,Calare,1,Good,Good,0
NSW1184,CURRABUBULA,130,New England,1,Good,Good,0
NSW1185,CURRAGH,107,Calare,1,Good,Good,0
NSW1186,CURRAMORE,116,Gilmore,1,Good,Good,0
NSW1187,CURRANS HILL,125,Macarthur,1,Good,Good,0
NSW1188,CURRARONG,116,Gilmore,1,Good,Good,0
NSW1189,CURRAWANG,120,Hume,0.1916043,Good,Good,0
NSW1189,CURRAWANG,113,Eden-Monaro,0.8083957,Good,Good,0
NSW119,AYLMERTON,120,Hume,0.0995275,Good,Good,0
NSW119,AYLMERTON,147,Whitlam,0.9004725,Good,Good,0
NSW1190,CURRAWARNA,139,Riverina,1,Good,Good,0
NSW1191,CURRICABARK,124,Lyne,1,Good,Good,0
NSW1192,CURROWAN,116,Gilmore,1,Good,Good,0
NSW1193,CUTTABRI,134,Parkes,1,Good,Good,0
NSW1194,CUTTAGEE,113,Eden-Monaro,1,Good,Good,0
NSW1195,DABEE,107,Calare,1,Good,Good,0
NSW1196,DACEYVILLE,122,Kingsford Smith,1,Good,Good,0
NSW1197,DAIRY FLAT,133,Page,1,Good,Good,0
NSW1198,DAIRYMANS PLAINS,113,Eden-Monaro,1,Good,Good,0
NSW1199,DALEYS POINT,140,Robertson,1,Good,Good,0
NSW12,ABERNETHY,121,Hunter,1,Good,Good,0
NSW120,BAAN BAA,134,Parkes,1,Good,Good,0
NSW1200,DALGETY,113,Eden-Monaro,1,Good,Good,0
NSW1201,DALMENY,113,Eden-Monaro,1,Good,Good,0
NSW1202,DALMORTON,133,Page,1,Good,Good,0
NSW1203,DALSWINTON,121,Hunter,1,Good,Good,0
NSW1204,DALTON,120,Hume,1,Good,Good,0
NSW1205,DALWOOD,121,Hunter,1,Good,Good,0
NSW1206,DALWOOD,133,Page,1,Good,Good,0
NSW1207,DANDALOO,134,Parkes,1,Good,Good,0
NSW1208,DANDRY,134,Parkes,1,Good,Good,0
NSW1209,DANGAR ISLAND,104,Berowra,1,Acceptable,Good,0
NSW121,BABINDA,134,Parkes,1,Good,Good,0
NSW1210,DANGARSLEIGH,130,New England,1,Good,Good,0
NSW1211,DANGELONG,113,Eden-Monaro,1,Good,Good,0
NSW1212,DAPTO,147,Whitlam,1,Good,Good,0
NSW1213,DARAWANK,124,Lyne,1,Good,Good,0
NSW1214,DARBALARA,139,Riverina,1,Good,Good,0
NSW1215,DARBYS FALLS,139,Riverina,1,Good,Good,0
NSW1217,DARGAN,107,Calare,1,Good,Good,0
NSW1218,DARK CORNER,107,Calare,1,Good,Good,0
NSW1219,DARKES FOREST,111,Cunningham,1,Good,Good,0
NSW122,BABYL CREEK,133,Page,1,Good,Good,0
NSW1220,DARKWOOD,110,Cowper,1,Good,Good,0
NSW1221,DARLING POINT,145,Wentworth,1,Good,Good,0
NSW1222,DARLINGHURST,145,Wentworth,0.0607544,Good,Good,0
NSW1222,DARLINGHURST,142,Sydney,0.9392456,Good,Good,0
NSW1223,DARLINGTON,142,Sydney,1,Good,Good,0
NSW1224,DARLINGTON,121,Hunter,1,Good,Good,0
NSW1225,DARLINGTON POINT,114,Farrer,1,Good,Good,0
NSW1226,DARLOW,113,Eden-Monaro,1,Good,Good,0
NSW1227,DAROOBALGIE,139,Riverina,1,Good,Good,0
NSW1228,DARTBROOK,130,New England,1,Good,Good,0
NSW1229,DARUKA,130,New England,1,Good,Good,0
NSW123,BACK CREEK,130,New England,1,Good,Good,0
NSW1230,DAVIDSON,126,Mackellar,1,Good,Good,0
NSW1231,DAVIS CREEK,130,New England,1,Good,Good,0
NSW1232,DAVISTOWN,140,Robertson,1,Good,Good,0
NSW1233,DAWES POINT,142,Sydney,1,Good,Good,0
NSW1234,DAYSDALE,114,Farrer,1,Good,Good,0
NSW1235,DEAN PARK,108,Chifley,1,Acceptable,Good,0
NSW1236,DEAUVILLE,124,Lyne,1,Good,Good,0
NSW1237,DEBENHAM,124,Lyne,1,Good,Good,0
NSW1238,DEE WHY,143,Warringah,0.3043376,Acceptable,Good,0
NSW1238,DEE WHY,126,Mackellar,0.6956624,Good,Good,0
NSW1239,DEEP CREEK,133,Page,1,Good,Good,0
NSW124,BACK CREEK,138,Richmond,1,Good,Good,0
NSW1240,DEEP CREEK,133,Page,1,Good,Good,0
NSW1241,DEEP CREEK,110,Cowper,1,Good,Good,0
NSW1242,DEEPWATER,130,New England,1,Good,Good,0
NSW1243,DEER VALE,110,Cowper,1,Good,Good,0
NSW1244,DELEGATE,113,Eden-Monaro,1,Good,Good,0
NSW1246,DELUNGRA,134,Parkes,0.1537941,Good,Good,0
NSW1246,DELUNGRA,130,New England,0.8462059,Good,Good,0
NSW1247,DENHAM COURT,146,Werriwa,0.1780221,Good,Good,0
NSW1247,DENHAM COURT,125,Macarthur,0.8219779,Good,Good,0
NSW1248,DENHAMS BEACH,116,Gilmore,1,Good,Good,0
NSW1249,DENILIQUIN,114,Farrer,1,Good,Good,0
NSW125,BACK CREEK,139,Riverina,1,Good,Good,0
NSW1250,DENISTONE,103,Bennelong,1,Good,Good,0
NSW1251,DENISTONE EAST,103,Bennelong,1,Good,Good,0
NSW1252,DENISTONE WEST,103,Bennelong,1,Good,Good,0
NSW1253,DENMAN,121,Hunter,1,Good,Good,0
NSW1254,DEPOT BEACH,116,Gilmore,1,Good,Good,0
NSW1255,DERRIWONG,139,Riverina,0.000263,Good,Good,1
NSW1255,DERRIWONG,134,Parkes,0.999737,Good,Good,0
NSW1256,DEUA,113,Eden-Monaro,1,Good,Good,0
NSW1257,DEUA RIVER VALLEY,116,Gilmore,1,Good,Good,0
NSW1258,DEVILS HOLE,113,Eden-Monaro,1,Good,Good,0
NSW1259,DEWITT,124,Lyne,1,Good,Good,0
NSW126,BACK CREEK,113,Eden-Monaro,1,Good,Good,0
NSW1260,DHARRUK,108,Chifley,1,Acceptable,Good,0
NSW1261,DHURAGOON,114,Farrer,1,Good,Good,0
NSW1262,DIAMOND BEACH,124,Lyne,1,Good,Good,0
NSW1263,DIAMOND HEAD,124,Lyne,1,Good,Good,0
NSW1264,DIEHARD,130,New England,1,Good,Good,0
NSW1265,DIGGERS CAMP,133,Page,1,Good,Good,0
NSW1266,DIGNAMS CREEK,113,Eden-Monaro,1,Good,Good,0
NSW1267,DILKOON,133,Page,1,Good,Good,0
NSW1269,DILPURRA,114,Farrer,1,Good,Good,0
NSW127,BACK FOREST,116,Gilmore,1,Good,Good,0
