ILOC_CODE_2021,ILOC_NAME_2021,RA_CODE_2016,RA_NAME_2016,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10300503,Menindee,14,Very Remote Australia,1,Acceptable,Good,0
10300505,Broken Hill - Surrounds,13,Remote Australia,0.2558048,Acceptable,Good,0
10300505,Broken Hill - Surrounds,14,Very Remote Australia,0.7441952,Acceptable,Good,0
10300506,Wilcannia,14,Very Remote Australia,1,Acceptable,Good,0
10300601,Collarenebri,13,Remote Australia,1,Acceptable,Good,0
10300602,Gingie Reserve,13,Remote Australia,1,Acceptable,Good,0
10300603,Lightning Ridge,13,Remote Australia,1,Acceptable,Good,0
10300605,Walgett,13,Remote Australia,1,Acceptable,Good,0
10300608,Namoi Reserve,13,Remote Australia,1,Acceptable,Good,0
10300609,Walgett - Surrounds,13,Remote Australia,0.8999874,Acceptable,Good,0
10300609,Walgett - Surrounds,14,Very Remote Australia,0.1000126,Acceptable,Good,0
10400101,Bagotville,11,Inner Regional Australia,1,Acceptable,Good,0
10400102,Ballina,11,Inner Regional Australia,1,Acceptable,Good,0
10400103,Ballina - Surrounds,11,Inner Regional Australia,1,Acceptable,Good,0
10400201,Byron,11,Inner Regional Australia,1,Acceptable,Good,0
10400301,Cessnock - Bellbird - Aberdare,11,Inner Regional Australia,1,Acceptable,Good,0
10400302,Cessnock - Surrounds,10,Major Cities of Australia,0.2287385,Good,Good,0
10400302,Cessnock - Surrounds,11,Inner Regional Australia,0.7712615,Acceptable,Good,0
10400303,Kurri Kurri - Weston,10,Major Cities of Australia,1,Good,Good,0
10400401,Baryulgil - Malabugilmah,12,Outer Regional Australia,1,Acceptable,Good,0
10400402,Clarence Valley,11,Inner Regional Australia,0.0746989,Acceptable,Good,0
10400402,Clarence Valley,12,Outer Regional Australia,0.9253011,Acceptable,Good,0
10400403,Grafton,11,Inner Regional Australia,0.9588374,Acceptable,Good,0
10400403,Grafton,12,Outer Regional Australia,0.0411626,Acceptable,Good,0
10400404,Yamba,11,Inner Regional Australia,1,Acceptable,Good,0
10400405,Yamba - Surrounds,11,Inner Regional Australia,0.7551379,Acceptable,Good,0
10400405,Yamba - Surrounds,12,Outer Regional Australia,0.2448621,Acceptable,Good,0
10400501,Bellingen,12,Outer Regional Australia,1,Acceptable,Good,0
10400502,Bowraville,12,Outer Regional Australia,1,Acceptable,Good,0
10400503,Coffs Harbour,11,Inner Regional Australia,0.968551,Acceptable,Good,0
10400503,Coffs Harbour,12,Outer Regional Australia,0.031449,Acceptable,Good,0
10400504,Macksville,12,Outer Regional Australia,1,Acceptable,Good,0
10400505,Nambucca - Surrounds,12,Outer Regional Australia,1,Acceptable,Good,0
10400506,Nambucca Heads,12,Outer Regional Australia,1,Acceptable,Good,0
10400507,Sawtell,11,Inner Regional Australia,1,Acceptable,Good,0
10400601,Dungog,11,Inner Regional Australia,0.9482589,Acceptable,Good,0
10400601,Dungog,12,Outer Regional Australia,0.0517411,Acceptable,Good,0
10400602,Gloucester,11,Inner Regional Australia,0.7589685,Acceptable,Good,0
10400602,Gloucester,12,Outer Regional Australia,0.2410315,Acceptable,Good,0
10400701,Gosford - East,10,Major Cities of Australia,1,Good,Good,0
10400702,Gosford - West,10,Major Cities of Australia,0.9630679,Good,Good,0
10400702,Gosford - West,11,Inner Regional Australia,0.0369321,Acceptable,Good,0
10400801,Bulahdelah,11,Inner Regional Australia,0.9900728,Acceptable,Good,0
10400801,Bulahdelah,12,Outer Regional Australia,0.0099272,Acceptable,Good,1
10400802,Forster,11,Inner Regional Australia,1,Acceptable,Good,0
10400803,Tuncurry,11,Inner Regional Australia,1,Acceptable,Good,0
10400901,Kempsey,11,Inner Regional Australia,1,Acceptable,Good,0
10400902,Kempsey - Surrounds,11,Inner Regional Australia,0.4342005,Acceptable,Good,0
10400902,Kempsey - Surrounds,12,Outer Regional Australia,0.5657995,Acceptable,Good,0
10400903,Mirriwinni Gardens - Bellbrook,12,Outer Regional Australia,1,Acceptable,Good,0
10400904,Old Burnt - New Burnt Bridge - Greenhill,11,Inner Regional Australia,1,Acceptable,Good,0
10400905,South West Rocks,12,Outer Regional Australia,1,Acceptable,Good,0
10401001,Kyogle,11,Inner Regional Australia,0.817115,Acceptable,Good,0
10401001,Kyogle,12,Outer Regional Australia,0.182885,Acceptable,Good,0
10401002,Muli Muli - Woodenbong,12,Outer Regional Australia,1,Acceptable,Good,0
10401201,Goonellabah,11,Inner Regional Australia,1,Acceptable,Good,0
10401202,Lismore - North,11,Inner Regional Australia,1,Acceptable,Good,0
10401203,Lismore - South,11,Inner Regional Australia,1,Acceptable,Good,0
10401204,Lismore - Surrounds,11,Inner Regional Australia,1,Acceptable,Good,0
10401301,Maitland,10,Major Cities of Australia,0.9660279,Good,Good,0
10401301,Maitland,11,Inner Regional Australia,0.0339721,Acceptable,Good,0
10401401,Newcastle - Inner City,10,Major Cities of Australia,1,Good,Good,0
10401402,Newcastle - Outer West,10,Major Cities of Australia,1,Good,Good,0
10401403,Throsby,10,Major Cities of Australia,1,Good,Good,0
10401501,Hastings,11,Inner Regional Australia,0.9248011,Acceptable,Good,0
10401501,Hastings,12,Outer Regional Australia,0.0751989,Acceptable,Good,0
10401502,Port Macquarie,11,Inner Regional Australia,1,Acceptable,Good,0
10401503,Wauchope,11,Inner Regional Australia,1,Acceptable,Good,0
10401601,Karuah,11,Inner Regional Australia,1,Acceptable,Good,0
10401602,Medowie,11,Inner Regional Australia,1,Acceptable,Good,0
10401603,Nelson Bay,11,Inner Regional Australia,1,Acceptable,Good,0
10401604,Port Stephens - Surrounds,10,Major Cities of Australia,0.2393524,Good,Good,0
10401604,Port Stephens - Surrounds,11,Inner Regional Australia,0.7606476,Acceptable,Good,0
10401605,Raymond Terrace,10,Major Cities of Australia,0.9809855,Good,Good,0
10401605,Raymond Terrace,11,Inner Regional Australia,0.0190145,Acceptable,Good,0
10401701,Casino,11,Inner Regional Australia,1,Acceptable,Good,0
10401702,Coraki,11,Inner Regional Australia,1,Acceptable,Good,0
10401703,Richmond Valley exc. Casino,11,Inner Regional Australia,0.9540858,Acceptable,Good,0
10401703,Richmond Valley exc. Casino,12,Outer Regional Australia,0.0459142,Acceptable,Good,0
10401801,Singleton,11,Inner Regional Australia,0.9845262,Acceptable,Good,0
10401801,Singleton,12,Outer Regional Australia,0.0154738,Acceptable,Good,0
10401901,Purfleet,11,Inner Regional Australia,1,Acceptable,Good,0
10401902,Taree,11,Inner Regional Australia,1,Acceptable,Good,0
10401903,Taree - Surrounds,11,Inner Regional Australia,0.9822212,Acceptable,Good,0
10401903,Taree - Surrounds,12,Outer Regional Australia,0.0177788,Acceptable,Good,0
10401904,Wingham,11,Inner Regional Australia,1,Acceptable,Good,0
10402001,Murwillumbah,10,Major Cities of Australia,0.4928118,Good,Good,0
10402001,Murwillumbah,11,Inner Regional Australia,0.5071882,Acceptable,Good,0
10402002,Tweed Coast,10,Major Cities of Australia,0.9196292,Good,Good,0
10402002,Tweed Coast,11,Inner Regional Australia,0.0803708,Acceptable,Good,0
10402003,Tweed Heads,10,Major Cities of Australia,1,Good,Good,0
10402201,Lake Macquarie - East,10,Major Cities of Australia,0.9556508,Good,Good,0
10402201,Lake Macquarie - East,11,Inner Regional Australia,0.0443492,Acceptable,Good,0
10402202,Lake Macquarie - North,10,Major Cities of Australia,1,Good,Good,0
10402203,Lake Macquarie - West,10,Major Cities of Australia,0.9776893,Good,Good,0
10402203,Lake Macquarie - West,11,Inner Regional Australia,0.0223107,Acceptable,Good,0
10402301,Wyong - North-East,10,Major Cities of Australia,0.9962483,Good,Good,0
10402301,Wyong - North-East,11,Inner Regional Australia,0.0037517,Acceptable,Good,1
10402302,Wyong - South-West,10,Major Cities of Australia,0.9697235,Good,Good,0
10402302,Wyong - South-West,11,Inner Regional Australia,0.0302765,Acceptable,Good,0
10500101,Albury - East,11,Inner Regional Australia,1,Acceptable,Good,0
10500102,Albury - West,11,Inner Regional Australia,1,Acceptable,Good,0
10500201,Balranald,12,Outer Regional Australia,1,Acceptable,Good,0
10500202,Balranald - Wentworth - Surrounds,12,Outer Regional Australia,0.8035607,Acceptable,Good,0
10500202,Balranald - Wentworth - Surrounds,13,Remote Australia,0.1964393,Acceptable,Good,0
10500203,Coomealla,12,Outer Regional Australia,1,Acceptable,Good,0
10500204,Dareton,12,Outer Regional Australia,1,Acceptable,Good,0
10500205,Wentworth,12,Outer Regional Australia,1,Acceptable,Good,0
10500301,Bathurst,11,Inner Regional Australia,0.9813451,Acceptable,Good,0
10500301,Bathurst,12,Outer Regional Australia,0.0186549,Acceptable,Good,0
10500401,Blayney - Cabonne,11,Inner Regional Australia,0.7228809,Acceptable,Good,0
10500401,Blayney - Cabonne,12,Outer Regional Australia,0.2771191,Acceptable,Good,0
10500501,Carrathool - Murrumbidgee - Surrounds,12,Outer Regional Australia,0.7608309,Acceptable,Good,0
10500501,Carrathool - Murrumbidgee - Surrounds,13,Remote Australia,0.2391691,Acceptable,Good,0
10500502,Darlington Point,12,Outer Regional Australia,1,Acceptable,Good,0
10500503,Hillston,13,Remote Australia,1,Acceptable,Good,0
10500601,Central Murray,11,Inner Regional Australia,0.3663154,Acceptable,Good,0
10500601,Central Murray,12,Outer Regional Australia,0.5954245,Acceptable,Good,0
10500601,Central Murray,13,Remote Australia,0.0382601,Acceptable,Good,0
10500701,Coolamon - Temora - West Wyalong,11,Inner Regional Australia,0.1337854,Acceptable,Good,0
10500701,Coolamon - Temora - West Wyalong,12,Outer Regional Australia,0.8597712,Acceptable,Good,0
10500701,Coolamon - Temora - West Wyalong,13,Remote Australia,0.0064433,Acceptable,Good,1
10500801,Cootamundra,11,Inner Regional Australia,0.9492657,Acceptable,Good,0
10500801,Cootamundra,12,Outer Regional Australia,0.0507343,Acceptable,Good,0
10500901,Cowra,11,Inner Regional Australia,0.7589222,Acceptable,Good,0
10500901,Cowra,12,Outer Regional Australia,0.2410778,Acceptable,Good,0
10501001,Deniliquin,11,Inner Regional Australia,1,Acceptable,Good,0
10501002,Murray,11,Inner Regional Australia,0.7883579,Acceptable,Good,0
10501002,Murray,12,Outer Regional Australia,0.2116421,Acceptable,Good,0
10501101,Forbes,12,Outer Regional Australia,1,Acceptable,Good,0
10501201,Griffith,12,Outer Regional Australia,1,Acceptable,Good,0
10501202,Leeton,12,Outer Regional Australia,1,Acceptable,Good,0
10501301,Gundagai - Junee - Harden,11,Inner Regional Australia,0.8812088,Acceptable,Good,0
10501301,Gundagai - Junee - Harden,12,Outer Regional Australia,0.1187912,Acceptable,Good,0
10501401,Condobolin,12,Outer Regional Australia,1,Acceptable,Good,0
10501402,Lachlan,12,Outer Regional Australia,0.2670696,Acceptable,Good,0
10501402,Lachlan,13,Remote Australia,0.7329304,Acceptable,Good,0
10501403,Lake Cargelligo,13,Remote Australia,1,Acceptable,Good,0
10501501,Lithgow,11,Inner Regional Australia,0.9846389,Acceptable,Good,0
10501501,Lithgow,12,Outer Regional Australia,0.0153611,Acceptable,Good,0
10501502,Oberon,11,Inner Regional Australia,0.9088083,Acceptable,Good,0
10501502,Oberon,12,Outer Regional Australia,0.0911917,Acceptable,Good,0
10501601,Mudgee,11,Inner Regional Australia,0.5098411,Acceptable,Good,0
10501601,Mudgee,12,Outer Regional Australia,0.4901589,Acceptable,Good,0
10501701,Narrandera,12,Outer Regional Australia,1,Acceptable,Good,0
10501801,Bletchington,11,Inner Regional Australia,1,Acceptable,Good,0
10501802,Bowen,11,Inner Regional Australia,1,Acceptable,Good,0
10501803,Calare,11,Inner Regional Australia,1,Acceptable,Good,0
10501804,Glenroi,11,Inner Regional Australia,1,Acceptable,Good,0
10501805,Orange - Central,11,Inner Regional Australia,1,Acceptable,Good,0
10501806,Orange - Surrounds,11,Inner Regional Australia,1,Acceptable,Good,0
10501807,Warrendine - Bloomfield,11,Inner Regional Australia,1,Acceptable,Good,0
10501901,Tumut,11,Inner Regional Australia,0.8097961,Acceptable,Good,0
10501901,Tumut,12,Outer Regional Australia,0.1902039,Acceptable,Good,0
10502001,Upper Murray,11,Inner Regional Australia,0.7389159,Acceptable,Good,0
10502001,Upper Murray,12,Outer Regional Australia,0.2610841,Acceptable,Good,0
10502101,Wagga Wagga - East,11,Inner Regional Australia,1,Acceptable,Good,0
10502102,Wagga Wagga - North,11,Inner Regional Australia,1,Acceptable,Good,0
10502103,Wagga Wagga - South,11,Inner Regional Australia,1,Acceptable,Good,0
10502104,Wagga Wagga - Surrounds,11,Inner Regional Australia,0.9486416,Acceptable,Good,0
10502104,Wagga Wagga - Surrounds,12,Outer Regional Australia,0.0513584,Acceptable,Good,0
10502105,Wagga Wagga - West,11,Inner Regional Australia,1,Acceptable,Good,0
10502201,Young,11,Inner Regional Australia,0.8368309,Acceptable,Good,0
10502201,Young,12,Outer Regional Australia,0.1631691,Acceptable,Good,0
10600101,Bega,12,Outer Regional Australia,1,Acceptable,Good,0
10600102,Bega - Surrounds,12,Outer Regional Australia,1,Acceptable,Good,0
10600103,Eden,12,Outer Regional Australia,1,Acceptable,Good,0
10600201,Batemans Bay,11,Inner Regional Australia,1,Acceptable,Good,0
10600202,Bodalla,12,Outer Regional Australia,1,Acceptable,Good,0
10600203,Eurobodalla,11,Inner Regional Australia,0.5480605,Acceptable,Good,0
10600203,Eurobodalla,12,Outer Regional Australia,0.4519395,Acceptable,Good,0
10600204,Moruya,11,Inner Regional Australia,1,Acceptable,Good,0
10600205,Narooma,12,Outer Regional Australia,1,Acceptable,Good,0
10600206,Wallaga Lake,12,Outer Regional Australia,1,Acceptable,Good,0
10600301,Culburra - Orient Point,11,Inner Regional Australia,1,Acceptable,Good,0
10600302,Nowra,11,Inner Regional Australia,1,Acceptable,Good,0
10600303,Shoalhaven,11,Inner Regional Australia,0.9961534,Acceptable,Good,0
10600303,Shoalhaven,12,Outer Regional Australia,0.0038466,Acceptable,Good,1
10600401,Queanbeyan,10,Major Cities of Australia,0.8236595,Good,Good,0
10600401,Queanbeyan,11,Inner Regional Australia,0.1763405,Acceptable,Good,0
10600402,Snowy - Monaro,10,Major Cities of Australia,0.0123291,Good,Good,0
10600402,Snowy - Monaro,11,Inner Regional Australia,0.6565476,Acceptable,Good,0
10600402,Snowy - Monaro,12,Outer Regional Australia,0.3311232,Acceptable,Good,0
10600501,Goulburn Mulwaree,11,Inner Regional Australia,0.9869519,Acceptable,Good,0
10600501,Goulburn Mulwaree,12,Outer Regional Australia,0.0130481,Acceptable,Good,0
10600502,Southern Tablelands,10,Major Cities of Australia,0.0201724,Good,Good,0
10600502,Southern Tablelands,11,Inner Regional Australia,0.919857,Acceptable,Good,0
10600502,Southern Tablelands,12,Outer Regional Australia,0.0599706,Acceptable,Good,0
10600503,Wingecaribee,11,Inner Regional Australia,1,Acceptable,Good,0
10700101,Auburn,10,Major Cities of Australia,1,Good,Good,0
10700201,Baulkham Hills,10,Major Cities of Australia,0.967914,Good,Good,0
10700201,Baulkham Hills,11,Inner Regional Australia,0.032086,Acceptable,Good,0
10700301,Bidwill,10,Major Cities of Australia,1,Good,Good,0
