SA2_CODE_2021,SA2_NAME_2021,IREG_CODE_2021,IREG_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101021007,Braidwood,106,South-Eastern NSW,1,Good,Good,0
101021008,Karabar,106,South-Eastern NSW,1,Good,Good,0
101021009,Queanbeyan,106,South-Eastern NSW,1,Good,Good,0
101021010,Queanbeyan - East,106,South-Eastern NSW,1,Good,Good,0
101021012,Queanbeyan West - Jerrabomberra,106,South-Eastern NSW,1,Good,Good,0
101021610,Googong,106,South-Eastern NSW,1,Good,Good,0
101021611,Queanbeyan Surrounds,106,South-Eastern NSW,1,Good,Good,0
101031013,Bombala,106,South-Eastern NSW,1,Good,Good,0
101031014,Cooma,106,South-Eastern NSW,1,Good,Good,0
101031015,Cooma Surrounds,106,South-Eastern NSW,1,Good,Good,0
101031016,Jindabyne - Berridale,106,South-Eastern NSW,1,Good,Good,0
101041017,Batemans Bay,106,South-Eastern NSW,1,Good,Good,0
101041018,Batemans Bay - South,106,South-Eastern NSW,1,Good,Good,0
101041019,Bega - Tathra,106,South-Eastern NSW,1,Good,Good,0
101041020,Bega-Eden Hinterland,106,South-Eastern NSW,1,Good,Good,0
101041021,Broulee - Tomakin,106,South-Eastern NSW,1,Good,Good,0
101041022,Deua - Wadbilliga,106,South-Eastern NSW,1,Good,Good,0
101041023,Eden,106,South-Eastern NSW,1,Good,Good,0
101041024,Eurobodalla Hinterland,106,South-Eastern NSW,1,Good,Good,0
101041025,Merimbula - Tura Beach,106,South-Eastern NSW,1,Good,Good,0
101041026,Moruya - Tuross Head,106,South-Eastern NSW,1,Good,Good,0
101041027,Narooma - Bermagui,106,South-Eastern NSW,1,Good,Good,0
101051539,Goulburn,106,South-Eastern NSW,1,Good,Good,0
101051540,Goulburn Surrounds,106,South-Eastern NSW,1,Good,Good,0
101061541,Yass,106,South-Eastern NSW,1,Good,Good,0
101061542,Yass Surrounds,105,Riverina - Orange,0.0266459,Good,Good,0
