LOCALITY_PID,LOCALITY_NAME,IREG_CODE_2021,IREG_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT906,COOMBS,801,ACT,1,Good,Good,0
ACT907,WRIGHT,801,ACT,1,Good,Good,0
ACT927,URIARRA VILLAGE,801,ACT,1,Good,Good,0
ACT928,JACKA,801,ACT,1,Good,Good,0
ACT929,DENMAN PROSPECT,801,ACT,1,Good,Good,0
ACT930,MOLONGLO,801,ACT,1,Good,Good,0
ACT931,CANBERRA AIRPORT,801,ACT,1,Good,Good,0
ACT932,MONCRIEFF,801,ACT,1,Good,Good,0
ACT933,THROSBY,801,ACT,1,Good,Good,0
ACT934,TAYLOR,801,ACT,1,Good,Good,0
ACT935,STRATHNAIRN,801,ACT,1,Good,Good,0
ACT936,MACNAMARA,801,ACT,1,Good,Good,0
ACT937,WHITLAM,801,ACT,1,Good,Good,0
NSW1,AARONS PASS,105,Riverina - Orange,1,Good,Good,0
NSW10,ABERGLASSLYN,104,NSW Central and North Coast,1,Good,Good,0
NSW100,ASHLEY,102,North-Eastern NSW,1,Good,Good,0
NSW1000,COMARA,104,NSW Central and North Coast,1,Good,Good,0
NSW1001,COMBANING,105,Riverina - Orange,1,Good,Good,0
NSW1002,COMBARA,103,North-Western NSW,1,Good,Good,0
NSW1003,COMBERTON,106,South-Eastern NSW,1,Good,Good,0
NSW1004,COMBO,104,NSW Central and North Coast,1,Good,Good,0
NSW1005,COMBOYNE,104,NSW Central and North Coast,1,Good,Good,0
NSW1006,COME BY CHANCE,103,North-Western NSW,1,Good,Good,0
NSW1007,COMERONG ISLAND,106,South-Eastern NSW,1,Good,Good,0
NSW1008,COMMISSIONERS CREEK,104,NSW Central and North Coast,1,Good,Good,0
NSW1009,COMO,107,Sydney - Wollongong,1,Good,Good,0
NSW101,ASHMONT,105,Riverina - Orange,1,Good,Good,0
NSW1010,COMOBELLA,101,Dubbo,1,Good,Good,0
NSW1011,CONARGO,105,Riverina - Orange,1,Good,Good,0
NSW1012,CONCORD,107,Sydney - Wollongong,1,Good,Good,0
