SA3_CODE_2021,SA3_NAME_2021,PHN_CODE_2017,PHN_NAME_2017,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
70104,Palmerston,PHN701,Northern Territory,1,Good,Good,0
70201,Alice Springs,PHN701,Northern Territory,1,Good,Good,0
70202,Barkly,PHN701,Northern Territory,1,Good,Good,0
70203,Daly - Tiwi - West Arnhem,PHN701,Northern Territory,1,Good,Good,0
70204,East Arnhem,PHN701,Northern Territory,1,Good,Good,0
70205,Katherine,PHN701,Northern Territory,0.9993163,Good,Good,0
70205,Katherine,,,0.0006837,Acceptable,Good,4
79797,Migratory - Offshore - Shipping (NT),,,,NA,Good,4
79999,No usual address (NT),,,,NA,Good,4
80101,Belconnen,PHN801,Australian Capital Territory,1,Good,Good,0
80103,Canberra East,PHN801,Australian Capital Territory,1,Good,Good,0
80104,Gungahlin,PHN801,Australian Capital Territory,1,Good,Good,0
80105,North Canberra,PHN801,Australian Capital Territory,1,Good,Good,0
80106,South Canberra,PHN801,Australian Capital Territory,1,Good,Good,0
80107,Tuggeranong,PHN801,Australian Capital Territory,1,Good,Good,0
80108,Weston Creek,PHN801,Australian Capital Territory,1,Good,Good,0
80109,Woden Valley,PHN801,Australian Capital Territory,1,Good,Good,0
80110,Molonglo,PHN801,Australian Capital Territory,1,Good,Good,0
80111,Uriarra - Namadgi,PHN801,Australian Capital Territory,1,Good,Good,0
89797,Migratory - Offshore - Shipping (ACT),,,,NA,Good,4
89999,No usual address (ACT),,,,NA,Good,4
90101,Christmas Island,PHN502,Perth South,1,Good,Good,0
90102,Cocos (Keeling) Islands,PHN502,Perth South,1,Good,Good,0
90103,Jervis Bay,PHN106,South Eastern NSW,1,Good,Good,0
90104,Norfolk Island,PHN301,Brisbane North,1,Good,Good,0
99797,Migratory - Offshore - Shipping (OT),,,,NA,Good,4
99999,No usual address (OT),,,,NA,Good,4
ZZZZZ,Outside Australia,,,,NA,Good,4
