LOCALITY_PID,LOCALITY_NAME,ILOC_CODE_2021,ILOC_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT612,ISABELLA PLAINS,80100202,Tuggeranong,1,Good,Good,0
ACT613,CONDER,80100202,Tuggeranong,1,Good,Good,0
ACT614,BANKS,80100202,Tuggeranong,1,Good,Good,0
ACT615,GREENWAY,80100202,Tuggeranong,1,Good,Good,0
ACT616,GORDON,80100202,Tuggeranong,1,Good,Good,0
ACT619,BONYTHON,80100202,Tuggeranong,1,Good,Good,0
ACT623,OXLEY,80100202,Tuggeranong,1,Good,Good,0
ACT659,THARWA,80100301,Stromlo - Namadgi,1,Good,Good,0
ACT701,MITCHELL,80100103,Gungahlin,1,Good,Good,0
ACT706,NGUNNAWAL,80100103,Gungahlin,1,Good,Good,0
ACT707,AMAROO,80100103,Gungahlin,1,Good,Good,0
ACT708,NICHOLLS,80100103,Gungahlin,1,Good,Good,0
ACT709,PALMERSTON,80100103,Gungahlin,1,Good,Good,0
ACT710,GUNGAHLIN,80100103,Gungahlin,1,Good,Good,0
ACT711,HARRISON,80100103,Gungahlin,1,Good,Good,0
ACT716,FORDE,80100103,Gungahlin,1,Good,Good,0
ACT719,BONNER,80100103,Gungahlin,1,Good,Good,0
ACT801,OAKS ESTATE,80100201,Narrabundah - Weston,1,Good,Good,0
ACT802,HUME,80100201,Narrabundah - Weston,1,Good,Good,0
ACT803,SYMONSTON,80100201,Narrabundah - Weston,1,Good,Good,0
ACT901,HALL,80100101,Belconnen,3.37E-05,Good,Good,1
ACT901,HALL,80100103,Gungahlin,0.9999663,Good,Good,0
ACT902,FRANKLIN,80100103,Gungahlin,1,Good,Good,0
ACT903,CASEY,80100103,Gungahlin,1,Good,Good,0
ACT904,CRACE,80100103,Gungahlin,1,Good,Good,0
ACT905,BEARD,80100201,Narrabundah - Weston,1,Good,Good,0
ACT906,COOMBS,80100301,Stromlo - Namadgi,1,Good,Good,0
ACT907,WRIGHT,80100301,Stromlo - Namadgi,1,Good,Good,0
