SA3_CODE_2021,SA3_NAME_2021,RA_CODE_2021,RA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10102,Queanbeyan,12,Outer Regional Australia,0.0226219,Poor,Good,0
10102,Queanbeyan,11,Inner Regional Australia,0.2798019,Acceptable,Good,0
10102,Queanbeyan,10,Major Cities of Australia,0.6975762,Good,Good,0
10103,Snowy Mountains,11,Inner Regional Australia,0.4721205,Acceptable,Good,0
10103,Snowy Mountains,12,Outer Regional Australia,0.5278795,Poor,Good,0
10104,South Coast,11,Inner Regional Australia,0.3758373,Acceptable,Good,0
10104,South Coast,12,Outer Regional Australia,0.6241627,Poor,Good,0
10105,Goulburn - Mulwaree,12,Outer Regional Australia,0.0407019,Poor,Good,0
10105,Goulburn - Mulwaree,11,Inner Regional Australia,0.9592981,Acceptable,Good,0
10106,Young - Yass,10,Major Cities of Australia,0.0140593,Good,Good,0
10106,Young - Yass,12,Outer Regional Australia,0.0777412,Poor,Good,0
10106,Young - Yass,11,Inner Regional Australia,0.9081994,Acceptable,Good,0
10201,Gosford,11,Inner Regional Australia,0.0236318,Acceptable,Good,0
10201,Gosford,10,Major Cities of Australia,0.9763682,Good,Good,0
10202,Wyong,11,Inner Regional Australia,0.0144354,Acceptable,Good,0
10202,Wyong,10,Major Cities of Australia,0.9855646,Good,Good,0
10301,Bathurst,12,Outer Regional Australia,0.0269931,Poor,Good,0
10301,Bathurst,11,Inner Regional Australia,0.9730069,Acceptable,Good,0
10302,Lachlan Valley,13,Remote Australia,0.0588165,Poor,Good,0
10302,Lachlan Valley,11,Inner Regional Australia,0.2062138,Acceptable,Good,0
10302,Lachlan Valley,12,Outer Regional Australia,0.7349697,Poor,Good,0
10303,Lithgow - Mudgee,12,Outer Regional Australia,0.2836729,Poor,Good,0
10303,Lithgow - Mudgee,11,Inner Regional Australia,0.7163271,Acceptable,Good,0
10304,Orange,12,Outer Regional Australia,0.0705566,Poor,Good,0
10304,Orange,11,Inner Regional Australia,0.9294434,Acceptable,Good,0
10401,Clarence Valley,12,Outer Regional Australia,0.0379281,Poor,Good,0
10401,Clarence Valley,11,Inner Regional Australia,0.9620719,Acceptable,Good,0
10402,Coffs Harbour,12,Outer Regional Australia,0.019472,Poor,Good,0
10402,Coffs Harbour,11,Inner Regional Australia,0.980528,Acceptable,Good,0
10501,Bourke - Cobar - Coonamble,12,Outer Regional Australia,0.0795779,Poor,Good,0
10501,Bourke - Cobar - Coonamble,14,Very Remote Australia,0.1995562,Poor,Good,0
10501,Bourke - Cobar - Coonamble,13,Remote Australia,0.7208658,Poor,Good,0
10502,Broken Hill and Far West,13,Remote Australia,0.0170521,Poor,Good,0
10502,Broken Hill and Far West,14,Very Remote Australia,0.0975413,Poor,Good,0
10502,Broken Hill and Far West,12,Outer Regional Australia,0.8854066,Poor,Good,0
10503,Dubbo,13,Remote Australia,0.0108111,Poor,Good,0
10503,Dubbo,12,Outer Regional Australia,0.4360386,Poor,Good,0
10503,Dubbo,11,Inner Regional Australia,0.5531504,Acceptable,Good,0
10601,Lower Hunter,12,Outer Regional Australia,0.0125674,Poor,Good,0
10601,Lower Hunter,10,Major Cities of Australia,0.4511586,Good,Good,0
10601,Lower Hunter,11,Inner Regional Australia,0.536274,Acceptable,Good,0
10602,Maitland,11,Inner Regional Australia,0.0298742,Acceptable,Good,0
10602,Maitland,10,Major Cities of Australia,0.9701258,Good,Good,0
10603,Port Stephens,12,Outer Regional Australia,8.00E-07,Poor,Good,1
10603,Port Stephens,10,Major Cities of Australia,0.1976495,Good,Good,0
10603,Port Stephens,11,Inner Regional Australia,0.8023498,Acceptable,Good,0
10604,Upper Hunter,12,Outer Regional Australia,0.2117635,Poor,Good,0
10604,Upper Hunter,11,Inner Regional Australia,0.7882365,Acceptable,Good,0
10701,Dapto - Port Kembla,10,Major Cities of Australia,1,Good,Good,0
10702,Illawarra Catchment Reserve,11,Inner Regional Australia,1,Acceptable,Good,0
10703,Kiama - Shellharbour,11,Inner Regional Australia,0.0841124,Acceptable,Good,0
10703,Kiama - Shellharbour,10,Major Cities of Australia,0.9158876,Good,Good,0
10704,Wollongong,11,Inner Regional Australia,0.0046677,Acceptable,Good,1
10704,Wollongong,10,Major Cities of Australia,0.9953323,Good,Good,0
10801,Great Lakes,12,Outer Regional Australia,0.0056135,Poor,Good,1
10801,Great Lakes,11,Inner Regional Australia,0.9943865,Acceptable,Good,0
10802,Kempsey - Nambucca,12,Outer Regional Australia,0.0401111,Poor,Good,0
10802,Kempsey - Nambucca,11,Inner Regional Australia,0.9598889,Acceptable,Good,0
10803,Lord Howe Island,14,Very Remote Australia,1,Poor,Good,0
10804,Port Macquarie,12,Outer Regional Australia,0.0180779,Poor,Good,0
10804,Port Macquarie,11,Inner Regional Australia,0.9819221,Acceptable,Good,0
10805,Taree - Gloucester,12,Outer Regional Australia,0.0310932,Poor,Good,0
10805,Taree - Gloucester,11,Inner Regional Australia,0.9689068,Acceptable,Good,0
10901,Albury,12,Outer Regional Australia,0.0123927,Poor,Good,0
10901,Albury,11,Inner Regional Australia,0.9876073,Acceptable,Good,0
10902,Lower Murray,13,Remote Australia,0.1554416,Poor,Good,0
10902,Lower Murray,12,Outer Regional Australia,0.8445584,Poor,Good,0
10903,Upper Murray exc. Albury,12,Outer Regional Australia,0.2573325,Poor,Good,0
10903,Upper Murray exc. Albury,11,Inner Regional Australia,0.7426675,Acceptable,Good,0
11001,Armidale,12,Outer Regional Australia,0.165852,Poor,Good,0
11001,Armidale,11,Inner Regional Australia,0.834148,Acceptable,Good,0
