SA1_CODE_2021,SA1_NAME_2021,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10102100701,,120,Hume,1,Good,Good,0
10102100702,,113,Eden-Monaro,1,Good,Good,0
10102100703,,113,Eden-Monaro,1,Good,Good,0
10102100704,,113,Eden-Monaro,1,Good,Good,0
10102100705,,113,Eden-Monaro,1,Good,Good,0
10102100706,,113,Eden-Monaro,1,Good,Good,0
10102100707,,113,Eden-Monaro,1,Good,Good,0
10102100708,,113,Eden-Monaro,1,Good,Good,0
10102100709,,113,Eden-Monaro,1,Good,Good,0
10102100710,,120,Hume,3.79E-05,Good,Good,1
10102100710,,113,Eden-Monaro,0.9999621,Good,Good,0
10102100801,,113,Eden-Monaro,1,Good,Good,0
10102100802,,113,Eden-Monaro,1,Good,Good,0
10102100803,,113,Eden-Monaro,1,Good,Good,0
10102100804,,113,Eden-Monaro,1,Good,Good,0
10102100805,,113,Eden-Monaro,1,Good,Good,0
10102100806,,113,Eden-Monaro,1,Good,Good,0
10102100807,,113,Eden-Monaro,1,Good,Good,0
10102100808,,113,Eden-Monaro,1,Good,Good,0
10102100809,,113,Eden-Monaro,1,Good,Good,0
10102100810,,113,Eden-Monaro,1,Good,Good,0
10102100811,,113,Eden-Monaro,1,Good,Good,0
10102100812,,113,Eden-Monaro,1,Good,Good,0
10102100813,,113,Eden-Monaro,1,Good,Good,0
10102100814,,113,Eden-Monaro,1,Good,Good,0
10102100815,,113,Eden-Monaro,1,Good,Good,0
10102100816,,113,Eden-Monaro,1,Good,Good,0
10102100817,,113,Eden-Monaro,1,Good,Good,0
10102100818,,113,Eden-Monaro,1,Good,Good,0
10102100819,,113,Eden-Monaro,1,Good,Good,0
10102100820,,113,Eden-Monaro,1,Good,Good,0
10102100821,,113,Eden-Monaro,1,Good,Good,0
10102100822,,113,Eden-Monaro,1,Good,Good,0
10102100823,,113,Eden-Monaro,1,Good,Good,0
10102100901,,113,Eden-Monaro,1,Good,Good,0
10102100902,,113,Eden-Monaro,1,Good,Good,0
10102100904,,113,Eden-Monaro,1,Good,Good,0
10102100905,,113,Eden-Monaro,1,Good,Good,0
10102100907,,113,Eden-Monaro,1,Good,Good,0
10102100908,,113,Eden-Monaro,1,Good,Good,0
10102100909,,113,Eden-Monaro,1,Good,Good,0
10102100910,,113,Eden-Monaro,1,Good,Good,0
10102100911,,113,Eden-Monaro,1,Good,Good,0
10102100912,,113,Eden-Monaro,1,Good,Good,0
10102100913,,113,Eden-Monaro,1,Good,Good,0
10102100914,,113,Eden-Monaro,1,Good,Good,0
10102100915,,113,Eden-Monaro,1,Good,Good,0
10102100916,,113,Eden-Monaro,1,Good,Good,0
10102100917,,113,Eden-Monaro,1,Good,Good,0
10102100918,,113,Eden-Monaro,1,Good,Good,0
10102100919,,113,Eden-Monaro,1,Good,Good,0
10102100920,,113,Eden-Monaro,1,Good,Good,0
10102100921,,113,Eden-Monaro,1,Good,Good,0
10102100923,,113,Eden-Monaro,1,Good,Good,0
10102100924,,113,Eden-Monaro,1,Good,Good,0
10102100925,,113,Eden-Monaro,1,Good,Good,0
10102100926,,113,Eden-Monaro,1,Good,Good,0
10102100927,,113,Eden-Monaro,1,Good,Good,0
10102100928,,113,Eden-Monaro,1,Good,Good,0
10102100929,,113,Eden-Monaro,1,Good,Good,0
10102101001,,113,Eden-Monaro,1,Good,Good,0
10102101002,,113,Eden-Monaro,1,Good,Good,0
10102101003,,113,Eden-Monaro,1,Good,Good,0
10102101004,,113,Eden-Monaro,1,Good,Good,0
10102101006,,113,Eden-Monaro,1,Good,Good,0
10102101007,,113,Eden-Monaro,1,Good,Good,0
10102101008,,113,Eden-Monaro,1,Good,Good,0
10102101009,,113,Eden-Monaro,1,Good,Good,0
10102101010,,113,Eden-Monaro,1,Good,Good,0
10102101011,,113,Eden-Monaro,1,Good,Good,0
10102101012,,113,Eden-Monaro,1,Good,Good,0
10102101013,,113,Eden-Monaro,1,Good,Good,0
10102101014,,113,Eden-Monaro,1,Good,Good,0
10102101015,,113,Eden-Monaro,1,Good,Good,0
10102101016,,113,Eden-Monaro,1,Good,Good,0
10102101017,,113,Eden-Monaro,1,Good,Good,0
10102101201,,113,Eden-Monaro,1,Good,Good,0
10102101202,,113,Eden-Monaro,1,Good,Good,0
10102101203,,113,Eden-Monaro,1,Good,Good,0
10102101204,,113,Eden-Monaro,1,Good,Good,0
10102101205,,113,Eden-Monaro,1,Good,Good,0
10102101206,,113,Eden-Monaro,1,Good,Good,0
10102101207,,113,Eden-Monaro,1,Good,Good,0
10102101208,,113,Eden-Monaro,1,Good,Good,0
10102101209,,113,Eden-Monaro,1,Good,Good,0
10102101210,,113,Eden-Monaro,1,Good,Good,0
10102101211,,113,Eden-Monaro,1,Good,Good,0
10102101212,,113,Eden-Monaro,1,Good,Good,0
10102101213,,113,Eden-Monaro,1,Good,Good,0
10102101214,,113,Eden-Monaro,1,Good,Good,0
10102101215,,113,Eden-Monaro,1,Good,Good,0
10102101216,,113,Eden-Monaro,1,Good,Good,0
10102101217,,113,Eden-Monaro,1,Good,Good,0
10102101218,,113,Eden-Monaro,1,Good,Good,0
10102101219,,113,Eden-Monaro,1,Good,Good,0
10102101220,,113,Eden-Monaro,1,Good,Good,0
10102101221,,113,Eden-Monaro,1,Good,Good,0
10102101222,,113,Eden-Monaro,1,Good,Good,0
10102101223,,113,Eden-Monaro,1,Good,Good,0
10102101224,,113,Eden-Monaro,1,Good,Good,0
10102101225,,113,Eden-Monaro,1,Good,Good,0
10102101226,,113,Eden-Monaro,1,Good,Good,0
10102101227,,113,Eden-Monaro,1,Good,Good,0
10102101228,,113,Eden-Monaro,1,Good,Good,0
10102101229,,113,Eden-Monaro,1,Good,Good,0
10102101230,,113,Eden-Monaro,1,Good,Good,0
10102101231,,113,Eden-Monaro,1,Good,Good,0
10102101232,,113,Eden-Monaro,1,Good,Good,0
10102161001,,113,Eden-Monaro,1,Good,Good,0
10102161002,,113,Eden-Monaro,1,Good,Good,0
10102161003,,113,Eden-Monaro,1,Good,Good,0
10102161004,,113,Eden-Monaro,1,Good,Good,0
10102161005,,113,Eden-Monaro,1,Good,Good,0
10102161006,,113,Eden-Monaro,1,Good,Good,0
10102161007,,113,Eden-Monaro,1,Good,Good,0
10102161008,,113,Eden-Monaro,1,Good,Good,0
10102161009,,113,Eden-Monaro,1,Good,Good,0
10102161010,,113,Eden-Monaro,1,Good,Good,0
10102161011,,113,Eden-Monaro,1,Good,Good,0
10102161012,,113,Eden-Monaro,1,Good,Good,0
10102161013,,113,Eden-Monaro,1,Good,Good,0
10102161014,,113,Eden-Monaro,1,Good,Good,0
10102161015,,113,Eden-Monaro,1,Good,Good,0
10102161101,,113,Eden-Monaro,1,Good,Good,0
10102161102,,113,Eden-Monaro,1,Good,Good,0
10102161103,,113,Eden-Monaro,1,Good,Good,0
10102161104,,113,Eden-Monaro,1,Good,Good,0
10102161105,,113,Eden-Monaro,1,Good,Good,0
10102161106,,113,Eden-Monaro,1,Good,Good,0
10102161107,,113,Eden-Monaro,0.1815434,Good,Good,0
10102161107,,120,Hume,0.8184566,Good,Good,0
10102161108,,113,Eden-Monaro,1,Good,Good,0
10102161109,,113,Eden-Monaro,1,Good,Good,0
10102161110,,113,Eden-Monaro,1,Good,Good,0
10102161111,,113,Eden-Monaro,1,Good,Good,0
10102161112,,113,Eden-Monaro,1,Good,Good,0
10102161113,,113,Eden-Monaro,1,Good,Good,0
10102161114,,113,Eden-Monaro,1,Good,Good,0
10102161115,,113,Eden-Monaro,1,Good,Good,0
10102161116,,113,Eden-Monaro,1,Good,Good,0
10102161117,,113,Eden-Monaro,1,Good,Good,0
10102161118,,113,Eden-Monaro,1,Good,Good,0
10102161119,,113,Eden-Monaro,1,Good,Good,0
10102161120,,113,Eden-Monaro,1,Good,Good,0
10102161121,,113,Eden-Monaro,1,Good,Good,0
10102161122,,113,Eden-Monaro,1,Good,Good,0
10102161123,,113,Eden-Monaro,1,Good,Good,0
10102161124,,113,Eden-Monaro,1,Good,Good,0
10102161125,,113,Eden-Monaro,1,Good,Good,0
10102161126,,113,Eden-Monaro,1,Good,Good,0
10102161127,,113,Eden-Monaro,1,Good,Good,0
10102161128,,113,Eden-Monaro,1,Good,Good,0
10102161129,,113,Eden-Monaro,1,Good,Good,0
10102161130,,113,Eden-Monaro,1,Good,Good,0
10102161131,,113,Eden-Monaro,1,Good,Good,0
10102161132,,113,Eden-Monaro,1,Good,Good,0
10102161133,,113,Eden-Monaro,1,Good,Good,0
10102161134,,113,Eden-Monaro,1,Good,Good,0
10102161135,,113,Eden-Monaro,1,Good,Good,0
10102161136,,113,Eden-Monaro,1,Good,Good,0
10102161137,,113,Eden-Monaro,1,Good,Good,0
10102161138,,113,Eden-Monaro,1,Good,Good,0
10102161139,,113,Eden-Monaro,1,Good,Good,0
10102161140,,113,Eden-Monaro,1,Good,Good,0
10102161141,,113,Eden-Monaro,1,Good,Good,0
10102161142,,113,Eden-Monaro,1,Good,Good,0
10102161143,,113,Eden-Monaro,1,Good,Good,0
10102161144,,113,Eden-Monaro,1,Good,Good,0
10102161145,,113,Eden-Monaro,1,Good,Good,0
10102161146,,113,Eden-Monaro,1,Good,Good,0
10103101301,,113,Eden-Monaro,1,Good,Good,0
10103101302,,113,Eden-Monaro,1,Good,Good,0
10103101303,,113,Eden-Monaro,1,Good,Good,0
10103101304,,113,Eden-Monaro,1,Good,Good,0
10103101305,,113,Eden-Monaro,1,Good,Good,0
10103101306,,113,Eden-Monaro,1,Good,Good,0
10103101307,,113,Eden-Monaro,1,Good,Good,0
10103101308,,113,Eden-Monaro,1,Good,Good,0
10103101401,,113,Eden-Monaro,1,Good,Good,0
10103101402,,113,Eden-Monaro,1,Good,Good,0
10103101403,,113,Eden-Monaro,1,Good,Good,0
10103101404,,113,Eden-Monaro,1,Good,Good,0
10103101405,,113,Eden-Monaro,1,Good,Good,0
10103101406,,113,Eden-Monaro,1,Good,Good,0
10103101407,,113,Eden-Monaro,1,Good,Good,0
10103101408,,113,Eden-Monaro,1,Good,Good,0
10103101409,,113,Eden-Monaro,1,Good,Good,0
10103101410,,113,Eden-Monaro,1,Good,Good,0
10103101411,,113,Eden-Monaro,1,Good,Good,0
10103101412,,113,Eden-Monaro,1,Good,Good,0
10103101414,,113,Eden-Monaro,1,Good,Good,0
10103101415,,113,Eden-Monaro,1,Good,Good,0
10103101417,,113,Eden-Monaro,1,Good,Good,0
10103101419,,113,Eden-Monaro,1,Good,Good,0
10103101420,,113,Eden-Monaro,1,Good,Good,0
10103101421,,113,Eden-Monaro,1,Good,Good,0
10103101501,,113,Eden-Monaro,1,Good,Good,0
10103101502,,113,Eden-Monaro,1,Good,Good,0
10103101503,,113,Eden-Monaro,1,Good,Good,0
10103101505,,113,Eden-Monaro,1,Good,Good,0
10103101511,,113,Eden-Monaro,1,Good,Good,0
10103101512,,113,Eden-Monaro,1,Good,Good,0
