LOCALITY_PID_2021,LOCALITY_NAME_2021,RA_CODE_2016,RA_NAME_2016,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT706,NGUNNAWAL,80,Major Cities of Australia,1,Good,Good,0
ACT707,AMAROO,80,Major Cities of Australia,1,Good,Good,0
ACT708,NICHOLLS,80,Major Cities of Australia,1,Good,Good,0
ACT709,PALMERSTON,80,Major Cities of Australia,1,Good,Good,0
ACT710,GUNGAHLIN,80,Major Cities of Australia,1,Good,Good,0
ACT711,HARRISON,80,Major Cities of Australia,1,Good,Good,0
ACT716,FORDE,80,Major Cities of Australia,1,Good,Good,0
ACT719,BONNER,80,Major Cities of Australia,1,Good,Good,0
ACT801,OAKS ESTATE,80,Major Cities of Australia,1,Good,Good,0
ACT802,HUME,80,Major Cities of Australia,1,Good,Good,0
ACT803,SYMONSTON,80,Major Cities of Australia,1,Good,Good,0
ACT901,HALL,80,Major Cities of Australia,1,Good,Good,0
ACT902,FRANKLIN,80,Major Cities of Australia,1,Good,Good,0
ACT903,CASEY,80,Major Cities of Australia,1,Good,Good,0
ACT904,CRACE,80,Major Cities of Australia,1,Good,Good,0
ACT905,BEARD,80,Major Cities of Australia,1,Good,Good,0
ACT906,COOMBS,80,Major Cities of Australia,1,Good,Good,0
ACT907,WRIGHT,80,Major Cities of Australia,1,Good,Good,0
ACT927,URIARRA VILLAGE,81,Inner Regional Australia,1,Good,Good,0
ACT928,JACKA,80,Major Cities of Australia,1,Good,Good,0
ACT929,DENMAN PROSPECT,80,Major Cities of Australia,1,Good,Good,0
ACT930,MOLONGLO,80,Major Cities of Australia,1,Good,Good,0
ACT931,CANBERRA AIRPORT,80,Major Cities of Australia,1,Good,Good,0
ACT932,MONCRIEFF,80,Major Cities of Australia,1,Good,Good,0
ACT933,THROSBY,80,Major Cities of Australia,1,Good,Good,0
ACT934,TAYLOR,80,Major Cities of Australia,1,Good,Good,0
ACT935,STRATHNAIRN,80,Major Cities of Australia,1,Good,Good,0
ACT936,MACNAMARA,80,Major Cities of Australia,1,Good,Good,0
ACT937,WHITLAM,80,Major Cities of Australia,1,Good,Good,0
NSW1,AARONS PASS,12,Outer Regional Australia,1,Good,Good,0
NSW10,ABERGLASSLYN,10,Major Cities of Australia,1,Good,Good,0
NSW100,ASHLEY,12,Outer Regional Australia,1,Good,Good,0
NSW1000,COMARA,12,Outer Regional Australia,1,Good,Good,0
NSW1001,COMBANING,12,Outer Regional Australia,1,Good,Good,0
NSW1002,COMBARA,13,Remote Australia,1,Good,Good,0
NSW1003,COMBERTON,11,Inner Regional Australia,1,Good,Good,0
NSW1004,COMBO,11,Inner Regional Australia,1,Good,Good,0
NSW1005,COMBOYNE,12,Outer Regional Australia,1,Good,Good,0
NSW1006,COME BY CHANCE,13,Remote Australia,1,Good,Good,0
NSW1007,COMERONG ISLAND,11,Inner Regional Australia,1,Good,Good,0
NSW1008,COMMISSIONERS CREEK,11,Inner Regional Australia,1,Good,Good,0
NSW1009,COMO,10,Major Cities of Australia,1,Good,Good,0
NSW101,ASHMONT,11,Inner Regional Australia,1,Good,Good,0
NSW1010,COMOBELLA,12,Outer Regional Australia,1,Good,Good,0
NSW1011,CONARGO,12,Outer Regional Australia,1,Good,Good,0
NSW1012,CONCORD,10,Major Cities of Australia,1,Good,Good,0
NSW1013,CONCORD WEST,10,Major Cities of Australia,1,Good,Good,0
NSW1014,CONDELL PARK,10,Major Cities of Australia,1,Good,Good,0
NSW1015,CONDOBOLIN,13,Remote Australia,0.1294061,Good,Good,0
NSW1015,CONDOBOLIN,12,Outer Regional Australia,0.8705939,Good,Good,0
NSW1016,CONDONG,10,Major Cities of Australia,1,Good,Good,0
NSW1017,CONEAC,12,Outer Regional Australia,1,Good,Good,0
NSW1018,CONGARINNI,12,Outer Regional Australia,1,Good,Good,0
NSW1019,CONGARINNI NORTH,12,Outer Regional Australia,1,Good,Good,0
NSW102,ASHTONFIELD,10,Major Cities of Australia,1,Good,Good,0
NSW1020,CONGEWAI,11,Inner Regional Australia,1,Good,Good,0
NSW1021,CONGO,11,Inner Regional Australia,1,Good,Good,0
NSW1022,CONIMBIA,13,Remote Australia,1,Good,Good,0
NSW1023,CONISTON,10,Major Cities of Australia,1,Good,Good,0
NSW1024,CONJOLA,11,Inner Regional Australia,1,Good,Good,0
NSW1025,CONJOLA PARK,11,Inner Regional Australia,1,Good,Good,0
NSW1026,CONNELLS POINT,10,Major Cities of Australia,1,Good,Good,0
NSW1027,CONSTITUTION HILL,10,Major Cities of Australia,1,Good,Good,0
