SA1_MAINCODE_2016,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10102101116,16490,Queanbeyan-Palerang Regional,0.7056699,Good,Good,0
10102101116,17040,Snowy Monaro Regional,0.2943301,Good,Good,0
10102101117,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101118,13310,Goulburn Mulwaree,0.8747147,Good,Good,0
10102101118,16490,Queanbeyan-Palerang Regional,0.1252853,Good,Good,0
10102101119,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101120,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101122,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101123,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101125,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101126,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101127,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101128,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101129,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101130,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101131,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101132,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101133,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101134,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101135,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101136,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101137,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101139,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101140,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101141,17040,Snowy Monaro Regional,1,Good,Good,0
10102101142,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101143,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101144,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101145,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101146,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101147,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101148,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101149,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101150,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101151,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101152,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101201,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
